Id	CharacterId	VitalityRecoveryType	VitalityRecovery	MoodRecoveryType	MoodRecovery	Pre	CompareType	AttrTotal	AttrCondition	Description
23	1051001		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
24	1051001		500		200	4	1	5500	{0: 2000, 1: 3500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
25	1051001		600		500	5	1	10000	{0: 3500, 1: 6500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,舒美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
26	1061002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
27	1061002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
28	1061002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
29	1061002		500		200	4	1	5500	{0: 3500, 1: 2000, 2: 0}	"""当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
30	1061002		600		500	5	1	10000	{0: 6500, 1: 3500, 2: 0}	"""当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
31	1071002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
32	1071002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
33	1071002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
34	1071002		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
35	1071002		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
36	1081002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
37	1081002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
38	1081002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
39	1081002		500		200	4	1	5500	{0: 0, 1: 2000, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
40	1081002		600		500	5	1	10000	{0: 0, 1: 3500, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
41	1021002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
42	1021002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
43	1021002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
44	1021002		500		200	4	1	5500	{0: 3500, 1: 0, 2: 2000}	"""当所在宿舍达到美观度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
45	1021002		600		500	5	1	10000	{0: 6500, 1: 0, 2: 3500}	"""当所在宿舍达到美观度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
46	1031002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
47	1031002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
48	1031002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
49	1031002		500		200	4	1	5500	{0: 0, 1: 2000, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
50	1031002		600		500	5	1	10000	{0: 0, 1: 3500, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
51	1011003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
52	1011003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
53	1011003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
54	1011003		500		200	4	1	5500	{0: 2000, 1: 0, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
55	1011003		600		500	5	1	10000	{0: 3500, 1: 0, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
56	1031003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
57	1031003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
58	1031003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
59	1031003		500		200	4	1	5500	{0: 2000, 1: 0, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
60	1031003		600		500	5	1	10000	{0: 3500, 1: 0, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
61	1061003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
62	1061003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
63	1061003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
64	1061003		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
65	1061003		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
66	1071003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
67	1071003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
68	1071003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
69	1071003		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
70	1071003		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
71	1051003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
72	1051003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
73	1051003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
74	1051003		500		200	4	1	5500	{0: 2000, 1: 3500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
75	1051003		600		500	5	1	10000	{0: 3500, 1: 6500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
76	1021003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
77	1021003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
78	1021003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
79	1021003		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
80	1021003		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
81	1081003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
82	1081003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
83	1081003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
84	1081003		500		200	4	1	5500	{0: 0, 1: 2000, 2: 3500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>3500</color>点,舒适度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
85	1081003		600		500	5	1	10000	{0: 0, 1: 3500, 2: 6500}	"""当所在宿舍达到实用度<color=#FF4E4EFF>6500</color>点,舒适度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
86	1091002	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
87	1091002		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
88	1091002		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
89	1091002		500		200	4	1	5500	{0: 2000, 1: 3500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,美观度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
90	1091002		600		500	5	1	10000	{0: 3500, 1: 6500, 2: 0}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,美观度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
91	90370	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
92	90370		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
93	90370		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
94	90370		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
95	90370		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
96	90220	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
97	90220		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
98	90220		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
99	90220		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
100	90220		600		500	5	1	10000	{0: 0, 1: 6500, 2: 3500}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>6500</color>点,实用度<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>6</color>点，心情值<color=#28CFFFFF>5</color>点"""
101	1041003	1	100	1	100	1	1		{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值未达到<color=#FF4E4EFF>1200</color>点,构造体每小时失去体力值<color=#28CFFFFF>1</color>点，心情值<color=#28CFFFFF>1</color>点"""
102	1041003		300		50	2	1	1200	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>1200</color>点,构造体每小时恢复体力值<color=#28CFFFFF>3</color>点，心情值<color=#28CFFFFF>0.5</color>点"""
103	1041003		400		100	3	1	3500	{0: 0, 1: 0, 2: 0}	"""当所在宿舍总值达到<color=#FF4E4EFF>3500</color>点,构造体每小时恢复体力值<color=#28CFFFFF>4</color>点，心情值<color=#28CFFFFF>1</color>点"""
104	1041003		500		200	4	1	5500	{0: 0, 1: 3500, 2: 2000}	"""当所在宿舍达到舒适度<color=#FF4E4EFF>3500</color>点,实用度<color=#FF4E4EFF>2000</color>点,构造体每小时恢复体力值<color=#28CFFFFF>5</color>点，心情值<color=#28CFFFFF>2</color>点"""
