Id	CharacterId	EquipRecommendId	Description	Hidden
132	1241003	56010	辅助进阶	
133	1241003	56020	辅助入门	
134	1211003	56110	辅助进阶	
135	1211003	56120	辅助入门	
136	1021006	56210	输出进阶	
137	1021006	56220	输出入门	
138	1311002	56310	输出进阶	
139	1311002	56320	输出入门	
140	1051005	56410	辅助进阶	
141	1051005	56420	辅助入门	
142	1321003	56510	装甲型进阶	
143	1321003	56520	装甲型入门	
144	1321003	56530	增幅型进阶	
145	1321003	56540	增幅型入门	
146	1331003	56610	辅助进阶	
147	1331003	56620	辅助入门	
148	1531005	56710	输出进阶	
149	1531005	56720	输出入门	
150	1341002	56810	输出进阶	
151	1341002	56820	输出入门	
152	1131004	56910	输出进阶	
153	1131004	56920	输出入门	
154	1351003	57010	输出进阶	
155	1351003	57020	输出入门	
156	1361003	57110	输出进阶	
157	1361003	57120	输出入门	
158	1041005	57210	输出进阶	
159	1041005	57220	输出入门	
160	1371002	57310	输出进阶	
161	1371002	57320	输出入门	
162	1381003	57410	辅助进阶	
163	1381003	57420	辅助入门	
164	1031005	57510	输出进阶	
165	1031005	57520	输出入门	
166	1291003	57610	辅助进阶	
167	1291003	57620	辅助入门	
168	1141004	57710	破甲型进阶	
169	1141004	57720	破甲型入门	
170	1391003	57810	增幅型进阶	
171	1391003	57820	增幅型入门	
172	1061004	57910	破甲型进阶	
173	1061004	57920	破甲型入门	
174	1021007	58010	输出进阶	
175	1021007	58020	输出入门	
