Id	Condition	FightEventId	Icon	Name	Desc
35		[32061]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32061.png	壁垒1	敌人自带最大生命值15%的护盾，护盾吸收等量伤害后破裂
36	[94015]	[32062]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	壁垒2	敌人自带最大生命值25%的护盾，护盾吸收等量伤害后破裂
37		[32063]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32063.png	壁垒3	敌人自带最大生命值35%的护盾，护盾吸收等量伤害后破裂
38		[32081]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32081.png	闭环1	敌人受到来自4米半径外的伤害时，额外伤害减免提升 30%
39		[32082]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32082.png	闭环2	敌人受到来自4米半径外的伤害时，额外伤害减免提升 45%
40		[32083]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32083.png	闭环3	敌人受到来自4米半径外的伤害时，额外伤害减免提升 60%
41		[200062, 200043]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	动态校准1	敌人每秒恢复最大生命值的1%，受到伤害后2秒内，恢复效果由1%降至0.4%
42	[94023]	[200063, 200043]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21132.png	动态校准2	敌人每秒恢复最大生命值的2%，受到伤害后2秒内，恢复效果由2%降至0.8%
43	[94024]	[200064, 200043]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21133.png	动态校准3	敌人每秒恢复最大生命值的3%，受到伤害后2秒内，恢复效果由3%降至1.2%
44		[33031]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33031.png	黑洞1	敌人每隔16秒会把玩家拉到身边
45	[94020]	[33032]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33032.png	黑洞2	敌人每隔12秒会把玩家拉到身边
46		[33033]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33033.png	黑洞3	敌人每隔8秒会把玩家拉到身边
47	[94018]	[33001]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	闪现1	敌人每隔10秒可以使用一次闪现接近目标
48		[33002]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33002.png	闪现2	敌人每隔10秒可以使用一次闪现接近目标
49		[33003]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33003.png	闪现3	敌人每隔10秒可以使用一次闪现接近目标
50		[33061]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	冻结	每次攻击有30%概率附加 10%冰属性伤害、并冻结目标，持续1秒。
51		[32001]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	不动	敌人变得不可撼动
52	[94023]	[32121]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	贯穿	敌人每命中玩家一次，削弱玩家 3%防御，持续10秒，最多叠加10层
53	[94012]	[110010]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	迅捷	敌人的移动速度增加。
54	[94013]	[32091]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	祝福	敌人以自身为中心，使范围内的其他敌人额外伤害加成提升20%
55		[32041]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32042.png	炸弹	敌人死亡前会产生一段爆炸对周围单位造成自身攻击力45%的物理伤害
56		[110010]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	迅捷	敌人的移动速度增加。
57		[32091]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32091.png	祝福	敌人以自身为中心，使范围内的其他敌人额外伤害加成提升20%
58		[11012]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11012.png	强攻2	模拟作战中的敌人攻击增加20%
59		[32062]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32062.png	壁垒2	敌人自带最大生命值25%的护盾，护盾吸收等量伤害后破裂
60		[32072]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32072.png	辐射2	敌人对自身周围目标，每秒造成自身攻击2%的物理伤害
61		[33001]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	闪现1	敌人每隔10秒可以使用一次闪现接近目标
62		[32022]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32022.png	护盾2	敌人每8秒生成一个持续3秒的最大生命值量 25%护盾
63		[32151]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32151.png	埋雷	敌人攻击时会在目标身上埋下炸弹，炸弹在一段时间后爆炸，爆炸伤害为自身攻击 45%的物理伤害
64		[33032]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33032.png	黑洞2	敌人每隔12秒会把玩家拉到身边
65		[32023]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32023.png	护盾3	敌人每8秒生成一个持续3秒的最大生命值量 35%护盾
66		[32131]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	电盾	敌人每次受击时10%概率在伤害来源处落雷（CD5秒），落雷伤害为自身攻击 20%的雷属性伤害。
67		[200160]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	贯穿	敌人每命中玩家一次，削弱玩家 3%防御，持续10秒，最多叠加10层
68		[32013]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32013.png	复苏3	敌人每秒恢复最大生命值3%
69		[200021]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	插件1	攻击力插件
70		[200022]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	插件2	血量插件
71		[200023]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	协同作战	全队同时下场参与战斗，可随时切换主控角色
72		[95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	独狼战术	特遣区，换人冷却延长，队伍成员\n随驻场时间获得强化，换人重置
73		[33101]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33101.png	劣化1	造成伤害时，使目标受到的治疗量减少50%，持续3秒
74		[33102]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33102.png	劣化2	造成伤害时，使目标受到的治疗量减少60%，持续4秒
75		[33103]	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33103.png	劣化3	造成伤害时，使目标受到的治疗量减少70%，持续5秒
76		[200024]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	物伤强化I	物理伤害提高10%，
77		[200025]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	火伤强化I	火属性伤害提高10%，
78		[200026]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	冰伤强化I	冰属性伤害提高10%，
79		[200027]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	雷伤强化I	雷属性伤害提高10%，
80		[200028]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	暗伤强化I	暗属性伤害提高10%，
81		[200029]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	物伤强化II	物理伤害提高20%，
82		[200030]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	火伤强化II	火属性伤害提高20%，
83		[200031]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	冰伤强化II	冰属性伤害提高20%，
84		[200032]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	雷伤强化II	雷属性伤害提高20%，
85		[200033]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	暗伤强化II	暗属性伤害提高20%，
86		[200034]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	物伤强化III	物理伤害提高30%，
87		[200035]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	火伤强化III	火属性伤害提高30%，
88		[200036]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	冰伤强化III	冰属性伤害提高30%，
89		[200037]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	雷伤强化III	雷属性伤害提高30%，
90		[200038]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	暗伤强化III	暗属性伤害提高30%，
91		[200039]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机强化II	辅助机存在时，每10s增加3个信号球
92		[200024, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1物理1	物伤提高10%，换人冷却延长\n成员随驻场时间获得强化，换人重置
93		[200029, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1物理2	物伤提高20%，换人冷却延长\n成员随驻场时间获得强化，换人重置
94		[200029, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1物理2	物伤提高20%，回球效率降低\n普攻命中时会造成1次额外伤害
95		[200029, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2物理2	物伤提高20%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
96		[200029, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1物理2	物伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
97		[200034, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1物理3	物伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
98		[200034, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1物理3	物伤提高30%，回球效率降低\n普攻命中时会造成1次额外伤害
99		[200034, 200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	切人2物理3	物伤提高30%，QTE冷却\n时间增加，换人冷却时间减少
100		[200034, 200013, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	装甲1物理3	物伤提高30%，回球效率降低，获得\n护盾时队伍成员可获得信号球
101		[200034, 200014, 200042]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机1物理3	物伤提高30%，使用辅助机技能后\n提升当前角色造成伤害能力
102		[200034, 200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	QTE1物理3	物伤提高30%，QTE冷却时间缩短\nQTE额外回复当前角色信号球
103		[200034, 200003]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲3物理3	物伤提高30%，非进攻型泛用机体消除\n信号球后，下名登场成员伤害提高
104		[200029, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2物理2	物伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
105		[200034, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2物理3	物伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
106		[200034, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2物理3	物伤提高30%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
107		[200034, 200008, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助1物理3	物伤提高30%，回球效率降低，受到\n治疗时队伍成员可获得信号球
108		[200034, 200039]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机2物理3	物伤提高30%，辅助机在场时\n每10秒增加3个信号球
109		[200034, 200004]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲4物理3	物伤提高30%，非进攻型泛用机体造成\n伤害后，下名登场成员伤害提高
110		[200030, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1火2	火伤提高20%，换人冷却延长\n成员随驻场时间获得强化，换人重置
111		[200030, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1火2	火伤提高20%，回球效率降低\n普攻命中时会造成1次额外伤害
112		[200030, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2火2	火伤提高20%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
113		[200030, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1火2	火伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
114		[200035, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1火3	火伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
115		[200035, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2火3	火伤提高30%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
116		[200035, 200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	切人2火3	火伤提高30%，QTE冷却\n时间增加，换人冷却时间减少
117		[200035, 200013, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	装甲1火3	火伤提高30%，回球效率降低，获得\n护盾时队伍成员可获得信号球
118		[200035, 200014, 200042]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机1火3	火伤提高30%，使用辅助机技能后\n提升当前角色造成伤害能力
119		[200035, 200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	QTE1火3	火伤提高30%，QTE冷却时间缩短\nQTE额外回复当前角色信号球
120		[200035, 200003]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲3火3	火伤提高30%，非进攻型泛用机体消除\n信号球后，下名登场成员伤害提高
121		[200031, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1冰2	冰伤提高20%，换人冷却延长\n成员随驻场时间获得强化，换人重置
122		[200031, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1冰2	冰伤提高20%，回球效率降低\n普攻命中时会造成1次额外伤害
123		[200031, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2冰2	冰伤提高20%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
124		[200031, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1冰2	冰伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
125		[200036, 200001]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲1冰3	冰伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升辅助型造成伤害
126		[200036, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1冰3	冰伤提高30%，回球效率降低\n普攻命中时会造成1次额外伤害
127		[200036, 200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	切人2冰3	冰伤提高30%，QTE冷却\n时间增加，换人冷却时间减少
128		[200036, 200008, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助1冰3	冰伤提高30%，回球效率降低，受到\n治疗时队伍成员可获得信号球
129		[200036, 200014, 200042]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机1冰3	冰伤提高30%，使用辅助机技能后\n提升当前角色造成伤害能力
130		[200036, 200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	QTE1冰3	冰伤提高30%，QTE冷却时间缩短\nQTE额外回复当前角色信号球
131		[200036, 200003]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲3冰3	冰伤提高30%，非进攻型泛用机体消除\n信号球后，下名登场成员伤害提高
132		[200032, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1雷2	雷伤提高20%，换人冷却延长\n成员随驻场时间获得强化，换人重置
133		[200032, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1雷2	雷伤提高20%，回球效率降低\n普攻命中时会造成1次额外伤害
134		[200032, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2雷2	雷伤提高20%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
135		[200032, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2雷2	雷伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
136		[200037, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2雷3	雷伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
137		[200037, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2雷3	雷伤提高30%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
138		[200037, 200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	切人2雷3	雷伤提高30%，QTE冷却\n时间增加，换人冷却时间减少
139		[200037, 200013, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	装甲1雷3	雷伤提高30%，回球效率降低，获得\n护盾时队伍成员可获得信号球
140		[200037, 200039]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机2雷3	雷伤提高30%，辅助机在场时\n每10秒增加3个信号球
141		[200037, 200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	QTE1雷3	雷伤提高30%，QTE冷却时间缩短\nQTE额外回复当前角色信号球
142		[200037, 200004]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲4雷3	雷伤提高30%，非进攻型泛用机体造成\n伤害后，下名登场成员伤害提高
143		[200033, 95014, 95015, 95016]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	站场1暗2	暗伤提高20%，换人冷却延长\n成员随驻场时间获得强化，换人重置
144		[200033, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1暗2	暗伤提高20%，回球效率降低\n普攻命中时会造成1次额外伤害
145		[200033, 200015]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊2暗2	暗伤提高20%，释放必杀时消耗\n所有能量，根据消耗情况提升伤害
146		[200033, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2暗2	暗伤提高20%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
147		[200038, 200002]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲2暗3	暗伤提高30%，进攻型泛用机体攻击时\n将标记目标，提升装甲型造成伤害
148		[200038, 200010, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	特殊1暗3	暗伤提高30%，回球效率降低\n普攻命中时会造成1次额外伤害
149		[200038, 200011, 200012]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	切人2暗3	暗伤提高30%，QTE冷却\n时间增加，换人冷却时间减少
150		[200038, 200008, 200006]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助1暗3	暗伤提高30%，回球效率降低，受到\n治疗时队伍成员可获得信号球
151		[200038, 200039]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助机2暗3	暗伤提高30%，辅助机在场时\n每10秒增加3个信号球
152		[200038, 200009]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	QTE1暗3	暗伤提高30%，QTE冷却时间缩短\nQTE额外回复当前角色信号球
153		[200038, 200004]	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	辅助/装甲4暗3	暗伤提高30%，非进攻型泛用机体造成\n伤害后，下名登场成员伤害提高
