Id	Name	Desc	Title	EventType	ActiveConditionId	Mutex	EffectId	SubEventId	SubConditionId	AutoPopup	ForceFinish
10413	圣诞歌	杰克死了，在圣诞歌的伴奏中他告别了这个冬天……第二天我们通过他修好的通讯设备接收到了其他城市的讯号，这会是杰克为我们带来的一线生机吗？		1		True		[10414]	[0]	True	True
10414	记录完毕	一切都会好起来的		2							
10415	母亲的请求	我们在废墟中找到了一些食物，在我和同伴将它们清点入库时，一位年轻的母亲跌跌撞撞地从营地外跑来找我，她恳求道“拜托你，把刚刚的食物分给我一些可以吗……不然我……我的孩子会活不下去的……”		1		True		[10416, 10417]	[0, 0]		True
10416	拒绝她的请求	获得 8 食物		2			[10417]				
10417	同意她的请求	将食物分给这位母亲		2							
10418	母亲的请求-窃贼	听说仓库失窃了。那个找我讨要食物的母亲被当场抓获。愤怒的同伴不愿听她辩解，连日的焦虑最后沦为一场指责的狂欢，折磨着每个人的神经，而我对此却无能为力。		1	[10418]	True		[10419]	[0]		True
10419	记录完毕	我别无选择		2							
10420	母亲的请求-第二次请求	废墟中掩埋的食物比预想中还要多，在我们继续向里挖掘的时候，那位母亲再次找到了我。被灾难折磨得不成人形的她还是用着和最初一样的口吻，请求我再给她点食物。		1	[10420]	True		[10421, 10422]	[0, 0]		True
10421	拒绝她的请求	获得 10 食物		2			[10422]				
10422	同意她的请求	将食物分给这位母亲		2							
10423	母亲的请求-失踪	那位母亲毫无预兆地失踪了，如果不是我因为担心想去看看她和她的孩子，恐怕都不会有人注意到她的消失。		1	[10423]	True		[10424]	[0]		True
10424	记录完毕	我别无选择		2							
10425	母亲的请求-第三次请求	当我们把废墟中的最后一点食物也整理出来时，那位母亲又一次出现了。比起第一次的窘迫，这位母亲的神情里多了浓浓的愧疚，似乎光是向我开口就已经耗费了她所有的力气。最终她还是下定了某种决心，开口说道，“对不起，我保证这是最后一次……最后一次了。”		1	[10425]	True		[10426, 10427]	[0, 0]		True
10426	拒绝她的请求	获得 5 食物		2			[10427]				
10427	同意她的请求	将食物分给这位母亲		2							
10428	母亲的请求-愿望	一早我就听说仓库被撬开的消息。可清点后却发现没有任何物资失窃。从仓库回来后我在桌子上发现了一张字迹被晕开的字条，上面写着“对不起，我知道自己不该骗你，但为了不被你劝住，我只能选择说谎……因为我相信我的孩子一定还在世界的某个角落等我，我也一定要找到他。我会带着先前的物资做最后一次寻找，永别了，好心的人。”		1	[10428]	True		[10429]	[0]		True
10429	记录完毕	祝她好运		2							
10430	母亲的请求-死灰	这天我在桌子上发现了一些物资和一张字迹端正的纸条，上面写着“您这样好心，我实在没脸再骗您，也无法再骗自己了。这是您给我的物资，现在还给您。真的很抱歉。”看到这我才想起来，营地外的不远处多了一个小小的土堆。土堆上立了块木板，像是认命的形状。		1	[10430]	True		[10431]	[0]		True
10431	记录完毕	回收 10 食物		2			[10431]				
10500	寻踪	虽然那段信号的发出时间比较久远，在通讯设备中游荡了很久后才被我们捕捉到，但我们讨论后还是决定循着那道讯号前进，希望那座城市现在还是和以前一样安全吧，就像那时的广播里所描述的那样。		1		True		[1]	[0]	True	True
10501	食物中毒	不知是气候还是其他因素，储存的食物似乎发生了些许异变，我已经收到了太多人说他们吃了不干净的食物，我想我应该派人仔细调查下这件事。		1				[10502]	[0]		True
10502	记录完毕	拾荒者饱腹值下降 25		2			[10508]				
10503	冒名顶替	每天发放出去的物资明明都有记录，人们却还是抱怨没有收到食物。我调查之后才发现，似乎是有拾荒者冒充别人的名字领取了不属于自己的食物。虽然我加强了物资配发的管理，但仍无法消除全部影响。		1				[10504]	[0]		True
10504	记录完毕	拾荒者饱腹值下降 30		2			[10509]				
10505	流浪窃贼	巡逻的人发现存放食物的仓库被打开了一个大洞，拖行重物的痕迹从那一路延伸到城外。看来是其他流浪拾荒者的手笔。		1				[10506]	[0]		True
10506	记录完毕	拾荒者饱腹值下降 35		2			[10510]				
10507	未知疾病	一种未知的疾病在营地中传播开来。许多人开始头痛腹泻，医疗站被围得水泄不通。人们的健康和饮食状况都在持续恶化，我们必须做点什么。		1				[10508]	[0]		True
10508	记录完毕	拾荒者健康值下降 10 （可能有拾荒者死亡）		2			[10511]				
10509	化学泄露	医疗站的工作者失手打翻了试剂。虽然卡尔在最短的时间内采取了相应措施，但剧毒的气体还是感染了部分同伴。		1				[10510]	[0]		True
10510	记录完毕	拾荒者健康值下降 10 （可能有拾荒者死亡）		2			[10512]				
10511	意外	工作区域的一处设施突然发生了小范围的爆炸，我们迅速组织了救援，但附近的人还是或多或少地负了伤。		1				[10512]	[0]		True
10512	记录完毕	拾荒者健康值下降 10 （可能有拾荒者死亡）		2			[10513]				
10513	雨中学院-1	我们在附近发现了一座学院，卡尔看了这学院很久很久，我分不清他脸上的是泪水还是雨水，这是我第一次见到那个人称“不屈的卡尔”如此脆弱的一面……这种时候我是应该独自进去搜寻物资，还是安慰他呢……		1				[10514, 10515]	[0, 0]		True
10514	独自探索	不让卡尔参与探索		2				[10516]	[0]		
10515	一起探索	和卡尔一起探索		2				[10516]	[0]		
10516	雨中学院-2	卡尔坚持要和我们一起进入学院探索。在他的帮助下，我们绕过废墟和残肢断臂，收集到了不少有用的资源。最后离开的时候，卡尔在学院外墙埋下足量的炸药——我们当中没有人阻止他。整座建筑在哭声一般的爆炸中化为焦黑的墓碑，血涂的墙壁碎裂一地，宛如语焉不详的墓志铭。		1				[10517]	[0]	True	True
10517	记录完毕	一切都会好起来的		2			[10514]				
10518	入春	我们和这座城市终于熬过了冬天，它已然成为了我们难以分割的”家“。但黎明前的夜晚最为黑暗，我有种不好的预感，所以和几位负责人开了个会，以做好面对大量悲剧发生的准备，如果可以的话，我多么希望我的预感不要应验……		1				[10519]	[0]	True	True
10519	记录完毕	一切都会好起来的		2							
10520	缘起	一连串的打击让所有人都很失落，那个经常在这种时候活跃气氛的杰克也离我们而去了。我提议大家一起去调查这座城市都发生了什么，越是这种时候就越需要有人站出来指引目标。		1	[10520]	True		[10521]	[0]		True
10521	记录完毕	一切都会好起来的		2							
10522	试验成功	回到营地后，我们在其他人的帮助下才看清，那张在实验大楼的废墟里找到的照片上，竟是一位穿着白大褂的女人站在一堆人类尸体前的情景。在照片右上角的位置，被人用锈红色的记号笔写了几个字——试验成功。		1	[10522]	True		[10523]	[0]		True
10523	记录完毕	没有什么能做的了		2							
10524	争吵	越想越觉得奇怪，我和卡尔又研究了一遍那份音频资料，果然发现了音频最后有一段加密内容，费了好大劲解密后我们听到了那位医生虚弱而温柔的留言：因为有你，我不后悔。		1	[10524]	True		[10525]	[0]		True
10525	记录完毕	没有什么能做的了		2							
10526	触碰	返回临时营地后我们还是无法忘却在监控室最后看到的景象……我们顺着医生的食指望去，看到了一位被铲子穿透胸膛的军官低头跪在地上，火光将二人的影子投射到上空，恍惚间仿佛能看到他们的指间在生命的最后时刻完成了触碰。		1	[10526]	True		[10527]	[0]		True
10527	记录完毕	……没有什么能做的了		2							
10528	缘散	或许冰雪将会封城，记忆将会凝固，但故事将会流传。我和同伴紧了紧衣领，向城外迈出脚步。我们的故事还未结束，而他们的故事，只要我还活着，就会一直记录下去。		1	[10528]	True		[10529]	[0]		True
10529	记录完毕	故事仍会延续		2							
101020	燃烧的废墟	谢天谢地，火焰并没有吞噬太多东西，甚至成为了保护废墟中残留资源的屏障。		1				[101021]	[0]		True
101021	记录完毕	获得 215 木材、 135 钢材		2			[10151]				
101030	空旷的图书馆	连地下室都被炸毁，通道摇摇欲坠，难以探索。这里……确实也就只剩下这么点书了。		1				[101031]	[0]		True
101031	记录完毕	获得 260 木材、 325 钢材		2			[10152]				
101040	河边的营地	到处是散落的物资、枪械的弹壳、损坏的陷阱和破碎的尸骸。不管曾在这里扎营的人现在在哪里，他们的状况一定不容乐观。		1				[101041]	[0]		True
101041	记录完毕	获得 10 药物、 15 食物		2			[10153]				
101050	破败的贫民窟	如果真切地对上他们的视线，没有人能狠下心做出帮他们解脱的决定。我们能做的最多只有遵从他们的愿望，带走还算健康的人。至于留下来的那些人会遭遇怎样的未来，我们只能强迫自己不去想象。		1				[101051]	[0]		True
101051	记录完毕	找到 4 位幸存者，获得 25 药物、 20 食物		2			[10154, 10155]				
101060	拥挤的街道	整条街道就像巨大的金属坟场。我们无法回收所有车辆，只得拆掉了看起来还能用的零件带了回来。		1				[101061]	[0]		True
101061	记录完毕	获得 120 木材、 140 钢材		2			[10156]				
101070	安静的防空洞	建筑内部和它的外表一样安静。这里除了横七竖八的尸体和残骸，别的什么都没有。		1				[101071]	[0]		True
101071	记录完毕	获得 210 木材、 225 钢材		2			[10157]				
101080	倒塌的高楼	很幸运，这幢建筑并不像外表看起来那么飘摇，我们在砖瓦之间仍然发现了不少物资。这里的拾荒者虽然受了伤，但并没有大碍。简单交谈之后，他们决定跟我们回到营地。		1				[101081]	[0]		True
101081	记录完毕	找到 5 位幸存者、获得 15 药物、 20 食物		2			[10158, 10159]				
102020	信号站	信号站里空无一物，但好在终端仍保留着附近的地点信息。一座大型超市和一片高级住宅区引起了我们的注意，它们看起来既安全，又有更高可能性存在物资和拾荒者。或许我们都该去看看。		1				[102021]	[0]		True
102021	记录完毕	获得 165 木材、 180 钢材		2			[10251]				
102030	高级住宅区	奇怪……不少房间中可用的资源都被齐整地摆放在恰当的位置，连床铺都规整地铺好了。忽略偶尔出现在房间里的假人的话，这里甚至称得上是“温馨”的。		1				[102031]	[0]		True
102031	记录完毕	获得 135 木材、 120 钢材		2			[10252]				
102040	高级餐厅	进入地下并没有花费我们多少力气。虽然里面已经被搬空了一大半，但剩下的食物也足够支撑我们几天的开销了。		1				[102041]	[0]		True
102041	记录完毕	获得 240 木材、 200 钢材、 40 药物、 40 食物		2			[10253]				
102050	二层小楼	原来哭声只是风吹过房屋破口发出的声响。这座小楼的内部和外部一样干净。后院门口有一条宠物狗的遗骸。裸露的白骨还能见到刀凿的痕迹，显然它身上可食用的部分在生前就不见了。		1				[102051]	[0]		True
102051	记录完毕	获得 95 木材、 110 钢材		2			[10254]				
102060	安静的小屋	不等我们靠近，就有一个男人咆哮着从屋子里冲出来，等看清来的是我们，才崩溃地跪倒在地，大哭起来。男人断断续续地解释道，自己和家人已经在这里躲藏了数日，他的猎枪里只剩下一颗子弹，所幸现在，这颗子弹既不用浪费在感染体身上，也不用留给自己。		1				[102061]	[0]		True
102061	记录完毕	找到 1 位幸存者，获得 260 木材、 260 钢材		2			[10255, 10256]				
102070	便利店废墟	便利店的大部分建筑都在炮火中化为了废墟，但货架却齐整地摆放在废墟之上，更诡异的是在那收银台的位置还被人摆了一个用木块绑在一起的“收银员”假人。		1				[102071]	[0]		True
102071	记录完毕	获得 75 木材、 85 钢材		2			[10257]				
102080	染血的教堂	一条绳索在教堂摇晃。顺着绳索爬上钟楼，我们发现了几名奄奄一息的拾荒者和少许物资。我也不知道最后为什么我会决定把他们全部带回营地，也许是因为墙上写着歪歪扭扭的“神不渡我”，它们被红色油漆潦草划掉，像某种被阻断的呼救……谁知道呢。		1				[102081]	[0]		True
102081	记录完毕	找到 11 位幸存者、获得 30 药物、 35 食物		2			[10258, 10259]				
102090	雾中的超市	大概是雾气太浓的缘故，一进门我们就被摆在门口的假人模型吓了一跳。进来后我们发现这里早就被搜刮一空，连橱窗里的假人都被带走了。最终我们只得把门口剩下的那一个木质假人拆掉带了回去。		1				[102091]	[0]		True
102091	记录完毕	获得 55 木材、 90 钢材		2			[10260]				
102100	倒塌的学校	除了地下仓库，整个内部都被粉碎，剩下摇摇欲坠的外壳。这里太安静了，只有各种布偶玩具和木制假人被摆放成还有老师和学生在上课的样子。		1				[102101]	[0]		True
102101	记录完毕	获得 260 木材、 245 钢材		2			[10261]				
102110	荒地	木材与钢材整齐地堆放着。地上散落着锈迹斑斑的机械零部件，据杰克所说，那些是重型收割机的残骸。		1				[102111]	[0]		True
102111	记录完毕	获得 425 木材、 455 钢材		2			[10262]				
102120	城市医院	我们意识到这医院从外而内的每一扇门都紧锁着的情况很不合理。最终我们在医院深处找到了一些幸存者，他们在紧锁的大门被开启时，眼神从恐惧变为惊愕，最后化为欣喜。因为他们知道自己暂时得救了。		1				[102121]	[0]		True
102121	记录完毕	找到 10 位幸存者、获得 25 药物、 25 食物		2			[10263, 10264]				
102130	乱石河滩	我们在河滩处发现了一个无人的营地。足够一人吃好几天的口粮被放在营地最显眼的位置，上面压着一份录音：“齐格纳，感染体似乎发现我们了。我们打算先撤往附近的农场。如果你发现这则消息，记得跟上来。”		1				[102131]	[0]		
102131	记录完毕	获得 170 木材、 150 钢材		2			[10265]				
102140	郊外农场	这里到处都是血。土壤浸得松软，踩上去像踩着湿水的棉花。我们在谷仓的位置找到了感染体和一小队拾荒者的残骸。恐怕齐格纳永远跟不上他的同伴们了。		1				[102141]	[0]		
102141	记录完毕	获得 60 木材、 100 钢材		2			[10266]				
103020	旅人小屋	房间不大，却因为家具稀少而显得分外空旷。所有的药物和食物都被精心收集起来堆在桌上，旁边压着一块飞鸟铭牌，和一张写到一半又中断的遗书。一位年轻的女人歪歪斜斜地坐在椅子上，一把枪浸泡在她脚边的血泊里。		1				[103021]	[0]		
103021	记录完毕	获得 21 药物、 25 食物		2			[10351]				
103030	公路加油站	便利店仓库的门被一具破碎的尸体堵得严实。只能勉强辨认出那是位年轻的男性，胸口挂着眼熟的飞鸟铭牌。我们尽可能找到了一些能用的材料，仓库后门大开，像是有人从这里逃了出去。		1				[103031]	[0]		
103031	记录完毕	获得 30 药物、 25 食物		2			[10352]				
103040	工业园区	我们遇到了一队善良的拾荒者，他们分了一些物资给我们。他们打算去矿场废墟。“要不是遇上感染体，我们昨天本就该到了”，拾荒者青年快乐地说，“我妹妹就在那里。她正等着这些药呢。”		1				[103041]	[0]		
103041	记录完毕	获得 45 药物、 35 食物		2			[10353]				
103050	废弃集市	整个集市都遭到严重损毁，满地只剩散架的混凝土、生锈的钢筋和破成碎片的固化树脂。		1				[103051]	[0]		
103051	记录完毕	获得 15 药物、 10 食物		2			[10354]				
103060	破败的港口	一群拾荒者生活在船上，我们与他们交涉后决定互换一部分物资。		1				[103061]	[0]		
103061	记录完毕	获得 70 木材、 100 钢材		2			[10355]				
103070	安静的防空洞	防空洞里还有些我们可以用的东西。这大概是我们长途跋涉后收到的最好的消息了。		1				[103071]	[0]		
103071	记录完毕	获得 250 木材、 260 钢材		2			[10356]				
103080	倒塌的公馆	令人意外的是，这里早有一队拾荒者扎营了。他们说自己在矿区废墟发现了不少物资，还友善地与我们分享了部分物资。		1				[103081]	[0]		
103081	记录完毕	获得 355 木材、 360 钢材		2			[10357]				
103090	金黄农场	……那些金黄的棒状物体根本不是粮食，而是无数印着飞鸟标志的炮弹空壳和异合生物残骸的结合物。这个农场显然经历过激烈的战斗，扭曲的车辙从谷仓一路跌跌撞撞地向更远处蜿蜒而去。队伍收集粮食时，谷堆里竟然爬出来几个小孩子，他们战战兢兢地乞求收留，而我们自然也不会弃之不顾。		1				[103091]	[0]		
103091	记录完毕	找到 7 位幸存者、获得 30 药物、 40 食物		2			[10358, 10359]				
103100	武装的民居	饶是再凶残的对手，也不过是挣扎求生的人类。这些拾荒者不但给予了我们他们力所能及的帮助，甚至在交谈后同意加入我们。		1				[103101]	[0]		
103101	记录完毕	找到 8 位幸存者、获得 22 药物、 26 食物		2			[10360, 10361]				
103110	无人的战壕	我们发现了几口满满当当的运输箱。箱上有血，还有简单的战况概述。周围传来的感染体声响让我们没时间为它们的主人凭吊，带上物资后就离开了那里。		1				[103111]	[0]		
103111	记录完毕	获得 425 木材、 400 钢材		2			[10362]				
