Id	Name	Desc	Temperature	Icon	BigIcon	EffectPath	AttributeId	EventId	NoRepeat	EventWeight
404	雾霾	恶劣|路面灰暗，沙尘四起	13-18	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherWumai.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoHaze.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreFog1301.prefab	[40401, 40402, 40403]	[-1]	[None]	[1000]
501	晴天	适宜|对拾荒者影响较小，资源消耗较少。	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[601, 602, 603]	[-1]	[None]	[1000]
502	雷雨	差劲|对拾荒者略有影响，每天将消耗较多物资。	5~15	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[604, 605, 606]	[-1]	[None]	[1000]
503	暴雪	严酷|温度骤降，大雪纷飞	-10~3	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherXuetian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSnow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSnow1301.prefab	[607, 608, 609]	[-1]	[None]	[1000]
504	红潮	危险|有概率受到袭击，丢失资源或伤亡。	-2~8	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherHongchao.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRed.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRed1301.prefab	[610, 611, 612]	[-1, 2052005, 2052007]	[None, None, None]	[650, 300, 50]
505	彩虹	完美|“五彩斑斓”，好事发生	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherCaihong.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRainbow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1302.prefab	[613, 614, 615]	[2052009]	[None]	[1000]
601	晴天	适宜|对拾荒者影响较小，资源消耗较少。	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherQingtian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSun.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1301.prefab	[601, 602, 603]	[-1]	[None]	[1000]
602	雷雨	差劲|对拾荒者略有影响，每天将消耗较多物资。	5~15	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherYutian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRain.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRain1301.prefab	[604, 605, 606]	[-1]	[None]	[1000]
603	暴雪	严酷|建筑会有停止工作的风险。	-10~3	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherXuetian.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoSnow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSnow1301.prefab	[607, 608, 609]	[-1, 1303, 1305]	[None, None, None]	[1980, 10, 10]
604	红潮	恶劣|有概率受到袭击，丢失资源。	-2~8	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherHongchao.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRed.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreRed1301.prefab	[610, 611, 612]	[-1, 1414, 1416]	[None, None, None]	[985, 10, 5]
605	彩虹	完美|可能会有好事发生呢。	20~25	Assets/Product/Texture/Atlas/UiDoomsday/UiDoomsdayWeatherCaihong.png	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayPhotoRainbow.png	Assets/Product/Effect/Prefab/FxUi/FxUiDoomsdayExplore/FxUiDoomsdayExploreSun1302.prefab	[613, 614, 615]	[-1]	[None]	[1000]
