Id	Desc	Trigger	EffectType	Args	SourceType	SourceCount	TargetType	TargetCount
10309	第三关固定事件：扣25健康值，25饱腹值		1002	[-25, -25, 0]				
10310	第三关固定事件：扣30健康值，30饱腹值		1002	[-30, -30, 0]				
10311	第三关固定事件：扣35健康值，35饱腹值		1002	[-35, -35, 0]				
10312	第三关支线【父亲：我会尽力】选项结果：解锁【河边营地】		1008	[10314]				
10322	第三关支线【父亲：两颗子弹】选项结果：解锁【“果林”1】		1008	[10315]				
10326	第三关支线【父亲：蛛丝】选项结果：解锁【“果林”2】		1008	[10316]				
10328	第三关支线【父亲：团聚】事件结果：获得 75 木材、 75 钢材		1001				[1, 2]	[75, 75]
10351	第三关地点1		4001	[3, 21, 4, 25]				
10352	第三关地点2		4001	[3, 30, 4, 25]				
10353	第三关地点3		4001	[3, 45, 4, 35]				
10354	第三关地点4		4001	[3, 15, 4, 10]				
10355	第三关地点5		4001	[1, 70, 2, 100]				
10356	第三关地点6		4001	[1, 250, 2, 260]				
10357	第三关地点7		4001	[1, 355, 2, 360]				
10358	第三关地点8		4001	[3, 30, 4, 40]				
10359	第三关地点8		4002	[7, 80, 80, 80]				
10360	第三关地点9		4001	[3, 22, 4, 26]				
10361	第三关地点9		4002	[8, 80, 80, 80]				
10362	第三关地点10		4001	[1, 425, 2, 400]				
10363	第三关地点11		4001	[1, 285, 2, 350]				
10364	第三关地点12		4001	[1, 25, 2, 15]				
10365	第三关支线地点1		4001	[3, 12, 4, 9]				
10366	第三关支线地点2		4001	[3, 16, 4, 18]				
10401	第四关初始化：300木材	1	1001				[1]	[300]
10402	第四关初始化：300钢材	1	1001				[2]	[300]
10403	第四关初始化：30血清	1	1001				[3]	[30]
10404	第四关初始化：30食物	1	1001				[4]	[30]
10405	第四关初始化：30个人，100属性值	1	1005	[30, 100, 100, 100]				
10406	第四关初始化：拥有2座中废墟	1	1007	[1, 2, 1]				
10407	第四关初始化：拥有1座大废墟	1	1007	[3, 1, 1]				
10410	第四关固定事件：人口+5		1005	[5, 50, 50, 100]				
10417	第四关支线【母亲：同意】选项结果：获得 8 食物		1001				[4]	[8]
10422	第四关支线【母亲-2：同意】选项结果：获得 10 食物		1001				[4]	[10]
10427	第四关支线【母亲-3：同意】选项结果：获得 5 食物		1001				[4]	[5]
10431	第四关支线【母亲-4认命】结果：回收 10 食物		1001				[4]	[10]
10451	第四关地点1		4001	[1, 60, 2, 65]				
10452	第四关地点2		4001	[1, 80, 2, 95]				
10453	第四关地点3		4001	[1, 485, 2, 380]				
10454	第四关地点4		4001	[3, 25, 4, 25]				
10455	第四关地点5		4001	[1, 505, 2, 555]				
10456	第四关地点6		4001	[3, 18, 4, 20]				
10457	第四关地点7		4001	[3, 37, 4, 28]				
10458	第四关地点7		4002	[6, 50, 50, 100]				
10459	第四关地点8		4001	[3, 10, 4, 5]				
10460	第四关地点9		4001	[3, 10, 4, 12]				
10461	第四关地点9		4002	[5, 50, 50, 100]				
10462	第四关地点10		4001	[1, 310, 2, 360, 3, 26, 4, 31]				
10463	第四关地点10		4002	[6, 50, 50, 100]				
10464	第四关地点11		4001	[3, 15, 4, 16]				
10501	第五关初始化：200木材、200钢材	1	1001				[1, 2]	[200, 200]
10502	第五关初始化：31血清	1	1001				[3]	[31]
10503	第五关初始化：31食物	1	1001				[4]	[31]
10504	第五关初始化：30个人，100属性值	1	1005	[30, 100, 100, 100]				
10505	第五关初始化：拥有1座中废墟	1	1007	[2, 1, 1]				
10506	第五关初始化：拥有1座大废墟	1	1007	[3, 1, 1]				
10507	第五关初始化：拥有1座前哨站	1	1007	[7, 1, 1]				
10508	第五关固定事件1		1002	[0, -25, 0]				
10509	第五关固定事件2		1002	[0, -30, 0]				
10510	第五关固定事件3		1002	[0, -35, 0]				
10511	第五关固定事件4		1002	[-10, 0, 0]				
10512	第五关固定事件5		1002	[-10, 0, 0]				
10513	第五关固定事件6		1002	[-10, 0, 0]				
10514	赈灾1		1001				[3, 4]	[20, 20]
10515	赈灾2		1001				[3, 4]	[30, 30]
10551	第五关地点1		4001	[1, 500, 2, 500]				
10552	第五关地点2		4001	[1, 500, 2, 500]				
10553	第五关地点3		4001	[1, 500, 2, 500]				
10554	第五关地点4		4001	[1, 500, 2, 500]				
10555	第五关地点5		4001	[1, 500, 2, 500]				
10556	第五关地点6		4001	[1, 500, 2, 500]				
10557	第五关地点7		4001	[1, 500, 2, 500]				
10558	第五关地点8		4001	[1, 500, 2, 500]				
10559	第五关地点9		4001	[1, 500, 2, 500]				
10560	第五关地点10		4001	[1, 500, 2, 500]				
10561	第五关地点11		4001	[1, 500, 2, 500]				
11001	关卡事件结果：精神值降低 10		1002	[0, 0, -10]				
11002	关卡事件结果：精神值提高 10		1002	[0, 0, 10]				
11004	关卡事件结果：精神值降低 10		1002	[0, 0, -10]				
11005	关卡事件结果：精神值提高 10		1002	[0, 0, 10]				
11007	关卡事件结果：精神值降低 10		1002	[0, 0, -10]				
11008	关卡事件结果：精神值提高 10		1002	[0, 0, 10]				
11011	关卡事件结果：失去 20 食物		1001		[4]	[20]		
11015	关卡事件结果：失去 100 食物		1001		[4]	[100]		
11017	关卡事件结果：获得 50 食物		1001				[4]	[50]
11019	关卡事件结果：获得 50 食物		1001				[4]	[50]
11021	关卡事件结果：失去 100 食物		1001		[4]	[100]		
11023	关卡事件结果：获得 50 食物、 50 钢材		1001				[2, 4]	[50, 50]
11025	关卡事件结果：健康值、精神值降低 30		1002	[-30, 0, -30]				
11027	关卡事件结果：获得 50 食物、 50 钢材		1001				[2, 4]	[50, 50]
11029	关卡事件结果：健康值、精神值降低 30		1002	[-30, 0, -30]				
11031	关卡事件结果：获得 50 食物、 50 钢材		1001				[2, 4]	[50, 50]
11033	关卡事件结果：健康值、精神值降低 30		1002	[-30, 0, -30]				
11035	关卡事件结果：失去 100 食物		1001		[4]	[100]		
11037	关卡事件结果：获得 50 木材、 50 钢材		1001				[1, 2]	[50, 50]
201	大型医疗站：每一天，产出10血清	2	2001				[3]	[10]
202	大型补给站：每一天，产出10食物	2	2001				[4]	[10]
203	小废墟：正常工作时，每个回合获得100木材100钢材	2	2001				[1, 2]	[100, 100]
204	小废墟：正常工作时，1回合后，建筑转变为空地	2	2004	[1]				
205	中废墟：正常工作时，每个回合获得100木材100钢材	2	2001				[1, 2]	[100, 100]
206	中废墟：正常工作时，2回合后，建筑变为空地	2	2004	[2]				
207	大废墟：正常工作时，每个回合获得170木材170钢材	2	2001				[1, 2]	[170, 170]
208	大废墟：正常工作时，3回合后，建筑变为空地	2	2004	[3]				
209	医疗站：每一天，产出15血清	2	2001				[3]	[15]
210	补给站：每一天，产出15食物	2	2001				[4]	[15]
211	前哨站：解锁探索小队	13	2003	[1]				
212	前哨站：解锁探索功能	13	2006					
20101	第一关初始化：180木材	1	1001				[1]	[180]
20102	第一关初始化：180钢材	1	1001				[2]	[180]
20103	第一关初始化：30血清	1	1001				[3]	[30]
20104	第一关初始化：30食物	1	1001				[4]	[30]
20105	第一关初始化：15个人，100属性值	1	1005	[15, 100, 100, 100]				
20106	第一关初始化：拥有 1 座小废墟	1	1007	[203, 1, 1]				
20107	第一关初始化：拥有 1 座中废墟	1	1007	[204, 1, 1]				
20108	第一关初始化：拥有 1 座【前哨站】	1	1007	[209, 1, 1]				
201030	第一关事件：获得 7 个居民		1005	[7, 80, 80, 80]				
201050	第一关事件：降低 10 精神值		1002	[0, 0, 10]				
201070	第一关事件：降低 10 精神值		1002	[0, 0, 10]				
201090	第一关事件：获得 300 木材、300 钢材		1001				[1, 2]	[300, 300]
1103	晴天事件：获得 15 药物		1001				[3]	[15]
1105	晴天事件：获得 20 药物		1001				[3]	[20]
1107	晴天事件：获得 15 食物		1001				[4]	[15]
1109	晴天事件：获得 20 食物		1001				[4]	[20]
1111	晴天事件：恢复 5 精神值		1002	[0, 0, 5]				
1113	晴天事件：恢复 10 精神值		1002	[0, 0, 10]				
1203	雨天事件：失去 20 药物		1001		[3]	[20]		
1205	雨天事件：失去 30 药物		1001		[3]	[30]		
1207	雨天事件：失去 20 食物		1001		[4]	[20]		
1209	雨天事件：失去 30 食物		1001		[4]	[30]		
1211	雨天事件：降低 5 精神值		1002	[0, 0, -5]				
1213	雨天事件：降低 10 精神值		1002	[0, 0, -10]				
1215	雨天事件：失去 15 药物		1001		[3]	[15]		
1216	雨天事件：恢复 15 精神值		1002	[0, 0, 15]				
1218	雨天事件：失去 20 药物		1001		[3]	[20]		
1219	雨天事件：恢复 20 精神值		1002	[0, 0, 20]				
1303	雪天事件： 医疗站 暂停工作，持续 1 天		3003	[207, 2, 2]				
1305	雪天事件： 补给站暂停工作，持续 1 天		3003	[208, 2, 2]				
1307	雪天事件：失去 40 药物		1001		[3]	[40]		
1309	雪天事件：失去 50 药物		1001		[3]	[50]		
1311	雪天事件：失去 40 食物		1001		[4]	[40]		
1313	雪天事件：失去 50 食物		1001		[4]	[50]		
1315	雪天事件：降低 5 精神值		1002	[0, 0, -5]				
1317	雪天事件：降低 10 精神值		1002	[0, 0, -10]				
1319	雪天事件：降低 15 精神值		1002	[0, 0, -15]				
1321	雪天事件：失去 15 食物		1001		[4]	[15]		
1322	雪天事件：恢复 15 精神值		1002	[0, 0, 15]				
1324	雪天事件：失去 20 食物		1001		[4]	[20]		
1325	雪天事件：恢复 20 精神值		1002	[0, 0, 20]				
1403	红潮事件： 医疗站 暂停工作，持续 2 天		3003	[207, 2, 2]				
1405	红潮事件： 补给站暂停工作，持续 2 天		3003	[208, 2, 2]				
1407	红潮事件：失去 40 药物		1001		[3]	[40]		
1409	红潮事件：失去 50 药物		1001		[3]	[50]		
1411	红潮事件：失去 40 食物		1001		[4]	[40]		
1413	红潮事件：失去 50 食物		1001		[4]	[50]		
1415	红潮事件：降低 5 精神值		1002	[0, 0, -5]				
1417	红潮事件：降低 10 精神值		1002	[0, 0, -10]				
1419	红潮事件：降低 15 精神值		1002	[0, 0, -15]				
1421	红潮事件：失去 15 药物		1001		[3]	[15]		
1422	红潮事件：恢复 15 精神值		1002	[0, 0, 15]				
1424	红潮事件：失去 20 药物		1001		[3]	[20]		
1425	红潮事件：恢复 20 精神值		1002	[0, 0, 20]				
1427	红潮事件：失去 15 食物		1001		[4]	[15]		
1428	红潮事件：恢复 15 精神值		1002	[0, 0, 15]				
1430	红潮事件：失去 20 食物		1001		[4]	[20]		
1431	红潮事件：恢复 20 精神值		1002	[0, 0, 20]				
2010101	第一关地点 1 ： 200 木材、200 钢材		4001	[1, 200, 2, 200]				
2010201	第一关地点 2 主事件选项 1 ：触发后续事件		1009	[2010204]				
2010202	第一关地点 2 主事件选项 2 ：触发后续事件		1009	[2010208]				
2010203	第一关地点 2 主事件选项 3 ：触发后续事件		1009	[2010212]				
2010205	第一关地点 2 子事件-1 选项：触发后续事件		1009	[2010206]				
2010209	第一关地点 2 子事件-2 选项：触发后续事件		1009	[2010210]				
2010213	第一关地点 2 子事件-3 选项：触发后续事件		1009	[2010214]				
2010215	第一关地点 2 总效果：200 木材、200 钢材		4001	[1, 200, 2, 200]				
2010216	第一关地点 2 总效果：1 幸存者		4002	[1, 80, 80, 80]				
2010217	第一关地点 2 总效果：解锁地点 10		1008	[20109]				
2010301	获得 15 药物、10 食物		4001	[3, 15, 4, 10]				
2010401	第一关地点3：触发后续事件		1009	[2010403]				
2010402	获得 120 木材、100钢材		4001	[1, 120, 2, 100]				
2010405	4 幸存者		4002	[4, 80, 80, 80]				
2010501	获得 10 药物 10 食物		4001	[3, 10, 4, 10]				
2010502	6 幸存者		4002	[6, 80, 80, 80]				
2010601	获得 70 木材、 125 钢材		4001	[1, 70, 2, 125]				
2010701	获得 30 木材、 45 钢材、 20 药物、 20 食物		4001	[1, 30, 2, 45, 3, 20, 4, 20]				
2010801	获得 300 木材、300 钢材		4001	[1, 300, 2, 300]				
2010901	第一关地点 10 选项结果		1009	[2010903]				
2010902	第一关地点 10 选项结果		1009	[2010905]				
2010904	第一关地点 10 选项结果		1009	[2010905]				
2010906	20药物、20食物		4001	[3, 20, 4, 20]				
2010907	2 幸存者		4002	[2, 80, 80, 80]				
2011001	400 木材、 400 钢材		4001	[1, 400, 2, 400]				
2011002	2 幸存者		4002	[2, 80, 80, 80]				
2011101	获得幸存者 7 名		4002	[7, 80, 80, 80]				
20201	第二关初始化：200 木材	1	1001				[1]	[200]
20202	第二关初始化：200 钢材	1	1001				[2]	[200]
20203	第二关初始化：50 血清	1	1001				[3]	[50]
20204	第二关初始化：50 食物	1	1001				[4]	[50]
20205	第二关初始化：15 个人，50健康、50饱腹、100精神	1	1005	[15, 50, 50, 80]				
20206	第二关初始化：拥有 1 座小废墟	1	1007	[203, 1, 1]				
20207	第二关初始化：拥有 1 座中废墟	1	1007	[204, 1, 1]				
20208	第二关初始化：拥有 1 座【前哨站】	1	1007	[209, 1, 1]				
20209	第二关【通讯设备】特殊效果：触发【通讯设备】事件		1009	[202004]				
20210	第二关【通讯设备】特殊效果：触发【远方来信】事件		1009	[202100]				
202005	第二关【通讯设备】事件效果：解锁地点 4		1008	[20203]				
202006	第二关【通讯设备】事件效果：解锁地点 12		1008	[20212]				
202007	第二关【通讯设备】事件效果：触发事件【南方的海】		1009	[202016]				
202009	第二关【天气改变】事件效果：天气模式变更		5001	[203, 204]				
202013	第二关【天气改变】事件效果：天气模式变更		5001	[205, 206]				
202101	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202103]				
202102	第二关【远方来信-1】选项 2 效果：触发下一页		1009	[202116]				
202104	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202106]				
202105	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202108]				
202107	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202108]				
202109	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202110]				
202111	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202112]				
202113	第二关【远方来信-1】选项 1 效果：触发下一页		1009	[202114]				
202211	第二关【远方来信-2-A】选项效果：触发下一页		1009	[202213]				
202212	第二关【远方来信-2-A】选项效果：触发下一页		1009	[202215]				
202214	第二关【远方来信-2-A】选项效果：触发下一页		1009	[202215]				
202216	第二关【远方来信-2-A】选项效果：触发下一页		1009	[202217]				
202221	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202223]				
202222	第二关【远方来信-2-B】选项 2 效果：触发下一页		1009	[202234]				
202224	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202226]				
202225	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202228]				
202227	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202228]				
202229	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202230]				
202231	第二关【远方来信-2-B】选项 1 效果：触发下一页		1009	[202232]				
202311	第二关【远方来信-3-A】选项 1 效果：触发下一页		1009	[202313]				
202312	第二关【远方来信-3-A】选项 2 效果：触发下一页		1009	[202315]				
202321	第二关【远方来信-3-B】选项 1 效果：触发下一页		1009	[202323]				
202322	第二关【远方来信-3-B】选项 2 效果：触发下一页		1009	[202331]				
202324	第二关【远方来信-3-B】选项 1 效果：触发下一页		1009	[202325]				
202326	第二关【远方来信-3-B】选项 1 效果：触发下一页		1009	[202327]				
202328	第二关【远方来信-3-B】选项 1 效果：触发下一页		1009	[202329]				
2020101	第二关地点 1 【废弃驿站】事件结果：100 木材、100钢材		4001	[1, 150, 2, 150]				
2020201	第二关地点 2 【山脚村落】事件结果：100 木材、 100 钢材		4001	[1, 120, 2, 120]				
2020202	第二关地点 2 【山脚村落】事件结果：触发【白桦小院】		1009	[202014]				
2020301	第二关地点 3 【登山索道】事件结果：150 木材、 150 钢材		4001	[1, 150, 2, 150]				
2020302	第二关地点 3 【登山索道】事件结果： 1 幸存者		4002	[1, 80, 80, 80]				
2020401	第二关地点 4 【较为平坦的山路】事件结果：150 木材、150 钢材、 60 药物、 60 食物		4001	[1, 150, 2, 150, 3, 60, 4, 60]				
2020501	第二关地点 5 【山顶鸟瞰点】事件结果：100 木材、 100 钢材、 70 药物、 70 食物		4001	[1, 100, 2, 100, 3, 70, 4, 70]				
2020502	第二关地点 5 【山顶鸟瞰点】事件结果： 2 幸存者		4002	[2, 80, 80, 80]				
2020901	第二关地点 9 【资源转运点】事件结果：30 药物、30 食物		4001	[3, 30, 4, 30]				
2021001	第二关地点 10 【东部资源站】事件结果：60 药物、60 食物		4001	[1, 300, 2, 300, 3, 60, 4, 60]				
2021002	第二关地点 10 【东部资源站】事件结果： 3 幸存者		4002	[3, 80, 80, 80]				
2021101	第二关地点 11 【落叶小径】事件结果：10 木材、10钢材		4001	[1, 10, 2, 10]				
2021102	第二关地点 11 【落叶小径】事件结果：触发事件【乔伊】		1009	[202010]				
2021211	第二关地点 12 【森林边缘-A】事件结果：150 木材、 150 钢材、 15 药物、 15 食物		4001	[1, 150, 2, 150, 3, 15, 4, 15]				
2021212	第二关地点 12 【森林边缘-A】事件结果：触发【远方来信-2-A】		1009	[202210]				
2021221	第二关地点 12 【森林边缘-B】事件结果：150 木材、 150 钢材、 15 药物、 15 食物		4001	[1, 150, 2, 150, 3, 15, 4, 15]				
2021222	第二关地点 12 【森林边缘-B】事件结果：触发【远方来信-2-B】		1009	[202220]				
2021311	第二关地点 13 【烧焦森林-A】事件结果：300 木材、 300 钢材、 30 药物、 30 食物		4001	[1, 300, 2, 300, 3, 30, 4, 30]				
2021312	第二关地点 13 【烧焦森林-A】事件结果：触发【远方来信-3-A】		1009	[202310]				
2021321	第二关地点 13 【烧焦森林-B】事件结果：300 木材、 300 钢材、 30 药物、 30 食物		4001	[1, 300, 2, 300, 3, 30, 4, 30]				
2021322	第二关地点 13 【烧焦森林-B】事件结果：触发【远方来信-3-B】		1009	[202320]				
2021411	第二关地点 14 【漆黑小路-A】事件结果：触发【远方来信-4-A】		1009	[202410]				
2021421	第二关地点 14 【漆黑小路-B】事件结果：触发【远方来信-4-B】		1009	[202420]				
2021431	第二关地点 14 【漆黑小路-C】事件结果：触发【远方来信-4-C】		1009	[202430]				
2021511	第二关地点 15【捕猎陷阱-A】事件结果：获得 50 药物、40 食物		4001	[3, 50, 4, 50]				
2021512	第二关地点 15【捕猎陷阱-A】事件结果：5 幸存者		4002	[2, 80, 80, 80]				
2021513	第二关地点 15【捕猎陷阱-A】事件效果：子事件		1009	[2021512]				
2021521	第二关地点 15【捕猎陷阱-B】事件结果：获得 20 药物、20 食物		4001	[3, 20, 4, 20]				
2021522	第二关地点 15【捕猎陷阱-B】事件结果：2 幸存者		4002	[2, 50, 50, 50]				
2021523	第二关地点 15【捕猎陷阱-B】事件效果：子事件		1009	[2021522]				
2021531	第二关地点 15【捕猎陷阱-C】事件结果：获得 20 药物、20 食物		4001	[3, 20, 4, 20]				
2021601	第二关地点 16 【猎人小屋】事件结果：300 木材、 300 钢材、 20 药物、 20 食物		4001	[1, 300, 2, 300, 3, 20, 4, 20]				
2021602	第二关地点 16 【猎人小屋】事件结果： 2 幸存者		4002	[2, 80, 80, 80]				
2021701	第二关地点 17 【乱石河滩】事件结果：240 木材、 240 钢材		4001	[1, 240, 2, 240]				
2021702	第二关地点 17 【乱石河滩】事件结果： 2 幸存者		4002	[2, 80, 80, 80]				
2021801	第二关地点 18 【伐木小屋】事件结果：350 木材、 350 钢材		4001	[1, 350, 2, 350]				
2021802	第二关地点 18 【伐木小屋】事件结果： 3 幸存者		4002	[3, 80, 80, 80]				
2021901	第二关地点 19 【老伐木场】事件结果：480 木材、 480 钢材		4001	[1, 480, 2, 480]				
2021902	第二关地点 19 【老伐木场】事件结果：2 幸存者		4002	[2, 80, 80, 80]				
20301	第三关初始化：40血清	1	1001				[3]	[40]
20302	第三关初始化：40食物	1	1001				[4]	[40]
20303	第三关初始化：20个人，80属性值	1	1005	[20, 80, 80, 30]				
20304	第三关初始化：拥有 2 座住宅	1	1007	[206, 2, 1]				
20305	第三关初始化：拥有 2 座大型医疗站	1	1007	[201, 2, 1]				
20306	第三关初始化：拥有 2 座大型补给站	1	1007	[202, 2, 1]				
20307	第三关：解锁破旧农场		1008	[20307]				
203011	80 药物、 80 食物		4001	[3, 80, 4, 80]				
203012	3 幸存者		4002	[3, 60, 60, 60]				
203031	100 药物、 100 食物		4001	[3, 100, 4, 100]				
203041	50 药物、 50 食物、300木材、300钢材		4001	[1, 300, 2, 300, 3, 50, 4, 50]				
203051	50食物、50药物、200钢材、200木板		4001	[1, 200, 2, 200, 3, 50, 4, 50]				
203080	天气结局阶段更改		5001	[30002]				
203081	180钢材、180木板		4001	[1, 180, 2, 180]				
203082	增加20精神值		1002	[0, 0, 20]				
203085	5 幸存者		4002	[5, 60, 60, 60]				
203091	天气二阶段更改		5001	[30003]				
203092	5 幸存者		4002	[5, 60, 60, 90]				
203093	第四关废弃学校选项 1 ：触发后续事件		1012	[20350, 1, 1]				
20310	前哨站：解锁后续事件		1009	[20313]				
20311	药品店停止工作1天		3003	[201, 2, 1]				
20312	补给站停止工作1天		3003	[202, 2, 1]				
20313	随机一个药品店停止工作1天		3003	[201, 1, 1]				
20314	随机一个补给站停止工作1天		3003	[202, 1, 1]				
20315	前哨站事件：5 药物、 5 食物		1001				[3, 4]	[5, 5]
20322	药品店停止工作1天		3003	[201, 2, 1]				
20324	补给站停止工作1天		3003	[202, 2, 1]				
20326	药品店停止工作2天		3003	[201, 2, 2]				
20328	补给站停止工作2天		3003	[202, 2, 2]				
20330	降低10精神值		1002	[0, 0, -10]				
20332	降低15精神值		1002	[0, 0, -15]				
20334	随机一个药品店停止工作1天		3003	[201, 1, 1]				
20336	随机一个补给站停止工作1天		3003	[202, 1, 1]				
20338	获得10 幸存者		1005	[10, 80, 80, 80]				
20351	7 幸存者		1005	[7, 50, 50, 40]				
20401	第四关初始化：35 血清	1	1001				[3]	[25]
20402	第四关初始化：35 食物	1	1001				[4]	[25]
20403	第四关初始化：2个人，100属性值	1	1005	[2, 90, 90, 40]				
20404	第四关初始化：拥有 1 座避难所	1	1007	[20405, 1, 1]				
20405	第四关初始化：拥有 1 座不太小废墟	1	1007	[20403, 1, 1]				
20406	第四关初始化：80木材	1	1001				[1]	[80]
20407	第四关初始化：80钢材	1	1001				[2]	[80]
20408	第四关初始化：拥有 1 座不算大废墟	1	1007	[20404, 1, 1]				
20410	不太小废墟：正常工作时，每个回合获得200木材200钢材	2	2001				[1, 2]	[200, 200]
20411	不太小废墟：正常工作时，1回合后，建筑转变为空地	2	2004	[1]				
20412	不算大废墟：正常工作时，每个回合获得350木材350钢材	2	2001				[1, 2]	[350, 350]
20413	不算大废墟：正常工作时，1回合后，建筑转变为空地	2	2004	[1]				
20414	3 幸存者		1005	[3, 60, 60, 60]				
20415	10 药物、 10 食物		1001				[3, 4]	[10, 10]
20416	5 幸存者		1005	[5, 60, 60, 60]				
20417	天气二阶段更改		5001	[40002]				
20418	天气结局阶段更改		5001	[40003]				
20419	前哨站：解锁后续事件		1009	[20419]				
20420	通讯设备：解锁后续事件		1009	[20421]				
20432	晴天事件：10 药物、 10 食物		1001				[3, 4]	[10, 10]
20434	雾霾事件：扣减8健康、8饱腹		1002	[-8, -8, 0]				
