Id	Desc	Type	Args
2021310	第二关地点 13 【烧焦森林-A】事件触发条件：完成事件【远方来信-2-A】，或完成事件【远方来信-2-B】选项 1	701	[2021311, 2021312, 2021313]
2021311	第二关地点 13 【烧焦森林-A】事件触发条件：完成事件【远方来信-2-A】	601	[202210, 1]
2021312	第二关地点 13 【烧焦森林-A】事件触发条件：完成事件【远方来信-2-A】	601	[202210, 2]
2021313	第二关地点 13 【烧焦森林-A】事件触发条件：完成事件【远方来信-2-B】选项 1	601	[202220, 1]
2021320	第二关地点 13 【烧焦森林-B】事件触发条件：完成事件【远方来信-2-B】选项 2	601	[202220, 2]
2021410	第二关地点 14 【漆黑小路-A】事件触发条件：完成事件【远方来信-3-A】选项 1	601	[202310, 1]
2021420	第二关地点 14 【漆黑小路-B】事件触发条件：完成事件【远方来信-3-A】选项 2，或完成【远方来信-3-B】选项 1	701	[2021421, 2021422]
2021421	第二关地点 14 【漆黑小路-B】事件触发条件：完成事件【远方来信-3-A】选项 2	601	[202310, 2]
2021422	第二关地点 14 【漆黑小路-B】事件触发条件：完成【远方来信-3-B】选项 1	601	[202320, 1]
2021430	第二关地点 14 【漆黑小路-C】事件触发条件：完成【远方来信-3-B】选项 1	601	[202320, 2]
2021510	第二关地点 15 【捕猎陷阱-A】事件触发条件：完成事件【远方来信-4-A】选项 1	601	[202410, 1]
2021520	第二关地点 15 【捕猎陷阱-B】事件触发条件：完成事件【远方来信-4-B】选项 1	601	[202420, 1]
2021530	第二关地点 15 【捕猎陷阱-C】事件触发条件：完成事件【远方来信-4-C】选项 1	601	[202430, 1]
20301	事件解锁条件：达到30人；精神值大于等于60	702	[20306, 20308]
20302	事件解锁条件：达到30人；精神值小于60	702	[20306, 20309]
20303	事件解锁条件：达到35人；精神值大于等于60	702	[20307, 20308]
20304	事件解锁条件：达到35人；精神值小于60	702	[20307, 20309]
20305	事件解锁条件：完成选项【选项1】	601	[203090, 1]
20306	事件解锁条件：达到30人	801	[30]
20307	事件解锁条件：达到35人	801	[35]
20308	事件解锁条件：精神值大于等于60	202	[3, 60]
20309	事件解锁条件：精神值小于60	201	[3, 60]
20310	完成森林边缘事件	601	[203040, 1]
20311	完成废弃学校事件【选项1】	601	[203090]
20312	解锁破旧农场条件	702	[20310, 20311]
20313	事件解锁条件：至少有1个大型补给站	301	[202, 1]
20314	事件解锁条件：至少有1个大型医疗站	301	[201, 1]
20401	事件解锁条件：完成地点探索【城市中心】	401	[20405]
20402	事件解锁条件：完成选项【暗度陈仓】	601	[204040, 1]
20403	事件解锁条件：完成选项【正面迎敌】	601	[204040, 2]
20404	事件解锁条件：未拥有通讯设备	302	[20402, 1]
20405	事件解锁条件：拥有通讯设备	301	[20402, 1]
20406	事件解锁条件：完成地点探索【城市中心】；完成【暗度陈仓】；拥有通讯设备	702	[20401, 20405, 20402]
20407	事件解锁条件：完成地点探索【城市中心】；完成【暗度陈仓】；未拥有通讯设备	702	[20401, 20404, 20402]
20408	事件解锁条件：完成地点探索【城市中心】；完成【正面迎敌】；拥有通讯设备	702	[20401, 20405, 20403]
20409	事件解锁条件：完成地点探索【城市中心】；完成【正面迎敌】；未拥有通讯设备	702	[20401, 20404, 20403]
20501	结局A条件：完成事件结局A	601	[2051901, 1]
20502	结局B条件：完成事件结局B	601	[2051905, 1]
20503	结局C条件：完成事件结局C	601	[2051911, 1]
20504	地点 4 解锁：完成地点 6 探索事件	601	[2050600, 1]
20507	地点 7 解锁：完成地点 10 探索事件	601	[2051000, 1]
20511	地点 11 解锁：完成地点 15 探索事件，以下选项满足其一解锁	701	[20512, 20513]
20512	完成事件15选项A	601	[2051500, 1]
20513	完成事件15选项B	601	[2051500, 2]
20516	地点 16 解锁：完成地点 17 探索事件，以下选项满足其一解锁	701	[20517, 20518]
20517	完成事件17选项A	601	[2051700, 1]
20518	完成事件17选项B	601	[2051700, 2]
2050202	A-1事件	601	[2050200, 1]
2050206	B-1事件	601	[2050200, 2]
2050304	A-1事件	601	[2050300, 1]
2050306	B-1事件	601	[2050300, 2]
2050308	C-1事件	601	[2050300, 3]
2050404	A-1事件	601	[2050400, 1]
2050406	B-1事件	601	[2050400, 2]
2050408	C-1事件	601	[2050400, 3]
2050704	A-1事件	601	[2050700, 1]
2050706	B-1事件	601	[2050700, 2]
2050708	C-1事件	601	[2050700, 3]
2050803	A-1事件	601	[2050800, 1]
2050805	B-1事件	601	[2050800, 2]
2050902	A-1事件	601	[2050900, 1]
2051002	A-1事件	601	[2051000, 1]
2051004	A-A-1事件	601	[2051002, 1]
2051104	A-1事件	601	[2051100, 1]
2051106	B-1事件	601	[2051100, 2]
2051108	C-1事件	601	[2051100, 3]
2051203	A-1事件	601	[2051200, 1]
2051205	B-1事件	601	[2051200, 2]
2051302	A-1事件	601	[2051300, 1]
2051305	B-1事件	601	[2051300, 2]
2051403	A-1事件	601	[2051400, 1]
2051503	A-1事件	601	[2051500, 1]
2051604	A-1事件	601	[2051600, 1]
2051608	C-1事件	601	[2051600, 3]
2051803	A-1事件	601	[2051800, 1]
2051805	B-1事件	601	[2051800, 2]
2060	完成地点 信号塔 和 邙山-A	702	[2065, 2066]
2062	完成地点 信号塔 和 邙山-B	702	[2065, 2067]
2064	完成地点 信号塔 和 邙山-C	702	[2065, 2068]
2065	信号站	601	[2060910, 1]
2066	邙山-A	601	[2060810, 1]
2067	邙山-B	601	[2060820, 1]
2068	邙山-C	601	[2060830, 1]
20608	事件【地图更新】解锁条件：建造2个前哨站	301	[209, 2]
206030	地点 3 解锁条件：完成地点 16 探索事件	601	[2061600, 1]
206050	地点 5 解锁条件：完成地点 13 探索事件	701	[206051, 206052, 206053, 206054, 206055, 206056]
206051	完成军事设施	601	[2061314, 1]
206052	完成军事设施	601	[2061316, 1]
206053	完成军事设施	601	[2061318, 1]
206054	完成军事设施	601	[2061324, 1]
206055	完成军事设施	601	[2061326, 1]
206056	完成军事设施	601	[2061328, 1]
206090	【信号站】解锁条件：完成【邙山小镇】	701	[206091, 206092, 206093]
206091	邙山-A	601	[2060812, 1]
206092	邙山-B	601	[2060822, 1]
206093	邙山-C	601	[2060832, 1]
206110	地点 11 解锁条件：完成地点 4 探索事件	601	[2060400, 1]
206170	地点 17 解锁条件：完成地点 30 探索事件	701	[206171, 206172]
206180	地点 18 解锁条件：完成地点 30 探索事件	701	[206171, 206172]
206210	地点 21 解锁条件：完成地点 30 探索事件	701	[206171, 206172]
206171	完成调度中心	601	[2063010, 1]
206172	完成调度中心	601	[2063020, 1]
206190	地点 19 解锁条件：完成地点 22 探索事件	601	[2062200, 1]
206270	地点 27 解锁条件	601	[20608, 1]
206290	地点 29 解锁条件：完成地点 28 探索事件	601	[2062800, 1]
2060402	地点4 额外选项条件：完成过【信使】	601	[206000, 1]
2061311	在【废弃旅店】相信过泽西一次	601	[2061500, 1]
2061310	地点事件触发条件：完成卫生中心-A	601	[2061100, 1]
2061320	地点事件触发条件：完成卫生中心-B	601	[2061100, 2]
2060610	帮助了医疗站，军事中心接触警报	701	[2060611, 2060612]
2060611	帮助了医疗站，军事中心接触警报	601	[2061310, 1]
2060612	帮助了医疗站，军事中心接触警报	601	[2061310, 2]
2060620	帮助医疗站，在军事设施袖手旁观；或者没有帮助医疗站，但是在军事设施出手了	701	[2060621, 2060622, 2060623]
2060621	帮助医疗站，在军事设施袖手旁观	601	[2061310, 3]
2060622	没有帮助医疗站，但是在军事设施出手了	601	[2061320, 1]
2060623	没有帮助医疗站，但是在军事设施出手了	601	[2061320, 2]
2060630	没有帮助医疗站，且选择了什么都不做	601	[2061320, 3]
2060810	完成医疗站-A	601	[20606191, 1]
2060820	完成医疗站-B	601	[20606291, 1]
2060830	完成医疗站-C	601	[20606391, 1]
2063010	完成废弃站台-A	601	[2062900, 1]
2063020	完成废弃站台-B	601	[2062900, 2]
