Id	Type	Name	Desc	Icon	MaxNum	FinishDayCount	WorkDayCount	SpendResourceType	SpendResourceCount	WorkingDailyConsumeResourceId	WorkingDailyConsumeResourceCount	WorkingDailyGainResourceId	WorkingDailyGainResourceCount	LockPeopleOnBuilding	LockPeopleOnWorking	ExtendPeopleNumber	WorkingEffectId	CanManualRemove	UnlockCondition
205	1	大型废墟	一座很大的废墟，全部清理完成后，你将获得 <color=#0F70BC>500 木材</color> 、 <color=#0F70BC>500 钢材</color>  。而后区域将 <color=#0F70BC>恢复为空地</color>  。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	3					[1, 2]	[170, 170]		5		[207, 208]		
206	2	住宅	为一部分人<color=#0F70BC>（10人）</color>提供住所。至少比直接睡地板舒服一些。有住所的人们，将不容易感到疲惫<color=#0F70BC>（精神值下降减少）</color>。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild05.png		1		[1, 2]	[500, 500]					5		10		True	
207		医疗站	当数量足够的居民在医疗站中工作时，医疗站每天产出固定数量的药物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild03.png		1		[1, 2]	[120, 160]			[3]	[15]	2	2		[209]	True	
208		补给站	当数量足够的居民在补给站中工作时，补给站每天产出固定数量的食物。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild07.png		1		[1, 2]	[160, 120]			[4]	[15]	2	2		[210]	True	
209	2	前哨站	建立前哨站后，<color=#0F70BC>探索</color>功能将会开启。营地外还有更多物资和幸存者。组建小队，探索这个世界。<color=#FF0033>（建筑无法拆除）</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	2	1		[1, 2]	[300, 300]					3			[211, 212]		
20201	2	通讯设备	带有雷达功能的通讯装置，可以侦测附近的地形，并与外界取得联系。<color=#FF0033>（建筑不能拆除）</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild04.png	1	2		[1, 2]	[1000, 1000]					6			[20209, 20210, 20211]		
20202	2	前哨站	建立前哨站后，可以额外组建探索小队，探索这个世界。<color=#FF0033>（建筑不能拆除）</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	1	1		[1, 2]	[300, 300]					3			[211]		20202
20301	2	前哨站	建立前哨站后，<color=#0F70BC>探索</color>功能将会开启。营地外还有更多物资和幸存者。组建小队，探索这个世界。<color=#FF0033>（建筑无法拆除）</color>	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	2	1		[1, 2]	[300, 300]					3			[211, 212, 20310]		
20401	2	前哨站	建立前哨站后，【探索】功能将会开启。营地外还有更多物资和幸存者。组建小队，探索这个世界。（无法拆除）	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild06.png	1	1		[1, 2]	[350, 350]					3			[211, 212, 20419]		
20402	2	通讯设备	这座带有记录功能的通讯设备，用于记录及与远方取得联系。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild04.png	1	2		[1, 2]	[900, 900]					4			[20420]	True	
20403	1	不太小废墟	一座小小的废墟，全部清理完成后，你将获得 <color=#0F70BC>200 木材</color> 、 <color=#0F70BC>200 钢材</color>  。而后区域将 <color=#0F70BC>恢复为空地</color>  。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1					[1, 2]	[200, 200]		4		[20410, 20411]		
20404	1	不算大废墟	一座大大的废墟，全部清理完成后，你将获得 <color=#0F70BC>350 木材</color> 、 <color=#0F70BC>350 钢材</color>  。而后区域将 <color=#0F70BC>恢复为空地</color>  。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild02.png		1	1					[1, 2]	[350, 350]		6		[20412, 20413]		
20405	2	避难所	为一部分人<color=#0F70BC>（5人）</color>提供住所。至少比直接睡地板舒服一些。有住所的人们，将不容易感到疲惫<color=#0F70BC>（精神值下降减少）</color>。	Assets/Product/Texture/Image/UiDoomsday/UiDoomsdayMainBuild05.png		1		[1, 2]	[100, 100]					2		5		True	
