Id	Pos	PrePlaceId	Name	Desc	CanGetPeople	ResourceId	UnlockCondition	EventId	StageId
10310	16	10306	武装的民居	据说一群物资丰富的武装拾荒者盘踞在这里……希望我能通过交涉换取一部分物资吧，如果不能交涉的话……果然还是带上武器比较保险……	True	[3, 4]		[103100]	
10311	11	10307	无人的战壕	尸体的焦臭味充斥鼻腔，值得庆幸的是我们没在周围看到感染体活动的痕迹。本以为我已经习惯了死亡的气息，但站在这还是让我控制不住地想吐……		[1, 2]		[103110]	
10312	18	10307	峡谷林地	积水的车辙一路伸进峡谷。简单观察后，我们发现林地里有，或至少有过扎营的痕迹。或许我们可以在这里找到拾荒者也说不定。		[1, 2]		[103120]	
10313	19	10308	矿区废墟	复杂的矿道结构为拾荒者提供了良好的掩护，可再致密的石墙也掩盖不住血肉的焦臭味道，里面的情形大概不会太好，我们真的要进去吗？		[1, 2]		[103130]	
10314	8		河边营地	河流看起来干涸许久了，周围被大火烧过的森林用自身焦黑的“尸体”围成了一座天然的屏障。从外部难以直接观察到营地里的情况，或许我们应该接近看看。	True	[3, 4]	[103140]	[103140]	
10315	15		“果林”	这里曾是富饶的果林，流经的河水中有鱼栖止，如今只剩下折断的、光秃秃的、烧焦的枝干……这里真的还有任何物资或拾荒者吗？		[3, 4]	[103150]	[103150]	
10316	15		“果林”	这里曾是富饶的果林，流经的河水中有鱼栖止，如今只剩下折断的、光秃秃的、烧焦的枝干……这里真的还有任何物资或拾荒者吗？		[3, 4]	[103160]	[103160]	
10401	1		城区D						
10402	5		无人的战壕	尸体的焦臭味充斥鼻腔，值得庆幸的是我们没在周围看到感染体活动的痕迹。本以为我已经习惯了死亡的气息，但站在这还是让我控制不住地想吐……		[1, 2]		[104020]	
10403	4		拥挤的街道	火焰灼烧过的痕迹遍布在每一台挤在这条街道的车辆上，显然它们的主人已经再也无法驾驶它们逃出这片城市了。		[1, 2]		[104030]	
10404	3	10402	林中营地	从外部看，这个营地的仓储十分丰富，或许真的仍有幸存者在营地中也说不定。就算他们不愿意加入我们，至少我们也可以尝试进行交涉，换取食物或其他资源。		[1, 2]		[104040]	
10405	6	10402	超市	多数窗户都只剩下光秃秃的窗框，像是受过感染体的炮轰，或者其他拾荒者的洗劫，更可能是二者都有。只留下断裂的招牌在艰难地标示此地原本的面貌。		[3, 4]		[104050]	
10406	8	10402	染血的教堂	这里到处都是血和不知道原型的残骸，等等，你有没有听到从上面传来的……钟声……？		[1, 2]		[104060]	
10407	7	10404	林中木屋	破损大门吱呀摇动的哭嚎即使放在白天，也给人一种危楼勿近的压抑气息。		[3, 4]		[104070]	
10408	21	10404	安静的防空洞	很难想象这防空洞是怎么撑到现在的。但这里可能会有我们所需要的物品也说不定。	True	[3, 4]		[104080]	
10409	20	10404	小型渔场	说是渔场，也只是沿着河流搭建的简单棚屋，配备有破烂不堪的渔网罢了。运气好的话，也许仍有一些我们能用的东西。		[3, 4]		[104090]	
10410	12	10405	脆弱的危楼	这建筑甚至在风中微微颤抖，我们真的要进去找物资吗？	True	[3, 4]		[104100]	
10411	10	10403	破败的贫民窟	就算不进去我也能听到从中传来的哀嚎，恐怕他们的情况比我们更糟……我们应该接收他们吗？还是帮他们解脱……	True	[3, 4]		[104110]	
10412	17	10403	空旷的图书馆	比起在这搜索吃的东西，也许寄希望于找点书烧掉取暖更为现实。		[3, 4]		[104120]	
10501	1		城区E						
10502	5		俯瞰点	那里很高，我想去到那里，就能俯瞰到整座城市了。				[105020]	
10503	6	10502	实验大楼	大楼仿佛这座城市的第二个地标，哪怕不是站在俯瞰点也能一眼看到。奇怪的是楼前似乎有军队拉起的防线，但如今已无人驻守了。				[105030]	
10504	4	10502	武装的民居	同伴说一群物资丰富的武装拾荒者盘踞在这里……希望我能通过交涉换取一部分物资吧，如果不能交涉的话……果然还是带上武器比较保险……				[105040]	
10505	3	10502	广播站	广播站同样杂乱不堪，这里应该有什么有用的信息。				[105050]	
10506	12	10503	奇怪的破口	地面有一个巨大破口，站在入口边缘还能嗅到一股汽油味与腥味。往里望去，这入口好似一个深渊巨口，吞噬着整座保育区覆灭的秘密。				[105060]	
10507	20	10503	隔离区域	生化危险的标志印在隔离区的入口处，从外部可以看到内部只剩一片废墟。这里还会有能用的东西吗？				[105070]	
10508	14	10506	地下实验室	出现在我们面前的是一座巨大的实验室，能做这件事情的人，背后的势力可想而知。				[105080]	
10509	11	10508	隐藏房间	实验室的这座墙壁布满了金属划痕，敲击墙壁听到的声响也都在表明，墙后还有一片空间。				[105090]	
10510	13	10509	外城区	实验室后面是一条直通城外的隧道，尽头的微光告诉我们，笼罩在这座城市上空的黑夜也许就快过去了。				[105100]	
10511	7	10505	住宅区	林立的住宅描绘曾经的热闹，如今转身回眸，已是死寂一片。				[105110]	
10512	8	10511	浓雾笼罩的超市	是因为地势原因吗，这里到处都是雾，希望在物资耗尽前能找到地图上标记的那座超市吧。				[105120]	
20100	1		演习营地	为求生演习制作的小型营地，最大程度上还原了地面拾荒者的生活环境。	True				
20101	2	20100	安静的公寓	即便墙漆都剥落得厉害，露出内里裸露的血肉一般的红色砖块，这座建筑仍艰难地维持着为数不多的体面。但愿房子里也还有我们能用得上的东西。		[1, 2]		[2010100]	
20102	3	20101	林中营地	如果不是看到在入夜时分短暂点亮的灯火，我们根本无法发现这个营地——它太隐蔽了。换言之，这里也是绝佳的庇护所。	True	[1, 2]		[2010200]	
20103	4	20102	公路加油站	从外面看，这个设立在公路边的加油站仍然保持着被废弃时的模样。甚至连深处的便利店都大门紧闭，一副岁月静好的样子。	True	[4]		[2010300]	
20104	5	20103	废水处理厂	这片歪七扭八的建筑，确实是地图上标示的，黄金时代的废水处理厂。即便如此，在附近的建筑里，也只有它还勉强保持着“建筑物”的外形。	True	[1, 2]		[2010400]	
20105	6	20104	郊区检疫站	大概是远离城市中心的缘故，这座检疫站还算保存良好，门外还有幸存者的车辙。运气好的话，我们应该可以找到不少能用的东西。	True	[3, 4]		[2010500]	
20106	7	20102	资源填埋地	……和红潮诡异的腐血味道比起来，这片填埋场的气味甚至可以算得上是“令人愉悦”的。里面兴许还有可用的资源，值得一去。	True	[2]		[2010600]	
20107	8	20101	无人的战壕	光是站在远处，都能闻到硝烟味道，值得庆幸的是我们没在周围看到感染体活动的痕迹。要过去看看吗？	True	[1, 2, 3, 4]		[2010700]	
20108	9	20107	交火点废墟	哪怕站在再远的地方，也能看到战场中心山一般的感染体残骸——换言之，如果那里足够安全，一定有非常多可用的物资。		[1, 2]		[2010800]	
20109	10	20100	社区医院	透过窗缝，可以隐约看到里面还有灯光。逃离了林中营地的拾荒者，会是在这里落脚吗？	True	[1, 2, 3, 4]	[20109]	[2010900]	
20110	11	20109	郊外信号站	巨大的信号塔如今只剩下残缺的底部，看上去就像一个被削去上半身的巨人的尸体，摇摇欲坠又坚定地站在旷野之中。	True	[1, 2]		[2011000]	
20111	12	20110	南方林地	从外面可以看到积水的车辙一路延伸到了森林深处。或许我们该沿着车辙接着搜寻幸存者的痕迹。	True	[1, 2]		[2011100]	
20200	1		营地	暂时的驻扎地，探索小队需要回到这里才能回收背包里的资源。					
20201	2	20200	废弃驿站		True	[1, 2, 3, 4]		[2020100]	
20202	3	20200	山脚村落		True	[1, 2, 3, 4]		[2020200]	
20203	4	20202	登山索道			[1, 2]	[20203]	[2020300]	
20204	5	20203	较为平坦的山路			[1, 2, 4]		[2020400]	
20205	6	20204	山顶鸟瞰点		True	[1, 2, 3, 4]		[2020500]	
20206	7	20205	悬崖湖泊		True			[2020600]	
20207	8	20206	山间沟谷		True			[2020700, 2020710, 2020720]	
20208	9	20207	南山撤离点		True			[2020800]	
20209	10	20201	资源转运点		True	[3, 4]		[2020900]	
20210	11	20209	东部资源站		True	[3, 4]		[2021000]	
20211	12	20200	落叶小径			[1]		[2021100]	
20212	13	20211	森林边缘			[1, 2]	[20212]	[2021210, 2021220]	
20213	14	20212	烧焦森林			[1, 2, 4]		[2021310, 2021320]	
20214	15	20213	漆黑小路	森林看上去毫无尽头，像某种……无声的邀请。	True			[2021410, 2021420, 2021430]	
20215	16	20214	捕猎陷阱		True	[1, 2, 4]		[2021510, 2021520, 2021530]	
20216	17	20213	猎人小屋		True	[1, 2, 3, 4]		[2021600]	
20217	18	20211	乱石河滩		True	[1, 2]		[2021700]	
20218	19	20217	伐木小屋		True	[1, 2]		[2021800]	
20219	20	20218	老伐木场		True	[1, 2]		[2021900]	
20300	7		营地						
20301	8	20300	留守所	一座留守所，实际上是一个超大的帐篷，帐篷破破烂烂的，里面挤着好多瘦弱的难民。	True	[3, 4]		[203010]	
20302	1	20300	平地	这是一块荒芜的平地，地面上分布着零星的水泥碎块。				[203020]	
20303	13	20300	废弃医院	一家停电的废弃医院，在外面看去，很像恐怖片里的闹鬼医院一样，阴森森的。		[3, 4]		[203030]	
20304	9	20301	森林边缘	这是一座冒不透风的森林，一眼望去，森林深处黑压压的，仿佛听到了里面野兽的嚎叫声。		[1, 2, 3, 4]		[203040]	
20305	2	20302	荒废加油站	一座废弃加油站，虽然很破旧，但是员工室勉强能用来遮风避雨。		[1, 2, 3, 4]		[203050]	
20306	3	20305	废旧马路	因为常年没人维修保养，马路表面坑坑洼洼的，路上有很多鸟类的粪便				[203060]	
20307	4	20306	破旧农场	被人遗弃的农场，从农场主的房屋内部看，这里曾经住着一家七口。			[20312]	[203070]	
20308	5	20307	巨大圆盘	巨大的机械装置，幽幽散发着银色的金属光芒，它的核心在急速地转动着，发出呜呜的轰鸣声。	True	[1, 2]		[203080]	
20309	14	20303	废弃学校	一座废弃学校，看起来不错，是个遮风避雨的好地方。	True			[203090]	
20400	3		营地						
20401	18	20400	废墟	这里曾经是一个大型游乐场，充满着孩子们的欢声笑语，战争爆发后，这个带来快乐的地方在一瞬间被夷为平地。				[204010]	
20402	1	20401	68号公路	战争炸毁了一座化工厂，道路附近的空气水源被严重污染，这里弥漫着有毒的雾气，我们需要带好防毒面罩前进。				[204020]	
20403	23	20406	城市周边	城市周边散落着许多物资，想必是人们逃避战乱时来不及带走的物资，现在那些人们又逃到什么地方去了呢？		[3, 4]		[204030]	
20404	20	20403	市镇入口	尽管城市经历了战争的洗礼，四周破败不堪，这座虚伪的大楼仍然光鲜亮丽地矗立在城市中心，真是令人反感的大楼。				[204040]	
20405	21	20404	城市中心	所有阴谋的发酵点，用双手撕开罪恶的表面，了结这一场荒诞的闹剧吧。				[204050, 204052]	
20406	19	20402	教堂	一座被炸毁的教堂，曾经是人类进行祈祷的地方。神啊，你能拯救现在的人类吗？				[204060]	
20407	2	20400	危楼	一座经历战争洗礼的危楼，可能是以前的哨塔，它已经变得面目全非了，墙壁上布满弹孔，有些地方的钢筋甚至露出来了，仿佛下一秒就要倒塌。				[204070]	
20408	9	20407	山坡别墅	一座小山坡，山坡上有一栋勉强算完整的大房子，可能是战前某个富贵人家的私人别墅，嘘，别墅里好像有动静，我们悄悄靠近吧。		[1, 2]		[204080]	
20500	1		营地	离六边形岛屿较远的附属岛屿。					
20502	2	20500	壹号智门	六边形岛屿第一个城门，小岛封闭前作为考验拾荒者智力的活动点。	True	[1, 2, 3, 4]		[2050200, 2050206]	
20503	3	20502	贰号生门	六边形岛屿第二个城门，小岛封闭前作为考验拾荒者生存技能的活动点。		[1, 2, 3, 4]		[2050300, 2050304, 2050306, 2050308]	
20504	4	20503	叁号力门	六边形岛屿第三个城门，小岛封闭前作为考验拾荒者力量的活动点。		[3, 4]	[20504]	[2050400, 2050404, 2050406, 2050408]	
20505	5	20503	荣誉岛	作为通过6个考验的拾荒者的荣誉展示岛。岛中高耸的合金柱上，按照通关时间排序刻满了六边形战士的名字。高耸入云的位置，会刻上你的名字吗？		[3, 4]		[2050500]	
20506	6	20503	农培区	岛民主要的食物生产基地，也为拾荒者提供便利的置换物资渠道。	True	[3, 4]		[2050600]	
20507	7	20504	肆号战门	六边形岛屿第四个城门，小岛封闭前作为考验拾荒者作战能力的活动点。		[3, 4]	[20507]	[2050700, 2050704, 2050706, 2050708]	
20508	8	20504	无名小岛	搁置开发的岛屿，四周被警告线围起，入口处锈迹斑斑的大门锁闭着它的沉寂。				[2050800, 2050803, 2050805]	
20509	9	20504	淡水处理区	先进的水资源转换设备，为岛屿提供干净的纯净水资源。		[3, 4]		[2050900, 2050902]	
20510	10	20509	通信站	负责信号传播接收的基站，闭岛后基站受人为破坏，至今未修复。		[3, 4]		[2051000, 2051002, 2051004]	
20511	11	20507	伍号御门	六边形岛屿第五个城门，小岛封闭前作为考验拾荒者御守能力的活动点。		[3, 4]	[20511]	[2051100]	
20512	12	20507	医疗站	岛屿发放血清与治疗伤亡的地方，贝芙莉工作的地方。		[3, 4]		[2051200, 2051203, 2051205]	
20513	13	20512	住宅区	岛民居住之地，而六边形战士安排在住宅区最豪华之地。		[3, 4]		[2051300, 2051305]	
20514	14	20512	仓库	囤放了许多应急物资，日常只有岛长才能进入。		[3, 4]		[2051400, 2051403]	
20515	15	20513	岛长住所	岛长一家居住与日常接待客宾之地，听闻岛长的家人中，有1位是通过六边形考验的外来者。		[3, 4]		[2051500, 2051503]	
20516	16	20511	陆号械门	六边形岛屿第六个城门，小岛封闭前作为考验拾荒者多种枪械使用能力的活动点。			[20516]	[2051600, 2051604, 2051608]	
20517	17	20511	沉船点	3年前一艘辉煌的客轮沉船之地。				[2051700]	
20518	18	20516	渔场	虽说是渔场，实则是开放海钓之地，有很多艘冲锋舟。				[2051800, 2051803, 2051805]	
20600	1		营地	暂时的驻扎地，探索小队需要回到这里才能回收背包里的资源。	True				
20601	2	20600	公路小屋	这是公路旁唯一一幢还算完整的建筑，偶尔可以看到升起的炊烟。这里会有其他拾荒者吗？	True	[1, 2]		[2060100]	
20602	3	20601	邙山关口	通向邙山唯一的入口，从这里能隐约看到雾气缭绕的邙山。		[1, 2]		[2060200]	
20603	4	20602	登山步道	说是步道，其实只是看起来还算好走的山路，可以从这里绕路进山。	True	[1, 2]	[206030]	[2060300]	
20604	5	20603	山间农场	建在半山腰的农场，在过去似乎以盛产玉米在周边闻名。	True	[4, 1, 2]		[2060400]	
20605	6	20604	塌陷的道路	根据军事设施地图找到的小路，只能勉强通过。	True	[3, 4, 1, 2]	[206050]	[2060510]	
20606	7	20605	医疗营地	邙山的战斗发生后，由幸存者搭建的医疗营地。	True			[2060610, 2060620, 2060630]	
20607	8	20606	邙山入口	邙山营地之外的最后一道关卡。	True			[2060700]	
20608	9	20607	邙山营地	泽西的家乡。	True			[2060810, 2060820, 2060830]	
20609	10	20606	信号站	显示有药物、食物、木材、钢材、幸存者	True		[206090]	[2060910]	
20610	11	20603	西侧山路	这条沟通卫生中心、军事设施和邙山关口的路，原本没有名字。因为位于山的西部，才得了这个名字。	True	[3, 4]		[2061000]	
20611	12	20610	卫生中心	于黄金时代建立的医疗机构，至今仍在艰难地维持着运转，是周围地区的药物枢纽。	True	[3, 4]	[206110]	[2061100]	
20612	13	20611	战舰残骸	这艘残骸是什么时候出现在这里的，已经无从考证了。	True	[2]		[2061200]	
20613	14	20612	军事设施	发散着奇怪频段信号的军事设施。附近的感染体极有可能是被它吸引来的。	True	[2]		[2061310, 2061320]	
20614	15	20611	中转站台	旧时代的货运中转站台，在不久之前仍是重要的运输枢纽。		[3, 4]		[2061400]	
20615	16	20601	废弃旅店	建在山边的旅店，位置选得极佳，可惜现在已经被废弃了。		[4, 2]		[2061500]	
20616	17	20615	临时营地	为了捱过山风，临时搭建的营地。只是暂时的落脚点。		[3, 4, 1]		[2061600]	
20617	18	20600	深坑	一个巨大的坑洞，切断了向西的道路。		[3]	[206170]	[2061700]	
20618	19	20600	东山马场	黄金时代极负盛名的马场，已然荒废多年了。		[3, 4, 1, 2]	[206180]	[2061800]	
20619	20	20618	饮马草地	马场的马儿们休息的地方，再往前似乎是高尔夫球场。		[3, 4]	[206190]	[2061900]	
20620	21	20619	高尔夫球场	光是规模就让人惊叹。如果不是这场灾难的话，大概是许多“上流人士”周末会选择前往的地方吧。		[3, 4]		[2062000]	
20621	22	20600	森林公园	建在城市边缘的森林公园，园区里还有超市，兴许可以找到一些物资。		[3, 4, 1, 2]	[206210]	[2062100]	
20622	23	20621	园区超市	虽然不像大型商场一样应有尽有，但也足够满足日常需要。		[3, 4]		[2062200]	
20623	24	20622	园区管理处	森林公园的管理处，似乎亮着灯火，可能有幸存者在其中驻扎。		[3, 4]		[2062300]	
20625	26	20622	黑色灯塔	静立在湖边的黑色灯塔。		[3, 4]		[2062500]	
20626	27	20625	湖边溶洞	诡异的溶洞，在深处似乎有扎营的痕迹。		[3, 4]		[2062600]	
20627	28	20600	废弃工业园	曾经规模巨大的工业园，如今已经成了废墟。	True	[1, 2]	[206270]	[2062700]	
20628	29	20627	货运车站	旧时的货运车站，仓库中或许还有其他资源。	True	[3, 4, 2]		[2062800]	
20629	30	20627	废弃站台	……原本只是废弃的站台，却像有人扎营的样子。哪怕站在外面都能闻到浓重的血腥味，我们最好做好准备再进去。	True	[3, 4, 1]	[206290]	[2062900]	
20630	31	20629	调度中心	货运车站的调度中心。这里大概是周围最后一幢还算完好的建筑了。	True	[3, 4, 1, 2]		[2063010, 2063020]	
