Id	Icon	RotationIcon90	RotationIcon180	RotationIcon270	Name	Desc	ShowOnStageDetail	Type	RotateIcon	Color	Score	Rule	Prefab
3003	Assets/Product/Texture/Atlas/UiTemple2/jieji1-1.png				炫光冲刺	结合了冒险元素的街机音游，因其特殊的美术风格和较低的上手门槛而受到年轻用户喜爱。\n我把角色都换成美少女了，这次肯定能大赚一笔——布偶熊	1	1		3	1		Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Jieji1.prefab
3004	Assets/Product/Texture/Atlas/UiTemple2/taoquan3-1.png				糖果福袋	一个纯看运气的抽奖小游戏，能随机抽到各种口味的糖果。\n蟑螂味？等等，难道有人吃过？——抽到奇怪糖果的某人	1	1		1	1		
3005	Assets/Product/Texture/Atlas/UiTemple2/taoquan1-1.png				玩偶福袋	一个纯看运气的抽奖小游戏，能随机抽到各种各样的玩偶。\n奖品是你随机抽的，但放奖品的老板可是看着奖品放的。—— 某福袋大师	1	1		2	1		
3006	Assets/Product/Texture/Atlas/UiTemple2/taoquan2-1.png				模型福袋	一个纯看运气的抽奖小游戏，能随机抽到各种奇怪的模型玩具。\n这个重量，一定就是传说中的限量款手办！—— 狂热的收藏家	1	1		3	1		
3007	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				红色：红空白	红色：红空白		1		1	1		
3008	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				黄色：黄空白	黄色：黄空白		1		2	1		
3009	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				蓝色：蓝空白	蓝色：蓝空白		1		3	1		
4001	Assets/Product/Texture/Atlas/UiTemple2/penzhai3.png				石蒜花盆栽	绣球花岛的特色花卉，据说代表着对于已故之人的思念。彼岸花开处，葬我故友情。	1	1		1	1	[301]	
4002	Assets/Product/Texture/Atlas/UiTemple2/penzhai4.png				菊花盆栽	遗世百花，独芳疏篱。	1	1		2	1	[301]	
4003	Assets/Product/Texture/Atlas/UiTemple2/penzhai2.png				绣球花盆栽	自绣球花岛移植的盆栽。红紫斗芳，嫩芯艳蕊。	1	1		3	1	[301]	
5001	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai1.png				文化涂鸦板	原是黄金时代文化庆典的游客签名墙，不知从何时起被某人带偏，变成了色彩斑斓的涂鸦墙。\n不要跟别人举报七实哦！——某位不愿意透露姓名的少女	1	1		1	1	[401]	
5002	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai2.png				夕月宣传板	日升月恒，盈虚千秋。	1	1		2	1	[401]	
5003	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai3.png				御园宣传板	萤灯白雪，敬仰吾师。	1	1		3	1	[401]	
6001	Assets/Product/Texture/Atlas/UiTemple2/wutai.png				舞台	各种歌舞演出的舞台，偶尔也会有机械体话剧或者居合剑道等特色表演。	1	7			50		
6002	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				舞台空白	舞台空白		7			50		
6003	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				舞台出口	舞台出口		102			100		
7001	Assets/Product/Texture/Atlas/UiTemple2/tanwei10-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei21-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei10-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei21-1.png	御园料理摊	八咫优先前往此地块：绣球花岛的特色小吃，食材自然清淡，飘香四溢。	1	6				[601, 701]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei10.prefab
7002	Assets/Product/Texture/Atlas/UiTemple2/wawaji1-1.png				娃娃机	露西亚优先前往此地块：复古风格的娃娃机，其内摆放着各种限定主题的阿呆蛙玩偶。	1	6				[602, 702]	
7003	Assets/Product/Texture/Atlas/UiTemple2/weixiudian1-1.png				四驱车拼装	里优先前往此地块：需要自主挑选零件，而后在限定时间内拼装出四驱车参与跑道竞速，十分考验动手能力。	1	6				[603, 703]	
7004	Assets/Product/Texture/Atlas/UiTemple2/gangqin1-1.png				钢琴	赛琳娜优先前往此地块：学院活动室的钢琴，因传说会在午夜时自己响起，被列为“御园不可思议”之一。	1	6				[604, 704]	
7005	Assets/Product/Texture/Atlas/UiTemple2/tanwei11-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei22-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei11-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei22-1.png	花卉店	丽芙优先前往此地块：贩卖绣球花纪念品的花店，店面被花海覆盖，典雅华美。	1	6				[605, 705]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei11.prefab
7006	Assets/Product/Texture/Atlas/UiTemple2/jieji3-1.png				诺曼英雄	七实优先前往此地块：经典街机游戏《诺曼英雄4》，玩家需要扮演诺曼矿业的矿工，逃脱外星海盗的追击。	1	6				[606, 706]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Jieji3.prefab
7007	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai2.png				电影海报	比安卡优先前往此地块：电影《七本枪》的海报，这部电影讲述了七位武士与村民同仇敌忾，一同抵抗侵略者的故事。	1	6				[607, 707]	
7008	Assets/Product/Texture/Atlas/UiTemple2/taoquan4-1.png				气球射击摊	万事优先前往此地块：双人射击气球的小游戏，考验枪法配合的时间到了，绝对没有在枪上做手脚！	1	6				[608, 708]	
7009	Assets/Product/Texture/Atlas/UiTemple2/tanwei12-2.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei23-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei12-2.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei23-1.png	西装店	库洛姆优先前往此地块：不论您是准备出席商务活动，亦或是寻找日常穿搭，在这里总能找到一款心仪的服饰。	1	6				[609, 709]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Tanwei12.prefab
7010	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				御园料理摊空白	御园料理摊空白		6				[601]	
7011	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				花卉店空白	花卉店空白		6				[605]	
7012	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				西装店空白	西装店空白		6				[609]	
8001	Assets/Product/Texture/Atlas/UiTemple2/fanmaiji1.png				贩卖机红	贩卖机红		7					
8002	Assets/Product/Texture/Atlas/UiTemple2/fanmaiji2.png				贩卖机灰	贩卖机灰		7					
8003	Assets/Product/Texture/Atlas/UiTemple2/changdeng.png				椅子	椅子		7					
8004	Assets/Product/Texture/Atlas/UiTemple2/deng.png				路灯	路灯		7					
8005	Assets/Product/Texture/Atlas/UiTemple2/ditan.png				地毯1	地毯1		7					
8006	Assets/Product/Texture/Atlas/UiTemple2/ditan2.png				地毯2	地毯2		7					
8007	Assets/Product/Texture/Atlas/UiTemple2/gaoshipai1.png				告示牌	告示牌		7					
8008	Assets/Product/Texture/Atlas/UiTemple2/guizi1.png				柜子1	柜子1		7					
8009	Assets/Product/Texture/Atlas/UiTemple2/guizi2.png				柜子2	柜子2		7					
8010	Assets/Product/Texture/Atlas/UiTemple2/guizi3.png				柜子3	柜子3		7					
8011	Assets/Product/Texture/Atlas/UiTemple2/guizi4.png				柜子4	柜子4		7					
8012	Assets/Product/Texture/Atlas/UiTemple2/guizi5.png				柜子5	柜子5		7					
8013	Assets/Product/Texture/Atlas/UiTemple2/guizi6.png				柜子2	柜子2		7					
8014	Assets/Product/Texture/Atlas/UiTemple2/guizi7.png				柜子3	柜子3		7					
8015	Assets/Product/Texture/Atlas/UiTemple2/jiangtai.png				讲台	讲台		7					
8016	Assets/Product/Texture/Atlas/UiTemple2/qingjigongju.png				拖把	拖把		7					
8017	Assets/Product/Texture/Atlas/UiTemple2/qizi1.png				旗子	旗子		7					
8018	Assets/Product/Texture/Atlas/UiTemple2/penzhai1.png				植物	植物		7					
8019	Assets/Product/Texture/Atlas/UiTemple2/lajitong.png				垃圾桶	垃圾桶		7					
8020	Assets/Product/Texture/Atlas/UiTemple2/langan.png				栏杆	栏杆		7					
8021	Assets/Product/Texture/Atlas/UiTemple2/yusan.png				雨伞	雨伞		7					
8022	Assets/Product/Texture/Atlas/UiTemple2/zahuo1.png				杂物	杂物		7					
8023	Assets/Product/Texture/Atlas/UiTemple2/zawu2.png				杂物2	杂物2		7					
8024	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				空白	空白		7					
8025	Assets/Product/Texture/Atlas/UiTemple2/zhuoyi1.png				桌子	桌子		7					
8026	Assets/Product/Texture/Atlas/UiTemple2/zhuoyi2.png				桌子2	桌子2		7					
8027	Assets/Product/Texture/Atlas/UiTemple2/zhuozi.png				桌子3	桌子3		7					
8028	Assets/Product/Texture/Atlas/UiTemple2/lanqiugan1.png				篮球1	篮球1		7					
8029	Assets/Product/Texture/Atlas/UiTemple2/lanqiugan2.png				篮球2	篮球2		7					
8030	Assets/Product/Texture/Atlas/UiTemple2/zuqiukuang1.png				足球1	足球1		7					
8031	Assets/Product/Texture/Atlas/UiTemple2/zuqiukuang2.png				足球2	足球2		7					
9001	Assets/Product/Texture/Atlas/UiTemple2/huazi1-1.png				花子	花子		8				[801]	
9002	Assets/Product/Texture/Atlas/UiTemple2/jingzi1-1.png				镜子	镜子		8				[901]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2JingZi.prefab
9003	Assets/Product/Texture/Atlas/UiTemple2/gangqin1-1.png				钢琴	钢琴		8				[801]	
9004	Assets/Product/Texture/Atlas/UiTemple2/hua4-1.png				画像	画像		8				[901]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2Hua4.prefab
9005	Assets/Product/Texture/Atlas/UiTemple2/louti1-1.png				楼梯	楼梯		8				[801]	
9006	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang4-1.png				雕像	雕像		8				[901]	Assets/Product/Ui/Prefab/UiEffect/UiTemple2/UiTemple2DX4.prefab
10001	Assets/Product/Texture/Atlas/UiTemple2/tanwei2-1.png				特红色：快餐	特红色：快餐		10		1	10		
10002	Assets/Product/Texture/Atlas/UiTemple2/tanwei1-1.png				特黄色：面食	特黄色：面食		10		2	10		
10003	Assets/Product/Texture/Atlas/UiTemple2/tanwei3-1.png				特蓝色：海鲜	特蓝色：海鲜		10		3	10		
10004	Assets/Product/Texture/Atlas/UiTemple2/tanwei5-1.png	Assets/Product/Texture/Atlas/UiTemple2/tanwei15-1.png			特红色：苹果	特红色：苹果		10		1	10		
10005	Assets/Product/Texture/Atlas/UiTemple2/tanwei4-1.png				特黄色：柠檬	特黄色：柠檬		10		2	10		
10006	Assets/Product/Texture/Atlas/UiTemple2/tanwei6-1.png				特蓝色：蓝莓	特蓝色：蓝莓		10		3	10		
10007	Assets/Product/Texture/Atlas/UiTemple2/tanwei9-1.png				特红色：红建筑	特红色：红建筑		10		1	10		
10008	Assets/Product/Texture/Atlas/UiTemple2/tanwei7-1.png				特黄色：黄建筑	特黄色：黄建筑		10		2	10		
10009	Assets/Product/Texture/Atlas/UiTemple2/tanwei8-1.png				特蓝色：蓝建筑	特蓝色：蓝建筑		10		3	10		
10010	Assets/Product/Texture/Atlas/UiTemple2/hua3.png				特红色：红色画	特红色：红色画		10		1	10		
10011	Assets/Product/Texture/Atlas/UiTemple2/hua2.png				特黄色：黄色画	特黄色：黄色画		10		2	10		
10012	Assets/Product/Texture/Atlas/UiTemple2/hua1.png				特蓝色：蓝色画	特蓝色：蓝色画		10		3	10		
10013	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang1.png				特红色：红雕像	特红色：红雕像		10		1	10		
10014	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang3.png				特黄色：黄雕像	特黄色：黄雕像		10		2	10		
10015	Assets/Product/Texture/Atlas/UiTemple2/diaoxiang2.png				特蓝色：蓝雕像	特蓝色：蓝雕像		10		3	10		
10016	Assets/Product/Texture/Atlas/UiTemple2/jieji2-1.png				特红色：红街机	特红色：红街机		10		1	10		
10017	Assets/Product/Texture/Atlas/UiTemple2/jieji3-1.png				特黄色：黄街机	特黄色：黄街机		10		2	10		
10018	Assets/Product/Texture/Atlas/UiTemple2/jieji1-1.png				特蓝色：蓝街机	特蓝色：蓝街机		10		3	10		
10019	Assets/Product/Texture/Atlas/UiTemple2/taoquan3-1.png				特红色：红套圈	特红色：红套圈		10		1	10		
10020	Assets/Product/Texture/Atlas/UiTemple2/taoquan1-1.png				特黄色：黄套圈	特黄色：黄套圈		10		2	10		
10021	Assets/Product/Texture/Atlas/UiTemple2/taoquan2-1.png				特蓝色：蓝套圈	特蓝色：蓝套圈		10		3	10		
10022	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				特红色：红空白	特红色：红套圈		10		1	10		
10023	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				特黄色：黄空白	特黄色：黄套圈		10		2	10		
10024	Assets/Product/Texture/Atlas/UiTemple2/Temple2kongbai.png				特蓝色：蓝空白	特蓝色：蓝套圈		10		3	10		
10025	Assets/Product/Texture/Atlas/UiTemple2/penzhai3.png				特红色：红花	特红色：红花		10		1	10		
10026	Assets/Product/Texture/Atlas/UiTemple2/penzhai4.png				特黄色：黄花	特黄色：黄花		10		2	10		
10027	Assets/Product/Texture/Atlas/UiTemple2/penzhai2.png				特蓝色：蓝花	特蓝色：蓝花		10		3	10		
10028	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai1.png				特红色：红宣传	特红色：红宣传		10		1	10		
10029	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai2.png				特黄色：黄宣传	特黄色：黄宣传		10		2	10		
10030	Assets/Product/Texture/Atlas/UiTemple2/guanggaopai3.png				特蓝色：蓝宣传	特蓝色：蓝宣传		10		3	10		
10031	Assets/Product/Texture/Atlas/UiTemple2/fanmaiji1.png				特红色：贩卖机红	特红色：贩卖机红		10		1	10		
10032	Assets/Product/Texture/Atlas/UiTemple2/gaoshipai1.png				特黄色：告示牌	特黄色：告示牌		10		2	10		
10033	Assets/Product/Texture/Atlas/UiTemple2/qizi1.png				特蓝色：蓝旗子	特蓝色：蓝旗子		10		3	10		
