StageId	Title	Description	Icon	PhaseDescription
30100817	矢量色块	任意三消后，再次消除蓝色信号球时，艾拉会原地蓄力牵引附近敌人，并使自己获得最大生命值8%的护盾，持续7秒，随后重击前方目标，造成大量的物理伤害。在蓄力过程中，额外伤害减免提升70%。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Aila01.png	角色教学
30100818	寰宇振荡	任意三消后，再次消除红色信号球时，渡边会化为暗影对前方区域持续攻击，每次攻击都会造成暗影伤害，结束后进入暗影强化状态。在此状态中，普通攻击额外附加暗属性伤害，并且追刃也会额外附加暗属性伤害，持续5秒。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	角色教学
30100819	千钧一发	3消红色信号球后，再次消除蓝色信号球时，进入狙击状态，普通攻击发射一支远距离雷电箭，造成雷属性伤害，持续6秒或成功发射出6箭后退出狙击状态。狙击状态下进行闪避时，紧接的下一次普通攻击蓄力时间会有所减少。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	角色教学
30100820	战场补给	苏菲亚在释放普通攻击最后一式、3消、必杀及QTE击中敌人时会掉落能量球，拾取能量球将使目标范围内所有友方角色回复一定生命值，并使其增加火属性伤害。能量球被拾取时，苏菲亚获得能量与热能值，并增加自身攻击力。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Sufeiya01.png	角色教学
30100821	弧光之盾	任意3消后+蓝球，生成护盾抵挡伤害。持续时间结束或被替换时，护盾会破裂并造成大范围伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kuluomu01.png	角色教学
30100822	刹那冰华	普通形态3消增加50%能量和1个必杀点数，最多累积2个，变身可以切换极寒形态，满能量切换将重新排列信号球。极寒形态能量存续期间增加冰属性伤害，3消增加1个必杀点数，累积4个必杀点数将释放终式-刹那冰华。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Luxiya01.png	角色教学
30100823	狂气涌动	普通状态下任意3消可积攒狂气层数，最多3层，狂气层数满后，任意3消获得额外必杀能量值。进入狂噬状态时，消耗所有狂气层数，狂噬状态期间，根据消耗的狂气层数获得伤害加成。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kamu01.png	角色教学
30100824	质量残像	超频值通过消除信号球，或随时间自动获得。超频值足够时，长按普通攻击按钮释放核心攻击。核心攻击造成范围暗属性伤害，对近身目标造成物理伤害。释放核心攻击会消耗超频值并获得能量。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Weila01.png	角色教学
30100825	广域电磁炮	罗塞塔拥有最多3个能量点，任意3消时会消耗1个能量点强化技能并获得伤害加成。释放必杀时，将会消耗最多两个能量点，根据消耗的能量点数获得相应的必杀伤害加成。当消耗所有能量点时，罗塞塔进入满载状态，蓄力攻击变为【广域电磁炮】；释放【广域电磁炮】的8秒后，罗塞塔将重新恢复3个能量点。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luosaita01.png	角色教学
30100826	追击	常羽拥有特殊的“追击”信号球，不会被消除，通常状态下不可点击。任意三消后，追击信号球会亮起一段时间，点击会根据消球颜色释放不同的追击技能。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Changyu01.png	角色教学
30100827	意志凝结	消球或释放必杀积攒同调值，同调值充满后会强化信号球，且消除任意球后会进入凝结状态。强化信号球只能单消，消除时释放3消技能和凝结效果，消耗同调值，但无法获得能量。凝结状态下，同调值会随时间减少。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Qu01.png	角色教学
30100155	激光束群	任意3消后下次红球技能将释放激光束群。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	角色教学
30100156	EX切割风暴	任意3消后，再次消除黄球时，七实将释放EX-切割风暴，对周围的敌人持续攻击8次，每次造成一定的物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	角色教学
30100157	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	角色教学
30100171	蓝球QTE说明	三消蓝色信号球，可激活蓝色位置的队友，点击可触发该位置角色QTE技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04A.png	QTE教学
30100172	黄球QTE说明	三消黄色信号球，可激活黄色位置的队友，点击可触发该位置角色QTE技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue04B.png	QTE教学
30100173	消球小技巧	玩家在拥有四个相同颜色的技能球时，点击最外的一个技能球，这样可以在只消除一颗球的情况下保留一个三消技能。如果是在超算空间中，则可以利用此技巧使用连续两次三消技能	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue05.png	消球教学
30100303	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	角色教学
30100304	超算空间中单个技能球可算三消，红球触发被动	任意3消后下次红球技能将释放激光束群。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03A.png	角色教学
30100305	超算空间中单个技能球可算三消，黄球触发被动	任意3消后，再次消除黄球时，七实将释放EX-切割风暴，对周围的敌人持续攻击8次，每次造成一定的物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue03B.png	角色教学
30100306	超算空间中单个技能球可算三消，红球触发被动	任意3消后，4秒内再次消除红色信号时，露西亚进入爆发状态，将使用双刀术代替普通攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxue02A.png	角色教学
30101001	湮灭	三消后，下一次任意消视为三消。积攒湮灭值，长按普攻按钮进入湮灭状态，改变普攻形式，获得湮灭球。消除湮灭球后，释放定点尖刺，获得能量。湮灭状态下，普攻消耗湮灭值，释放必杀技消耗所有湮灭值。湮灭值耗尽或切换下场后退出湮灭状态。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	角色教学
30101002	千钧一发	3消红色信号球后，再次消除蓝色信号球时，进入狙击状态，普通攻击发射一支远距离雷电箭，造成雷属性伤害，持续6秒或成功发射出6箭后退出狙击状态。狙击状态下进行闪避时，紧接的下一次普通攻击蓄力时间会有所减少。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	角色教学
30101003	逆白鹭领域	普通攻击标记的敌人，有一定概率召唤引雷，造成雷属性伤害。红球有30%、60%、100%的概率触发引雷。触发4次引雷后，下次引雷将召唤EX引雷，对敌人造成100%雷属性伤害，并治疗区域内友方单位，回复其一定数量的生命值。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu01.png	角色教学
301008373	湮灭	三消后，下一次任意消视为三消。积攒湮灭值，长按普攻按钮进入湮灭状态，改变普攻形式，获得湮灭球。消除湮灭球后，释放定点尖刺，获得能量。湮灭状态下，普攻消耗湮灭值，释放必杀技消耗所有湮灭值。湮灭值耗尽或切换下场后退出湮灭状态。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	角色教学
301008311	湮灭	三消后，下一次任意消视为三消。积攒湮灭值，长按普攻按钮进入湮灭状态，改变普攻形式，获得湮灭球。消除湮灭球后，释放定点尖刺，获得能量。湮灭状态下，普攻消耗湮灭值，释放必杀技消耗所有湮灭值。湮灭值耗尽或切换下场后退出湮灭状态。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luna01.png	角色教学
30101004	广域电磁炮	罗塞塔拥有最多3个能量点，任意3消时会消耗1个能量点强化技能并获得伤害加成。释放必杀时，将会消耗最多两个能量点，根据消耗的能量点数获得相应的必杀伤害加成。当消耗所有能量点时，罗塞塔进入满载状态，蓄力攻击变为【广域电磁炮】；释放【广域电磁炮】的8秒后，罗塞塔将重新恢复3个能量点。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luosaita01.png	角色教学
30101005	意志凝结	消球或释放必杀积攒同调值，同调值充满后会强化信号球，且消除任意球后会进入凝结状态。强化信号球只能单消，消除时释放三消技能和凝结效果，消耗同调值，但无法获得能量。凝结状态下，同调值会随时间减少。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Qu01.png	角色教学
30101006	赤渊-刀光意	三消蓝色信号球后，再次任意三消信号球时，将进入刀光意状态，所有信号球转化为特殊球，并额外获得2个特殊球，消除特殊球时，释放剑气攻击目标，造成物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luxiyaaerfa02.png	角色教学
301008411	实验原型	任意三消后，会召唤POD辅助机对前方敌人发射追踪导弹，获得POD：护盾。POD：护盾充满后可释放必杀，开启狂战士模式。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3A201.png	角色教学
301008421	刃构型	三消黄色信号球后，再次三消任意信号球进入战斗姿态，普通攻击，红色和黄色信号球技能附带额外剑气，红色信号球可叠加数据修正效果，提高物理伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR32B01.png	角色教学
301008431	超频速攻	任意三消后，消球栏最右边会新增对应颜色的超频指示器，点击超频指示器可消除对应颜色的所有信号球，释放核心技能。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR39S01.png	角色教学
301008501	三度叠置	任意三消后，获得对应颜色的【三和音】，再次消球获得【音律值】并触发和弦。与【三和音】相同颜色的和弦会触发【协奏】，造成雷属性伤害；与【三和音】不同颜色的和弦会触发【独奏】，自身伤害增加。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Sailinna01.png	角色教学
301008513	寒流具象	任意三消后1s内，按下普攻进入【战术射击姿态】，按住普攻可以保持【战术射击姿态】，松开普攻可触发【绽放射击】。【绽放射击】的撤步过程带有闪避判定，如果撤步过程中成功闪避，则强化随后的狙击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Wanshi01.png	角色教学
30101007	寒魄知源	护盾大于50%时使用三消，或在【寒魄】状态下使用任意三消、普攻时，会使自身进入【凝体寒霜】状态。在此状态中库洛姆会无视一次攻击，并减速攻击者。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	角色教学
301008532	寒魄知源	护盾大于50%时使用三消，或在【寒魄】状态下使用任意三消、普攻时，会使自身进入【凝体寒霜】状态。在此状态中库洛姆会无视一次攻击，并减速攻击者。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	角色教学
30100857	影棱集聚	释放四次普攻后的下一次普攻将释放强化攻击并生成1座暮光矩阵。21号处于3消后的滞空失控状态时，使用闪避键将触发强制闪避并生成3座暮光矩阵。协作子机将在21号释放强化攻击的同时释放力场波，控制敌人并引爆所有暮光矩阵。（暮光矩阵存在3秒）	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Twentyone01.png	角色教学
30101017	三度叠置	任意三消后，获得对应颜色的【三和音】，再次消球获得【音律值】并触发和弦。与【三和音】相同颜色的和弦会触发【协奏】，造成雷属性伤害；与【三和音】不同颜色的和弦会触发【独奏】，自身伤害增加。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Sailinna01.png	夏活涂装试玩
30101018	超频共振	七实普攻与消球会积攒能量，能量积攒至一定程度可释放必杀技，最多可释放3次。释放必杀技后，七实进入超频状态，其普通攻击将转化为火属性伤害，并使命中的目标降低一定的火属性抗性	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Qishi01.png	夏活涂装试玩
30100862	降雷坠	任意3消后接普攻可获取【电荷缠绕】层数，最多3层。拥有【电荷缠绕】时，长按普攻可使用【降雷坠】，根据消耗的【电荷缠绕】层数造成大范围雷属性伤害并施加【乱流干扰】效果。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Weila01.png	角色教学
30100863	虚像艺术	普攻第2/3/4段时，点击白球释放连段攻击并获得虚赝值。虚赝值足够时，点击信号球释放技能并获得能量。超算空间的消球强化效果改为下一次信号球释放无消耗。释放必杀技后获得1个焚烈球，可释放多道焚烈弹。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luolan01.png	角色教学
30100869	永昼颂歌	普攻与消球可积累祷告值。祷告值满时，双击闪避将开启祷告，期间可以输入两组信号球。两组同色释放纯挚宣誓造成范围伤害，两组异色释放纷乱宣誓对敌人与丽芙·极昼造成可闪避的无差别攻击。祷告中输入的信号球越多，造成伤害越高。必杀期间开启祷告可以输入3组信号球，且无视颜色。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Lifu01.png	角色教学
30101020	永昼颂歌	普攻与消球可积累祷告值。祷告值满时，双击闪避将开启祷告，期间可以输入两组信号球。两组同色释放纯挚宣誓造成范围伤害，两组异色释放纷乱宣誓对敌人与丽芙·极昼造成可闪避的无差别攻击。祷告中输入的信号球越多，造成伤害越高。必杀期间开启祷告可以输入3组信号球，且无视颜色。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Lifu01.png	角色教学
30101022	寒魄知源	护盾大于50%时使用三消，或在【寒魄】状态下使用任意三消、普攻时，会使自身进入【凝体寒霜】状态。在此状态中库洛姆会无视一次攻击，并减速攻击者。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kuluomu01.png	角色教学
30100873	幻乐崩影	释放3消或必杀的特殊信号球时，在技能释放过程中拖动方向摇杆，将打断当前技能、并向摇杆方向释放派生技能，造成大量暗属性伤害；还会召唤一个残影，释放被打断的当前技能。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Sailinna01.png	角色教学
30101023	热能武装	卡列尼娜三消或是释放大招后会获得热能，在热能达到50%后进入强化状态并获得一定数量的火属性伤害加成。在强化状态下，热能每秒减少5%。每升级1级核心被动，入场时初始热能点+3%。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Kalie01.png	角色教学
30100878	踏雪游龙	消耗20必杀能量释放灵刃·御龙掷，召唤并投出回旋龙厄；回旋龙厄存在时，蒲牢可以长按必杀消耗100必杀能量释放灵刃·落星破。蒲牢可以随时呼叫回旋龙厄回到自己身边。普攻/消球获得龙劲点数，消球时若撞击到回旋龙厄且拥有一半龙劲点数，蒲牢将释放龙劲连击，随后使用普攻可以追加多次攻击。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Pulao01.png	角色教学
30101024	千钧一发	3消红色信号球后，再次消除蓝色信号球时，进入狙击状态，普通攻击发射一支远距离雷电箭，造成雷属性伤害，持续6秒或成功发射出6箭后退出狙击状态。狙击状态下进行闪避时，紧接的下一次普通攻击蓄力时间会有所减少。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Bianka01.png	角色教学
30101025	战意	3消技能可以恢复10点能量。暗影状态下，物理抗性和暗属性抗性增加。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Shenwei01.png	角色教学
30100908	熔钢之魂	七实·遥星之座可在长按闪避或释放量子压缩弹/燃炎轰炸进入滑行模式，期间可无间隔释放上述技能。开启必杀进入“轰隆隆”状态，该状态下，七实·遥星之座获得压力槽，上限200点。普攻命中敌人时，可以通过长按普攻进入“滋滋滋”状态，在该状态的不同时间窗口内松开普攻，可触发“哎呀可惜~”或“简直完美！”。当压力值为200点时，长按至极限可消耗所有压力值释放“激燃冲角”。“哎呀可惜~”/“简直完美！”释放时分别积攒80/120点压力值和32/48点必杀能量。激燃冲角：回复60点必杀能量，造成该段钢魂连斩“简直完美！”伤害倍率并附加所消耗压力值的伤害加成，每点压力值提高0.25%基础伤害，结算后记录该次伤害，释放万兆创星击时将再次造成50%记录伤害并清除记录。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4R4Yongyechao.png	角色教学
30101027	空间领主	任意三消后，释放红色信号球，会额外追加连续炮击，每发炮弹会造成一定数量的物理伤害	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Li01.png	角色教学
30100915	巡猎指令	长按闪避激活凛寒进程，凛寒进程蓄力完成时松开闪避释放凛寒，造成冰属性伤害。若未蓄满能量松开闪避，则不进行攻击，且凛寒进程能量缓慢回落。蓄力过程中受击时，若有足够的闪避值，则会再扣除闪避值并进行闪现，该效果有1.5秒的冷却时间。激活凛寒进程期间获得霸体同时额外伤害减免提高50%。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Hakama.png	角色教学
30100921	红莲引雷舞	引雷：雷属性攻击被露西亚标记的敌人时，根据敌人被标记的层数，概率引发落雷攻击目标，造成一定的雷属性伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luxiya01.png	角色教学
30100922	控弹	消除黄球后，下次红球子弹额外附加爆炎效果。爆炎：子弹命中敌人时发生爆炸，爆炸对范围内的敌人造成火属性伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	角色教学
30100923	女神连接系统	攻击被标记的敌人时，有20%的概率触发光罚，造成物理伤害。3消或触发5次光罚后，为自身周围的友方单位回复其一定数量的生命值。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu02.png	角色教学
30100925	反重力系统	反重力系统：当卡列尼娜·辉晓球槽存在一组三消球或超算空间的消球强化效果时，可长按普攻进入蓄力状态，持续消耗三消球，每组三消获得20点反重力能量，最多可消耗两组三消。随后卡列尼娜·辉晓将释放跃升击，进入反重力状态，跃向空中并造成750%的暗属性伤害，当该次蓄力消耗了两组三消时，跃升击基础伤害提高250%。当卡列尼娜·辉晓在空中时，可连续点击普攻，每次普攻将增加滞空时间和旋转速度，并释放辉耀旋击造成10%的暗属性伤害。落地时卡列尼娜·辉晓会触发重力过载，扣除20点反重力能量，获得10点必杀能量，并造成300%的暗属性伤害。若此时卡列尼娜·辉晓的反重力能量不小于20点，则可以再次跃升，直到其反重力能量不足。卡列尼娜·辉晓释放辉耀旋击将积累动能值，在反重力状态下释放星碎地平线时，每点动能值将提升其0.14%基础伤害，最高提升至100%。释放星碎地平线或退出反重力状态时，将清空当前动能值。在反重力状态下，卡列尼娜·辉晓可以点击闪避，释放制空回旋，吸附并击飞周围敌人，造成200%的暗属性伤害，并回复20点反重力能量（该效果每10秒只能触发一次）。若闪避触发超算空间，则卡列尼娜·辉晓会释放折返斥力，吸附并击飞周围敌人，造成400%的暗属性伤害，并回复40点反重力能量。 反重力超算：当卡列尼娜·辉晓球槽存在至少一组三消球时，若触发超算空间，可长按普攻进入蓄力状态，视为消耗一组三消球。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Kalienina1.png	角色教学
30100932	寰宇振荡	任意三消后，再次消除红色信号球时，渡边会化为暗影对前方区域持续攻击，每次攻击都会造成暗影伤害，结束后进入暗影强化状态。在此状态中，普通攻击额外附加暗属性伤害，并且追刃也会额外附加暗属性伤害，持续5秒。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Dubian01.png	角色教学
30100936	升华之钥	诺安·逆旅释放任意三消后，可以连点普攻为升华引擎充能，停止点击或者超过一定时间会根据不同信号球释放对应的【极限突破派生】，根据当前【档位】不同分别造成伤害。释放派生时会清空全部【升华能量】，并根据其充能进度强化本次派生的伤害，随后将本次【升华能量】的充能进度转化为【目标转速】。下次释放【极限突破派生】时，若当前【升华能量】超过【目标转速】，会提升一级【档位】，同时增加【极限突破派生】的基础伤害；若未超过，则会改为释放【强袭升华击】，伤害额外提升，清空【目标转速】与【档位】；若释放【强袭升华击】时为最大档位，则伤害额外加成提升。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Nuoan01.png	角色教学
30100939	广域电磁炮	罗塞塔拥有最多3个能量点，任意3消时会消耗1个能量点强化技能并获得伤害加成。释放必杀时，将会消耗最多两个能量点，根据消耗的能量点数获得相应的必杀伤害加成。当消耗所有能量点时，罗塞塔进入满载状态，蓄力攻击变为【广域电磁炮】；释放【广域电磁炮】的8秒后，罗塞塔将重新恢复3个能量点。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Luosaita01.png	角色教学
30100940	垂灯耀目	杖形态时，长按闪避释放展开照域，照域内消球获得残光值。获得60点必杀能量后，可开启剑形态，剑形态无法消球，拥有残光值时，任意攻击都将造成额外攻击。剑形态闪避成功/第四段普攻后将激活决意之心，拥有决意之心时，可以长按普攻造成高段数攻击。剑形态获得60点必杀能量后，可以开启必杀释放剑形态终结技并回到杖形态。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Bianka.png	角色教学
30100948	人形剧场	长按普攻进入<color=#FF6347>提线牵丝</color>状态，持续释放普通攻击。受击或松开普攻会被拉起，空中三消会遗忘此颜色，必杀时根据遗忘的颜色数造成伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bangbinata.png	角色教学
30100954	维度观测者	超维条充满时长按普攻进入超维空间，三消获得视点，点击必杀根据消耗视点数量造成伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR4Liang.png	角色教学
30100962	绚烂即兴秀~	三消填充辅助色，配合主调色长按普攻触发核心被动增伤效果	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Aila01.png	角色教学
30100969	无我荒途	满无光值触发不灭殛华后再触发囚影·浮世业火	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR5Luxiya.png	角色教学
30100985	捕食姿态	三消进入【捕食姿态】，【捕食姿态】期间会出现【紫色印记】，此时点击普攻将释放强力【紧急追击】并获取【超束值】。【超束值】达到上限可长按普攻释放【超数鸣闪】，造成雷属性伤害、获得必杀能量并回复生命值。【超数鸣闪】攻击还可获得【临界弧光】值，可提升必杀伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Twentyone.png	角色教学
30110200	动力咆哮	长按普攻快速获取能量进入必杀【雷贯状态】，【雷贯状态】下单球会转化为【过载球】，【过载球】会自动缓慢转化为【爆弹球】。消除【过载球】和【爆弹球】的同时长按普攻，可获得【动擎值】，强化二段必杀伤害。	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Nuoketi.png	角色教学
