Id	Type	Color	Suit	Point	Name	KeyWords	Desc	CardIcon	Effects	TokenIds
24	1	3	4	6	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconHeart|24|24/> 6					
25	1	3	1	7	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconSpade|24|24/> 7					
26	1	3	2	7	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconClub|24|24/> 7					
27	1	3	3	7	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconDiamond|24|24/> 7					
28	1	3	4	7	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconHeart|24|24/> 7					
29	1	3	1	8	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconSpade|24|24/> 8					
30	1	3	2	8	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconClub|24|24/> 8					
31	1	3	3	8	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconDiamond|24|24/> 8					
32	1	3	4	8	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconHeart|24|24/> 8					
33	1	2	1	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconSpade|24|24/> 9					
34	1	2	2	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconClub|24|24/> 9					
35	1	2	3	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconDiamond|24|24/> 9					
36	1	2	4	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconHeart|24|24/> 9					
37	1	2	1	10	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconSpade|24|24/> 10					
38	1	2	2	10	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconClub|24|24/> 10					
39	1	2	3	10	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconDiamond|24|24/> 10					
40	1	2	4	10	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconHeart|24|24/> 10					
41	1	2	1	11	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconSpade|24|24/> J					
42	1	2	2	11	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconClub|24|24/> J					
43	1	2	3	11	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconDiamond|24|24/> J					
44	1	2	4	11	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconHeart|24|24/> J					
45	1	2	1	12	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconSpade|24|24/> Q					
46	1	2	2	12	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconClub|24|24/> Q					
47	1	2	3	12	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconDiamond|24|24/> Q					
48	1	2	4	12	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconHeart|24|24/> Q					
49	2	4	1	13	红莲乱舞		造成10点伤害，获得2点行动点，抽2张牌。		[49001, 49002, 49003]	[30]
50	2	4	2	13	琉晶壁垒		指挥官获得24点护甲，下一回合开始时，指挥官的护甲不会消失。		[50001, 50002]	[31]
51	2	4	4	13	苍穹星降		指挥官回复4点生命值，然后依次获得牌堆顶的牌直到牌的点数之和大于指挥官当前生命值。		[51001, 51002]	[32]
52	2	4	1	13	天命之雨		翻开牌堆顶的X (当前: <TokenId=4010|0>) 张牌，X为零度拥有的[饶恕]层数，造成翻开牌点数之和的伤害，移除所有[饶恕]，获得翻开的牌。		[52001, 52002, 52003, 52004]	[33, 4010]
53	2	4	2	13	涤罪之枪		从抽牌堆或弃牌堆抽2张与你最右侧手牌点数相同的牌（若无手牌则改为抽2张牌），指挥官获得6点护甲。		[53001, 53002]	[34]
54	2	4	4	13	苍山悠梦境		指挥官回复4点生命值，使指挥官获得X层[力量]，抽X张牌，X (当前: <TokenId=5010|0>) 为清商拥有的[曼舞]层数，移除所有[曼舞]。		[54001, 54002, 54003, 54004, 54005]	[35, 5020, 5010]
55	2	4	1	13	终焉降临		根据银冕拥有的[湮灭]层数 (当前: <TokenId=7010|0>) ，对目标施加等量[帕弥什]。若[湮灭]＞100，将抽牌堆中所有红球牌置入弃牌堆。		[55001, 55002, 55003, 55004, 55005]	[36, 7010, 7020]
56	2	4	2	13	星碎地平线		指挥官获得X (当前: <TokenId=9010|0>) 点护甲，X为你本回合中弃置牌的数量*2，触发其他角色的QTE。		[56001, 56002, 56003, 56004, 56005]	[37]
57	2	4	4	13	幻想银河组曲		弃置所有手牌，抽1+(<TokenId=8010|0>) 张牌，然后对手牌进行1次排序。 ( 必杀牌在手中时每触发1次QTE，抽牌数+1，至多为12)		[57001, 57002]	[38]
101	3	1	1	1	<Icon=IconRedSkill|45|45|0.5/><color=#E76D88>红球</color> <Icon=IconSpade|24|24/> A		喷涂机械技能衍生红球牌			
102	3	1	2	1	<Icon=IconRedSkill|45|45|0.5/><color=#E76D88>红球</color> <Icon=IconClub|24|24/> A		喷涂机械技能衍生红球牌			
103	3	1	3	1	<Icon=IconRedSkill|45|45|0.5/><color=#E76D88>红球</color> <Icon=IconDiamond|24|24/> A		喷涂机械技能衍生红球牌			
104	3	1	4	1	<Icon=IconRedSkill|45|45|0.5/><color=#E76D88>红球</color> <Icon=IconHeart|24|24/> A		喷涂机械技能衍生红球牌			
105	3	3	1	5	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconSpade|24|24/> 5		喷涂机械技能衍生黄球牌			
106	3	3	2	5	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconClub|24|24/> 5		喷涂机械技能衍生黄球牌			
107	3	3	3	5	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconDiamond|24|24/> 5		喷涂机械技能衍生黄球牌			
108	3	3	4	5	<Icon=IconYellowSkill|45|45|0.5/><color=#FAD364FF>黄球</color> <Icon=IconHeart|24|24/> 5		喷涂机械技能衍生黄球牌			
109	3	2	1	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconSpade|24|24/> 9		喷涂机械技能衍生蓝球牌			
110	3	2	2	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconClub|24|24/> 9		喷涂机械技能衍生蓝球牌			
111	3	2	3	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconDiamond|24|24/> 9		喷涂机械技能衍生蓝球牌			
112	3	2	4	9	<Icon=IconBlueSkill|45|45|0.5/><color=#59CCFFFF>蓝球</color> <Icon=IconHeart|24|24/> 9		喷涂机械技能衍生蓝球牌			
113	3	4	1	13	跃升击		消除后移出游戏，指挥官对目标造成1点伤害，获得1点行动点，抽1张牌。	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina5.png		[39]
114	3	4	4	13	苦刑		消除后移出游戏，获得1点行动点，抽到此牌时，指挥官受到3点伤害。	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1LadyMd10001.png		[39]
115	3	4	4	13	苦刑		消除后移出游戏，获得1点行动点，抽到此牌时，指挥官受到3点伤害。	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1VirginbioMd030001.png		[39]
116	3	4	2	13	冗余		消除后移出游戏，抽1张牌。	Assets/Product/Texture/Image/IconSkill/DlcFightXiaoqiu.png		[39]
