Id	Trigger	TriggerParams	Type	TypeParams	PerformanceOrder	Desc	ShowDesc	Cv
11	21	[2, 0, 0]	3	[8, 1]	100	红色角色通用蓝三消，目标单体8伤害	<color=#FFFFFF>三消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
12	21	[2, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	红色角色通用蓝三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
13	23	[1, 0, 0]	3	[4, 1]	100	黄色角色通用红单消，目标单体4伤害	<color=#FFFFFF>单消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
14	22	[1, 0, 0]	3	[6, 1]	100	黄色角色通用红双消，目标单体6伤害	<color=#FFFFFF>双消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
15	21	[1, 0, 0]	3	[8, 1]	100	黄色角色通用红三消，目标单体8伤害	<color=#FFFFFF>三消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
16	21	[1, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	黄色角色通用红三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
17	23	[3, 0, 0]	27	[3]	100	黄色角色通用黄单消，对指挥官增加4护甲	<color=#FFFFFF>单消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
18	22	[3, 0, 0]	27	[4]	100	黄色角色通用黄双消，对指挥官增加6护甲	<color=#FFFFFF>双消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
19	21	[3, 0, 0]	27	[6]	100	黄色角色通用黄三消，对指挥官增加8护甲	<color=#FFFFFF>三消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
20	21	[3, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	黄色角色通用黄三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
21	23	[2, 0, 0]	27	[3]	100	黄色角色通用蓝单消，对指挥官增加4护甲	<color=#FFFFFF>单消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
22	22	[2, 0, 0]	27	[4]	100	黄色角色通用蓝双消，对指挥官增加6护甲	<color=#FFFFFF>双消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
23	21	[2, 0, 0]	27	[6]	100	黄色角色通用蓝三消，对指挥官增加8护甲	<color=#FFFFFF>三消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
24	21	[2, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	黄色角色通用蓝三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
25	23	[1, 0, 0]	3	[4, 1]	100	蓝色角色通用红单消，目标单体4伤害	<color=#FFFFFF>单消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
26	22	[1, 0, 0]	3	[6, 1]	100	蓝色角色通用红双消，目标单体6伤害	<color=#FFFFFF>双消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
27	21	[1, 0, 0]	3	[8, 1]	100	蓝色角色通用红三消，目标单体8伤害	<color=#FFFFFF>三消</color> -> <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>	
28	21	[1, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	蓝色角色通用红三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
29	23	[3, 0, 0]	8	[1]	100	蓝色角色通用黄单消，对指挥官回复1生命值	<color=#FFFFFF>单消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
30	22	[3, 0, 0]	8	[2]	100	蓝色角色通用黄双消，对指挥官回复2生命值	<color=#FFFFFF>双消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
31	21	[3, 0, 0]	8	[2]	100	蓝色角色通用黄三消，对指挥官回复2生命值	<color=#FFFFFF>三消</color> -> <Icon=IconYellowSkill|45|45|0.5/> <color=#FAD364FF>黄球牌</color>	
32	21	[3, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	蓝色角色通用黄三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
33	23	[2, 0, 0]	8	[1]	100	蓝色角色通用蓝单消，对指挥官回复1生命值	<color=#FFFFFF>单消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
34	22	[2, 0, 0]	8	[2]	100	蓝色角色通用蓝双消，对指挥官回复2生命值	<color=#FFFFFF>双消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
35	21	[2, 0, 0]	8	[2]	100	蓝色角色通用蓝三消，对指挥官回复2生命值	<color=#FFFFFF>三消</color> -> <Icon=IconBlueSkill|45|45|0.5/> <color=#59CCFFFF>蓝球牌</color>	
36	21	[2, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	蓝色角色通用蓝三消，抽牌堆顺序抽1任意牌	<color=#FFFFFF>三消</color>额外抽牌	
101	4		3	[4, 1]	300	进攻型通用QTE，目标单体4伤害	<color=#E76D88>进攻型</color>QTE触发	
102	4		41	[2]	300	进攻型通用QTE，增加2行动点		
103	4		14	[8010, 1, 8]	300	进攻型通用QTE，挂QTE计数器		
201	4		27	[4]	300	装甲型通用QTE，对指挥官增加6护甲	<color=#FAD364FF>装甲型</color>QTE触发	
202	4		31	[0, 1, 1, 0, 0, 0]	300	装甲型通用QTE，抽牌堆顺序抽1任意牌		
203	4		14	[8010, 1, 8]	300	装甲型通用QTE，挂QTE计数器		
301	4		8	[2]	300	辅助型通用QTE，对指挥官回复2生命值	<color=#59CCFFFF>辅助型</color>QTE触发	
302	4		31	[0, 1, 1, 0, 0, 0]	300	辅助型通用QTE，抽牌堆顺序抽1任意牌		
303	4		14	[8010, 1, 8]	300	辅助型通用QTE，挂QTE计数器		
401	4		12	[5020, 1]	300	增幅型通用QTE，对所有角色增加1层【力量】	<color=#59CCFFFF>增幅型</color>QTE触发	
402	4		31	[0, 1, 1, 0, 0, 0]	300	增幅型通用QTE，抽牌堆顺序抽1任意牌		
403	4		14	[8010, 1, 8]	300	增幅型通用QTE，挂QTE计数器		
1001	21	[0, 0, 0]	31	[0, 2, 1, 0, 1, 0]	200	红莲核心，三消后抽牌堆倒序抽1红球牌	<color=#E76D88>露西亚·红莲</color>核心被动触发	
1002	24	[4, 1020, 2]	41	[1]	200	红莲核心，三消后若红莲已有2层及以上双刀术回能计数隐藏Token，增加1行动点		
1003	24	[2, 1010, 1]	14	[1010, 1, 1]	200	红莲核心，三消后红莲获得1层标记【双刀术】		202151
1004	21	[0, 0, 0]	14	[1020, 1, 1]	200	红莲核心，三消后红莲获得1层双刀术回能计数隐藏Token		
1010	5	[0, 0]	45	[0, 0]	400	红莲【双刀术】Token效果，伤害额外1次	<color=#E76D88>【双刀术】</color>效果触发	202153
2001	21	[0, 0, 0]	27	[4]	200	风暴核心，三消后对指挥官增加4护甲	<color=#FAD364FF>七实·风暴</color>核心被动触发	205151
2002	21	[0, 0, 0]	31	[0, 2, 1, 0, 3, 0]	200	风暴核心，三消后抽牌堆倒序抽1黄球牌		
2010	8		25	[1]	400	风暴【壁垒】Token效果，护甲延续1回合		
2011	8		12	[2010, -1]	400	风暴【壁垒】Token效果，回合结束清除1层		
3001	21	[0, 0, 0]	31	[0, 2, 1, 0, 2, 0]	200	蚀暗核心，三消后抽牌堆倒序抽1蓝球牌	<color=#59CCFFFF>丽芙·蚀暗</color>核心被动触发	203151
3002	21	[0, 0, 0]	36	[2, 3003, 2, 0]	201	蚀暗核心，三消后翻开牌堆顶1张牌，获得翻开的牌，若牌的点数满足3003效果触发条件，触发3003效果		
3003	1	[1, 2, 2]	3	[6, 2]	202	蚀暗核心效果条件，若牌的点数小于指挥官当前生命值，对所有敌方造成6伤害		203153
4001	21	[0, 1, 0]	14	[4010, 1, 4]	200	零度核心，3消后，本次消除中相同点数的牌的为1，零度获得1层的【饶恕】标记	<color=#E76D88>比安卡·零度</color>核心被动触发	204151
4002	21	[0, 2, 0]	14	[4010, 2, 4]	200	零度核心，3消后，本次消除中相同点数的牌的为2，零度获得2层的【饶恕】标记	<color=#E76D88>比安卡·零度</color>核心被动触发	204151
4003	21	[0, 3, 0]	14	[4010, 3, 4]	200	零度核心，3消后，本次消除中相同点数的牌的为3，零度获得3层的【饶恕】标记	<color=#E76D88>比安卡·零度</color>核心被动触发	204152
4010	25	[1]	21	[1, 0]	400	零度【饶恕】Token效果，造成伤害时，每层使伤害值+1。		
4011	9	[4, 4010, 3]	30	[4, 3, 1, 0, 0, 52, 0, 0, 0]	400	零度【饶恕】Token效果，达到3层时，将零度的必杀牌从抽牌堆或弃牌堆置于牌堆顶。		
5001	21	[0, 1, 0]	14	[5010, 1, 5]	200	清商核心，3消后，本次消除中相同点数的牌的为1，清商获得1层的【曼舞】标记	<color=#59CCFFFF>含英·清商</color>核心被动触发	239068
5002	21	[0, 2, 0]	14	[5010, 2, 5]	200	清商核心，3消后，本次消除中相同点数的牌的为2，清商获得2层的【曼舞】标记	<color=#59CCFFFF>含英·清商</color>核心被动触发	239069
5003	21	[0, 3, 0]	14	[5010, 3, 5]	200	清商核心，3消后，本次消除中相同点数的牌的为3，清商获得3层的【曼舞】标记	<color=#59CCFFFF>含英·清商</color>核心被动触发	239070
5004	21	[0, 0, 0]	35	[2, 3, 1, 0, 0, 0]	200	清商核心，任意3消后，将最右侧的手牌向左移动至与同色牌相邻。		
5010	9	[4, 5010, 3]	30	[4, 3, 1, 0, 0, 54, 0, 0, 0]	400	清商【曼舞】Token效果，达到3层或已有3层时，将清商的必杀牌从抽牌堆或弃牌堆置于牌堆顶		
5020	25	[1]	21	[1, 0]	400	清商【力量】Token效果，造成伤害时，每层使伤害值+1		
6001	21	[0, 1, 0]	27	[6]	200	凛冽核心，3消后，本次消除中相同点数的牌的为1，对指挥官增加6护甲	<color=#FAD364FF>罗塞塔·凛冽</color>核心被动触发	214063
6002	21	[0, 2, 0]	27	[6]	200	凛冽核心，3消后，本次消除中相同点数的牌的为2，对指挥官增加6护甲	<color=#FAD364FF>罗塞塔·凛冽</color>核心被动触发	214063
6003	21	[0, 2, 0]	15	[6010, 2, 0]	200	凛冽核心，3消后，本次消除中相同点数的牌的为2，对目标怪物增加2层【脆弱】		
6004	21	[0, 3, 0]	27	[9]	200	凛冽核心，3消后，本次消除中相同点数的牌的为3，对指挥官增加9护甲	<color=#FAD364FF>罗塞塔·凛冽</color>核心被动触发	200000084
6005	21	[0, 3, 0]	15	[6010, 6, 0]	200	凛冽核心，3消后，本次消除中相同点数的牌的为3，对目标怪物增加6层【脆弱】		
6010	25	[1]	22	[5000, 0]	400	怪物用Token【脆弱】：使受到的直接伤害增加50%。		
6011	6	[0, 0, 0, 2, 0]	11	[6010, -1]	400	怪物用Token【脆弱】：受伤后减少1层。		
7001	21	[0, 0, 0]	14	[7040, 2, 7]	200	银冕核心，任意3消后，银冕获得2层【奇点】标记。	<color=#E76D88>露娜·银冕</color>核心被动触发	220067
7002	42	[1, 7, 1]	14	[7010, 1, 7]	200	银冕核心，任意弃牌后，银冕获得与弃置牌点数之和相等的【湮灭】层数。		
7020	44		16	[7020, 7021]	400	怪物用Token【帕弥什】：回合开始时，根据当前层数触发7021		
7021	1	[0, 0, 0]	4	[1]	400	怪物用Token【帕弥什】：失去当前层数生命值。结算完毕后触发7022	<color=#FFFFFF>【帕弥什】</color>效果触发	
7022	43	[7020]	11	[7020, -1]	400	怪物用Token【帕弥什】：减少1层		
7030	9	[1, 7030, 100]	30	[4, 1, 200, 0, 1, 0, 0, 0, 1]	400	计数用Token：大于100层时，将抽牌堆中所有红球置入弃牌堆。	<color=#E76D88>【湮灭】</color>>100，抽牌堆中所有 <Icon=IconRedSkill|45|45|0.5/> <color=#E76D88>红球牌</color>置入弃牌堆	
7031	30	[0]	12	[7030, -999]	400	计数用Token：任意行动点消耗后移除计数。		
7040	7	[7, 1, 0]	16	[7040, 7041]	400	银冕【奇点】Token效果，回合开始时，根据奇点层数获得抽牌计数Token，结算完毕后触发7042		
7041	1	[0, 0, 0]	14	[7050, 1, 7]	400	银冕【奇点】Token效果，回合开始时，根据奇点层数获得抽牌计数Token		220069
7042	43	[7040]	14	[7040, -1, 7]	400	银冕【奇点】Token效果，层数-1，结算完毕后触发7043	<color=#E76D88>【奇点】</color>弃牌效果触发，弃置点数最小的手牌	
7043	43	[7042]	14	[7040, -1, 7]	400	银冕【奇点】Token效果，层数-1，结算完毕后触发7044	<color=#E76D88>【奇点】</color>弃牌效果触发，弃置点数最小的手牌	
7044	43	[7043]	14	[7040, -1, 7]	400	银冕【奇点】Token效果，层数-1，结算完毕后触发7045	<color=#E76D88>【奇点】</color>弃牌效果触发，弃置点数最小的手牌	
7045	43	[7044]	14	[7040, -1, 7]	400	银冕【奇点】Token效果，层数-1，结算完毕后触发7047	<color=#E76D88>【奇点】</color>弃牌效果触发，弃置点数最小的手牌	
7046	10	[4, 7040, 0]	39	[4, 7060, 1, 0, 0, 0]	400	银冕【奇点】Token效果，层数减少时，弃置1张点数最小的手牌，成功后执行7060（占位效果，无作用）		
7047	43	[7045]	32	[0, 1, 7050, 0, 0, 0, 0]	400	银冕【奇点】Token效果，根据抽牌计数Token层数抽X张牌，结算完毕后触发7048	<color=#E76D88>【奇点】</color>抽牌效果触发	
7048	43	[7047]	14	[7050, -4, 7]	400	银冕【奇点】Token效果，对银冕移除所有计数Token		
7060	1	[0, 0, 0]	14	[7060, 1, 7]	400	临时效果，银冕获得一个无效Token		
8001	21	[0, 0, 0]	14	[8020, 1, 8]	200	幻奏核心，任意三消后，幻奏获得1层【重奏】	<color=#59CCFFFF>赛琳娜·幻奏</color>核心被动触发	228068
8010	40	[2, 57]	14	[8010, -99, 8]	200	幻奏全局Token效果，抽到必杀牌时，移除计数Token		
8011	23	[4, 57, 0]	32	[0, 1, 8010, 0, 0, 0, 0]	100	幻奏全局Token效果，打出幻奏必杀后，根据8010Token层数，抽牌，结算完毕后触发8012		
8012	43	[8011]	34		100	幻奏全局Token效果，对手牌进行牌序，结算完毕后触发8013		
8013	43	[8012]	14	[8010, -99, 8]	100	幻奏全局Token效果，移除计数8010Token层数		
8020	41	[1, 0, 3]	47	[2]	200	幻奏【重奏】Token效果，任意角色切换出场时，触发1次幻奏QTE效果		
8021	41	[1, 0, 3]	14	[8020, -1, 8]	200	幻奏【重奏】Token效果，任意角色切换出场时，层数-1		
9001	42	[0, 0, 2]	14	[9010, 1, 9]	200	辉晓核心，弃牌时添加必杀抽牌计数Token		
9002	41	[3, 9, 2]	34		200	辉晓核心，QTE切换出场时，对手牌进行牌序，结算完毕后触发9003	<color=#FAD364FF>卡列尼娜·辉晓</color>核心被动触发	232069
9003	43	[9002]	39	[3, 9004, 1, 0, 0, 0]	200	辉晓核心，随机弃置1组3消，成功后触发效果9004		232069
9004	1	[0, 0, 0]	14	[9020, 1, 9]	200	辉晓核心，弃置三消成功后对辉晓增加计数标记9020	<color=#FAD364FF>卡列尼娜·辉晓</color>核心被动弃置第一组三消	
9005	43	[9020]	31	[4, 0, 3, 3, 4, 113]	200	辉晓核心，弃置三消成功后获得3张跃升击		
9006	43	[9005]	39	[3, 9007, 1, 0, 0, 0]	200	辉晓核心，第一组三消弃置成功后随机弃置1组3消，成功后触发效果9007	<color=#FAD364FF>卡列尼娜·辉晓</color>核心被动弃置第二组三消	232069
9007	1	[0, 0, 0]	14	[9030, 1, 9]	200	辉晓核心，弃置三消成功后对辉晓增加计数标记9030		
9008	43	[9030]	31	[4, 0, 3, 3, 4, 113]	200	辉晓核心，弃置三消成功后获得3张跃升击		
9009	43	[9008]	39	[3, 9010, 1, 0, 0, 0]	200	辉晓核心，第二组三消弃置成功后随机弃置1组3消，成功后触发效果90010	<color=#FAD364FF>卡列尼娜·辉晓</color>核心被动弃置第三组三消	232069
9010	1	[0, 0, 0]	14	[9040, 1, 9]	200	辉晓核心，弃置三消成功后对辉晓增加计数标记9040		
9011	43	[9040]	31	[4, 0, 3, 3, 4, 113]	200	辉晓核心，弃置三消成功后获得3张跃升击		
9012	42	[0, 0, 2]	14	[9010, 1, 9]	200	辉晓核心，弃牌时添加必杀抽牌计数Token		
9020	9	[0, 9020, 0]	27	[6]	200	辉晓核心计数Token，获得时对指挥官获得8点护甲		
9030	9	[0, 9030, 0]	27	[6]	200	辉晓核心计数Token，获得时对指挥官获得8点护甲		
9040	9	[0, 9040, 0]	27	[6]	200	辉晓核心计数Token，获得时对指挥官获得8点护甲		
49001	23	[4, 49, 0]	3	[10, 1]	100	红莲必杀，目标单体10伤害	使用了必杀牌<color=#E76D88>红莲乱舞</color>	202154
49002	23	[4, 49, 0]	41	[2]	100	红莲必杀，增加2行动点		
49003	23	[4, 49, 0]	31	[0, 1, 2, 0, 0, 0]	100	红莲必杀，抽牌堆顺序抽2任意牌		
50001	23	[4, 50, 0]	27	[24]	100	风暴必杀，对指挥官增加24护甲	使用了必杀牌<color=#FAD364FF>琉晶壁垒</color>	205154
50002	23	[4, 50, 0]	12	[2010, 1]	100	风暴必杀，指挥官获得1层标记【壁垒】		
51001	23	[4, 51, 0]	8	[4]	100	蚀暗必杀，对指挥官回复4生命值	使用了必杀牌<color=#59CCFFFF>苍穹星降</color>	203154
51002	23	[4, 51, 0]	40	[0, 1, 2, 2]	100	蚀暗必杀，翻开牌堆顶若干张牌，直到翻开牌的点数之和大于等于指挥官当前生命值为止，获得翻开的牌		
52001	23	[4, 52, 0]	14	[4020, 1, 4]	100	零度必杀，添加一个无效Token用于播放必杀语音。		204154
52002	23	[4, 52, 0]	32	[0, 1, 4010, 0, 0, 0, 0]	100	零度必杀，翻开牌堆顶的X张牌，X为拥有的【饶恕】标记层数，获得翻开的牌。统计翻开牌点数之和，传参触发52003造成所翻开牌点数之和的伤害，然后移除所有【饶恕】标记	使用了必杀牌<color=#E76D88>天命之雨</color>	
52003	43	[52002]	3	[1, 1]	100	零度必杀，造成传参点数伤害，结算完毕后触发52004。然后移除所有【饶恕】标记		
52004	43	[52003]	14	[4010, -3, 4]	100	零度必杀，对零度移除所有【饶恕】标记。		
53001	23	[4, 53, 0]	30	[4, 1, 2, 0, 0, 0, -1, 0, 2]	100	凛冽必杀，从抽牌堆或弃牌堆抽2张与最右侧手牌点数相同的牌	使用了必杀牌<color=#FAD364FF>涤罪之枪</color>	
53002	23	[4, 53, 0]	27	[6]	100	凛冽必杀，对指挥官增加6护甲		214064
54001	23	[4, 54, 0]	8	[4]	100	清商必杀，回复4点生命值。	使用了必杀牌<color=#59CCFFFF>苍山悠梦境</color>	239071
54002	23	[4, 54, 0]	32	[0, 1, 5010, 0, 0, 0, 0]	100	清商必杀，根据【曼舞】层数，抽X张牌，然后触发54003效果		
54003	43	[54002]	16	[5010, 54004]	100	清商必杀根据【曼舞】层数，触发54004效果		
54004	1	[0, 0, 0]	12	[5020, 1]	100	清商必杀，为指挥官增加X层【力量】，结算完毕后触发54005		
54005	43	[54003]	14	[5010, -4, 5]	100	清商必杀，对清商移除所有【曼舞】		
55001	23	[4, 55, 0]	14	[7070, 1, 7]	100	银冕必杀，添加一个无效Token用于播放必杀语音。		220070
55002	23	[4, 55, 0]	16	[7010, 55003]	100	银冕必杀，根据银冕拥有的【湮灭】层数，触发效果55003。	使用了必杀牌<color=#E76D88>终焉降临</color>	
55003	1	[0, 0, 0]	15	[7020, 1, 0]	100	银冕必杀，根据银冕拥有的【湮灭】层数，对敌方目标施加等量的【帕弥什】。		
55004	23	[4, 55, 0]	16	[7010, 55005]	100	银冕必杀，根据银冕拥有的【湮灭】层数，触发效果55005。		
55005	1	[0, 0, 0]	12	[7030, 1]	100	银冕必杀，添加计数Token。		
56001	23	[4, 56, 0]	14	[9050, 1, 9]	100	辉晓必杀，添加一个无效Token用于播放必杀语音。		232071
56002	23	[4, 56, 0]	16	[9010, 56003]	100	辉晓必杀，根据9010计数Token层数，触发56003		
56003	1	[0, 0, 0]	27	[1, 0, 0, 1]	100	辉晓必杀，获得X点护甲，X为你本回合中弃置牌的数量	使用了必杀牌<color=#FAD364FF>星碎地平线</color>	
56004	23	[4, 56, 0]	47	[1]	100	辉晓必杀，触发红色位置角色QTE		
56005	23	[4, 56, 0]	47	[2]	100	辉晓必杀，触发蓝色位置角色QTE		
57001	23	[4, 57, 0]	39	[0, 57002, 0, 0, 0, 0]	100	幻奏必杀，弃置所有手牌，驱动57002		228071
57002	1	[0, 0, 0]	31	[0, 1, 1, 0, 0, 0]	100	幻奏必杀，保底抽1	使用了必杀牌<color=#59CCFFFF>幻想银河组曲</color>	
113001	23	[4, 113, 0]	30	[1, 2, 1, 0, 0, 113, 0, 0, -1]	100	跃升击效果，打出后移出游戏		
113002	23	[4, 113, 0]	41	[1]	100	跃升击效果，获得1点行动点	使用了衍生牌<color=#FFFFFF>跃升击</color>	232070
113003	23	[4, 113, 0]	31	[0, 1, 1, 0, 0, 0]	100	跃升击效果，抽1张牌		
113004	23	[4, 113, 0]	3	[1, 1]	100	跃升击效果，造成1伤害		
1000001	25	[1]	29	[1]	400	通用Token【刚体】：拥有【刚体】时，受到的直接伤害恒为1点。		
1000002	23	[0, 0, 1]	11	[1, -1]	400	通用Token【刚体】：拥有【刚体】时，玩家单消后，失去等同于消球点数值之和的【刚体】层数。		
1000003	22	[0, 0, 1]	11	[1, -1]	400	通用Token【刚体】：拥有【刚体】时，玩家双消后，失去等同于消球点数值之和的【刚体】层数。		
1000004	21	[0, 0, 1]	11	[1, -1]	400	通用Token【刚体】：拥有【刚体】时，玩家三消后，失去等同于消球点数值之和的【刚体】层数。		
1000005	21	[3, 0, 0]	11	[1, 10]	400	第一章关卡Token【嗜黄】：玩家三消黄球时，拥有此Token的怪物获得10层【刚体】。	<color=#FFFFFF>【嗜黄】</color>效果触发	
1000006	21	[1, 0, 0]	11	[6, 1]	400	第一章关卡Token【嗜红】：玩家三消红球时，获得1层【暴走】	<color=#FFFFFF>【嗜红】</color>效果触发	
1000007	21	[2, 0, 0]	43	[38, 1, 5]	400	第一章关卡Token【嗜蓝】：玩家三消蓝球时，召唤1个自爆原虫	<color=#FFFFFF>【嗜蓝】</color>效果触发	
1000008	25	[3]	22	[5000, 0]	400	玩家用Token【脆弱】：使受到的直接伤害增加50%。		
1000009	6	[0, 0, 0, 2, 0]	12	[5, -1]	400	玩家用Token【脆弱】：受伤后减少1层。		
1000010	25	[3]	21	[1, 0]	400	怪物通用Token【暴走】：造成伤害时，伤害值+1。		
1000011	25	[1]	22	[-2500, 1]	400	玩家用Token【虚弱】：造成的直接伤害减少25%		
1000012	5	[0, 0]	12	[7, -1]	400	玩家用Token【虚弱】：造成直接伤害后减少1层。		
1000013	10	[3, 40, 1]	2	[10]	400	【倒数】计数Token：失去层数后为1层时，对指挥官攻击10。		
1000014	43	[1000013]	4	[100]	400	【倒数】计数Token：失去层数后为1层时，对自身攻击100。		
1000020	30	[1]	11	[9, -1]	400	怪物用Token【苦旅Ⅰ】：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000021	6	[0, 4, 12, 2, 0]	11	[9, 12]	400	怪物用Token【苦旅Ⅰ】：受到单次大于等于12的伤害时，重置为12层。	<color=#FFFFFF>【苦旅Ⅰ】</color>层数重置	
1000030	30	[1]	11	[10, -1]	400	怪物用Token【苦旅Ⅱ】：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000031	6	[0, 4, 12, 2, 0]	11	[10, 12]	400	怪物用Token【苦旅Ⅱ】：受到单次大于等于12的伤害时，重置为12层。	<color=#FFFFFF>【苦旅Ⅱ】</color>层数重置	
1000032	40	[2, 114]	2	[3]	400	怪物用Token【苦旅Ⅱ】：抽到苦刑时，对指挥官攻击3		
1000040	23	[4, 114, 0]	30	[1, 2, 1, 0, 0, 114, 0, 0, -1]	100	苦刑效果，打出后移出游戏		
1000041	23	[4, 114, 0]	41	[1]	100	苦刑效果，获得1点行动点	使用了衍生牌<color=#FFFFFF>苦刑</color>	
1000050	23	[4, 115, 0]	30	[1, 2, 1, 0, 0, 115, 0, 0, -1]	100	苦刑效果，打出后移出游戏		
1000051	23	[4, 115, 0]	41	[1]	100	苦刑效果，获得1点行动点	使用了衍生牌<color=#FFFFFF>苦刑</color>	
1000060	30	[1]	11	[11, -1]	400	怪物用Token【苦旅Ⅲ】：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000061	6	[0, 4, 24, 2, 0]	11	[11, 12]	400	怪物用Token【苦旅Ⅲ】：受到单次大于等于24的伤害时，重置为12层。	<color=#FFFFFF>【苦旅Ⅲ】</color>层数重置	
1000062	40	[2, 115]	2	[3]	400	怪物用Token【苦旅Ⅲ】：抽到苦刑时，对指挥官攻击3		
1000070	30	[1]	11	[12, -1]	400	怪物用Token【苦旅Ⅳ】：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000071	6	[0, 4, 24, 2, 0]	11	[12, 12]	400	怪物用Token【苦旅Ⅳ】：受到单次大于等于24的伤害时，重置为12层。	<color=#FFFFFF>【苦旅Ⅳ】</color>层数重置	
1000072	40	[2, 115]	2	[3]	400	怪物用Token【苦旅Ⅳ】：抽到苦刑时，对指挥官攻击3		
