Id	Life	Attack	AttackIntensity	Defense	DefensePierceP	CritP	CritResistanceP	CritDmgRateP	CritDmgRateReductionP	ShieldEfficiencyP	ShieldAmpP	ShieldReductionP	ShieldGainBonusP	ShieldGainReductionP	PhysicalAmpP	Element1AmpP	Element2AmpP	Element3AmpP	Element4AmpP	PhysicalReductionP	Element1ReductionP	Element2ReductionP	Element3ReductionP	Element4ReductionP	PhysicalPierceP	Element1PierceP	Element2PierceP	Element3PierceP	Element4PierceP	SignalSkillDmgAmpP	CoreSkillDmgAmpP	NormalAtkDmgAmpP	ExSkillDmgAmpP	HuntSkillDmgAmpP	SignalSkillDmgReductionP	SpecialSkillDmgReductionP	NormalAtkDmgReductionP	ExSkillDmgReductionP	HuntSkillDmgReductionP	ThreatRate	CharacterValue	ExSkillPoint	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4	Speed	RunSpeed	JumpSpeed	RunSpeedCOE	JumpSpeedCOE	IdleJumpSpeedCOE	WalkJumpSpeedCOE	SprintJumpSpeedCOE	RunStartJumpSpeedCOE	SprintStartJumpSpeedCOE	RotationSpeed	WalkSpeed	WalkSpeedCOE	SprintSpeed	SprintSpeedCOE	DmgReduction	BlockRate	BlockReduction	Attack1AmpP	Attack2AmpP	Attack3AmpP	Attack4AmpP	Attack5AmpP	Attack6AmpP	Attack7AmpP	DmgLimitP	Bonus1RateP	Bonus2RateP	Bonus3RateP	BonusDmgP	WeakAmpP	HealAmpP	BreakDmg	BreakDmgP	BreakGauge	BreakGaugeRecoveryRateP	BreakGaugeReductionCOE	OverDrive	OverDriveBreakTime	OverDriveStackP	OverDriveDecreaseP	OverDriveDecreaseSpeed	OverDriveRaiseLimit	OverDriveDecreaseLimit	CauseDamageThreatCoe	RebootValue	DmgAmplification	CooldownReduction	DodgeIncreaseP	BlockIncreaseP	RelinkChainSkillAmpP	BonusDmgP2	BonusDmgP3
1018	800	35						10000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
1051	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												10000	1500							
1052	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												35000	1500							
1053	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												7000	1500							
1054	10000	500		650		500		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		5												7000	1500							
1056	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												10000	1500							
1058	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												7000	1500							
1200	5000	1000		650		2000		15000																																	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100													1500							
3501	80000	2000		5000		2500		15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				6750	333		10000	150000	130	363	25	10000	10000	10000	1500							
8001	1	1500		5000		2500		15000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8002	1	1500		5000		2500		15000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8004	1	100		100				10000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8005	936000	120		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	529	881	25	10000	10000	10000	1500							
8006	936000	1200		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	529	881	25	10000	10000	10000	1500							
8007	392616	1500		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	452	881	80	10000	10000	10000	1500							
8008	900651	1800		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	307	500	70	10000	10000	10000	1500							
8009	1729299	3200		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				5000	400		10000	150000	198	250	60	10000	10000	10000	1500							
8010	4141709	5200		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				6000	400		10000	150000	93	116	30	10000	10000	10000	1500							
8011	6166288	7000		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				7000	400		10000	150000	81	108	20	10000	10000	10000	1500							
8012	99999999	1500		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				5000	400		10000	150000	452	881	80	10000	10000	10000	1500							
8051	99999	1500		5000		2500		15000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8052	1560600	2000		5000		2500		15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				6750	333		6500	150000	130	363	25	10000	10000	10000	1500							
8053	99999	1500		5000		2500		15000																																10000			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8060	471139	2000		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	452	881	80	10000	10000	10000	1500							
8061	1000000	4200		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				3984	400		10000	150000	210	450	70	10000	10000	10000	1500							
8062	1500000	7000		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				5000	400		10000	150000	120	200	55	10000	10000	10000	1500							
8063	3000000	11000		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				6000	400		10000	150000	86	100	45	10000	10000	10000	1500							
8064	6000000	15000		5000				15000																																10000			10499	20000					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	4000000		5000		12999																				7000	400		10000	150000	62	80	35	10000	10000	10000	1500							
8101	1	2000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8102	1	4500		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8103	1	6500		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8104	1	9000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8105	1	20000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8106	1	2000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8107	1	4500		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8108	1	6500		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8109	1	9000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8110	1	20000		5000		2500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8200	99999	950		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
8201	99999	950		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
8202	4200	400		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
8203	6500	5500		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
8204	4200	400		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
8205	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8206	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8207	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8208	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8209	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8210	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8211	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8212	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8213	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
8214	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														35000	1500							
8215	4200	400		650		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														35000	1500							
8301	1	1500		5000		2500		15000																																			10499	10499					100	100	100	100	55000			10000	13999	1000	5000	11000	10000	11000	150000		5000		11000																														7500	1500							
8302	1	1500		5000		2500		15000																																			10499	10499					100	100	100	100	55000			10000	13999	1000	5000	11000	10000	11000	150000		5000		11000																														10000	1500							
8303	1	1500		5000		2500		15000																																			10499	10499					100	100	100	100									10000		150000																																		10000	1500							
9003	1	100		100				10000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
9536	1	100		100				10000																																			10499	10499					100	100	100	100	55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10000	2688	2240		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10001	3264	2400		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10002	3600	2800		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10003	4248	3660		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10004	4680	4200		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10005	5016	4180		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10006	5808	4960		650		500		15000																																	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																														10000	1500							
10007	2688	2240		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10008	3264	2400		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10009	3600	2800		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10010	4248	3660		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10011	4680	4200		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10012	5016	4180		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10013	5808	4960		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10014	2688	2240		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10015	3264	2400		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10016	3600	2800		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10017	4248	3660		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10018	4680	4200		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10019	5016	4180		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10020	5808	4960		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10021	2688	2240		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10022	3264	2400		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10023	3600	2800		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10024	4248	3660		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10025	4680	4200		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10026	5016	4180		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
10027	5808	4960		5000		500		15000																																													55000			10000	20000	1000	5000	12999	10000	12999	150000		5000		12999																														10000	1500							
1057	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												35000	1500							
1602	10000	500		650		500		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		10												10000	1500							
1603	10000	500		650		500		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		10												10000	1500							
1055	5000	1000		650		2000		15000																																10000	200	1000	10499	10499	1000	1000	120	5					55000			10000	15000	3499	2000	12999	8000	8000	150000		2000		12999																		100												7000	1500							
