Id	NpcId	AttribId	ModelId	Name	TradeName	SquareHeadImage	RoundHeadImage	MvpAction	VictoryAction	FailAction
1241003	5060	1014	QR3HanyingMd010011TX	含英	檀心	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying2Q.png	Stand04	Win	Attack05
1311002	5061	1014	QR2BazhiMd010011TX	八咫	徊闪	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi2Q.png	Stand02	Win	Attack05
1321003	5062	1014	QR3CibeizheMd010011TX	伊什梅尔	幻日	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe2Q.png	Stand04	Win	Attack05
1331003	5063	1014	QR3LilithMd010011TX	莉莉丝	谬影	Assets/Product/Texture/Image/Role/RoleHeadR3Lilith1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Lilith2Q.png	Stand04	Win	Attack05
1211003	5064	1014	QR3WanshiMd010011TX	万事	明晰梦	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2Q.png	Stand04	Win	Attack05
1051005	5065	1014	QR5YongyechaoMd010011TX	七实	芒星之迹	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao2Q.png	Stand04	Win	Attack05
1021006	5066	1014	QR6LuxiyaMd010011TX	露西亚	誓焰	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2Q.png	Stand04	Win	Attack05
1531005	5067	1014	QR5SailinnaMd010011TX	赛琳娜	希声	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna2Q.png	Stand04	Win	Attack05
1341002	5068	1014	QR2JietaweiMd010011TX	洁塔薇	破晓	Assets/Product/Texture/Image/Role/RoleHeadR2Jietawei1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Jietawei2Q.png	Stand04	Win	Attack05
1131004	5069	1014	QR4WeilaMd010011TX	薇拉	灼惘	Assets/Product/Texture/Image/Role/RoleHeadR4Weila1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Weila2Q.png	Stand04	Win	Attack05
1041005	5070	1014	QR5BiankaMd010011TX	比安卡	晖暮	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka2Q.png	Stand04	Win	Attack05
1371002	5071	1014	QR2XiezouMd010011TX	斜奏	裁律	Assets/Product/Texture/Image/Role/RoleHeadR2Xiezou1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR2Xiezou2Q.png	Stand04	Win	Attack05
1381003	5072	1014	QR3WeiluonikaMd010011TX	维罗妮卡	铮骨	Assets/Product/Texture/Image/Role/RoleHeadR3Weiluonika1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weiluonika2Q.png	Stand04	Win	Attack05
1031005	5073	1014	QR5LifuMd010011TX	丽芙	霁梦	Assets/Product/Texture/Image/Role/RoleHeadR5Lifu1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR5Lifu2Q.png	Stand04	Win	Attack05
1291003	5074	1014	QR3BuouxiongMd010011TX	布偶熊	骇影	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong2Q.png	Stand04	Win	Attack05
1141004	5075	1014	QR4LuosaitaMd010011TX	罗塞塔	极锋	Assets/Product/Texture/Image/Role/RoleHeadR4Luosaita1Q.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luosaita2Q.png	Stand04	Win	Attack05
