Id	TitleContent	Background	Icon	Desc	IsProgress	EventType	Target	Params
11	一网打尽	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，单局内抓捕所有敌对阵营		1	1	
12	鼠鼠杀手	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，累计捉获老鼠10次\n（当前次数：%s）	True	2	10	
13	火眼金睛	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，击中隐身状态下的老鼠一次。		3	1	
14	最强鼠鼠	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，单局存活至最后且未被淘汰。		4	1	
15	友谊干杯	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	与好友组队游玩10次\n（当前次数：%s）	True	5	10	
16	熟能生巧	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	挑战任意关卡5次\n（当前次数：%s）	True	6	5	[104, 105, 106]
17	天罗地网	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用扫描技能10次\n（当前次数：%s）	True	7	10	
18	洞察之眼	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用标点技能10次\n（当前次数：%s）	True	18	10	
19	超市猎人	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用捕兽夹技能10次\n（当前次数：%s）	True	12	10	
20	摇身一变	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用变身技能10次\n（当前次数：%s）	True	8	10	
21	加速小子	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为猫阵营，使用全体增速技能10次\n（当前次数：%s）	True	20	10	
22	金色传说	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用随机道具技能10次\n（当前次数：%s）	True	19	10	
23	帽子戏法	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用传送帽技能10次\n（当前次数：%s）	True	21	10	
24	查无此人	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	作为鼠阵营，使用隐身技能10次\n（当前次数：%s）	True	9	10	
25	炸弹客	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	作为鼠阵营，使用眩晕弹道具10次\n（当前次数：%s）	True	14	10	
26	忍者神咪	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	作为猫阵营，使用钩锁道具10次\n（当前次数：%s）	True	16	10	
27	空军大王	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerGift.png	作为猫阵营，使用渔网道具10次\n（当前次数：%s）	True	17	10	
28	一网打尽	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，单局内抓捕所有敌对阵营		1	1	
29	鼠鼠杀手	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，累计捉获老鼠10次\n（当前次数：%s）	True	2	10	
30	火眼金睛	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，击中隐身状态下的老鼠一次。		3	1	
31	最强鼠鼠	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，单局存活至最后且未被淘汰。		4	1	
32	友谊干杯	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCup.png	与好友组队游玩10次\n（当前次数：%s）	True	5	10	
33	熟能生巧	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle01.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCheese.png	挑战任意关卡5次\n（当前次数：%s）	True	6	5	[104, 105, 106, 107]
34	天罗地网	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用扫描技能10次\n（当前次数：%s）	True	7	10	
35	超市猎人	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用捕兽夹技能10次\n（当前次数：%s）	True	12	10	
36	加速小子	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用全体增速技能10次\n（当前次数：%s）	True	20	10	
37	狩猎大师	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用足迹追踪技能10次\n（当前次数：%s）	True	22	10	
38	无所遁形	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用野兽标记技能10次\n（当前次数：%s）	True	24	10	
39	闻名丧胆	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	作为猫阵营，使用震慑技能10次\n（当前次数：%s）	True	25	10	
40	摇身一变	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用变身技能10次\n（当前次数：%s）	True	8	10	
41	帽子戏法	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用传送帽技能10次\n（当前次数：%s）	True	21	10	
42	墨汁艺术家	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用墨汁炸弹技能10次\n（当前次数：%s）	True	23	10	
43	欺诈师	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用幻象技能10次\n（当前次数：%s）	True	26	10	
44	坚不可摧	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用防护罩技能10次\n（当前次数：%s）	True	27	10	
45	香蕉王	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	作为鼠阵营，使用香蕉皮技能10次\n（当前次数：%s）	True	28	10	
46	一目了然	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	使用透视技能10次\n（当前次数：%s）	True	10	10	
