Id	AnimationName	ModelId	HideNodes	ShowNodes
11	StandAct0101	R5SailinnaMd010011SG	['R5SailinnaMd010011BodyEx', 'R5SailinnaMd010011BodyEx01', 'R5SailinnaMd010011DownEx', 'R5SailinnaMd010011DownEx01', 'R5SailinnaMd010011UpperEx', 'R5SailinnaMd010011Hair01eff', 'R5SailinnaMd010011Hair02eff', 'R5SailinnaMd010011BodyEx01_Lod0', 'R5SailinnaMd010011BodyEx_Lod0', 'R5SailinnaMd010011DownEx01_Lod0', 'R5SailinnaMd010011DownEx_Lod0', 'R5SailinnaMd010011UpperEx_Lod0']	
12	StandAct0101	R5SailinnaMd010021SG	['R5SailinnaMd010011BodyEx', 'R5SailinnaMd010011BodyEx01', 'R5SailinnaMd010011DownEx', 'R5SailinnaMd010011DownEx01', 'R5SailinnaMd010011UpperEx', 'R5SailinnaMd010011Hair01eff', 'R5SailinnaMd010011Hair02eff', 'R5SailinnaMd010011BodyEx01_Lod0', 'R5SailinnaMd010011BodyEx_Lod0', 'R5SailinnaMd010011DownEx01_Lod0', 'R5SailinnaMd010011DownEx_Lod0', 'R5SailinnaMd010011UpperEx_Lod0']	
13	StandAct0101	R5SailinnaMd010031SG	['R5SailinnaMd010011BodyEx', 'R5SailinnaMd010011BodyEx01', 'R5SailinnaMd010011DownEx', 'R5SailinnaMd010011DownEx01', 'R5SailinnaMd010011UpperEx', 'R5SailinnaMd010011Hair01eff', 'R5SailinnaMd010011Hair02eff', 'R5SailinnaMd010011BodyEx01_Lod0', 'R5SailinnaMd010011BodyEx_Lod0', 'R5SailinnaMd010011DownEx01_Lod0', 'R5SailinnaMd010011DownEx_Lod0', 'R5SailinnaMd010011UpperEx_Lod0']	
14	StandAct0101	R5SailinnaMd019011SG	['R5SailinnaMd019011AlphaEX', 'R5SailinnaMd019011BodyEX', 'R5SailinnaMd019011DownEX', 'R5SailinnaMd019011UpperEX', 'R5SailinnaMd019011Haireff', 'R5SailinnaMd019011JewelryEX']	
15	StandAct0101	R6LuxiyaMd019371SG	['R6LuxiyaMd019371Engine01', 'R6LuxiyaMd019371Engine02', 'E3TachibMd030011Low01', 'E3TachibMd030011Low02', 'E3TachibMd030011Low03', 'E3TachibMd030011Low04']	
16	StandAct0101	R3HanyingMd010011SG	['E3FazanMd010011L', 'E3FazanMd010011R', 'R3HanyingMd010011Hair03']	
17	StandAct0101	R3HanyingMd010021SG	['E3FazanMd010011L', 'E3FazanMd010011R', 'R3HanyingMd010011Hair03']	
18	StandAct0101	R3HanyingMd010031SG	['E3FazanMd010011L', 'E3FazanMd010011R', 'R3HanyingMd010011Hair03']	
19	StandAct0101	R3HanyingMd019141SG	['R3HanyingMd010011Hair03', 'E3FazanMd010011L', 'E3FazanMd010011R']	
20	StandAct0101	R3CibeizheMd010011SG	['R3CibeizheMd010021AlphaEX', 'R3CibeizheMd010021BodyEX', 'R3CibeizheMd010021ClothEX', 'R3CibeizheMd010021Crystal02EX', 'R3CibeizheMd010021CrystalEX', 'R3CibeizheMd010021StarEX', 'R3CibeizheMd010021UpperEX']	
21	StandAct0101	R3CibeizheMd010021SG	['R3CibeizheMd010021AlphaEX', 'R3CibeizheMd010021BodyEX', 'R3CibeizheMd010021ClothEX', 'R3CibeizheMd010021Crystal02EX', 'R3CibeizheMd010021CrystalEX', 'R3CibeizheMd010021StarEX', 'R3CibeizheMd010021UpperEX']	
22	StandAct0101	R3CibeizheMd010031SG	['R3CibeizheMd010021AlphaEX', 'R3CibeizheMd010021BodyEX', 'R3CibeizheMd010021ClothEX', 'R3CibeizheMd010021Crystal02EX', 'R3CibeizheMd010021CrystalEX', 'R3CibeizheMd010021StarEX', 'R3CibeizheMd010021UpperEX']	
23	StandAct0101	R3CibeizheMd019231SG	['R3CibeizheMd019231Alpha01EX', 'R3CibeizheMd019231Alpha01EX_1', 'R3CibeizheMd019231Alpha02EX', 'R3CibeizheMd019231Alpha02EX_1', 'R3CibeizheMd019231Alpha03EX', 'R3CibeizheMd019231Alpha03EX_1', 'R3CibeizheMd019231AlphaEX', 'R3CibeizheMd019231AlphaEX_1', 'R3CibeizheMd019231BodyEX', 'R3CibeizheMd019231ClothEX', 'R3CibeizheMd019231CrystalEX', 'R3CibeizheMd019231MetalEX', 'R3CibeizheMd019231DownEX']	
24	StandAct0101	R3CibeizheMd019141SG	['R3CibeizheMd019141AlphaEX', 'R3CibeizheMd019141BodyEX', 'R3CibeizheMd019141CrystalEX', 'R3CibeizheMd019141DownEX', 'R3CibeizheMd019141Hair03EX', 'R3CibeizheMd019141UpperEX']	
25	StandAct0101	R4DubianMd019071SG	['E3BlunderbussMd010011']	
26	StandAct0101	R5BiankaMd010011SG	['R5BiankaMd010011AlphaEX', 'R5BiankaMd010011AlphaEX01', 'R5BiankaMd010011Band', 'R5BiankaMd010011FaceEX', 'R5BiankaMd010011BodyEX01', 'R5BiankaMd010011BodyEX02', 'R5BiankaMd010011Band_Lod0', 'R5BiankaMd010011Band_Lod1']	
27	StandAct0101	R5BiankaMd010021SG	['R5BiankaMd010011AlphaEX', 'R5BiankaMd010011AlphaEX01', 'R5BiankaMd010011Band', 'R5BiankaMd010011FaceEX', 'R5BiankaMd010011BodyEX01', 'R5BiankaMd010011BodyEX02', 'R5BiankaMd010011Band_Lod0', 'R5BiankaMd010011Band_Lod1']	
28	StandAct0101	R5BiankaMd010031SG	['R5BiankaMd010011AlphaEX', 'R5BiankaMd010011AlphaEX01', 'R5BiankaMd010011Band', 'R5BiankaMd010011FaceEX', 'R5BiankaMd010011BodyEX01', 'R5BiankaMd010011BodyEX02', 'R5BiankaMd010011Band_Lod0', 'R5BiankaMd010011Band_Lod1']	
29	StandAct0101	R5BiankaMd019011SG	['R5BiankaMd019011Alpha01EX', 'R5BiankaMd019011HatEX', 'R5BiankaMd010011FaceEX', 'R5BiankaMd019021Down']	
30	StandAct0101	R5BiankaMd019241SG	['R5BiankaMd010011EyeEX', 'R5BiankaMd010011FaceEX', 'R5BiankaMd019241Alpha01EX', 'R5BiankaMd019241Alpha07EX', 'R5BiankaMd019241Alpha02EX', 'R5BiankaMd019241Alpha03EX', 'R5BiankaMd019241Alpha03_1EX', 'R5BiankaMd019241Alpha04EX', 'R5BiankaMd019241Alpha05EX', 'R5BiankaMd019241Alpha05_1EX', 'R5BiankaMd019241Alpha06EX', 'R5BiankaMd019241Alpha06_1EX', 'R5BiankaMd019241BodyEX', 'R5BiankaMd019241DownEX', 'R5BiankaMd019241Hair02EX', 'R5BiankaMd019241MetalEX', 'R5BiankaMd019241Skirt01EX', 'R5BiankaMd019241Skirt02EX', 'R5BiankaMd019241UpperEX', 'R5BiankaMd019241BandEX', 'R5BiankaMd019241Alpha07_1EX']	
31	StandAct0101	R5SailinnaMd019371SG	['R5SailinnaMd019371Alpha03EX', 'R5SailinnaMd019371Alpha05EX', 'R5SailinnaMd019371Alpha06EX', 'R5SailinnaMd019371Alpha08EX', 'R5SailinnaMd019371Alpha09EX', 'R5SailinnaMd019371Hair01eff', 'R5SailinnaMd019371Hair02eff', 'R5SailinnaMd019371BodyEX']	
32	StandAct0101	R3WeilaMd019141SG	['R3WeilaMd019141Weapon']	
33	StandAct0101	R4LifuMd019331SG	['R4LifuMd019331Weapon', 'R4LifuMd019331Weapon01']	
34	StandAct0101	R4LifuMd010011SG	['R4LifuMd010011Weapon', 'R4LifuMd010011Goggles']	
35	StandAct0101	R4LifuMd010021SG	['R4LifuMd010011Weapon', 'R4LifuMd010011Goggles']	
36	StandAct0101	R4LifuMd010031SG	['R4LifuMd010011Weapon', 'R4LifuMd010011Goggles']	
37	StandAct0101	R3WeiluonikaMd010011SG	['R3WeiluonikaMd010011Wing', 'R3WeiluonikaMd010011WingAlpha']	
38	StandAct0101	R3WeiluonikaMd010021SG	['R3WeiluonikaMd010011Wing', 'R3WeiluonikaMd010011WingAlpha']	
39	StandAct0101	R3WeiluonikaMd010031SG	['R3WeiluonikaMd010011Wing', 'R3WeiluonikaMd010011WingAlpha']	
40	StandAct0101	R3WeiluonikaMd019011SG	['R3WeiluonikaMd019011Wing', 'R3WeiluonikaMd019011WingAlpha']	
41	StandAct0101	R3WanshiMd019281SG	['E3BlunderbussMd010011']	
42	StandAct0101	R4DubianMd010011SG	['E3BlunderbussMd010011']	
43	StandAct0101	R4DubianMd010021SG	['E3BlunderbussMd010011']	
44	StandAct0101	R4DubianMd010031SG	['E3BlunderbussMd010011']	
45	StandAct0101	R4DubianMd019071SG	['E3BlunderbussMd010011']	
46	StandAct0101	R3LilithMd010011SG	['R3LilithboxMd010001']	
47	StandAct0101	R3LilithMd010021SG	['R3LilithboxMd010001']	
48	StandAct0101	R3LilithMd010031SG	['R3LilithboxMd010001']	
49	StandAct0101	R3LilithMd019281SG	['R3LilithboxMd010001']	
50	StandAct0101	R5LifuMd010011SG	['R5LifuMd010011Alpha04', 'R5LifuMd010011Alpha02EX', 'R5LifuMd010011Body02', 'R5LifuMd010011Effect01', 'R5LifuMd010011Effect02', 'R5LifuMd010011Effect03', 'R5LifuMd010011Effect04', 'R5LifuMd010011FaceEX', 'R5LifuMd010011Hair01EX', 'R5LifuMd010011Hair02EX', 'R5LifuMd010011Alpha02_Lod0', 'R5LifuMd010011Alpha02_Lod1', 'R5LifuMd010011Alpha02']	
51	StandAct0101	R5LifuMd010021SG	['R5LifuMd010011Alpha04', 'R5LifuMd010011Alpha02EX', 'R5LifuMd010011Body02', 'R5LifuMd010011Effect01', 'R5LifuMd010011Effect02', 'R5LifuMd010011Effect03', 'R5LifuMd010011Effect04', 'R5LifuMd010011FaceEX', 'R5LifuMd010011Hair01EX', 'R5LifuMd010011Hair02EX', 'R5LifuMd010011Alpha02_Lod0', 'R5LifuMd010011Alpha02_Lod1', 'R5LifuMd010011Alpha02']	
52	StandAct0101	R5LifuMd010031SG	['R5LifuMd010011Alpha04', 'R5LifuMd010011Alpha02EX', 'R5LifuMd010011Body02', 'R5LifuMd010011Effect01', 'R5LifuMd010011Effect02', 'R5LifuMd010011Effect03', 'R5LifuMd010011Effect04', 'R5LifuMd010011FaceEX', 'R5LifuMd010011Hair01EX', 'R5LifuMd010011Hair02EX', 'R5LifuMd010011Alpha02_Lod0', 'R5LifuMd010011Alpha02_Lod1', 'R5LifuMd010011Alpha02', 'R5LifuMd010031Body02', 'R5LifuMd010031Body02_Lod0', 'R5LifuMd010031Body02_Lod1']	
53	StandAct0101	R5LifuMd019011SG	['R5LifuMd010011FaceEX', 'R5LifuMd019011BodyEX', 'R5LifuMd019011BodyEX02', 'R5LifuMd019011BodyEX03', 'R5LifuMd019011BodyEX04', 'R5LifuMd019011Hair01EX', 'R5LifuMd019011Hair02EX', 'R5LifuMd019011Alpha05', 'R5LifuMd019011Alpha09', 'R5LifuMd019011Alpha10', 'R5LifuMd019011Alpha10_Lod0', 'R5LifuMd019011Alpha10_Lod1']	
54	StandAct0101	R6LuxiyaMd010011SG	['R6LuxiyaMd010011Engine03_Lod0', 'R6LuxiyaMd010011Engine03_Lod1', 'R6LuxiyaMd010011Engine04_Lod0', 'R6LuxiyaMd010011Engine04_Lod1']	
55	StandAct0101	R6LuxiyaMd010021SG	['R6LuxiyaMd010011Engine03_Lod0', 'R6LuxiyaMd010011Engine03_Lod1', 'R6LuxiyaMd010011Engine04_Lod0', 'R6LuxiyaMd010011Engine04_Lod1']	
56	StandAct0101	R6LuxiyaMd010031SG	['R6LuxiyaMd010011Engine03_Lod0', 'R6LuxiyaMd010011Engine03_Lod1', 'R6LuxiyaMd010011Engine04_Lod0', 'R6LuxiyaMd010011Engine04_Lod1']	
57	StandAct0101	R6LuxiyaMd019371SG	['R6LuxiyaMd019371Engine03_Lod0', 'R6LuxiyaMd019371Engine03_Lod1', 'R6LuxiyaMd019371Engine04_Lod0', 'R6LuxiyaMd019371Engine04_Lod1']	
58	StandAct0101	R4LunaMd019031SG	['E3WingMd50011', 'E3WingMd050011Alpha']	
59	StandAct0101	R3BuouxiongMd010011SG	['R3BuouxiongMd010011Goggles', 'R3BuouxiongMd010011Goggles_Lod0', 'R3BuouxiongMd010011Goggles_Lod1']	
60	StandAct0101	R3BuouxiongMd010021SG	['R3BuouxiongMd010011Goggles', 'R3BuouxiongMd010011Goggles_Lod0', 'R3BuouxiongMd010011Goggles_Lod1']	
61	StandAct0101	R3BuouxiongMd010031SG	['R3BuouxiongMd010011Goggles', 'R3BuouxiongMd010011Goggles_Lod0', 'R3BuouxiongMd010011Goggles_Lod1']	
62	StandAct0101	R4LuosaitaMd010011SG	['R4LuosaitaMd010021FeijiL', 'R4LuosaitaMd010021FeijiLAlpha', 'R4LuosaitaMd010021FeijiR', 'R4LuosaitaMd010021FeijiRAlpha', 'R4LuosaitaMd010021Tail']	
63	StandAct0101	R4LuosaitaMd010021SG	['R4LuosaitaMd010021FeijiL', 'R4LuosaitaMd010021FeijiLAlpha', 'R4LuosaitaMd010021FeijiR', 'R4LuosaitaMd010021FeijiRAlpha', 'R4LuosaitaMd010021Tail']	
64	StandAct0101	R4LuosaitaMd010031SG	['R4LuosaitaMd010021FeijiL', 'R4LuosaitaMd010021FeijiLAlpha', 'R4LuosaitaMd010021FeijiR', 'R4LuosaitaMd010021FeijiRAlpha', 'R4LuosaitaMd010021Tail']	
65	StandAct0101	R4LuosaitaMd019011SG	['R4LuosaitaMd019011Tail', 'R4LuosaitaMd019011Feiji02', 'R4LuosaitaMd019011Feiji01']	
66	StandAct0101	R4ShenweiMd010011SG	['R4ShenweiMd010021Cuirass01', 'R4ShenweiMd010021Knee02', 'R4Shenwei_shieldMd010011Alpha01', 'R4Shenwei_shieldMd010011Alpha02', 'R4Shenwei_shieldMd010011Main01', 'R4Shenwei_shieldMd010011Main02']	
67	StandAct0101	R4ShenweiMd010021SG	['R4ShenweiMd010021Cuirass01', 'R4ShenweiMd010021Knee02', 'R4Shenwei_shieldMd010011Alpha01', 'R4Shenwei_shieldMd010011Alpha02', 'R4Shenwei_shieldMd010011Main01', 'R4Shenwei_shieldMd010011Main02']	
68	StandAct0101	R4ShenweiMd010031SG	['R4ShenweiMd010021Cuirass01', 'R4ShenweiMd010021Knee02', 'R4Shenwei_shieldMd010011Alpha01', 'R4Shenwei_shieldMd010011Alpha02', 'R4Shenwei_shieldMd010011Main01', 'R4Shenwei_shieldMd010011Main02']	
69	StandAct0101	R4ShenweiMd019421SG	['R4ShenweiMd019421Cuirass02', 'R4ShenweiMd019421DownEX', 'R4ShenweiMd019421UpperEX', 'R4ShenweiMd019421AlphaEX', 'R4Shenwei_shieldMd019421Main01', 'R4Shenwei_shieldMd019421Main02']	
