Id	CharacterId	Icon	RoundnessNotItemHeadIcon	BiggerDesc	SmallerDesc	EqualDesc
11	1111002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3.png	选择<color=#34AFF8>大</color>吧，赢了要分我一份……我们讲好的，指挥官。	选择<color=#34AFF8>小</color>吧，赢了要分我一份……我们讲好的，指挥官。	
12	1121003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Kuluomu1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3.png	从已有的牌面来推断，我倾向这一次应该选择<color=#34AFF8>大</color>，指挥官。	从已有的牌面来推断，我倾向这一次应该选择<color=#34AFF8>小</color>，指挥官。	
13	1131002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	Assets/Product/Texture/Image/Role/RoleHeadWeila3.png	选<color=#34AFF8>大</color>，我给你答案，作为交换，你要给我什么呢？	选<color=#34AFF8>小</color>，我给你答案，作为交换，你要给我什么呢？	
14	1171004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luna1.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luna2.png	向我寻求帮助，是要付出代价的……选<color=#34AFF8>大</color>。答案我给你了，那么现在，到你支付代价的时候了。	向我寻求帮助，是要付出代价的……选<color=#34AFF8>小</color>。答案我给你了，那么现在，到你支付代价的时候了。	
15	1511003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	Assets/Product/Texture/Image/Role/RoleHeadKamu3.png	你还真是玩儿不腻这个游戏啊……这次选<color=#34AFF8>大</color>吧，你问为什么？当然是我随便选的啊。	你还真是玩儿不腻这个游戏啊……这次选<color=#34AFF8>小</color>吧，你问为什么？当然是我随便选的啊。	
16	1141003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3.png	把依靠运气的游戏选择权交给我吗？那么……就选择<color=#34AFF8>大</color>吧。也许，会出现什么奇迹呢。	把依靠运气的游戏选择权交给我吗？那么……就选择<color=#34AFF8>小</color>吧。也许，会出现什么奇迹呢。	
17	1521004	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Qu1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Qu2.png	我的意见？选择<color=#34AFF8>大</color>吧，我会带你走向你想要的胜利。	我的意见？选择<color=#34AFF8>小</color>吧，我会带你走向你想要的胜利。	
18	1161002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadChangyu1.png	Assets/Product/Texture/Image/Role/RoleHeadChangyu3.png	这次应该选<color=#34AFF8>大</color>！你想学这个技巧？有时间的话，我有偿教学怎么样？	这次应该选<color=#34AFF8>小</color>！你想学这个技巧？有时间的话，我有偿教学怎么样？	
19	1211003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Wanshi1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2.png	呼……这次就选<color=#34AFF8>大</color>吧，错了的话，我来赔你的损失。	呼……这次就选<color=#34AFF8>小</color>吧，错了的话，我来赔你的损失。	
20	1531003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSailinna1.png	Assets/Product/Texture/Image/Role/RoleHeadSailinna3.png	我听到了风带来的笛声……指挥，选<color=#34AFF8>大</color>吧，这是风告诉我的答案。	我听到了风带来的笛声……指挥，选<color=#34AFF8>小</color>吧，这是风告诉我的答案。	
21	1221003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Twentyone1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2.png	嗅嗅……选<color=#34AFF8>大</color>，因为，21号记得那个味道。	嗅嗅……选<color=#34AFF8>小</color>，因为，21号记得那个味道。	
22	1541003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuolan1.png	Assets/Product/Texture/Image/Role/RoleHeadLuolan3.png	哈哈，让我来寻找掩盖在牌面下的真相？那就选<color=#34AFF8>大</color>吧，怎么样？	哈哈，让我来寻找掩盖在牌面下的真相？那就选<color=#34AFF8>小</color>吧，怎么样？	
23	1551003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadPulao1.png	Assets/Product/Texture/Image/Role/RoleHeadPulao3.png	嗯嗯……这次是<color=#34AFF8>大</color>！虽然不擅长算数，但——蒲牢的第一感觉绝对不会出错！	嗯嗯……这次是<color=#34AFF8>小</color>！虽然不擅长算数，但——蒲牢的第一感觉绝对不会出错！	
24	1561003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadHakama1.png	Assets/Product/Texture/Image/Role/RoleHeadHakama3.png	根据您的请求，计算推导结果为，<color=#34AFF8>大</color>，本次胜利概率为99.85%，指挥官。	根据您的请求，计算推导结果为，<color=#34AFF8>小</color>，本次胜利概率为99.85%，指挥官。	
25	1571003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadNuoan1.png	Assets/Product/Texture/Image/Role/RoleHeadNuoan3.png	让我扔个硬币……好，就决定是<color=#34AFF8>大</color>了，对于这种游戏，我的运气向来不错。	让我扔个硬币……好，就决定是<color=#34AFF8>小</color>了，对于这种游戏，我的运气向来不错。	
26	1231002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Bangbinata1.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata2.png	这是新的命令吗？邦比娜塔的看法是……应该选<color=#34AFF8>大</color>。	这是新的命令吗？邦比娜塔的看法是……应该选<color=#34AFF8>小</color>。	
27	1241003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Hanying1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying2.png	在船上，我曾经也很擅长这样的游戏……这次就选<color=#34AFF8>大</color>怎么样？	在船上，我曾经也很擅长这样的游戏……这次就选<color=#34AFF8>小</color>怎么样？	
28	1251002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Nuoketi1.png	Assets/Product/Texture/Image/Role/RoleHeadR2Nuoketi2.png	什么规则？搞不懂，这次选<color=#34AFF8>大</color>就好了吧！没关系，你输太惨的话，我可以帮你把这里炸掉。	什么规则？搞不懂，这次选<color=#34AFF8>小</color>就好了吧！没关系，你输太惨的话，我可以帮你把这里炸掉。	
29	1261003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Yalisha1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha2.png	……这样的场外援助不会违反规定吗？不会啊……那就选<color=#34AFF8>大</color>好了，应该不会有问题的。	……这样的场外援助不会违反规定吗？不会啊……那就选<color=#34AFF8>小</color>好了，应该不会有问题的。	
30	1271003	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Lamiya1.png	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2.png	噫……我可不敢帮你决定，但，但如果你一定要答案的话……选<color=#34AFF8>大</color>就好了！	噫……我可不敢帮你决定，但，但如果你一定要答案的话……选<color=#34AFF8>小</color>就好了！	
31	1291002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Buouxiong1.png	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2.png	这么点问题真需要我出场吗？明明一眼就能看出答案，选<color=#34AFF8>大</color>。	这么点问题真需要我出场吗？明明一眼就能看出答案，选<color=#34AFF8>小</color>。	
32	1301002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR2Bulijite1.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite2.png	在犹豫选哪个吗？拿不准的话，闭上眼睛出拳就好。嘿——是<color=#34AFF8>大</color>，指挥官！	在犹豫选哪个吗？拿不准的话，闭上眼睛出拳就好。嘿——是<color=#34AFF8>小</color>，指挥官！	
