Id	Name	Sort	BgIcon	NameIcon	StageId	EnduranceCost	SingleSwitch	ConditionDesc	ActiveBuffId	BottomCount	ShowDropId	ShowBottomId	Difficulty	SingleDiff	SkillTitle	SkillDesc	EventId
32002	TSZ-02	2				1		击败所有敌人	1	12	140100	140100	[2010106, 2010206, 2010306]		['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '喷涂机械 武藏玖型 禁卫 遗迹勘探者']	[760303, 760343, 760453, 760283, 760221, 760353, 760253]
32003	TSZ-03	3				1		击败最终boss	1	12	140100	140100	[3010106, 3010206, 3010306]		['障碍：']	['跟随指示突破敌人设下的障碍击败最终首领']	[760253, 760133, 760343, 760351, 760201, 760303, 760453, 760293]
41001	TFZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010107, 1010207, 1010307]	[1011107]	['首领：']	['罗塞塔']	[760341, 760601]
41002	TFZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010107, 2010207, 2010307]	[2011107]	['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '力士 舞轮 吊人 禄存 至尊 勘探单元']	[760411, 760303, 760373, 760133, 760453, 760383, 760293, 760433]
41003	TFZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010107, 3010207, 3010307]	[3011107]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
42001	TSZ-01	1				1	True	击败最终boss	1	12	140100	140100	[1010108, 1010208, 1010308]	[1011108]	['首领：']	['加百列']	[760281]
42002	TSZ-02	2				1	True	击败所有敌人	1	12	140100	140100	[2010108, 2010208, 2010308]	[2011108]	['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '力士 舞轮 吊人 禄存 至尊 勘探单元']	[760411, 760303, 760373, 760133, 760453, 760383, 760293, 760433]
42003	TSZ-03	3				1	True	击败最终boss	1	12	140100	140100	[3010108, 3010208, 3010308]	[3011108]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
31101	TFZ-01	1				1		击败最终boss	1	12	140101	140101	[1020105, 1020205, 1020305]		['首领：']	['华胥']	[760343, 760303]
31102	TFZ-02	2				1		击败所有敌人	1	12	140101	140101	[2020105, 2020205, 2020305]		['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '喷涂机械 武藏玖型 禁卫 遗迹勘探者']	[760303, 760343, 760453, 760283, 760221, 760353, 760253]
31103	TFZ-03	3				1		击败最终boss	1	12	140101	140101	[3020105, 3020205, 3020305]		['障碍：']	['跟随指示突破敌人设下的障碍击败最终首领']	[760253, 760133, 760343, 760351, 760201, 760303, 760453, 760293]
32101	TSZ-01	1				1		击败最终boss	1	12	140101	140101	[1020106, 1020206, 1020306]		['首领：']	['加百列']	[760281]
32102	TSZ-02	2				1		击败所有敌人	1	12	140101	140101	[2020106, 2020206, 2020306]		['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '喷涂机械 武藏玖型 禁卫 遗迹勘探者']	[760303, 760343, 760453, 760283, 760221, 760353, 760253]
32103	TSZ-03	3				1		击败最终boss	1	12	140101	140101	[3020106, 3020206, 3020306]		['障碍：']	['跟随指示突破敌人设下的障碍击败最终首领']	[760253, 760133, 760343, 760351, 760201, 760303, 760453, 760293]
41101	TFZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020107, 1020207, 1020307]	[1021107]	['首领：']	['罗塞塔']	[760341, 760601]
41102	TFZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020107, 2020207, 2020307]	[2021107]	['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '力士 舞轮 吊人 禄存 至尊 勘探单元']	[760411, 760303, 760373, 760133, 760453, 760383, 760293, 760433]
41103	TFZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020107, 3020207, 3020307]	[3021107]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
42101	TSZ-01	1				1	True	击败最终boss	1	12	140101	140101	[1020108, 1020208, 1020308]	[1021108]	['首领：']	['加百列']	[760281]
42102	TSZ-02	2				1	True	击败所有敌人	1	12	140101	140101	[2020108, 2020208, 2020308]	[2021108]	['炙热：', '流转：', '可能出现敌人：']	['场景中会间歇性出现火焰对玩家造成伤害', '每次进入关卡都有可能出现不同的敌人', '力士 舞轮 吊人 禄存 至尊 勘探单元']	[760411, 760303, 760373, 760133, 760453, 760383, 760293, 760433]
42103	TSZ-03	3				1	True	击败最终boss	1	12	140101	140101	[3020108, 3020208, 3020308]	[3021108]	['岔口：', '集结：', '分散：', '吞噬：']	['共有两条路通向首领擂台', '若全员集中一条路，击败该条路上的所有敌人即可前往首领擂台', '若小队兵分两路，则需要击败所有敌人(或其中一条路上的队员死亡)即可前往首领擂台', '进入首领战后，首领会吞噬道路上剩余的敌人强化自身']	[760253, 760133, 760242, 760353]
