Id	Level	LevelGroup	Name	BriefDesc	Desc	LandformId	TipId	Icon	SmallIcon	LevelUpResourceIds	LevelUpResourceCounts	UnlockAreaIdxs	UnlockTechLevel	RewardResourceIds	RewardResourceCounts	UnlockBuildCount	RewardBluePrintIds	RewardBluePrintCounts
23	3	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3003		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[450]	[4, 5, 6]		[3]	[1]	2	[1004, 1006]	[1, 1]
24	4	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[500]			[3]	[2]	3	[2001, 2002, 2003]	[1, 1, 1]
25	5	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3005		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[600]	[7, 8, 9, 10]		[3]	[2]	3	[2004, 2006, 2005]	[1, 1, 1]
26	6	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3006		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[750]			[3]	[2]	4	[3001, 3002, 3003]	[1, 1, 1]
27	7	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3007		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[900]	[11, 12]		[3]	[3]	4	[3004, 3001, 3002, 3003]	[1, 1, 1, 1]
28	8	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3008		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[1200]			[3]	[3]	4	[3004, 2005]	[1, 1]
29	9	4	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3009		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[0]	[13]		[3]	[3]	4	[3005]	[1]
30		5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
31	1	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]	[2, 3]		[3]	[1]	3	[1001, 1002, 1003]	[6, 6, 6]
32	2	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3002		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[150]					6	[1004, 1006]	[3, 3]
33	3	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3003		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[450]	[4, 5]				9	[2001, 2002, 2003]	[3, 3, 3]
34	4	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3004		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[500]	[10, 11]				12	[2005, 2006, 2004]	[1, 3, 3]
35	5	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3005		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[600]	[6]				15	[3001, 3002, 3003]	[3, 3, 3]
36	6	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3006		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg07.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab03.png	[1]	[750]	[7, 8]				18	[3006, 3004, 3005]	[1, 3, 3]
37	7	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3007		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[900]	[9]				18		
38	8	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3008		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[1200]					18		
39	9	5	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3009		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[1200]					18		
40		6	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3001		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg00.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab02.png	[1]	[0]	[1]						
41	1	6	主城	速速升级。越快越好。	我们商旅之路的起点。承载所有生产和贸易功能，还兼顾地图拓展与建筑图纸发放。都这么多功能了，快升级吧0v0	3009		Assets/Product/Texture/Image/UiRogueSim/UiRogueSimLvImg01.png	Assets/Product/Texture/Atlas/UiRogueSim/UiRogueSimlvtab01.png	[1]	[0]	[2, 3, 4, 5, 6, 7]					[3001, 3002, 3003, 3004, 1008]	[3, 3, 3, 3, 1]
