Id	Type	Formula	Params	Desc
15410101	13		[2, 2, 10000]	需要1w金贝
15420101	13		[2, 2, 10000]	需要1w金贝
15430101	13		[2, 2, 10000]	需要1w金贝
15510101	13		[2, 2, 30000]	需要3w金贝
15510201	13		[2, 2, 30000]	需要3w金贝
15510301	13		[2, 2, 100000]	需要10w金贝
15520201	7		[1, 5]	需要主城达到5级以上
15520301	7		[1, 6]	需要主城达到6级以上
18010101	13		[2, 2, 5000]	需要5k金贝
18020101	13		[2, 2, 5000]	需要5k金贝
18030101	13		[2, 2, 5000]	需要5k金贝
18040101	13		[2, 2, 5000]	需要5k金贝
18050101	13		[2, 2, 5000]	需要5k金贝
18110101	3		[1, 2, 100]	需要100<color=#fdc700>椰子</color>
18120101	3		[2, 2, 900]	需要900<color=#969190>木材</color>
18130101	3		[3, 2, 60]	需要60<color=#cd934a>石油</color>
18140101		18140102&18140103		需要75<color=#fdc700>椰子</color>、225<color=#969190>木材</color>
18140102	3		[1, 2, 75]	需要75<color=#fdc700>椰子</color>
18140103	3		[2, 2, 225]	需要225<color=#969190>木材</color>
18150101		18150102&18150103		需要25<color=#fdc700>椰子</color>、675<color=#969190>木材</color>
18150102	3		[1, 2, 25]	需要25<color=#fdc700>椰子</color>
18150103	3		[2, 2, 675]	需要675<color=#969190>木材</color>
18160101		18160102&18160103		需要675<color=#969190>木材</color>、15<color=#cd934a>石油</color>
18160102	3		[2, 2, 675]	需要675<color=#969190>木材</color>
18160103	3		[3, 2, 15]	需要15<color=#cd934a>石油</color>
18170101		18170102&18170103		需要225<color=#969190>木材</color>、45<color=#cd934a>石油</color>
18170102	3		[2, 2, 225]	需要225<color=#969190>木材</color>
18170103	3		[3, 2, 45]	需要45<color=#cd934a>石油</color>
18180101		18180102&18180103		需要75<color=#fdc700>椰子</color>、15<color=#cd934a>石油</color>
18180102	3		[1, 2, 75]	需要75<color=#fdc700>椰子</color>
18180103	3		[3, 2, 15]	需要15<color=#cd934a>石油</color>
18190101		18190102&18190103		需要25<color=#fdc700>椰子</color>、45<color=#cd934a>石油</color>
18190102	3		[1, 2, 25]	需要25<color=#fdc700>椰子</color>
18190103	3		[3, 2, 45]	需要45<color=#cd934a>石油</color>
20000000	4		[2, 1]	当前回合数≥1
20000001	7		[1, 1]	需要主城达到1级以上
20000002	7		[1, 2]	需要主城达到2级以上
20000003	7		[1, 3]	需要主城达到3级以上
20000004	7		[1, 4]	需要主城达到4级以上
20000005	7		[1, 5]	需要主城达到5级以上
20000006	7		[1, 6]	需要主城达到6级以上
20000007	7		[1, 7]	需要主城达到7级以上
20000008	7		[1, 8]	需要主城达到8级以上
20000009	7		[1, 9]	需要主城达到9级以上
19010101	13		[2, 2, 10000]	需要 1w 金贝
19110101	13		[2, 2, 10000]	需要 1w 金贝
19310101	13		[2, 2, 10000]	需要 1w 金贝
19410101	13		[2, 2, 10000]	需要 1w 金贝
21010401	13		[2, 2, 10000]	需要 1w 金贝
21020101	13		[2, 2, 10000]	需要 1w 金贝
21020301	3		[1, 2, 500]	需要500<color=#fdc700>椰子</color>
21030101	3		[1, 2, 500]	需要500<color=#fdc700>椰子</color>
21030102	3		[1, 2, 500]	需要500<color=#fdc700>椰子</color>
21031102	3		[1, 2, 500]	需要500<color=#fdc700>椰子</color>
21031201	3		[1, 2, 500]	需要500<color=#fdc700>椰子</color>
22010101	13		[2, 2, 2000000]	需要200w 金贝
1001	7		[1, 3]	教学关的三星条件-主城达到3级
1011	10		[2, 2]	普通关1的三星条件-探索两个城邦
1012	7		[1, 5]	普通关1的三星条件-主城达到5级
1021	10		[2, 2]	普通关2的三星条件-探索两个城邦
1022	7		[1, 5]	普通关2的三星条件-主城达到5级
1023	15		[2, 300000]	普通关2的三星条件-累计获得300000金贝
1031	10		[2, 2]	普通关3的三星条件-探索两个城邦
1032	7		[1, 7]	普通关3的三星条件-主城达到7级
1033	15		[2, 1500000]	普通关3的三星条件-累计获得1500000金贝
1041	10		[2, 2]	普通关4的三星条件-探索两个城邦
1042	7		[1, 7]	普通关4的三星条件-主城达到7级
1043	15		[2, 1500000]	普通关4的三星条件-累计获得1500000金贝
1051	10		[2, 2]	普通关5的三星条件-探索两个城邦
1052	7		[1, 7]	普通关5的三星条件-主城达到7级
1053	15		[2, 1500000]	普通关5的三星条件-累计获得1500000金贝
1054	11		[2, 2]	一星条件改为完成城邦任务2个
1101	7		[1, 2]	主城达到2星
1102	15		[2, 5000]	获得5000金贝
1103	7		[1, 3]	主城达到3星
1111	11		[2, 4]	完成4个城邦任务
1112	22		[0, 8]	建造8个建筑
1113	7		[1, 5]	主城达到5星
1121	11		[2, 4]	完成4个城邦任务
1122	7		[1, 5]	主城达到5星
1123	15		[2, 700000]	获得700000金贝
1131	17		[2, 6]	购入6个岛屿
1132	7		[1, 6]	主城达到6星
1133	15		[2, 8000000]	获得8000000金贝
1141	22		[0, 5]	建造5个建筑
1142	15		[2, 1000000]	获得1000000金贝
1143	17		[2, 5]	购入5个岛屿
1201	15		[2, 100000]	获得100000金贝
1202	22		[0, 20]	建造20个建筑
1203	17		[2, 8]	购入8个岛屿
9001	19		[2, 1304, 3]	关卡3，城邦4三星建筑加成效果条件
810001		810002&810003		当前回合数≥1且＜3
810002	4		[2, 1]	当前回合数≥1
810003	4		[5, 3]	当前回合数<3
810101		810102&810103		当前季度数≥1，且＜6
810102	4		[2, 1]	当前季度数≥1
810103	4		[5, 6]	当前季度数＜6
811101		811102&811103		当前季度数≥ 6，且＜11
811102	4		[2, 6]	当前季度数≥ 6
811103	4		[5, 11]	当前季度数＜11
812101		812102&812103		当前季度数≥ 11，且＜16
812102	4		[2, 11]	当前季度数≥ 11
812103	4		[5, 16]	当前季度数＜16
813101		813102&813103		当前季度数≥ 16，且＜21
813102	4		[2, 16]	当前季度数≥ 16
813103	4		[5, 21]	当前季度数＜21
814101	4		[2, 21]	当前季度数≥ 21
815101		815102&815103		当前季度数≥ 1，且＜5
815102	4		[2, 1]	当前季度数≥ 1
815103	4		[5, 5]	当前季度数＜5
816101	4		[2, 5]	当前季度数≥ 5
81010101	13		[2, 2, 5000]	需要5000金贝
81010102	13		[2, 2, 1500]	需要1500金贝
81011101	13		[2, 2, 6500]	需要6500金贝
81011102	13		[2, 2, 2600]	需要2600金贝
81011201	13		[2, 2, 8450]	需要8450金贝
81011202	13		[2, 2, 4225]	需要4225金贝
81011301	13		[2, 2, 8450]	需要8450金贝
82010101	13		[2, 2, 5000]	需要5000金贝
82010102	13		[2, 2, 1500]	需要1500金贝
82011101	13		[2, 2, 6500]	需要6500金贝
82011102	13		[2, 2, 2600]	需要2600金贝
82011201	13		[2, 2, 8450]	需要8450金贝
82011202	13		[2, 2, 4225]	需要4225金贝
82011301	13		[2, 2, 8450]	需要8450金贝
83010101	13		[2, 2, 8000]	需要8000金贝
83010102	13		[2, 2, 2400]	需要2400金贝
83011101	13		[2, 2, 10400]	需要10400金贝
83011102	13		[2, 2, 4160]	需要4160金贝
83011201	13		[2, 2, 13520]	需要13520金贝
83011202	13		[2, 2, 6760]	需要6760金贝
83011301	13		[2, 2, 13520]	需要13520金贝
81110101	13		[2, 2, 8000]	需要8000金贝
81110102	13		[2, 2, 2400]	需要2400金贝
81111101	13		[2, 2, 10400]	需要10400金贝
81111102	13		[2, 2, 4160]	需要4160金贝
81111201	13		[2, 2, 13520]	需要13520金贝
81111202	13		[2, 2, 6760]	需要6760金贝
81111301	13		[2, 2, 13520]	需要13520金贝
82110101	13		[2, 2, 10000]	需要10000金贝
82110102	13		[2, 2, 3000]	需要3000金贝
82111101	13		[2, 2, 13000]	需要13000金贝
82111102	13		[2, 2, 5200]	需要5200金贝
82111201	13		[2, 2, 16900]	需要16900金贝
82111202	13		[2, 2, 8450]	需要8450金贝
82111301	13		[2, 2, 16900]	需要16900金贝
83110101	13		[2, 2, 20000]	需要20000金贝
83110102	13		[2, 2, 6000]	需要6000金贝
83111101	13		[2, 2, 26000]	需要26000金贝
83111102	13		[2, 2, 10400]	需要10400金贝
83111201	13		[2, 2, 33800]	需要33800金贝
83111202	13		[2, 2, 16900]	需要16900金贝
83111301	13		[2, 2, 33800]	需要33800金贝
81210101	13		[2, 2, 40000]	需要40000金贝
81210102	13		[2, 2, 12000]	需要12000金贝
81211101	13		[2, 2, 52000]	需要52000金贝
81211102	13		[2, 2, 20800]	需要20800金贝
81211201	13		[2, 2, 67600]	需要67600金贝
81211202	13		[2, 2, 33800]	需要33800金贝
81211301	13		[2, 2, 67600]	需要67600金贝
82210101	13		[2, 2, 40000]	需要40000金贝
82210102	13		[2, 2, 12000]	需要12000金贝
82211101	13		[2, 2, 52000]	需要52000金贝
82211102	13		[2, 2, 20800]	需要20800金贝
82211201	13		[2, 2, 67600]	需要67600金贝
82211202	13		[2, 2, 33800]	需要33800金贝
82211301	13		[2, 2, 67600]	需要67600金贝
83210101	13		[2, 2, 60000]	需要60000金贝
83210102	13		[2, 2, 18000]	需要18000金贝
83211101	13		[2, 2, 78000]	需要78000金贝
83211102	13		[2, 2, 31200]	需要31200金贝
83211201	13		[2, 2, 101400]	需要101400金贝
83211202	13		[2, 2, 50700]	需要50700金贝
83211301	13		[2, 2, 101400]	需要101400金贝
81310101	13		[2, 2, 60000]	需要60000金贝
81310102	13		[2, 2, 18000]	需要18000金贝
81311101	13		[2, 2, 78000]	需要78000金贝
81311102	13		[2, 2, 31200]	需要31200金贝
81311201	13		[2, 2, 101400]	需要101400金贝
81311202	13		[2, 2, 50700]	需要50700金贝
81311301	13		[2, 2, 101400]	需要101400金贝
82310101	13		[2, 2, 80000]	需要80000金贝
82310102	13		[2, 2, 24000]	需要24000金贝
82311101	13		[2, 2, 104000]	需要104000金贝
82311102	13		[2, 2, 41600]	需要41600金贝
82311201	13		[2, 2, 135200]	需要135200金贝
82311202	13		[2, 2, 67600]	需要67600金贝
82311301	13		[2, 2, 135200]	需要135200金贝
83310101	13		[2, 2, 120000]	需要120000金贝
83310102	13		[2, 2, 36000]	需要36000金贝
83311101	13		[2, 2, 156000]	需要156000金贝
83311102	13		[2, 2, 62400]	需要62400金贝
83311201	13		[2, 2, 202800]	需要202800金贝
83311202	13		[2, 2, 101400]	需要101400金贝
83311301	13		[2, 2, 202800]	需要202800金贝
81410101	13		[2, 2, 200000]	需要200000金贝
81410102	13		[2, 2, 60000]	需要60000金贝
81411101	13		[2, 2, 260000]	需要260000金贝
81411102	13		[2, 2, 104000]	需要104000金贝
81411201	13		[2, 2, 338000]	需要338000金贝
81411202	13		[2, 2, 169000]	需要169000金贝
81411301	13		[2, 2, 338000]	需要338000金贝
82410101	13		[2, 2, 200000]	需要200000金贝
82410102	13		[2, 2, 60000]	需要60000金贝
82411101	13		[2, 2, 260000]	需要260000金贝
82411102	13		[2, 2, 104000]	需要104000金贝
82411201	13		[2, 2, 338000]	需要338000金贝
82411202	13		[2, 2, 169000]	需要169000金贝
82411301	13		[2, 2, 338000]	需要338000金贝
83410101	13		[2, 2, 350000]	需要350000金贝
83410102	13		[2, 2, 105000]	需要105000金贝
83411101	13		[2, 2, 455000]	需要455000金贝
83411102	13		[2, 2, 182000]	需要182000金贝
83411201	13		[2, 2, 591500]	需要591500金贝
83411202	13		[2, 2, 295750]	需要295750金贝
83411301	13		[2, 2, 591500]	需要591500金贝
81510101	13		[2, 2, 60000]	需要60000金贝
81510102	13		[2, 2, 18000]	需要18000金贝
81511101	13		[2, 2, 78000]	需要78000金贝
81511102	13		[2, 2, 31200]	需要31200金贝
81511201	13		[2, 2, 101400]	需要101400金贝
81511202	13		[2, 2, 50700]	需要50700金贝
81511301	13		[2, 2, 101400]	需要101400金贝
82510101	13		[2, 2, 80000]	需要80000金贝
82510102	13		[2, 2, 24000]	需要24000金贝
82511101	13		[2, 2, 104000]	需要104000金贝
82511102	13		[2, 2, 41600]	需要41600金贝
82511201	13		[2, 2, 135200]	需要135200金贝
82511202	13		[2, 2, 67600]	需要67600金贝
82511301	13		[2, 2, 135200]	需要135200金贝
83510101	13		[2, 2, 120000]	需要120000金贝
83510102	13		[2, 2, 36000]	需要36000金贝
83511101	13		[2, 2, 156000]	需要156000金贝
83511102	13		[2, 2, 62400]	需要62400金贝
83511201	13		[2, 2, 202800]	需要202800金贝
83511202	13		[2, 2, 101400]	需要101400金贝
83511301	13		[2, 2, 202800]	需要202800金贝
81610101	13		[2, 2, 200000]	需要200000金贝
81610102	13		[2, 2, 60000]	需要60000金贝
81611101	13		[2, 2, 260000]	需要260000金贝
81611102	13		[2, 2, 104000]	需要104000金贝
81611201	13		[2, 2, 338000]	需要338000金贝
81611202	13		[2, 2, 169000]	需要169000金贝
81611301	13		[2, 2, 338000]	需要338000金贝
82610101	13		[2, 2, 200000]	需要200000金贝
82610102	13		[2, 2, 60000]	需要60000金贝
82611101	13		[2, 2, 260000]	需要260000金贝
82611102	13		[2, 2, 104000]	需要104000金贝
82611201	13		[2, 2, 338000]	需要338000金贝
82611202	13		[2, 2, 169000]	需要169000金贝
82611301	13		[2, 2, 338000]	需要338000金贝
83610101	13		[2, 2, 350000]	需要350000金贝
83610102	13		[2, 2, 105000]	需要105000金贝
83611101	13		[2, 2, 455000]	需要455000金贝
83611102	13		[2, 2, 182000]	需要182000金贝
83611201	13		[2, 2, 591500]	需要591500金贝
83611202	13		[2, 2, 295750]	需要295750金贝
83611301	13		[2, 2, 591500]	需要591500金贝
910001	4		[2, 1]	当前回合数≥1
910002		910004&910005		当前回合数≥3，且触发过第一次推广事件
910003		910006&910007		当前回合数≥1且＜3
910004	4		[2, 3]	当前回合数≥3
910005	6		[1, 910001]	完成了前置事件
910006	4		[2, 1]	当前回合数≥1
910007	4		[5, 3]	当前回合数<3
910101		910102&910103		主城等级在1~2星
910102	7		[1, 1]	主城达到1星
910103	7		[0, 3]	主城未达到3星
920101		920102&920103		主城等级在3~5星
920102	7		[1, 3]	主城达到3星
920103	7		[0, 6]	主城未达到6星
930101	7		[1, 6]	主城达到6星
940101	7		[1, 1]	主城达到1星
10201	6		[1, 10100]	需要完成前置事件
10301	6		[1, 10201]	需要完成前置事件
10501	6		[1, 10401]	需要完成前置事件
10601	6		[1, 10502]	需要完成前置事件
10701	6		[1, 10503]	需要完成前置事件
10901	6		[1, 10802]	需要完成前置事件
11001	6		[1, 10803]	需要完成前置事件
11101	6		[1, 10901]	需要完成前置事件
11103	6		[1, 11001]	需要完成前置事件
11301	6		[1, 11202]	需要完成前置事件
11401	6		[1, 11203]	需要完成前置事件
11501	6		[1, 11301]	需要完成前置事件
11601	6		[1, 11401]	需要完成前置事件
11801	6		[1, 11701]	需要完成前置事件
11901	6		[1, 11801]	需要完成前置事件
30200	6		[1, 30101]	需要完成前置事件
30211	6		[1, 30102]	需要完成前置事件
30400	6		[1, 30301]	需要完成前置事件
30411	6		[1, 30302]	需要完成前置事件
30600	6		[1, 30501]	需要完成前置事件
30611	6		[1, 30502]	需要完成前置事件
30800	6		[1, 30701]	需要完成前置事件
30811	6		[1, 30702]	需要完成前置事件
31000	6		[1, 30901]	需要完成前置事件
31011	6		[1, 30902]	需要完成前置事件
31200	6		[1, 31101]	需要完成前置事件
31211	6		[1, 31102]	需要完成前置事件
31400	6		[1, 31301]	需要完成前置事件
31411	6		[1, 31302]	需要完成前置事件
31600	6		[1, 31501]	需要完成前置事件
31611	6		[1, 31502]	需要完成前置事件
31800	6		[1, 31701]	需要完成前置事件
31811	6		[1, 31702]	需要完成前置事件
32000	6		[1, 31901]	需要完成前置事件
32011	6		[1, 31902]	需要完成前置事件
91010101	13		[2, 2, 10000]	需要10000金贝
92010101	13		[2, 2, 50000]	需要50000金贝
93010101	13		[2, 2, 150000]	需要150000金贝
94010101	13		[2, 2, 150000]	需要150000金贝
2001	23		[1, 3]	3回合内椰子收入最高
2002	23		[2, 3]	3回合内木材收入最高
2003	23		[3, 3]	3回合内石油收入最高
2004	28		[0, 1, 50000]	单回合收入超过5W金贝
2005	26		[1, 0, 5]	椰子波动小于0
2006	26		[2, 0, 5]	木材波动小于0
2007	26		[3, 0, 5]	石油波动小于0
2008	26		[1, 0, 1]	椰子波动小于0
2009	26		[2, 0, 1]	木材波动小于0
2010	26		[3, 0, 1]	石油波动小于0
3001	4		[1, 1]	当前季度数大于 1
3002	4		[1, 5]	当前季度数大于 5
4001	22		[0, 3]	尚未建造3个建筑
4002	22		[0, 8]	尚未建造8个建筑
4003	22		[0, 12]	尚未建造12个建筑
4004	17		[2, 2]	尚未购入2个岛屿
4005	22		[0, 20]	尚未建造20个建筑
4006	7		[1, 4]	主城尚未升至4级
4007	22		[0, 30]	尚未建造30个建筑
4008	17		[2, 5]	尚未购入5个岛屿
4009	7		[1, 9]	主城尚未升至9级
4010	18		[1504]	尚未购入两极岛
1010001	13		[2, 2, 1000]	需要1000金贝
1020101	13		[2, 2, 5000]	需要5000金贝
1030101	13		[2, 2, 10000]	需要10000金贝
1030102	13		[2, 2, 8000]	需要8000金贝
1170102	13		[2, 2, 1000]	需要1000金贝
1401	13		[2, 2, 100000]	需要100000金贝
1402	13		[2, 2, 200000]	需要200000金贝
2010001	13		[2, 2, 1000]	需要1000金贝
3050001	13		[2, 2, 2000]	需要2000金贝
3070101	13		[2, 2, 2000]	需要2000金贝
3130001	13		[2, 2, 500]	需要500金贝
3150001	13		[2, 2, 5000]	需要5000金贝
3190001	13		[2, 2, 5000]	需要5000金贝
