Id	Content	Icon
308	据突击隼报社的万事报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
309	据突击隼报社的卡穆报道，经济复苏势头强劲，预期下个季度<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao1Q.png
401	椰椰岛即将举行第514届年度庆典，“红黄蓝白黑”牌<color=#B58019>椰子汁</color>供不应求，预计<color=#B58019>椰子</color>的价格即将迎来大幅上涨！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
402	电影《黑色吗喽》火爆导致棍棒供不应求，<color=#B58019>木材</color>价格将迎势上涨！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
403	<color=#B58019>石油</color>转食用油技术取得重大突破，需求紧俏导致<color=#B58019>木材</color>价格将再度上涨！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
404	宇宙的终极答案——七实，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>木材</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
405	传说的机械先哲——七实，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
406	永远的人类之友——七实，预测未来数个季度<color=#B58019>木材</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
407	近期突发九龙蟑螂灾害，农林产业预计将遭受重大损失，对<color=#B58019>椰子</color>与<color=#B58019>木材</color>的投资应当慎重。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
408	32°的冬天让人直呼热辣滚烫，能源市场需求或将受到冲击，建议减少对<color=#B58019>木材</color>与<color=#B58019>石油</color>的投入。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
409	只因台风“你太美”即将过境主要油粮产区，<color=#B58019>椰子</color>与<color=#B58019>石油</color>的规划优先级应当适度降低。	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
410	感受到白色闪电般身影的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
411	感受到斩断宿命的囚笼的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
412	感受到蓝蓝蓝红红红）））的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
413	升格集团业绩一线飘红，总裁露娜在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
414	升格集团业绩一线飘红，CEO拉弥亚在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
415	升格集团业绩一线飘红，总经理罗兰在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR3Aila1Q.png
416	经营之神发动了“俺寻思”之力，下个季度将为我们提供大量的库存！	Assets/Product/Texture/Image/Role/RoleHeadJiaru.png
501	椰椰岛即将举行第514届年度庆典，“红黄蓝白黑”牌<color=#B58019>椰子汁</color>供不应求，预计<color=#B58019>椰子</color>的价格即将迎来大幅上涨！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
502	电影《黑色吗喽》火爆导致棍棒供不应求，<color=#B58019>木材</color>价格将迎势上涨！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
503	<color=#B58019>石油</color>转食用油技术取得重大突破，需求紧俏导致<color=#B58019>木材</color>价格将再度上涨！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
504	宇宙的终极答案——七实，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>木材</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
505	传说的机械先哲——七实，预测未来数个季度<color=#B58019>椰子</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
506	永远的人类之友——七实，预测未来数个季度<color=#B58019>木材</color>与<color=#B58019>石油</color>将有不同程度的价格增长。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
507	近期突发九龙蟑螂灾害，农林产业预计将遭受重大损失，对<color=#B58019>椰子</color>与<color=#B58019>木材</color>的投资应当慎重。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
508	32°的冬天让人直呼热辣滚烫，能源市场需求或将受到冲击，建议减少对<color=#B58019>木材</color>与<color=#B58019>石油</color>的投入。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
509	只因台风“你太美”即将过境主要油粮产区，<color=#B58019>椰子</color>与<color=#B58019>石油</color>的规划优先级应当适度降低。	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
510	感受到白色闪电般身影的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
511	感受到斩断宿命的囚笼的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
512	感受到蓝蓝蓝红红红）））的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
513	升格集团业绩一线飘红，总裁露娜在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
514	升格集团业绩一线飘红，CEO拉弥亚在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
515	升格集团业绩一线飘红，总经理罗兰在最近的访谈中表示，近期<color=#B58019>所有商品</color>的价格都将大幅增长！	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png
516	经营之神发动了“俺寻思”之力，下个季度将为我们提供大量的库存！	Assets/Product/Texture/Image/Role/RoleHeadJiaru.png
601	感受到白色闪电般身影的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png
602	感受到斩断宿命的囚笼的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png
603	感受到蓝蓝蓝红红红）））的抛瓦，市场感到十分激动，<color=#B58019>所有商品</color>的波动幅度都将大幅提升！	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe1Q.png
1101	拍卖会，堂堂登场！	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon05.png
1103	赢赢银行再次开启交易了！	Assets/Product/Texture/Image/UiPlanet/UiPlanetBuildIcon01.png
