Id	TaskName	TaskDesc	Schedule	ConditionId	ConditionParams	BuffIds
2010101	<color=#a46800>火之高兴邦·二星</color>	清空本岛屿上的探索内容	3	9	[1212, 3]	
2010102	<color=#a46800>火之高兴邦·二星</color>	累计生产{0}件<color=#a46800>椰子</color>	100	3	[1, 1, 100]	
2010201	<color=#a46800>火之高兴邦·三星</color>	清空本岛屿上的探索内容	6	9	[1212, 6]	
2010202	<color=#a46800>火之高兴邦·三星</color>	累计销售{0}件任意商品	200	3	[2, 0, 200]	
2020101	<color=#a46800>椰椰邦·二星</color>	累计销售{0}件<color=#a46800>椰子</color>	400	3	[2, 1, 400]	
2020201	<color=#a46800>椰椰邦·三星</color>	清空本岛屿上的探索内容	6	9	[1213, 6]	
2020202	<color=#a46800>椰椰邦·三星</color>	累计建造{0}个建筑	3	10	[0, 3]	
2030101	<color=#a46800>冰冰邦·二星</color>	累计生产{0}件<color=#a46800>椰子</color>	300	3	[1, 1, 300]	
2030201	<color=#a46800>冰冰邦·三星</color>	清空本岛屿上的探索内容	5	9	[1217, 5]	
2030202	<color=#a46800>冰冰邦·三星</color>	累计建造{0}个建筑	5	10	[0, 5]	
2040101	<color=#a46800>很贵邦·二星</color>	累计获取{0}金贝	200000	1	[200000]	
2040201	<color=#a46800>很贵邦·三星</color>	单次生产{0}件<color=#a46800>石油</color>	1	2	[1, 3, 120, 1]	
2040202	<color=#a46800>很贵邦·三星</color>	单次销售{0}件<color=#a46800>木材</color>	1	2	[2, 2, 1000, 1]	
3010101	<color=#a46800>中中邦·二星</color>	清空本岛屿上的探索内容	3	9	[1302, 3]	
3010102	<color=#a46800>中中邦·二星</color>	累计获取{0}金贝	5000	1	[5000]	
3010201	<color=#a46800>中中邦·三星</color>	清空本岛屿上的探索内容	6	9	[1302, 6]	
3010202	<color=#a46800>中中邦·三星</color>	累计获取{0}金贝	30000	1	[30000]	
3020101	<color=#a46800>椰木邦·二星</color>	累计销售{0}件任意商品	250	3	[2, 0, 250]	
3020201	<color=#a46800>椰木邦·三星</color>	累计销售{0}件<color=#a46800>木材</color>	1250	3	[2, 2, 1250]	
3020202	<color=#a46800>椰木邦·三星</color>	累计销售{0}件<color=#a46800>椰子</color>	300	3	[2, 1, 300]	
3030101	<color=#a46800>油油邦·二星</color>	单季度销售收入≥{0}金贝	60000	12	[0, 1, 60000]	
3030201	<color=#a46800>油油邦·三星</color>	<color=#a46800>石油</color>单笔最大收入≥{0}金贝	150000	12	[3, 1, 150000]	
3030202	<color=#a46800>油油邦·三星</color>	单次生产{0}件<color=#a46800>石油</color>	1	2	[1, 3, 150, 1]	
3040101	<color=#a46800>建工邦·二星</color>	累计建造{0}个建筑	10	10	[0, 10]	
3040201	<color=#a46800>建工邦·三星</color>	累计建造{0}个建筑	14	10	[0, 14]	
4010101	<color=#a46800>螺母邦·二星</color>	累计购入{0}个岛屿	2	7	[2]	
4010201	<color=#a46800>螺母邦·三星</color>	累计购入{0}个岛屿	4	7	[4]	
4020101	<color=#a46800>很多邦·二星</color>	累计建造{0}个建筑	4	10	[0, 4]	
4020201	<color=#a46800>很多邦·三星</color>	累计建造{0}个建筑	8	10	[0, 8]	
4030101	<color=#a46800>比心邦·二星</color>	累计生产{0}件任意商品	400	3	[1, 0, 400]	
4030201	<color=#a46800>比心邦·三星</color>	<color=#a46800>石油</color>累计销售收入≥{0}金贝	100000	5	[3, 100000]	
4040101	<color=#a46800>666邦·二星</color>	累计获取{0}金贝	150000	1	[150000]	
4040201	<color=#a46800>666邦·三星</color>	累计获取{0}金贝	300000	1	[300000]	
4050101	<color=#a46800>摸鱼邦·二星</color>	单笔生产<color=#a46800>椰子</color>≥{0}个	1000	13	[1, 1, 1000]	
4050201	<color=#a46800>摸鱼邦·三星</color>	单笔生产<color=#a46800>木材</color>≥{0}件	2000	13	[2, 1, 2000]	
4060101	<color=#a46800>v50邦·二星</color>	单季度销售收入≥{0}金贝	500000	12	[0, 1, 500000]	
4060201	<color=#a46800>v50邦·三星</color>	单季度销售收入≥{0}金贝	800000	12	[0, 1, 800000]	
5010101	<color=#a46800>十字邦·二星</color>	累计购入{0}个岛屿	2	7	[2]	
5010201	<color=#a46800>十字邦·三星</color>	累计购入{0}个岛屿	3	7	[3]	
5020101	<color=#a46800>两极邦·二星</color>	累计销售{0}件商品	400	3	[2, 0, 400]	
5020201	<color=#a46800>两极邦·三星</color>	累计销售{0}桶<color=#a46800>石油</color>	250	3	[2, 3, 250]	
5030101	<color=#a46800>林林邦·二星</color>	贸易时触发暴击{0}次	2	11	[0, 2]	
5030201	<color=#a46800>林林邦·三星</color>	单季度销售收入≥{0}金贝	300000	12	[0, 1, 300000]	
5040101	<color=#a46800>南极邦·二星</color>	累计获取{0}金贝	300000	1	[300000]	
5040201	<color=#a46800>南极邦·三星</color>	累计获取{0}金贝	500000	1	[500000]	
5050101	<color=#a46800>左双子邦·二星</color>	累计建造{0}个建筑	20	10	[0, 20]	
5050201	<color=#a46800>左双子邦·三星</color>	累计建造{0}个建筑	30	10	[0, 30]	
5060101	<color=#a46800>右双子邦 6·二星</color>	单季度销售收入≥{0}金贝	500000	12	[0, 1, 500000]	
5060201	<color=#a46800>右双子邦 6·三星</color>	单季度销售收入≥{0}金贝	1000000	12	[0, 1, 1000000]	
6010101	<color=#a46800>七实邦·二星</color>	累计购入{0}个岛屿	2	7	[2]	
6010201	<color=#a46800>七实邦·三星</color>	累计购入{0}个岛屿	3	7	[3]	
6020101	<color=#a46800>常羽邦·二星</color>	累计生产{0}件<color=#a46800>木材</color>	1500	3	[1, 2, 1500]	
6020201	<color=#a46800>常羽邦·三星</color>	<color=#a46800>木材</color>累计销售收入≥{0}金贝	100000	5	[2, 100000]	
6030101	<color=#a46800>苏菲亚邦·二星</color>	累计生产{0}件<color=#a46800>石油</color>	350	3	[1, 3, 350]	
6030201	<color=#a46800>苏菲亚邦·三星</color>	<color=#a46800>石油</color>累计销售收入≥{0}金贝	100000	5	[3, 100000]	
6040101	<color=#a46800>艾拉邦·二星</color>	累计生产{0}件<color=#a46800>椰子</color>	1000	3	[1, 1, 1000]	
6040201	<color=#a46800>艾拉邦·三星</color>	<color=#a46800>椰子</color>累计销售收入≥{0}金贝	100000	5	[1, 100000]	
6050101	<color=#a46800>卡列尼娜邦·二星</color>	累计建造{0}个建筑	3	10	[0, 3]	
6050201	<color=#a46800>卡列尼娜邦·三星</color>	累计建造{0}个建筑	6	10	[0, 6]	
6060101	<color=#a46800>神秘邦·二星</color>	单季度销售收入≥{0}金贝	100000	12	[0, 1, 100000]	
6060201	<color=#a46800>神秘邦·三星</color>	单季度销售收入≥{0}金贝	200000	12	[0, 1, 200000]	
