Id	Name	Icon	Desc	Type	ShowLevel	IsSkill	RelationGroup	EffectGroupId	JoinSettle	JoinAdventureSettle	ColorType	Condition	Param	Tags	TagBgColors	ParentNode
104	<color=#4682B4>拓荒工程</color>	Assets/Product/Texture/Image/IconPetSkill/Pet3BatSkillzhudong06.png	每天开始时，<color=#4682B4>自动探索</color>供能站范围内的<color=#4682B4>1个区域</color>	2				1104		1	3			['自动探索']	['4682B4']	[101]
105	<color=#4682B4>建筑施工：岗哨塔</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon09.png	岗哨塔：随机清理范围内1个危险区域	2		1		1105		1	3			['清理敌人']	['4682B4']	
106	<color=#4682B4>定时移除</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	<color=#4682B4>岗哨塔</color>生效后<color=#4682B4>自行移除</color>，<color=#4682B4>获得2施工许可</color>	2				1106		1	3			['自毁', '返还消耗']	['4682B4', '4682B4']	[105, 113]
107	<color=#4682B4>歼敌行动</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	<color=#4682B4>岗哨塔</color>清理范围内<color=#4682B4>所有危险区域</color>	2				1107		1	3			['大范围', '清理敌人']	['4682B4', '4682B4']	[105]
108	<color=#4682B4>特化工事</color>	Assets/Product/Texture/Image/IconAffix/AffixIconHamlet2.png	<color=#4682B4>岗哨塔能对首领生效</color>，但只扣除首领30%当前生命值	2				1108		1	3			['首领', '生命削减']	['4682B4']	[105]
109	<color=#4682B4>建筑施工：物资库</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon10.png	物资库：影响范围内区域的颜色资源+150	2		1	109	1109		1	3			['额外资源']	['4682B4']	
110	<color=#4682B4>简易仓库</color>	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	建造<color=#4682B4>物资库</color>的<color=#4682B4>施工许可消耗下降1</color>点	2				1110		1	3			['消耗降低']	['4682B4']	[109]
111	<color=#4682B4>战利加成</color>	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	清理<color=#4682B4>物资库范围</color>内的<color=#4682B4>危险区域</color>，<color=#4682B4>三色倍率+2</color>	2				1111		1	3			['三色倍率']	['4682B4']	[109, 105]
112	<color=#4682B4>仓储收益</color>	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian2.png	每次<color=#4682B4>探索物资库范围</color>内的区域，<color=#4682B4>累计3次</color>后，<color=#4682B4>三色倍率+2</color>	2				1112		1	3			['三色倍率']	['4682B4']	[109]
113	<color=#4682B4>修造增益</color>	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong03.png	<color=#4682B4>每天开始</color>时，获得的<color=#4682B4>施工许可+1</color>	2				1113		1	3			['施工许可']	['4682B4']	
114	<color=#4682B4>产能返还</color>	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo3.png	<color=#4682B4>建筑影响范围内</color>，区域<color=#4682B4>改造返还1点施工许可</color>	2				1114		1	3			['施工许可']	['4682B4']	[101, 105, 109, 120, 122, 123, 124]
115	<color=#4682B4>高效生产</color>	Assets/Product/Texture/Image/IconSkill/R2SufeiyaS1.png	当前<color=#4682B4>地区建筑</color>，每回合都可以<color=#4682B4>产出30银币</color>	2				1115		1	3			['银币', '建筑数量']	['4682B4']	
116	<color=#4682B4>太阳能废弃</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	当前<color=#4682B4>地区建筑</color>，每回合都可以<color=#4682B4>产出1施工许可</color>	1				1116			3			['施工许可', '建筑数量']	['4682B4']	
117	<color=#4682B4>弱化</color>		fightevent未正式-在建筑范围内作战，降低危险区域10/20/30%伤害、提升危险区域10/20/30%受到的伤害	1				1117			3					[101, 105, 109, 120]
118	<color=#4682B4>弱化2</color>		fightevent未正式-在建筑范围内作战，降低危险区域10/20/30%伤害、提升危险区域10/20/30%受到的伤害	1				1118			3					[101, 105, 109, 120]
119	<color=#4682B4>弱化3</color>		fightevent未正式-在建筑范围内作战，降低危险区域10/20/30%伤害、提升危险区域10/20/30%受到的伤害	1				1119			3					[101, 105, 109, 120]
120	<color=#4682B4>建筑施工：居住区</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon11.png	居住区：(地区唯一)本地区<color=#4682B4>每回合行动力+2</color>	2		1		1120		1	3			['行动点']	['4682B4']	
121	<color=#4682B4>战利回收</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	<color=#4682B4>清理危险区域</color>后，恢复<color=#4682B4>1点施工许可</color>	2				1121		1	3			['施工许可', '清理敌人']	['4682B4']	[105, 113]
122	<color=#4682B4>区域改造：基建</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	<color=#4682B4>非蓝色</color>区域改成<color=#4682B4>蓝色</color>	2		1	122	1122		1	3			['颜色修改']	['4682B4']	
123	<color=#4682B4>区域改造：军事</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	<color=#4682B4>非红色</color>区域改成<color=#4682B4>红色</color>	2		1	123	1123		1	3			['颜色修改']	['4682B4']	
124	<color=#4682B4>区域改造：经济</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	<color=#4682B4>非黄色</color>区域改成<color=#4682B4>黄色</color>	2		1	124	1124		1	3			['颜色修改']	['4682B4']	
125	<color=#4682B4>同携改造</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	区域改造时，会同步将<color=#4682B4>十字范围</color>内的1个非对应颜色区域<color=#4682B4>改成对应颜色</color>	2				1125		1	3			['颜色修改']	['4682B4']	[122, 123, 124]
126	<color=#4682B4>军事能效</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	<color=#4682B4>区域改造：军事</color>的<color=#4682B4>消耗下降1</color>	2				1126		1	3			['消耗降低']	['4682B4']	[123]
127	<color=#4682B4>基建能效</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	<color=#4682B4>区域改造：基建</color>的<color=#4682B4>消耗下降1</color>	2				1127		1	3			['消耗降低']	['4682B4']	[122]
128	<color=#4682B4>经济能效</color>	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	<color=#4682B4>区域改造：经济</color>的<color=#4682B4>消耗下降1</color>	2				1128		1	3			['消耗降低']	['4682B4']	[124]
129	<color=#4682B4>改建：移平废墟</color>	Assets/Product/Texture/Image/IconSkill/R4KalieninaExqiu1.png	移除1个废墟	2		1	129	1129		1	3			['清理地图']	['4682B4']	
130	<color=#4682B4>建材回收</color>	Assets/Product/Texture/Image/IconPetSkill/Pet2BeiSkillbeidong04.png	每<color=#4682B4>移除1个废墟</color>，可以获得<color=#4682B4>50银币</color>	2				1130		1	3			['银币']	['4682B4']	[129]
131	<color=#4682B4>同步清拆</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	移除时，同步<color=#4682B4>移除十字范围</color>内随机1个<color=#4682B4>废墟</color>	2				1131		1	3			['额外移除']	['4682B4']	[129]
132	<color=#4682B4>一视同仁</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongZhongliyindao.png	现在<color=#4682B4>低危区</color>和<color=#4682B4>高危区</color>也<color=#4682B4>视作废墟</color>，但消耗+2	2				1132		1	3			['清理敌人']	['4682B4']	[129]
133	<color=#4682B4>改造削弱</color>		fightevent未正式-改造后，区域&相邻区域危险区域伤害降低10/20/30%、10/20/30%受到的伤害	1				1133			3					[122, 123, 124, 129]
134	<color=#4682B4>改造削弱</color>		fightevent未正式-改造后，区域&相邻区域危险区域伤害降低10/20/30%、10/20/30%受到的伤害	1				1134			3					[122, 123, 124, 129]
135	<color=#4682B4>改造削弱</color>		fightevent未正式-改造后，区域&相邻区域危险区域伤害降低10/20/30%、10/20/30%受到的伤害	1				1135			3					[122, 123, 124, 129]
136	<color=#4682B4>建材返还</color>	Assets/Product/Texture/Image/IconSkill/R2shenweihexin1.png	<color=#4682B4>区域改造</color>后，下1次<color=#4682B4>建筑施工返还1点施工许可</color>	2				1136		1	3			['返还消耗']	['4682B4']	
137	<color=#4682B4>强化2废弃</color>	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool6.png	所有区域产出的颜色天赋提升5点	1				1137			3			['资源提升']	['4682B4']	
138	<color=#4682B4>生产增益</color>	Assets/Product/Texture/Image/IconSkill/lanse003.png	<color=#4682B4>区域改造</color>时，额外<color=#4682B4>获得</color>1次受影响区域的<color=#4682B4>颜色资源</color>	2				1138		1	3			['颜色资源']	['4682B4']	[122, 123, 124, 129]
139	<color=#4682B4>临时基地</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4GridEventIcon18.png	可建造同时具有供能站、岗哨塔和物资库的功能的临时基地	2		1		48		1	3			['清理敌人']	['4682B4']	
201	<color=#9A6A16>援助：军事补给</color>	Assets/Product/Texture/Image/IconSkill/R3YalishaA1.png	<color=#9A6A16>召唤军事补给处</color>，召唤消耗逐步提升(每天重置)，获取此天赋<color=#9A6A16>银币+400</color>	2		1	126	1201		1	2			['军事商店', '银币']	['9A6A16', '9A6A16']	
202	<color=#9A6A16>援助：基建补给</color>	Assets/Product/Texture/Image/IconSkill/R3YalishaA1.png	<color=#9A6A16>召唤基建补给处</color>，召唤消耗逐步提升(每天重置)，获取此天赋<color=#9A6A16>银币+400</color>	2		1	127	1202		1	2			['基建商店', '银币']	['9A6A16', '9A6A16']	
203	<color=#9A6A16>首单酬宾</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon028.png	新发现的物资商人，<color=#9A6A16>首个商品免费</color>	2				1203		1	2			['免费商品']	['9A6A16']	
204	<color=#9A6A16>永久降价</color>	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	所有<color=#9A6A16>商品7折</color>优惠	2				1204		1	2			['商店折扣']	['9A6A16']	
205	<color=#9A6A16>贵宾待遇</color>	Assets/Product/Texture/Image/IconAffix/AffixIconChange.png	<color=#9A6A16>解锁商品刷新</color>，且首次刷新不消耗银币	2				1205		1	2			['商品刷新']	['9A6A16']	
206	<color=#9A6A16>行动：代理作战</color>	Assets/Product/Texture/Image/IconSkill/R2BuouxiongS1.png	现在可以消耗银币<color=#9A6A16>执行代理作战</color>	2				1206		1	2			['雇佣敌人', '银币']	['9A6A16', '9A6A16']	
207	<color=#9A6A16>敏捷行动</color>	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	<color=#9A6A16>代理作战</color>的银币<color=#9A6A16>消耗-20%</color>	2				1207		1	2			['消耗降低']	['9A6A16']	
208	<color=#9A6A16>高额回报</color>	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu2.png	执行<color=#9A6A16>代理作战</color>后，每回合<color=#9A6A16>利息+25</color>（上限叠加1次）	2				1208		1	2			['雇佣', '利息']	['9A6A16', '9A6A16']	
209	<color=#9A6A16>利息加成</color>	Assets/Product/Texture/Image/IconSkill/R4luxiyaSS1.png	利息<color=#9A6A16>上限+10</color>	2				1209		1	2			['利息上限']	['9A6A16']	
210	<color=#9A6A16>差额补正</color>	Assets/Product/Texture/Image/IconPetSkill/Pet2YangSkillbeidong04.png	<color=#9A6A16>未满利息</color>结算时，<color=#9A6A16>银币+5</color>	2				1211		1	2			['利息', '银币']	['9A6A16', '9A6A16']	
211	<color=#9A6A16>满息奖励</color>	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	<color=#9A6A16>满利息</color>结算时，<color=#9A6A16>利息上限+2</color>，上限20	2			128	1212		1	2			['利息上限']	['9A6A16']	
212	<color=#9A6A16>工程基金</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	每<color=#9A6A16>消耗</color>1点<color=#9A6A16>施工许可</color>，<color=#9A6A16>银币+50</color>	2				1213		1	2			['施工许可', '银币']	['9A6A16', '9A6A16']	
213	<color=#9A6A16>建造补贴</color>	Assets/Product/Texture/Image/IconPetSkill/Pet3XiaoSkillbeidong04.png	每次<color=#9A6A16>执行建造操作、改造操作</color>时，<color=#9A6A16>银币+50</color>	2				1214		1	2			['建造改造', '银币']	['9A6A16', '9A6A16']	
214	<color=#9A6A16>专精奖赏</color>	Assets/Product/Texture/Image/IconSkill/R3Pod4.png	<color=#9A6A16>探索黄色</color>格时<color=#9A6A16>银币+30</color>，<color=#9A6A16>下次触发额外+20</color>，翻到非黄色格重置叠加层数	2				1215		1	2			['连续探索', '银币']	['9A6A16', '9A6A16']	
215	<color=#9A6A16>高悬赏目标</color>	Assets/Product/Texture/Image/IconSkill/R2BlackrockA1.png	地图会<color=#9A6A16>生成</color>1个<color=#9A6A16>小库洛洛</color>(击败获得银币×99，特别报名函×1，普通资料箱×1)	2				1216		1	2			['特殊敌人']	['9A6A16']	
216	<color=#9A6A16>跨界入侵</color>	Assets/Product/Texture/Image/IconSkill/R3A2hexin1.png	所有<color=#9A6A16>低危区敌人</color>替换为：<color=#9A6A16>神秘库洛洛</color>	2				1217		1	2			['特殊敌人']	['9A6A16']	
217	<color=#9A6A16>购物基金</color>	Assets/Product/Texture/Image/IconSkill/R1lifuS1.png	进入<color=#9A6A16>新商店</color>时，<color=#9A6A16>银币+80</color>	2				1218		1	2			['商店', '银币']	['9A6A16', '9A6A16']	
218	<color=#9A6A16>贸易奖励</color>	Assets/Product/Texture/Image/IconSkill/R4LiangSSS1.png	<color=#9A6A16>每日结算</color>时，获得本局<color=#9A6A16>购物次数×10的银币</color>	2				1219		1	2			['购物次数', '银币']	['9A6A16', '9A6A16']	
219	<color=#9A6A16>大笔补贴</color>	Assets/Product/Texture/Image/IconSkill/R2SufeiyaSS1.png	获得<color=#9A6A16>200银币</color>	2				1220		1	2					
220	<color=#9A6A16>赏金猎人</color>	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou2.png	每<color=#9A6A16>消灭</color>一个<color=#9A6A16>危险区域</color>，<color=#9A6A16>银币+30</color>	2				1221		1	2			['清理敌人', '银币']	['9A6A16', '9A6A16']	
221	<color=#9A6A16>小笔补贴</color>	Assets/Product/Texture/Image/IconSkill/R2SufeiyaS1.png	获得<color=#9A6A16>100银币</color>	2				1222		1	2					
222	<color=#9A6A16>熟练赏金猎人</color>	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	每<color=#9A6A16>清理</color>一个<color=#9A6A16>危险区域</color>，<color=#9A6A16>银币+100</color>	2				1224		1	2			['清理敌人', '银币']	['9A6A16', '9A6A16']	
223	<color=#9A6A16>高额专精奖赏</color>	Assets/Product/Texture/Image/IconSkill/R4luxiyaSS1.png	利息<color=#9A6A16>上限+15</color>	2				1225		1	2					
224	<color=#9A6A16>额度拓展</color>	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	<color=#9A6A16>未满利息</color>结算时，<color=#9A6A16>银币+8</color>	2				1226		1	2			['利息', '银币']	['9A6A16', '9A6A16']	
225	<color=#9A6A16>高额差额补正</color>	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	<color=#9A6A16>满利息</color>结算时，<color=#9A6A16>利息上限+4</color>，上限20	2				1227		1	2					
226	<color=#9A6A16>高额满息奖励</color>	Assets/Product/Texture/Image/IconSkill/lanse06.png	<color=#9A6A16>探索黄色</color>区域<color=#9A6A16>银币+45</color>，<color=#9A6A16>下次触发额外+30</color>，探索非黄色区域重置层数	2				1228		1	2			['连续探索', '银币']	['9A6A16', '9A6A16']	
