Id	Group	TalentId	Repeatable	Weight	UnlockCondition	AddWeightCondition	AddWeight	Desc
219	123	40	1	10				
220	123	45	1	10				
221	123	10		80				2级进攻
222	123	11		80				
223	123	12		80				
224	123	15		80				
225	123	16		80				
226	123	17		80				
227	123	26		80				
228	123	27		80				
229	123	30		80				2级装甲
230	123	31		80				
231	123	34		80				
232	123	35		80				
233	123	36		80				
234	123	41		80				
235	123	44		80				
236	123	46		80				2级辅助
237	123	47		80				
238	123	51		80				
239	123	53		80				
240	123	55		80				
241	123	56		80				
242	123	57		80				
243	123	58		80				
244	123	60		80				
245	123	13		150				3级进攻
246	123	14		150				
247	123	18		150				
248	123	19		150				
249	123	20		150				
250	123	21		150				
251	123	32		150				3级装甲
252	123	33		150				
253	123	37		150				
254	123	38		150				
255	123	42		150				
256	123	43		150				
257	123	48		150				3级辅助
258	123	49		150				
259	123	52		150				
260	123	54		150				
261	123	59		150				
262	125	23	1	5				2级通用属性（第七个大节点）
263	125	25	1	5				
264	125	29	1	5				
265	125	40	1	5				
266	125	45	1	5				
267	125	10		50				2级进攻
268	125	11		50				
269	125	12		50				
270	125	15		50				
271	125	16		50				
272	125	17		50				
273	125	26		50				
274	125	27		50				
275	125	30		50				2级装甲
276	125	31		50				
277	125	34		50				
278	125	35		50				
279	125	36		50				
280	125	41		50				
281	125	44		50				
282	125	46		50				2级辅助
283	125	47		50				
284	125	51		50				
285	125	53		50				
286	125	55		50				
287	125	56		50				
288	125	57		50				
289	125	58		50				
290	125	60		50				
291	125	13		150				3级进攻
292	125	14		150				
293	125	18		150				
294	125	19		150				
295	125	20		150				
296	125	21		150				
297	125	32		150				3级装甲
298	125	33		150				
299	125	37		150				
300	125	38		150				
301	125	42		150				
302	125	43		150				
303	125	48		150				3级辅助
304	125	49		150				
305	125	52		150				
306	125	54		150				
307	125	59		150				
308	126	61		150				25级红天赋
309	201	105		100				初始默认的组
310	202	101		100				蓝色池子
311	202	102		100				
312	202	103		100				
313	202	104		100				
314	202	106		100				
315	202	107		100				
316	202	108		100				
317	202	109		100				
318	202	110		100				
319	202	111		100				
320	202	112		100				
321	202	113		100				
322	202	114		100				
323	202	115		100				
324	202	116		100				
325	202	117		100				
326	202	118		100				
327	202	119		100				
328	202	120		100				
329	202	121		100				
330	202	122		100				
331	202	123		100				
332	202	124		100				
333	202	125		100				
334	202	126		100				
335	202	127		100				
336	202	128		100				
337	202	129		100				
338	202	130		100				
339	202	131		100				
340	202	132		100				
341	202	133		100				
342	202	134		100				
343	202	135		100				
344	202	136		100				
345	202	137		100				
346	202	138		100				
347	301	203		100				黄色通用池子
348	301	204		100				
349	301	205		100				
350	301	207		100				
351	301	208		100				
352	301	209		100				
353	301	210		100				
354	301	211		100				
355	301	212		100				
356	301	213		100				
357	301	214		100				
358	301	215		100				
359	301	216		100				
360	301	217		100				
361	301	218		100				
362	301	219		100				
363	301	220		100				
364	301	221		100				
365	302	201		100				黄色转职池子
366	302	202		100				
367	302	206		100				
368	203	1		100				蓝色小天赋
369	204	1		100				
370	205	1		100				
371	206	1		100				
372	207	1		100				
373	208	1		100				
374	209	1		100				
375	210	1		100				
376	211	1		100				
377	212	1		100				
378	213	1		100				
379	214	1		100				
380	215	1		100				
381	303	1		100				
382	304	1		100				
383	305	1		100				
384	306	1		100				
385	307	1		100				
386	308	1		100				
387	309	1		100				
388	310	1		100				
389	311	1		100				
390	312	1		100				
391	313	1		100				
392	314	1		100				
393	315	1		100				
394	3001	101		100				蓝色初始默认的组
395	3001	105		100				
396	3001	108		100				
397	3002	113		100				第一个基础组
398	3002	115		100				
399	3002	121		100				
400	3002	103		100				
401	3002	104		100				
402	3002	107		100				
403	3003	113		100				第二个大组
404	3003	115		100				
405	3003	121		100				
406	3003	103		100				
407	3003	104		100				
408	3003	107		100				
409	3004	122		1				第三个大组
410	3004	123		1				
411	3004	124		1				
412	3004	109		999				
413	3004	129		999				
414	3005	113		100				第四个大组
415	3005	115		100				
416	3005	121		100				
417	3005	103		100				
418	3005	104		100				
419	3005	107		100				
420	3005	125						
421	3006	102		500				第五个大组，加入选颜色的专属
422	3006	106		500				
423	3006	110						
424	3006	126						
425	3006	127						
426	3006	128						
427	3006	132						
428	3007	111						第五、六个大组
429	3007	112						
430	3007	130						
431	3007	131						
432	3007	136						
433	3007	138						
434	3007	114						
435	3007	125						
436	3007	113		500				
437	3007	115		500				
438	3007	121		500				
439	3007	103		500				
440	3007	104		500				
441	3007	107		500				
442	3007	102		500				
443	3007	106		500				
444	3007	110						
445	3007	126						
446	3007	127						
447	3007	128						
448	3007	132						
449	3008	120		100				蓝色关门天赋-奇观
450	3009	139		100				蓝色25天赋
451	3101	209		100				黄色第1个池子
452	3101	210		100				
453	3101	211		100				
454	3101	214		100				
455	3101	217		100				
456	3101	220		100				
457	3101	221		100				
458	3102	209		100				黄色第2个池子
459	3102	210		100				
460	3102	211		100				
461	3102	214		100				
462	3102	217		100				
463	3102	220		100				
464	3102	221		100				
465	3102	203		100				
466	3102	204		100				
467	3102	205		100				
468	3102	212		100				
469	3102	216		100				
470	3102	218		100				
471	3103	201		100				黄色第3个池子，转职
472	3103	202		100				
473	3103	231		100				
474	3104	207		100				"""黄色第4个池子,下面都是加权"""
475	3104	208		100				
476	3104	213						
477	3104	215						
478	3104	222						
479	3105	223		100				黄色第5个池子
480	3105	224		100				
481	3105	225		100				
482	3105	226		100				
483	3105	227		100				
484	3105	228		100				
485	3105	219		100				
486	3105	203		100				
487	3105	204		100				
488	3105	205		100				
489	3105	212		100				
490	3105	216		100				
491	3105	218		100				
492	3108	207		100				黄色第6个池子
493	3108	208		100				
494	3108	213						
495	3108	215						
496	3108	222						
497	3108	224		100				
498	3108	225		100				
499	3108	226		100				
500	3108	227		100				
501	3108	228		100				
502	3108	219		100				
503	3108	203		100				
504	3108	204		100				
505	3108	205		100				
506	3108	212		100				
507	3108	216		100				
508	3108	218		100				
509	3106	229		100				黄色第7个池子-关门
510	3107	206		100				黄色初始池子，招安
511	3109	232		100				黄色25天赋
512	90001	1001	1	1				小节点-1级-攻击8%
513	90003	1012	1	1				小节点-3级-减抗12%
514	90004	1002	1	1				小节点-4级-攻击11%
515	90004	1010	1	1				小节点-4级-生命300
516	90004	1011	1	1				小节点-4级-防御100
517	90006	1003	1	1				小节点-6级-攻击14%
518	90006	1010	1	1				小节点-6级-生命300
519	90006	1011	1	1				小节点-6级-防御100
520	90007	1013	1	1				小节点-7级-减抗18%
521	90009	1004	1	1				小节点-9级-攻击19%
522	90010	1014	1	1				小节点-10级-减抗20%
523	90012	1005	1	1				小节点-12级-攻击23%
524	90012	1010	1	1				小节点-12级-生命300
525	90012	1011	1	1				小节点-12级-防御100
526	90013	1006	1	1				小节点-13级-攻击26%
527	90013	1010	1	1				小节点-13级-生命300
528	90013	1011	1	1				小节点-13级-防御100
529	90015	1007	1	1				小节点-15级-攻击29%
530	90015	1010	1	1				小节点-15级-生命300
531	90015	1011	1	1				小节点-15级-防御100
532	90016	1008	1	1				小节点-16级-攻击31%
533	90018	1009	1	1				小节点-18级-攻击34%
534	90018	1010	1	1				小节点-18级-生命300
535	90018	1011	1	1				小节点-18级-防御100
536	90019	1015	1	1				小节点-19级-攻击38%
537	90019	1010	1	1				小节点-19级-生命300
538	90019	1011	1	1				小节点-19级-防御100
539	91009	1004	1	1				蓝色特供小姐点-9级
540	91009	1010	1	1				蓝色特供小姐点-9级
541	91009	1011	1	1				蓝色特供小姐点-9级
