Id	NpcId	Level	BuffLevel	BuffIds	Note
30206	90740	325	[1]	[776976]	阿茂
30301	90760	500	[1]	[776976]	陆3-长耳兔（极限型）
30302	90740	325	[1]	[776976]	阿茂
30303	90890	792	[1]	[776976]	感染构造体（极限型）
30304	90960	299	[1]	[776976]	贝雅（极限型）
30305	90970	304	[1]	[776976]	M4-医疗机（极限型）
30306	93010	927	[1]	[776976]	DB02-洁霸（极限型）
30401	90780	239	[1]	[776976]	陆1-极地熊（极限型）
30402	90750	479	[1]	[776976]	空7-雪鸮（极限型）
30403	90740	325	[1]	[776976]	阿茂
40101	90620	1082	[1]	[776976]	异合火力单元（极限型）
40102	90610	361	[1]	[776976]	异合分解单元（极限型）
40103	93473	406	[1]	[776976]	诡匿暗杀者（极限型）
40104	93482	271	[1]	[776976]	极光守卫者（极限型）
40105	93293	343	[1]	[776976]	赤礁宿体（极限型）
40106	93303	316	[1]	[776976]	仿钳宿体（极限型）
40201	90370	433	[1]	[776976]	遗迹勘探者（极限型）
40202	90220	120	[1]	[776976]	遗迹挖掘者
40203	90440	433	[1]	[776976]	自律警卫(极限型）
40204	81500	1803	[1]	[776976]	喷涂机械
40205	90420	275	[1]	[776976]	武藏陆型（极限型）
40206	81800	1803	[1]	[776976]	瓦沙克
40301	93743	541	[1]	[776976]	异合工蜂（极限型）
40302	93723	1082	[1]	[776976]	机械采矿跳蛛（极限型）
40303	93763	406	[1]	[776976]	矿井照明蜂（极限型）
40304	93743	541	[1]	[776976]	异合工蜂（极限型）
40305	90190	311	[1]	[776976]	守护者（极限型）
40306	90260	361	[1]	[776976]	仿生蝾螈（极限型）
40401	93503	361	[1]	[776976]	认知措糅体（极限型）
40402	93723	1082	[1]	[776976]	机械采矿跳蛛（极限型）
40403	90950	310	[1]	[776976]	构解囚徒（极限型）
50101	93653	506	[1]	[776976]	编队士兵
50102	93592	433	[1]	[776976]	堡垒重装兵
50103	93383	340	[1]	[776976]	意识实验体A
50104	93393	533	[1]	[776976]	意识实验体B
50105	93473	406	[1]	[776976]	诡匿暗杀者
50106	93353	295	[1]	[776976]	精英构造体
50201	90450	296	[1]	[776976]	极地机兵
50202	93363	520	[1]	[776976]	机械亚种
50203	93070	406	[1]	[776976]	圣堂守卫
50204	90440	433	[1]	[776976]	自律警卫
50205	90430	110	[1]	[776976]	武藏玖型
50206	90910	437	[1]	[776976]	齿轮
50301	93653	506	[1]	[776976]	编队士兵
50302	93353	295	[1]	[776976]	精英构造体
50303	90860	568	[1]	[776976]	波普尔（极限型）
50304	90870	383	[1]	[776976]	雅斯贝尔斯（极限型）
50305	93192	373	[1]	[776976]	Heal-Z（极限型）
50306	93182	232	[1]	[776976]	Nalasr-E（极限型）
50401	93403	382	[1]	[776976]	“守门人”（极限型）
50402	93683	361	[1]	[776976]	完美程式体（极限型）
50403	93170	389	[1]	[776976]	命运之轮（极限型）
60101	93653	506	[1]	[776976]	编队士兵
60102	93353	295	[1]	[776976]	精英构造体
60103	93383	340	[1]	[776976]	意识实验体A
60104	93683	361	[1]	[776976]	完美程式体（极限型）
60105	93473	406	[1]	[776976]	诡匿暗杀者
60106	93592	433	[1]	[776976]	堡垒重装兵
60201	90450	296	[1]	[776976]	极地机兵
60202	93363	520	[1]	[776976]	机械亚种
60203	93070	406	[1]	[776976]	圣堂守卫
60204	90440	433	[1]	[776976]	自律警卫
60205	90430	110	[1]	[776976]	武藏玖型
60206	90910	437	[1]	[776976]	齿轮
60301	93653	506	[1]	[776976]	编队士兵
60302	93353	295	[1]	[776976]	精英构造体
60303	90860	568	[1]	[776976]	波普尔（极限型）
60304	90870	383	[1]	[776976]	雅斯贝尔斯（极限型）
60305	93192	373	[1]	[776976]	Heal-Z（极限型）
60306	93182	232	[1]	[776976]	Nalasr-E（极限型）
60401	93403	382	[1]	[776976]	“守门人”（极限型）
60402	93683	361	[1]	[776976]	完美程式体（极限型）
60403	93170	389	[1]	[776976]	命运之轮（极限型）
110101	90380	427	[1]	[776976]	构造体（极限型）
110102	93050	345	[1]	[776976]	构造体士兵（女）（极限型）
110103	93653	506	[1]	[776976]	编队士兵
110104	93353	295	[1]	[776976]	精英构造体
110201	90420	275	[1]	[776976]	武藏陆型（极限型）
110202	90440	433	[1]	[776976]	自律警卫(极限型）
110203	90480	328	[1]	[776976]	异聚哨戒机炮
110204	90250	216	[1]	[776976]	浪人肆型（极限型）
110401	93353	295	[1]	[776976]	精英构造体
110402	90420	275	[1]	[776976]	武藏陆型（极限型）
120101	90400	241	[1]	[776976]	仿生斗牛（极限型）
120102	90410	541	[1]	[776976]	酸液工蚁（极限型）
120103	90330	336	[1]	[776976]	信使（极限型）
120104	90360	330	[1]	[776976]	分解者（极限型）
120201	90350	332	[1]	[776976]	消防卫士（极限型）
120202	90350	332	[1]	[776976]	消防卫士（极限型）
120203	90340	233	[1]	[776976]	禁卫（极限型）
120204	90390	260	[1]	[776976]	重型收割机（极限型）
120401	90390	260	[1]	[776976]	重型收割机（极限型）
120402	90400	241	[1]	[776976]	仿生斗牛（极限型）
130101	93010	927	[1]	[776976]	DB02-洁霸（极限型）
130102	93020	325	[1]	[776976]	SSG-游曳者（极限型）
130103	90330	336	[1]	[776976]	信使（极限型）
130104	90370	433	[1]	[776976]	遗迹勘探者（极限型）
130201	90740	325	[1]	[776976]	阿茂
130202	90740	325	[1]	[776976]	阿茂
130203	90760	500	[1]	[776976]	陆3-长耳兔（极限型）
130204	90760	500	[1]	[776976]	陆3-长耳兔（极限型）
130401	93020	325	[1]	[776976]	SSG-游曳者（极限型）
130402	90740	325	[1]	[776976]	阿茂
140101	90370	433	[1]	[776976]	遗迹勘探者（极限型）
140102	90220	120	[1]	[776976]	遗迹挖掘者
140103	93503	361	[1]	[776976]	认知措糅体（极限型）
140104	93723	1082	[1]	[776976]	机械采矿跳蛛（极限型）
140201	90440	433	[1]	[776976]	自律警卫(极限型）
140202	81500	1803	[1]	[776976]	喷涂机械
140203	90420	275	[1]	[776976]	武藏陆型（极限型）
140204	81800	1803	[1]	[776976]	瓦沙克
140401	81500	1803	[1]	[776976]	喷涂机械
140402	81800	1803	[1]	[776976]	瓦沙克
150101	90450	296	[1]	[776976]	极地机兵
150102	93363	520	[1]	[776976]	机械亚种
150103	90430	110	[1]	[776976]	武藏玖型
150104	90910	437	[1]	[776976]	齿轮
150201	93070	406	[1]	[776976]	圣堂守卫
150202	90440	433	[1]	[776976]	自律警卫
150203	93683	361	[1]	[776976]	完美程式体（极限型）
150204	93683	361	[1]	[776976]	完美程式体（极限型）
150401	93683	361	[1]	[776976]	完美程式体（极限型）
150402	93070	406	[1]	[776976]	圣堂守卫
160101	90450	296	[1]	[776976]	极地机兵
160102	93363	520	[1]	[776976]	机械亚种
160103	90430	110	[1]	[776976]	武藏玖型
160104	90910	437	[1]	[776976]	齿轮
160201	93070	406	[1]	[776976]	圣堂守卫
160202	90440	433	[1]	[776976]	自律警卫
160203	93683	361	[1]	[776976]	完美程式体（极限型）
160204	93683	361	[1]	[776976]	完美程式体（极限型）
160401	93683	361	[1]	[776976]	完美程式体（极限型）
160402	93070	406	[1]	[776976]	圣堂守卫
991001	90920	1	[1]	[776976]	宝藏库洛洛
991002	93353	295	[1]	[776976]	精英构造体
991003	90420	275	[1]	[776976]	武藏陆型（极限型）
991004	90740	325	[1]	[776976]	阿茂
991005	93503	361	[1]	[776976]	认知措糅体（极限型）
991006	93683	361	[1]	[776976]	完美程式体（极限型）
991007	93070	406	[1]	[776976]	圣堂守卫
991008	96181	1	[1]	[776976]	小库洛洛
