Id	GoodsGroupId	ConditionId	RewardId	EndDesc	EndComfirmText	RoleIcon	RoleName	RoleContent	BgAsset	NodeBg	NodeIcon	NodeDesc	NodeEffectUrl	Name	Icon	BlockIcon	Title	TitleContent	Desc	UnOpenDesc	RefreshLimit	RefreshFreeTimes	RefreshCost
204	[1, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪域补给处	需要什么补给？我来帮你一起挑挑。	补给供应困难，请多体谅。	3	1	[150, 300]
301	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪林补给处	需要什么补给？我来帮你一起挑挑。	补给数量扩增，快来看看吧。	3	1	[150, 300]
302	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪林补给处	需要什么补给？我来帮你一起挑挑。	补给数量扩增，快来看看吧。	3	1	[150, 300]
303	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪林补给处	需要什么补给？我来帮你一起挑挑。	补给数量扩增，快来看看吧。	3	1	[150, 300]
304	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	雪林补给处	需要什么补给？我来帮你一起挑挑。	补给数量扩增，快来看看吧。	3	1	[150, 300]
401	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	矿脉补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
402	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	矿脉补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
403	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	矿脉补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
404	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	矿脉补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
501	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	废墟补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
502	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	废墟补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
503	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	废墟补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
504	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	废墟补给处	需要什么补给？我来帮你一起挑挑。	补给供应正常，随时可以提供支援。	3	1	[150, 300]
601	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	商店内的物品都展示在这里了。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
602	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	没有找到趁手的工具吗？可能别的分店里会有你需要的。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
603	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	看那么久，是入神了吗？还是说……你有“选择困难症”？						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
604	[1, 2, 3, 3]					Assets/Product/Texture/Image/UiTheatre4/UiTheatre4RoleLuosaita.png	罗塞塔	“不要忘记付款哦~”……咳咳，你什么都没听到。						补给商店	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent06.png	9	新苏菲亚商店	城区补给处	需要什么补给？我来帮你一起挑挑。	补给供应将要中断，要抓住机会。	3	1	[150, 300]
