Id	Name	CountLimit	Type	Quality	EffectGroupId	Duration	Desc	DescIcon	EffectDescId	Icon	IsProp	IsShow	IsPlay	BackPrice	Condition
14	通货膨胀	1	1	4	14		获得<color=#FF7800>×3</color>结算倍率，该倍率每日<color=#FF7800>-0.5</color>，最低<color=#FF7800>×1</color>		7	Assets/Product/Texture/Image/IconTools/UiTheatre4Item20.png		1	1	80	
15	汇率紊乱	1	1	4	15		结算时，随机获得<color=#FF7800>×0</color>-<color=#FF7800>×4</color>结算倍率\n<size=20><color=#8B8C8C>（次日重置）</color></size>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item21.png		1	1	80	
16	破坏狂	1	1	4	16		每次销毁图纸时，获得<color=#FF7800>×0.5</color>结算倍率		8	Assets/Product/Texture/Image/IconTools/UiTheatre4Item23_3.png		1	1	80	
17	哨岗专精	1	1	4	17		每次利用哨岗塔清理敌方区域后，获得<color=#FF7800>×0.3</color>结算倍率		9	Assets/Product/Texture/Image/IconTools/UiTheatre4Item22_3.png		1	1	80	
18	联合	1	1	4	18		每持有1个图纸，结算时获得<color=#FF7800>×0.5</color>结算倍率\n<size=20><color=#8B8C8C>（次日重置）</color></size>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item11_2.png		1	1	80	
19	均衡发展	1	1	4	19		每日探索3个及以上不同颜色区域时，获得<color=#FF7800>×0.4</color>结算倍率		10	Assets/Product/Texture/Image/IconTools/UiTheatre4Item05_2.png		1	1	80	
22	大买手	1	1	4	22		每购买1个商品，获得<color=#FF7800>×0.6</color>结算倍率<size=20><color=#8B8C8C>（前往新地区时重置）</color></size>		12	Assets/Product/Texture/Image/IconTools/UiTheatre4Item06.png		1	1	80	
23	神秘名片	1	4	3	23		每张招募券的可招募次数<color=#799A31>+1</color>			Assets/Product/Texture/Image/IconTools/IconCaidan012001.png	1				
24	能量补充包	1	4	3	24		每日的行动点<color=#799A31>+1</color>			Assets/Product/Texture/Image/IconTools/IconSuperTower03.png	1				
25	调度指令	1	4	3	25		每<color=#799A31>3</color>天获得<color=#799A31>1</color>张二星招募券			Assets/Product/Texture/Image/IconTools/ItGift0321.png	1				
26	随机促销	1	4	3	26		进入新商店时随机<color=#799A31>1</color>个商品栏位免费\n<size=20><color=#8B8C8C>（购买后失效）</color></size>			Assets/Product/Texture/Image/IconTools/IconColorTableItem001.png	1				
27	友谊补给！！！	1	1	4	27		每日<color=#BC4C4C>-100</color>银币，累计<color=#BC4C4C>-500</color>后获得金色图纸且上限<color=#799A31>+1</color>并销毁自身		13	Assets/Product/Texture/Image/IconTools/UiTheatre4Item28_3.png		1		80	
28	货币贸易合同	1	3	2	28		结算时，获得持有施工许可<color=#799A31>×2</color>的银币		14	Assets/Product/Texture/Image/IconTools/UiTheatre4Item29.png		1		40	
29	转角规划·I	1	3	2	29		本日已探索区域形状含<Icon=Img1/>时，获得<color=#799A31>40</color>银币	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconFangKuai01.png	15	Assets/Product/Texture/Image/IconTools/UiTheatre4Item09_1.png		1		40	
30	直线规划·II	1	3	2	30		本日已探索区域形状含<Icon=Img1/>时，获得<color=#799A31>40</color>银币	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconFangKuai02.png	20	Assets/Product/Texture/Image/IconTools/UiTheatre4Item03_1.png		1		40	
31	转角规划·II	1	3	2	31		本日已探索区域形状含<Icon=Img1/>时，对应区域颜色资源<color=#799A31>+60</color>	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconFangKuai01.png	21	Assets/Product/Texture/Image/IconTools/UiTheatre4Item09_1.png		1	1	40	
32	友谊补给！！	1	2	3	32		每日<color=#BC4C4C>-30</color>银币，累计<color=#BC4C4C>-120</color>后获得<color=#799A31>2</color>个图纸箱并销毁自身		13	Assets/Product/Texture/Image/IconTools/UiTheatre4Item28_2.png		1		60	
33	友谊补给！	1	3	2	33		每日<color=#BC4C4C>-20</color>银币，累计<color=#BC4C4C>-60</color>后获得<color=#799A31>1</color>张二星招募券并销毁自身		13	Assets/Product/Texture/Image/IconTools/UiTheatre4Item28_1.png		1		40	
34	行动转换·I	1	3	2	34		结算时，获得本日剩余行动点<color=#799A31>×5</color>的三色倍率		11	Assets/Product/Texture/Image/IconTools/UiTheatre4Item24_1.png		1	1	40	
35	转角规划·III	1	1	4	35		本日已探索区域形状含<Icon=Img1/>时，获得<color=#FF7800>×0.2</color>结算倍率	Assets/Product/Texture/Image/UiTheatre4/UiTheatre4CommonIconFangKuai01.png	23	Assets/Product/Texture/Image/IconTools/UiTheatre4Item09_3.png		1	1	80	
36	谈判专家	1	1	4	36		每次代理作战，获得<color=#FF7800>×0.4</color>结算倍率		18	Assets/Product/Texture/Image/IconTools/UiTheatre4Item27_3.png		1	1	80	
37	幸运金币	1	4	3			商店内的所有招募券升至二星			Assets/Product/Texture/Image/IconTools/UiFingerGuessing2Img6.png	1				
38	不等效替代	1	3	2	38		区域颜色资源<color=#BC4C4C>-30</color>，结算时三色资源<color=#799A31>+60</color>		19	Assets/Product/Texture/Image/IconTools/UiTheatre4Item23_1.png		1	1	40	
39	行动转换·II	1	3	2	39		结算时，获得本日剩余行动点<color=#799A31>×40</color>的银币		11	Assets/Product/Texture/Image/IconTools/UiTheatre4Item24_1.png		1		40	
40	专项处理	1	3	2	40		每进入<color=#799A31>1</color>个事件区域，三色资源<color=#799A31>+60</color>		16	Assets/Product/Texture/Image/IconTools/UiTheatre4Item22_1.png		1		40	
41	勘探专家	1	3	2	41		每获取<color=#799A31>1</color>个宝箱，获得<color=#799A31>1</color>张招募券		16	Assets/Product/Texture/Image/IconTools/UiTheatre4Item11_1.png		1		40	
42	物资挖掘·I	1	3	2	42		获得<color=#799A31>2</color>张一星招募券			Assets/Product/Texture/Image/IconTools/UiTheatre4Item02_1.png		1		40	
43	物资挖掘·II	1	2	3	43		获得<color=#799A31>1</color>张三星招募券			Assets/Product/Texture/Image/IconTools/UiTheatre4Item02_2.png		1		60	
44	多样化倍率	1	2	3	44		每日探索<color=#799A31>3</color>个及以上不同颜色区域时，对应颜色倍率<color=#799A31>+1</color>		22	Assets/Product/Texture/Image/IconTools/UiTheatre4Item05_1.png		1	1	60	
45	多样化资源	1	2	3	45		每日探索<color=#799A31>3</color>个及以上不同颜色区域时，对应颜色资源永久<color=#799A31>+6</color>		22	Assets/Product/Texture/Image/IconTools/UiTheatre4Item05_1.png		1		60	
101	坐标	1	4	3			无法解析的效果\n<size=24><color=#74797D>承载着一串神秘坐标的特殊代码。它是如何被演算出来的，又是如何得到验证的，至今是一个无人能解读的谜题。</color></size>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item32.png	1				
102	银质护符	1	4	4	30001		结算时，每1点行动点将转化为<color=#799A31>100银币</color>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item43.png	1				
103	特殊哨塔	1	4	4	30004		在凛风山谷中，仅能通过建造<color=#799A31>岗哨塔</color>清理怪物\n\n<size=24><color=#74797D>岗哨塔能够清理附近的所有怪物，并对BOSS造成当前血量30%的伤害。</color></size>			Assets/Product/Texture/Image/IconTools/UiTheatre4Item42.png	1				
104	女王诅咒	1	4	4	30016		在失落的白银城中，仅能通过消耗银币代理作战击杀怪物			Assets/Product/Texture/Image/IconTools/IconActivityConsume2101001.png	1				
