Id	Type	NextEvent	NextEventGroup	OptionGroupId	FightId	RewardId	EffectGroupId	RoleIcon	RoleName	RoleContent	RoleEffect	ConfirmContent	IsEnd	IsForcePlay	BgAsset	StoryId	Name	Icon	BlockIcon	Title	TitleContent	Desc	UnOpenDesc
11103	3					[12016, 12017, 12018]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
11104	3					[12019, 12020, 12021]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
11105	3					[12022, 12023, 12024]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
11106	3					[12025, 12026, 12027]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
11107	3					[12028, 12029, 12030]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	虽然公社一时之间无法接纳那么多难民，但资助了他们一些粮食，他们留下了一些暂时用不到的工具作为交换，然后感激地离开了。	一支难民团队靠近了。
11003	3					[12031, 12032, 12033]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11004	3					[12034, 12035, 12036]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11005	3					[12037, 12038, 12039]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11006	3					[12040, 12041, 12042]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11007	3					[12043, 12044, 12045]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11008	3					[12046, 12047, 12048]						离开					难民团到访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	难民团到访	过去看看？	边境公社收留了这伙难民，他们也履行了承诺，尽可能地协助了营地内的生产事务。	一支难民团队靠近了。
11009	2			11009								决定					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	最近营地内的资金略有盈余，有人提议不如拿这笔钱出来，举办一个小型庆祝会以鼓舞大家的士气。	最近资金略有盈余。
11010	1											离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11108	1											离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11109	3					[12050]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11110	3					[12050]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11111	3					[12051]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11112	3					[12051]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	资金还有更妥善的用途，这个提议暂时搁置了下来。	最近资金略有盈余。
11011	1											离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11012	1											离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11013	3					[12052]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11014	3					[12052]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11015	3					[12053]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11016	3					[12053]						离开					剩余资金	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	剩余资金	过去看看？	营地中举办了一个小型而温馨的篝火晚会，参与了聚会的社员们纷纷士气大涨。	最近资金略有盈余。
11017	2			11017								决定					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城边路过了一队商队，商队的头目带来了许多营地内稀缺的物资，希望能跟边境公社做一笔交易。	商队经过了城边。
11018	3					[12031, 12032, 12033]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11113	3					[12034, 12035, 12036]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11114	3					[12037, 12038, 12039]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11115	3					[12040, 12041, 12042]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11116	3					[12043, 12044, 12045]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11117	3					[12046, 12047, 12048]						离开					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	城中资金短缺，公社用以物易物的形式交换了一些城中用得到的物资。商队在城中顺带驻足了几日，休息好便后离开了。	商队经过了城边。
11019	3					[12049]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11020	3					[12049]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11021	3					[12050]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11022	3					[12050]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11023	3					[12051]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11024	3					[12051]						收下					商队来访	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	商队来访	过去看看？	公社主导发起了一场易物会，居民们前来采购了自己需要的物资。商队得以卸下了重担，作为回报，他们给公社留下了一些金币后离开了。	商队经过了城边。
11025	2			11025								决定					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	一位建筑师社员提出方案，现有的生产模式过于落后，建议铺设工业化生产管线，以提高生产效率。	一位建筑师提出了修筑生产线的建议。
11026	3					[12049]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11118	3					[12049]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11119	3					[12050]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11120	3					[12050]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11121	3					[12051]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11122	3					[12051]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	以现有的资源还不适宜贸然进行这种大动作，公社内部采取了更加节省资金的方式解决了这个问题。	一位建筑师提出了修筑生产线的建议。
11027	3					[12013, 12014, 12015]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11028	3					[12016, 12017, 12018]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11029	3					[12019, 12020, 12021]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11030	3					[12022, 12023, 12024]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11031	3					[12025, 12026, 12027]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11032	3					[12028, 12029, 12030]						离开					建筑师的建议	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	建筑师的建议	过去看看？	新苏菲亚城内铺设了一条工业化的生产管线，生产效率得到了极大提高。	一位建筑师提出了修筑生产线的建议。
11033	2			11033								决定					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	有人向边境公社提出倡议，希望能在联通城内外的位置修筑一条可供四辆马车并驾行驶的大道，认为这能大大提升运输速度。	有人向边境公社提出了修筑大道的倡议。
11034	3					[12054]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11123	3					[12054]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11124	3					[12055]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11125	3					[12055]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11126	3					[12056]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11127	3					[12056]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	经过测算，增加中途驿站同样能解决运力紧张的问题，于是最终采取了增设驿站的方式。	有人向边境公社提出了修筑大道的倡议。
11035	3					[12013, 12014, 12015]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11036	3					[12016, 12017, 12018]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11037	3					[12019, 12020, 12021]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11038	3					[12022, 12023, 12024]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11039	3					[12025, 12026, 12027]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11040	3					[12028, 12029, 12030]						离开					运力紧张	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	运力紧张	过去看看？	运输大道落成后，城内外输送物资的速度大大提高了。	有人向边境公社提出了修筑大道的倡议。
11041	2			11041								决定					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	坐落在新苏菲亚城附近的废墟建筑已经开始妨碍到城池扩展了，有人提议派出一些清扫人员去对那些废墟进行拆除处理。	有人希望清除营地附近的废墟。
11042	3					[12054]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11128	3					[12054]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11129	3					[12055]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11130	3					[12055]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11131	3					[12056]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11132	3					[12056]						绕路而行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	经过估算之后，众人得出结论清理这些废墟需要花费更多时间，最终决定绕开这些废墟继续进行建设。	有人希望清除营地附近的废墟。
11043	3					[12031, 12032, 12033]						继续前行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	清扫队前去清拆了一些已经不能修复的建筑，为新苏菲亚城接下来的拓展腾出了一片空地。	有人希望清除营地附近的废墟。
11044	3					[12034, 12035, 12036]						继续前行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	清扫队前去清拆了一些已经不能修复的建筑，为新苏菲亚城接下来的拓展腾出了一片空地。	有人希望清除营地附近的废墟。
11045	3					[12037, 12038, 12039]						继续前行					拦路的废墟	Assets/Product/Texture/Atlas/UiBabelTower/UiBabelTowerIconDetails.png	6	拦路的废墟	过去看看？	清扫队前去清拆了一些已经不能修复的建筑，为新苏菲亚城接下来的拓展腾出了一片空地。	有人希望清除营地附近的废墟。
