Id	Des	ElementType	ElementId	ElementCount	GroupId	Weight	Condition	ConditionWeight	IsShow	Color
12005	凑数事件，第5章金币换产出	4		10	12005	100			1	
12006	凑数事件，第6章金币换产出	4		10	12006	100			1	
12007	凑数事件，第1章建造点换产出	4		40	12007	100			1	
12008	凑数事件，第2章建造点换产出	4		40	12008	100			1	
12009	凑数事件，第3章建造点换产出	4		50	12009	100			1	
12010	凑数事件，第4章建造点换产出	4		50	12010	100			1	
12011	凑数事件，第5章建造点换产出	4		60	12011	100			1	
12012	凑数事件，第6章建造点换产出	4		60	12012	100			1	
12013	凑数事件，第1章三色倍率	7	1	1	12013	100			1	
12014	凑数事件，第1章三色倍率	7	2	1	12014	100			1	
12015	凑数事件，第1章三色倍率	7	3	1	12015	100			1	
12016	凑数事件，第2章三色倍率	7	1	1	12016	100			1	
12017	凑数事件，第2章三色倍率	7	2	1	12017	100			1	
12018	凑数事件，第2章三色倍率	7	3	1	12018	100			1	
12019	凑数事件，第3章三色倍率	7	1	2	12019	100			1	
12020	凑数事件，第3章三色倍率	7	2	2	12020	100			1	
12021	凑数事件，第3章三色倍率	7	3	2	12021	100			1	
12022	凑数事件，第4章三色倍率	7	1	2	12022	100			1	
12023	凑数事件，第4章三色倍率	7	2	2	12023	100			1	
12024	凑数事件，第4章三色倍率	7	3	2	12024	100			1	
12025	凑数事件，第5章三色倍率	7	1	4	12025	100			1	
12026	凑数事件，第5章三色倍率	7	2	4	12026	100			1	
12027	凑数事件，第5章三色倍率	7	3	4	12027	100			1	
12028	凑数事件，第6章三色倍率	7	1	4	12028	100			1	
12029	凑数事件，第6章三色倍率	7	2	4	12029	100			1	
12030	凑数事件，第6章三色倍率	7	3	4	12030	100			1	
12031	凑数事件，第1章三色基数	12	1	80	12031	100			1	
12032	凑数事件，第1章三色基数	12	2	80	12032	100			1	
12033	凑数事件，第1章三色基数	12	3	80	12033	100			1	
12034	凑数事件，第2章三色基数	12	1	80	12034	100			1	
12035	凑数事件，第2章三色基数	12	2	80	12035	100			1	
12036	凑数事件，第2章三色基数	12	3	80	12036	100			1	
12037	凑数事件，第3章三色基数	12	1	100	12037	100			1	
12038	凑数事件，第3章三色基数	12	2	100	12038	100			1	
12039	凑数事件，第3章三色基数	12	3	100	12039	100			1	
12040	凑数事件，第4章三色基数	12	1	100	12040	100			1	
12041	凑数事件，第4章三色基数	12	2	100	12041	100			1	
12042	凑数事件，第4章三色基数	12	3	100	12042	100			1	
12043	凑数事件，第5章三色基数	12	1	150	12043	100			1	
12044	凑数事件，第5章三色基数	12	2	150	12044	100			1	
12045	凑数事件，第5章三色基数	12	3	150	12045	100			1	
12046	凑数事件，第6章三色基数	12	1	150	12046	100			1	
12047	凑数事件，第6章三色基数	12	2	150	12047	100			1	
12048	凑数事件，第6章三色基数	12	3	150	12048	100			1	
12049	凑数事件，第1、2章获得金币	4		45	12049	100			1	
12050	凑数事件，第3、4章获得金币	4		60	12050	100			1	
12051	凑数事件，第5、6章获得金币	4		90	12051	100			1	
12052	凑数事件，第3、4章获得普通招募券	3	2	1	12052	100			1	
12053	凑数事件，第5、6章获得稀有招募券	3	4	1	12053	100			1	
12054	凑数事件，第1、2章获得建造点	10	1	1	12049	100			1	
12055	凑数事件，第3、4章获得建造点	10	1	1	12050	100			1	
12056	凑数事件，第5、6章获得建造点	10	1	2	12051	100			1	
12057	主线1事件奖励1	4		25	12013	100			1	
12058	主线1事件奖励2	10	1	1	12014	100			1	
12059	主线1事件奖励3-1	12	1	50	12015	100			1	
12060	主线1事件奖励3-2	12	2	50	12016	100			1	
12061	主线1事件奖励3-3	12	3	50	12017	100			1	
12062	盗宝怪金币	4		99	12062	100			1	
12063	盗宝怪稀有招募券	3	4	1	12063	100			1	
12064	盗宝怪普通藏品箱	1	1	1	12064	100			1	
12200	冬日之影事件经济资源	4		40	12200	100			1	
12201	冬日之影事件招募券资源	3	2	1	12201	100			1	
12202	前方有陷阱事件建筑资源	10		2	12202	100			1	
12203	最后防线事件军事资源	7	1	2	12203	100			1	
12204	最后防线事件行动点资源	11		1	12204	100			1	
12205	捉迷藏事件经济资源	4		10	12205	100			1	
12206	最后防线事件军事资源小	7	1	1	12206	100			1	
12207	最后防线事件军事资源中	7	1	2	12207	100			1	
12208	最后防线事件军事资源大	7	1	3	12208	100			1	
12209	奔赴战场事件军事资源小	7	1	1	12206	100			1	
12210	奔赴战场事件军事资源中	7	1	2	12207	100			1	
12211	奔赴战场事件军事资源大	7	1	3	12208	100			1	
12212	黄色关底事件	2	101	1	12212	100			1	
12213	冬日之影事件颜色倍率	7	1	2	12213	100			1	
12214	冬日之影事件颜色倍率	7	2	2	12214	100			1	
12215	冬日之影事件颜色倍率	7	3	2	12215	100			1	
12216	冰雪蠕虫第五章金币（两个宝箱级别）	4		170	12216	100			1	
13001	第1章小怪金币	4		20	13001	1	1020603	100	1	
13002	第2章小怪金币	4		20	13002	1	1020604	100	1	
13003	第3章小怪金币	4		30	13003	1	1020605	100	1	
13004	第4章小怪金币	4		30	13004	1	1020606	100	1	
13005	第5章小怪金币	4		40	13005	1	1020607	100	1	
13006	第6章小怪金币	4		40	13006	1	1020608	100	1	
13011	第1章精英金币	4		30	13011	1	1020603	100	1	
13012	第2章精英金币	4		30	13012	1	1020604	100	1	
13013	第3章精英金币	4		45	13013	1	1020605	100	1	
13014	第4章精英金币	4		45	13014	1	1020606	100	1	
13015	第5章精英金币	4		60	13015	1	1020607	100	1	
13016	第6章精英金币	4		60	13016	1	1020608	100	1	
13021	第1章BOSS金币	4		60	13021	1		100	1	
13022	第2章BOSS金币	4		60	13022	1		100	1	
13023	第3章BOSS金币	4		90	13023	1		100	1	
13024	第4章BOSS金币	4		90	13024	1		100	1	
13025	第5章BOSS金币	4		120	13025	1		100	1	
13026	第6章BOSS金币	4		120	13026	1		100	1	
13031	小怪招募券	3	2	1	13031	100			1	
13032	精英招募券	3	4	1	13032	100			1	
13033	BOSS招募券	3	3	1	13033	100			1	
13034	BOSS普通藏品箱	1	1	1	13034	100			1	
13035	BOSS特殊藏品箱	1	2	1	13035	100			1	
14001	新手招募券	3	8	1	14001	100			1	
14002	AC6事件送藏品	2	25	1	14002	100			1	
14003	扣血给的三色基数	12	1	300	14003	100			1	
14004	扣血给的三色基数	12	2	300	14004	100			1	
14005	扣血给的三色基数	12	3	300	14005	100			1	
14006	魔戒事件送藏品	2	26	1	14006	100			1	
14007	放走叛徒加钱-第三章	4		50	14007	100			1	
14008	抓走叛徒给红色-第三章	12	1	225	14008	100			1	
14009	我们的故乡定制藏品	2	24	1	14009	100			1	
14010	消灭叛徒给红色-第四章	12	1	300	14010	100			1	
14021	打宿·I的金币奖励	4		60	14021	100			1	
14022	打宿·I的军事等级奖励	7	1	3	14022	100			1	
14023	打宿·II的金币奖励	4		80	14023	100			1	
14024	打宿·III最终奖励	2	37	1	14024	100			1	
14025	忠诚守卫奖励	2	23	1	14025	100			1	
14026	忠诚守卫红色资源值	12	1	300	14026	100			1	
14027	新手第1章BOSS金币	4		200	14027	1			1	
14028	晚钟结尾给的金币	4		170	14028	100			1	
14029	黄金城+100银币	4		100	14029	100			1	
14030	黄金城-100银币	4		-100	14030	100			1	
14031	黄金城+400银币	4		400	14031	100			1	
14032	黄金城回合转化藏品	2	102	1	14032	100			1	
14033	逆风小径箭塔	2	103	1	14033	100			1	
14034	黄金城低难买死	2	104	1	14034	100			1	
14035	逆风小径第二章给建造点	10		18	14035	100			1	
14036	逆风小径第三章给建造点	10		30	14036	100			1	
14037	逆风小径第四章给建造点	10		24	14037	100			1	
14038	黄金城第二章boss难度1奖励三色倍率1	7	1	10	14038	100			1	
14039	黄金城第二章boss难度1奖励三色倍率2	7	2	30	14039	100			1	
14040	黄金城第二章boss难度1奖励三色倍率3	7	3	10	14040	100			1	
14041	黄金城第二章难度2-3三色倍率1	7	1	8	14041	100			1	
14042	黄金城第二章难度2-3三色倍率3	7	3	8	14042	100			1	
14043	黄金城第二章难度4-5三色倍率2	7	2	25	14043	100			1	
14044	黄金城第二章难度6三色倍率1	7	1	6	14044	100			1	
14045	黄金城第二章难度6三色倍率3	7	3	6	14045	100			1	
14046	黄金城第三章难度1三色倍率1	7	1	12	14046	100			1	
14047	黄金城第三章难度1三色倍率2	7	2	35	14047	100			1	
14048	黄金城第三章难度1三色倍率3	7	3	12	14048	100			1	
14049	黄金城第三章难度2三色倍率2	7	2	35	14049	100			1	
14050	黄金城第四章难度1三色倍率1	7	1	15	14050	100			1	
14051	黄金城第四章难度1三色倍率2	7	2	40	14051	100			1	
14052	黄金城第四章难度1三色倍率3	7	3	15	14052	100			1	
14053	逆风小径第二章难度1三色倍率2	7	2	10	14053	100			1	
14054	逆风小径第二章难度1三色倍率3	7	3	30	14054	100			1	
14055	逆风小径第二章难度2三色倍率2	7	2	8	14055	100			1	
14056	逆风小径第二章难度4三色倍率3	7	3	25	14056	100			1	
14057	逆风小径第二章难度6三色倍率2	7	2	6	14057	100			1	
14058	逆风小径第三章难度1三色倍率2	7	2	12	14058	100			1	
14059	逆风小径第三章难度2三色倍率3	7	3	35	14059	100			1	
14060	逆风小径第三章难度3三色倍率3	7	3	30	14060	100			1	
14061	逆风小径第四章难度1三色倍率2	7	2	15	14061	100			1	
14062	逆风小径第四章难度1三色倍率3	7	3	40	14062	100			1	
15001	时间轴事件-发放觉醒值	15		25	15001	100			1	
15002	结局事件发放觉醒值	15		100	15002	100			1	
