Id	Des	GroupId	EventId	Weight	GameRepeatable	ConditionId	AddWeight	AddWeightCondition
236	觉醒事件-崩毁的前奏1	60205	60205	1	1			
237	觉醒事件-崩毁的前奏2	60211	60211		1		[100]	[1020840]
238	觉醒事件-崩毁的前奏3	60215	60215		1		[100]	[1020848]
239	觉醒事件-崩毁的前奏终	60216	60216		1		[100]	[1020839]
240	觉醒事件-奇点1	60205	60221	1	1			
241	觉醒事件-奇点2	60211	60230		1		[100]	[1020842]
242	觉醒事件-奇点3	60215	60234		1		[100]	[1020849]
243	觉醒事件-奇点4	60216	60238		1		[100]	[1020850]
244	觉醒事件-奇点5	60244	60244		1		[100]	[1020851]
245	被封锁的档案1	60252	60252	100	1			
246	被封锁的档案2	60259	60259		1		[100]	[1020786]
247	被封锁的档案3	60265	60265		1		[100]	[1020787]
248	梦中的回响1	60252	60272	100	1			
249	梦中的回响2	60259	60277		1		[100]	[1020852]
250	梦中的回响3	60265	60280		1		[100]	[1020853]
251	沙盘提示	60259	60282	1	1			
252	沙盘提示	60265	60282	1	1			
253	沙盘提示	60211	60282	1	1			
254	沙盘提示	60215	60282	1	1			
255	沙盘提示	60216	60282	1	1			
256	沙盘提示	60244	60282	1	1			
257	第二格选过事件2直接刷3崩毁	60211	60215		1		[100]	[1020848]
258	第二格选过事件2直接刷3奇点	60211	60234		1		[100]	[1020849]
259	第二格选过事件3直接刷4崩毁	60211	60216		1		[100]	[1020839]
260	第二格选过事件3直接刷4奇点	60211	60238		1		[100]	[1020850]
261	第三格没选过2刷2崩毁	60215	60211		1		[100]	[1020840]
262	第三格没选过2刷2奇点	60215	60230		1		[100]	[1020842]
263	第三格选过事件3直接刷4崩毁	60215	60216		1		[100]	[1020839]
264	第三格选过事件3直接刷4奇点	60215	60238		1		[100]	[1020850]
265	第四格没选过2刷2崩毁	60216	60211		1		[100]	[1020840]
266	第四格没选过2刷2奇点	60216	60230		1		[100]	[1020842]
267	第四格没选过2刷3崩毁	60216	60215		1		[100]	[1020848]
268	第四格没选过3刷3奇点	60216	60234		1		[100]	[1020849]
269	沙盘的边缘Ⅱ	70001	70001	100	1			
270	堆积的残骸	70003	70003	100	1			
271	冰湖溶解之时	70009	70009	100	1			
272	最后之路	70015	70015	100	1			
