Id	GroupId	OptionDesc	OptionDownDesc	OptionType	OptionItemType	OptionItemId	OptionItemCount	OptionStageScoreMin	OptionStageScoreMax	NextEvent	NextEventGroupId	OptionCondition	OptionShowCondition	OptionIcon	EffectGroupId
6002102	60021	拒绝馈赠		3						60023					
6003701	60037	进入山谷		3						60039					
6003702	60037	离开山谷		3						60038					
6004105	60041	就此返回		3						60042		1020738	1020738		
6004101	60041	继续前进		3						60057		1020738	1020738		
6006101	60061	相信他		3						60062					
6006102	60061	拒绝他		3						60067					
6006301	60063	再次相信他		3						60064					
6006302	60063	拒绝他		3						60067					
6006801	60068	挽留他		3						60069					
6006802	60068	让他离开		3						60070					
6007101	60071	挑选一些商品		3						60072					
6007102	60071	暂不需要		3						60076					
6007301	60073	再次挑选一些商品		3						60074					
6007302	60073	暂不需要		3						60076					
6008101	60081	主动提出帮忙		3						60085					
6008102	60081	和他道别		3						60082					
6008601	60086	再次表示可以帮忙		3						60087					
6008602	60086	和他道别		3						60082					
6001601	60016	马上逃跑		3						60017					30006
6001901	60019	支付银币		3						60020					30008
6002401	60024	继续		3						60025					30009
6009001	60090	向前继续探索		3						60095		1020730	1020730		
6009002	60090	向前继续探索		3						60096		1020731	1020731		
6009003	60090	向前继续探索		3						60097		1020732	1020732		
6009004	60090	向前继续探索		3						60098		1020733	1020733		
6000803	60008	折返		3						60099		1020727	1020727		
6000804	60008	折返		3						60100		1020728	1020728		
6000805	60008	折返		3						60101		1020729	1020729		
6000806	60008	继续探索		3						60102		1020727	1020727		
6000807	60008	继续探索		3						60103		1020728	1020728		
6000808	60008	继续探索		3						60104		1020729	1020729		
6003101	60031	继续		3						60032		1020734	1020734		
6003102	60031	继续		3						60105		1020735	1020735		
6003103	60031	继续		3						60106		1020736	1020736		
6003104	60031	继续								60107		1020737	1020737		
6004106	60041	就此返回		3						60108		1020739	1020739		
6004107	60041	就此返回		3						60109		1020740	1020740		
6004108	60041	就此返回		3						60110		1020741	1020741		
6004102	60041	继续前进		3						60111		1020739	1020739		
6004103	60041	继续前进		3						60112		1020740	1020740		
6004104	60041	继续前进		3						60113		1020741	1020741		
6004401	60044	取下项链		3						60045		1020742	1020742		
6004402	60044	取下项链		3						60114		1020743	1020743		
6004403	60044	取下项链		3						60115		1020744	1020744		
6004404	60044	取下项链		3						60116		1020745	1020745		
6005501	60055	继续		3						60056		1020746	1020746		
6005502	60055	继续		3						60117		1020747	1020747		
6005503	60055	继续		3						60118		1020748	1020748		
6005504	60055	继续		3						60119		1020749	1020749		
6000102	60004	前往白银城		3						60120		1020709	1020709		
6005701	60057	继续前进		3						60058		1020714	1020714		
6005702	60057	继续前进		3						60123		1020715	1020715		
6004301	60043	继续前进		3						60044		1020718	1020718		
6004302	60043	继续前进		3						60124		1020719	1020719		
6012501	60125	挪开		3						60126					30007
6012502	60125	离开		3						60127					
6012801	60128	收下银币		3						60129					30007
3109804	31098	发展科技		2	15		50			60131		1020770			
6013301	60133	继续探索		3						60135					
6013302	60133	暂不探索		3						60134					
6014401	60144	调遣加热设备，尝试融解冰层		3						60145					
6014402	60144	从旁侧冻土挖掘，绕路进入工厂		3						60146					
6015401	60154	北极星		3						60155					
6015402	60154	太阳		3						60156					
6015701	60157	地球		3						60158					
6015702	60157	太阳		3						60158					
6015703	60157	两者均是		3						60160					
6016701	60167	往里面投入橘子		3						60168					
6016702	60167	往里面投入斧头		3						60169					
6016703	60167	往里面投入鲨士碧儿玩偶		3						60170					
6016704	60167	往里面丢入易拉罐罐头		3						60171					
6016705	60167	往里面丢入一枚新苏菲亚币		3						60176					
6019701	60197	尝试藏起营地里的机械		3						60198					
6019702	60197	让他们试试在梦中反抗		3						60201					
6025301	60253	阅读		3						60255					
6025302	60253	暂时不阅读		3						60254					
6025901	60259	阅读		3						60260					
6025902	60259	暂时不阅读		3						60254					
6026701	60267	同意公开这个信息		3						60268					
6026702	60267	不同意公开这个信息		3						60271					
6027401	60274	塔季扬娜		3						60275					
6027402	60274	新苏菲亚城的执政者		3						60276					
6027701	60277	我不知道		3						60278					
6027702	60277	沙盘之外的世界		3						60279					
6028001	60280	是的		3						60281					
6029701	60297	北极星		3						60298					
6029702	60297	太阳		3						60299					
7000401	70004	测试文本		3						70005					
7000402	70004	测试文本		3						70007					
7001001	70010	测试文本		3						70011					
7001002	70010	测试文本		3						70013					
7001601	70016	测试文本		3						70017					
