Id	Desc	Desc1	Type	Params	SkillCostType	SkillCostId	SkillCostCount	SkillCostUp	SkillCostResetType
1401	翻开标记1	翻开标记1	405	[1]					
1402	翻开标记2	翻开标记2	405	[2]					
1403	翻开标记3	翻开标记3	405	[3]					
1404	黄色、蓝色地图关底标记	黄色、蓝色地图关底标记		[2251558]					
1405	冰霜蠕虫标记	冰霜蠕虫标记		[2251675]					
1406	黄色转职+400金币	黄色转职+400金币	219	[4, 0, 400]					
1407	黄色转职替代招安的天赋+600金币	黄色转职替代招安的天赋+600金币	219	[4, 0, 600]					
10001	外循环红1	攻击力+50		[2251553]					
10002	外循环红2	生命值+500		[2251551]					
10003	外循环红3	攻击力+10%		[2251559]					
10004	外循环红4	全属性伤害+15%		[2251554]					
10005	外循环红5	额外伤害加成+15%		[2251552]					
10011	外循环黄1	初始金币+20	219	[4, 0, 20]					
10012	外循环黄2	进入商店时获得50金币	217	[4, 0, 50]					
10013	外循环黄3	初始金币+40	219	[4, 0, 40]					
10014	外循环黄4	商店中商品打折10%	203	[-1000]					
10015	外循环黄5	利息上限+10	208	[10]					
10021	外循环蓝1	初始获得1点建筑能量	219	[10, 0, 1]					
10022	外循环蓝2	每次天赋刷新价格-10	301	[-10]					
10023	外循环蓝3	初始获得2点建筑能量	219	[10, 0, 2]					
10024	外循环蓝4	每次天赋刷新价格-15	301	[-15]					
10025	外循环蓝5	天赋首次刷新免费	302	[1]					
10031	初始金币难度1	初始金币+1	219	[4, 0, 300]					
10032	初始金币难度2	初始金币+2	219	[4, 0, 300]					
10033	初始金币难度3	初始金币+3	219	[4, 0, 300]					
10034	初始金币难度4	初始金币+4	219	[4, 0, 150]					
10035	初始金币难度5	初始金币+5	219	[4, 0, 150]					
10036	初始金币难度6	初始金币+6	219	[4, 0, 0]					
10037	时间回溯后银币+100		425	[4, 0, 100]					
10038	时间回溯后额外获得1行动点		425	[11, 0, 1]					
10039	获得的觉醒值额外增加50%		416	[15, 0, 5000]					
10040	获得一次时间回溯		409	[1, 1, 0, 17, 0]					
2001	测试用翻开格子	翻开标记1格子	405	[1]					
2002	测试用移除格子	移除标记2格子	406	[2]					
2003	测试用生成格子	生成标记3格子	408	[3, 6, 1101]					
2004	大扫除事件标记1生成宝箱	生成标记1格子	408	[1, 5, 3]					
11000	红色分队	翻红色格攻击力+10%	33	[0, 1, 1, 2251650]					
11001	黄色分队	翻黄色格金币+15	32	[0, 1, 2, 4, 0, 15]					
11002	蓝色分队	每翻3个蓝色格，能量点+1	32	[0, 3, 3, 10, 0, 1]					
11003	盲盒分队	获得1个1级藏品箱	219	[1, 1, 1]					
11004	盲盒分队-2	藏品上限+1	219	[13, 0, 1]					
11005	假日分队-1	初始金币+300	219	[4, 0, 300]					
11006	空格	每翻6个空格，额外获得一个藏品箱	32	[2, 6, 0, 1, 1, 1]					
11007	红色分队	额外+1红色倍率	219	[7, 1, 1]					
11008	黄色分队	额外+1黄色倍率	219	[7, 2, 1]					
11009	蓝色分队	额外+1蓝色倍率	219	[7, 3, 1]					
11010	假日分队-2	初始建造点+4	219	[10, 0, 4]					
20001	攻击+8%			[2251661]					
20002	攻击+11%			[2251665]					
20003	攻击+14%			[2251667]					
20004	攻击+19%			[2251669]					
20005	攻击+23%			[2251670]					
20006	攻击+26%			[2251671]					
20007	攻击+29%			[2251672]					
20008	攻击+31%			[2251673]					
20009	攻击+34%			[2251674]					
20010	血量+300			[2251662]					
20011	防御+100			[2251663]					
20012	全属性抗性-12%（同名天赋不叠加）			[2251664]					
20013	全属性抗性-18%（同名天赋不叠加）			[2251666]					
20014	全属性抗性-20%（同名天赋不叠加）			[2251668]					
2005	红路线-图1-章节3隐藏区域1翻格		405	[888]					
2006	红路线-图1-章节3隐藏区域2翻格		405	[666]					
20015	攻击+38%			[2251676]					
30001	行动点转化为体力		410	[1, 4, 0, 100]					
30002	黄金城限制买死怪物		411	[1, 1, 60001, 60005, 60009]					
30003	黄金城限制买死怪物		411	[2, 1, 60001, 60005, 60009]					
30004	黄金城限制买死怪物		411	[4, 1, 60001, 60005, 60009]					
30005	黄金城限制买死怪物		411	[3, 1, 60001, 60005, 60009]					
30006	黄金城限制买死怪物		411	[1, 1, 60003, 60007, 60011]					
30007	黄金城限制买死怪物		411	[2, 1, 60003, 60007, 60011]					
30008	黄金城限制买死怪物		411	[4, 1, 60003, 60007, 60011]					
30009	黄金城限制买死怪物		411	[3, 1, 60003, 60007, 60011]					
30010	逆风小径小怪限制买死		411	[2, 2, 60013, 60021, 60026]					
30011	逆风小径小怪限制买死		411	[2, 2, 60017, 60023, 60028]					
30012	黄金城金币翻倍		409	[3, 0, 20000, 4, 0]					
30013	黄金城金币减半		409	[4, 0, 20000, 4, 0]					
30014	黄金城金币+100		409	[1, 100, 0, 4, 0]					
30015	黄金城金币-100		409	[2, 100, 0, 4, 0]					
30016	黄金城金币+400		409	[1, 400, 0, 4, 0]					
30017	黄金城2章颜色资源红		409	[1, 4000, 0, 9, 1]					
30018	黄金城2章颜色资源黄		409	[1, 17000, 0, 9, 2]					
30019	黄金城3章颜色资源红		409	[1, 10000, 0, 9, 1]					
30020	黄金城3章颜色资源黄		409	[1, 51000, 0, 9, 2]					
30021	黄金城4章颜色资源红		409	[1, 70000, 0, 9, 1]					
30022	黄金城4章颜色资源黄		409	[1, 360000, 0, 9, 2]					
30023	逆风小径2章颜色资源红		409	[1, 4000, 0, 9, 1]					
30024	逆风小径2章颜色资源蓝		409	[1, 17000, 0, 9, 3]					
30025	逆风小径3章颜色资源红		409	[1, 10000, 0, 9, 1]					
30026	逆风小径3章颜色资源蓝		409	[1, 51000, 0, 9, 3]					
30027	逆风小径3章颜色资源红		409	[1, 70000, 0, 9, 1]					
30028	逆风小径3章颜色资源蓝		409	[1, 360000, 0, 9, 3]					
30029	黄金城初始金币500		412	[4, 0, 500]					
30030	黄金城初始金币800		412	[4, 0, 800]					
30031	逆风小径建造点18改15		412	[10, 0, 15]					
30032	逆风小径建造点17改14		412	[10, 0, 14]					
30033	逆风小径建造点30改21		412	[10, 0, 21]					
30034	逆风小径建造点24改22		412	[10, 0, 22]					
30035	逆风小径建造点23改20		412	[10, 0, 20]					
30036	黄金城初始建造点归零		412	[10, 0, 0]					
30037	蓝色25级建筑	（建造上限：3）可预览十字方向2格内区域内容；每天永久提供1施工许可；建造后随机清理范围内1个危险区域；探索范围内的区域，颜色资源+150	101	[1005]	10		8		
