BuffId	BuffEffect	BuffType	DisplayType	DisplayPriority	Params	BuffInit	BuffCover	TimeType	TimeTypeParam	Name	Icon	Desc
321		14	1	3	[2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff10.png	钩爪改造为磁力钩爪
331		14	1	3	[3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex10.png	大就是美：钩爪越大，当然抓的越多！
332		14	1	3	[7]			1				钩爪改造为锤子钩爪
341		15			[1]			1				钩爪会发射辅助瞄准线
401		24			[6]			1				默认替身钩
402		25			[20, 1000]			1				抓到/使用炸弹加分(20~1000)
403		26			[3]			1				抓到猫猫加道具
404		27			[100, 1500]			1				QTE额外加分(100%~1500%)
405		24			[2]			1				电磁
406		24			[3]			1				巨大
407		24			[4]			1				控制方向
408		24			[5]			1				蓄力
501		14	1	3	[1]			1				
502		14	1	3	[6]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff2.png	替身钩爪：亚里沙的基本钩爪。不论世事怎样变化，总有人会永远和你站在同一边。
503		14			[4]			1				定向钩爪：可以随意变更方向！猫猫也能用的超方便钩爪！
504		14	1	3	[5]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex7V2P17.png	磁力钩爪：只需长按就可以伸长的钩爪！会吸附沿途的全部资源。
505		14	1	3	[3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff11.png	巨型钩爪：只能抓一个，但是超大范围的钩爪！瞄准？根本不需要！
601		28	1	2	[103, 0]			1				开局自带普通钩爪
602		28	1	2	[103, 1]			1				开局自带替身钩爪
701		29	1	1	[1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex4.png	三类接触：召唤宇宙飞碟抓取距离最近的物品，抓取的物品同色统计为万能牌
702		29	1	1	[2]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex2.png	FULL COMBO：成功抓取三次后扫描抓取两个物品，抓取的物品同色统计为万能牌
703		30	1	1	[4, 12]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex1.png	识别模块：钩爪无视炸弹和映像
704		31	1	1	[12]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5.png	炸裂霓虹：使用锤子改造钩爪，哪怕是映像也能轻松炸裂！
705		32	1	1	[20, 12]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6V2P17.png	加速涡轮：当前地图内，每成功抓取一次则提升钩爪速度，最多提高12次
706		33	1	1	[14]			2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex9.png	碳熔磁炮：每关开始时若有空道具栏则获得一个碳熔磁炮道具；使用时飞船可以移动
707		34			[1]			2	1			回合开始时获得一发可以融化陨石的碳熔磁炮。
801		37	1	1	[9]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex7.png	无视转向并抓取勘探者
802		29	1	1	[3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3V2P17.png	矿脉探测器：召唤探测雷达，每隔一段时间发现一个高价值物品
803		37	1	1	[4, 14, 17, 9]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex2V2P17.png	强力抓手：可以抓取所有物品！
804		38	1	1				1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex7.png	能够抓取日月机制下的虚拟抓取物
805		39	1	1	[1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	弹射钩爪：可以弹射一次的钩爪，并大大提升了钩爪速度
806		40	1	1	[1, 2, 3, 5, 6, 8]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex4V2P17.png	万能转换机：抓取的所有物品在同色奖励机制中都统计为万能牌
807		41	1	1				1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex1V2P17.png	超可动齿轮：抓取物品时，改为飞船向物品移动，并可以通过触碰抓取部分物品
808		42			[0, 1, 2, 3, 5, 6, 8]			1				飞船可以碰撞拾取的抓取物类型（参数0是非日月道具）
809		42			[2, 1, 4, 17]			1				飞船可以碰撞拾取的抓取物类型（参数1是日月道具实体时）
810		13			[60]			1				钩爪发射速度变为X倍（弹射勾爪用）
811		5			[60]			1				钩爪回收速度变为X倍（弹射勾爪用）
812		42			[1, 1]			1				飞船可以碰撞拾取的抓取物类型（参数2是日月道具虚体时）
813		43			[2]			1				倒计时结束后更换为shipshell中配置对应ID的飞船
814		44			[-50]			1				减少勾爪50%摇摆速度
820		45			[2, 45, 45]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex1V2P17.png	分裂为3个抓钩
821		45			[4, 30, 30]		[820]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex1V2P17.png	分裂为5个抓钩
822		39			[1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	抓取可以弹射，并且速度大大加快
823		46			[2, 1, 5, 1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	基础效果
824		46			[2, 3, 0, 0]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	数量增加
825		46			[0, 0, 3, 0]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	时间缩短
826		14			[8]		[832]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	弹网
827		47			[200]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	弹网
828		48			[1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	弹网
829		47			[40]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	弹网
830		48			[2]		[828]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
831		29			[4]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
832		14			[9]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	复制勾爪基础
833		44			[-25]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	减少勾爪50%摇摆速度
834		44			[-25]		[833]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
835		49			[10000, 0]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
836		49			[0, 1]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
837		13			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
838		5			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
839		13			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
840		5			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
841		13			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
842		5			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
843		47			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
844		47			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
845		47			[20]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
846		36			[8, 8]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
847		36			[16, 16]		[846]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
848		36			[24, 24]		[847]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
849		32	1	1	[10, 3]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6V2P17.png	加速涡轮：当前地图内，每成功抓取一次则提升钩爪速度，最多提高12次
850		32	1	1	[10, 6]		[849]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6V2P17.png	加速涡轮：当前地图内，每成功抓取一次则提升钩爪速度，最多提高12次
851		32	1	1	[10, 9]		[850]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex6V2P17.png	加速涡轮：当前地图内，每成功抓取一次则提升钩爪速度，最多提高12次
852		23	1	1	[-6, 12]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff19.png	来聊聊价格吧：获得资源点数会在-6%~+12%之间波动
853		23	1	1	[-12, 24]		[852]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff19.png	来聊聊价格吧：获得资源点数会在-6%~+12%之间波动
854		23	1	1	[-18, 36]		[853]	1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconBuff19.png	来聊聊价格吧：获得资源点数会在-6%~+12%之间波动
855		19	1	1	[10]			2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3.png	
856		19	1	1	[20]		[855]	2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3.png	
857		19	1	1	[30]		[856]	2	1		Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3.png	
858		49			[6000, 0]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex3.png	
859		44			[-30]			1				
860		23			[25, 25]			1			Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerIconHex5V2P17.png	
861		14			[10]							
