Key	Common	Values
EffectPomegranateComplete		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleGlow01.prefab']
EffectPomegranateClick		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleStone.prefab']
EffectCreateRecord		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleCaidai.prefab']
ReportShowHideTaskCount		['7']
BtnShootIconUrl		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerBattleBtn01.png', 'Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerBattleBtn02.png']
GameWallExArea		['0', '0']
PartnerShipIgnore		['4', '9', '10', '11', '12', '14', '16', '17']
PartnerScanIgnore		['4', '9', '10', '11', '12', '14', '16', '17']
RelicGatherScore		['1200']
ElectromagneticResult		['0', '250', '4', '251', '9999', '5']
GameClearIgnoreStoneTypeList		['4', '9', '14', '16', '17']
MainShowCharList		['16', '18', '17']
ElectromagneticTime		['1000']
ScanLineProgressImg		['Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerJd004.png', 'Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerJd003.png', 'Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerJd002.png', 'Assets/Product/Texture/Atlas/UiGoldenMiner/UiGoldenMinerJd001.png']
ProjectorSoundId		['2546', '2549', '4395']
NewMaxScoreSettleBg		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerReportBg001.png']
SlotsScores		['50', '100', '150']
SlotsScoresIcon		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerTigerIcon01.png', 'Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerTigerIcon02.png', 'Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerTigerIcon03.png']
SlotScoreAnyIcon		['Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerTigerIcon.png']
SunMoonChangedCD		['0.5']
HookMaxReflectCount		['10']
GuidePanelMoveShipTips		['指挥官请点击<color=#00ffffff>左右按钮</color> ，让飞船<color=#00ffffff>移动</color>！', '指挥官请点击<color=#00ffffff>左右按钮</color> ，<color=#00ffffff>旋转钩爪</color>！']
TextPCControl		['使用                           控制飞船方向', '使用                       控制钩爪旋转']
ShipGrabStoneEffect		['Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab']
ChangeSunOrMoonEffect		['Assets/Product/Ui/Prefab/UiEffect/UiGoldenMiner/FxSwitchSunScreenYellow.prefab', 'Assets/Product/Ui/Prefab/UiEffect/UiGoldenMiner/FxSwitchMoonScreenBlue.prefab']
RadarRandomItemEffect		['Assets/Product/Ui/Prefab/UiEffect/UiGoldenMiner/Target.prefab']
HexOwnCount		['2']
HookAssets		['Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerNormalHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerMagneticHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerBigHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerAimHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerMagneticHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerDoubleHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerHammerHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerNetHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerCopyHook.prefab', 'Assets/Product/Ui/ComponentPrefab/UiGoldenMiner/UiGoldenMinerMultyStyleHook.prefab']
HexSelectTipsInNoEmptySlot		['结构改造已达上限']
HexSelectItemShowName		['结构', '升级', '通用']
CommonHexRefreshLabel		['刷新: {0}/{1}']
CommonHexRefreshTimesOverTips		['刷新次数已耗尽']
HexSelectedTips		['已改造', '已升级']
HexSelectAgainTips		['已经完成此项改造', '已经完成此项升级']
PartnerLinkIgonre		['4', '9', '10', '11', '12', '14', '16', '17']
LinkStoneMoveTime		['0.35']
NetHookVirtualMoveSpeedFix		['0.003']
StoneCopyType		['1', '2', '3']
SpecialMapNeedRayScanEffect		['72860']
SpecialMapScanEffectTimePeriod		['19.7', '34.7', '49.7', '64.7']
NetHookGrabDiretionFixY		['102']
