Id	ClassId	TalentType	Name	Desc	Level	UseOwn	CostItemId	CostItemCount	FightEventId
28	2	1	主动抑制	主动技能。释放后可使自身及队友场上怪物额外伤害减免<color=#34aff8>降低40%</color>，持续8秒，技能冷却<color=#34aff8>11秒</color>	5	1			[2240343]
29	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>30%闪避值</color>		1	96116	90	
30	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>30%闪避值</color>	1	1	96116	90	[2240344]
31	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>40%闪避值</color>	2	1	96116	90	[2240345]
32	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>50%闪避值</color>	3	1	96116	90	[2240346]
33	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>60%闪避值</color>	4	1	96116	90	[2240347]
34	2	2	闪避回复	触发机制判定时，全队可恢复<color=#34aff8>70%闪避值</color>	5	1			[2240348]
35	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>5%</color>，最高级时获得霸体			96116	90	
36	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>5%</color>，最高级时获得霸体	1		96116	90	[2240349]
37	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>8%</color>，最高级时获得霸体	2		96116	90	[2240350]
38	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>11%</color>，最高级时获得霸体	3		96116	90	[2240351]
39	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>14%</color>，最高级时获得霸体	4		96116	90	[2240352]
40	2	3	虚数护盾	角色身上存在护盾时，角色受到伤害降低<color=#34aff8>17%</color>，最高级时获得霸体	5				[2240353]
41	2	4	装甲核心	FEVER状态下，角色每10秒获得20%生命上限的<color=#34aff8>护盾</color>，闪避值<color=#34aff8>每秒恢复60点</color>					
42	2	4	装甲核心	FEVER状态下，角色每10秒获得20%生命上限的<color=#34aff8>护盾</color>，闪避值<color=#34aff8>每秒恢复60点</color>	1				[2240354]
43	2	4	装甲核心	FEVER状态下，角色每9秒获得20%生命上限的<color=#34aff8>护盾</color>，闪避值<color=#34aff8>每秒恢复60点</color>	2				[2240355]
44	2	4	装甲核心	FEVER状态下，角色每8秒获得20%生命上限的<color=#34aff8>护盾</color>，闪避值<color=#34aff8>每秒恢复60点</color>\n被动:所有职业受到伤害-10%	3				[2240356]
45	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>28秒</color>		1	96116	90	
46	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>28秒</color>	1	1	96116	90	[2240357]
47	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>23秒</color>	2	1	96116	90	[2240358]
48	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>18秒</color>	3	1	96116	90	[2240359]
49	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>14秒</color>	4	1	96116	90	[2240360]
50	3	1	主动充能	主动技能。释放后恢复全队<color=#34aff8>20%生命值</color>及一组同色信号球，冷却<color=#34aff8>11秒</color>	5	1			[2240361]
51	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>5秒</color>		1	96116	90	
52	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>5秒</color>	1	1	96116	90	[2240362]
53	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>6秒</color>	2	1	96116	90	[2240363]
54	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>7秒</color>	3	1	96116	90	[2240364]
55	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>8秒</color>	4	1	96116	90	[2240365]
56	3	2	移速强化	触发机制判定时，全队提升<color=#34aff8>25%移速</color>，持续<color=#34aff8>10秒</color>	5	1			[2240366]
57	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升5点</color>			96116	90	
58	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升5点</color>	1		96116	90	[2240367]
59	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升6点</color>	2		96116	90	[2240368]
60	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升7点</color>	3		96116	90	[2240369]
61	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升8点</color>	4		96116	90	[2240370]
62	3	3	能量回充	机制结算时，全队获得<color=#34aff8>FEVER值提升10点</color>	5				[2240371]
63	3	4	辅助核心	FEVER状态下，复活所有队友，全队一血不死，且每秒恢复<color=#34aff8>10%生命值</color>，每12秒获得2组同色信号球			96116	90	
64	3	4	辅助核心	FEVER状态下，复活所有队友，全队一血不死，且每秒恢复<color=#34aff8>10%生命值</color>，每12秒获得2组同色信号球	1		96116	90	[2240372]
65	3	4	辅助核心	FEVER状态下，复活所有队友，全队一血不死，且每秒恢复<color=#34aff8>11%生命值</color>，每12秒获得2组同色信号球	2		96116	90	[2240373]
66	3	4	辅助核心	FEVER状态下，复活所有队友，全队一血不死，且每秒恢复<color=#34aff8>12%生命值</color>，每12秒获得2组同色信号球\n被动:所有职业信号球回复间隔-20%	3		96116	90	[2240374]
