Id	AttribId	AttribDes1	AttribDes2	ItemId	ItemCount	ItemCrystalId	ItemCrystalCount	AwarenessAttrDesc	AwarenessAttrValue
3056006	{1: 40560064, 2: 40560065}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056007	{1: 40560074, 2: 40560075}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056008	{1: 40560084, 2: 40560085}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056009	{1: 40560094, 2: 40560095}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056010	{1: 40560104, 2: 40560105}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056011	{1: 40560114, 2: 40560115}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056012	{1: 40560124, 2: 40560125}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066001	{1: 40660014, 2: 40660015}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70011, 70012]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066002	{1: 40660024, 2: 40660025}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70021, 70022]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066003	{1: 40660034, 2: 40660035}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70031, 70032]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066004	{1: 40660044, 2: 40660045}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70041, 70042]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066005	{1: 40660054, 2: 40660055}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70051, 70052]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066006	{1: 40660064, 2: 40660065}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70061, 70062]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066007	{1: 40660074, 2: 40660075}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70071, 70072]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066008	{1: 40660084, 2: 40660085}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70081, 70082]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066009	{1: 40660094, 2: 40660095}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70091, 70092]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066010	{1: 40660104, 2: 40660105}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70101, 70102]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066011	{1: 40660114, 2: 40660115}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70111, 70112]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066012	{1: 40660124, 2: 40660125}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70121, 70122]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016014	{1: 40160144, 2: 40160145}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026014	{1: 40260144, 2: 40260145}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036014	{1: 40360144, 2: 40360145}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046014	{1: 40460144, 2: 40460145}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056014	{1: 40560144, 2: 40560145}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066014	{1: 40660144, 2: 40660145}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70141, 70142]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016013	{1: 40160134, 2: 40160135}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026013	{1: 40260134, 2: 40260135}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036013	{1: 40360134, 2: 40360135}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046013	{1: 40460134, 2: 40460135}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056013	{1: 40560134, 2: 40560135}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066013	{1: 40660134, 2: 40660135}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70131, 70132]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016015	{1: 40160154, 2: 40160155}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026015	{1: 40260154, 2: 40260155}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036015	{1: 40360154, 2: 40360155}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046015	{1: 40460154, 2: 40460155}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056015	{1: 40560154, 2: 40560155}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066015	{1: 40660154, 2: 40660155}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70151, 70152]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016016	{1: 40160164, 2: 40160165}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3026016	{1: 40260164, 2: 40260165}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3036016	{1: 40360164, 2: 40360165}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3046016	{1: 40460164, 2: 40460165}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3056016	{1: 40560164, 2: 40560165}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3066016	{1: 40660164, 2: 40660165}	['意识攻击增加17.5%', '意识防御增加12.5%']	['意识攻击增加17.5%', '意识防御增加12.5%']	[1, 79991, 79992, 70161, 70162]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
3016017	{1: 40160174, 2: 40160175}	['意识生命增加17.5%', '意识会心增加12.5%']	['意识生命增加17.5%', '意识会心增加12.5%']	[1, 79991, 79992, 70171, 70172]	[50000, 9, 3, 6, 1]	[1, 70001, 70002]	[50000, 480, 80]	加成伤害：+	1
