Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow	RecommendCharacterId	OverrunNoShow
2036001	3		6	6	2036001	2036001					零式	6星浮游炮 零式	浮游攻击装置的初期实验型号，保留了很多旧式炮装的设计，虽然活动性很差，但破坏力是一流的。		1031001	
2036002	3		6	6	2036002	2036002					神赐者	6星浮游炮 神赐者	辅助机型专用的浮游武装，牺牲了部分攻击性能用以强化电磁指挥场，适合群体作战用的武器。		1031002	
2036003	3		6	6	2036003	2036003					天龙之风	6星浮游炮 天龙之风	清廷白鹭队的专属武装之一，搭配华丽的命名和性能，能够确保构造体战无不胜。		1031003	
2043001	4		3	3	2043001	2043001					练习用复合弓	3星弓 练习用复合弓	最常见的复合弓，弓道练习场的标准配置。			
2044001	4		4	4	2044001	2044001					滑轮复合弓	4星弓 滑轮复合弓	使用滑轮增强射击力度的复合弓，每一箭的威力都可以与枪械相比。			
2045001	4		5	5	2045001	2045001					猎隼E-3320	5星弓 猎隼E-3320	黑野旗下武器工厂研发的新式弓箭，有着威力强大却缺乏稳定性的特点，首批出厂后就因为驾驭者稀少而停产。			
2046001	4		6	6	2046001	2046001					雷米尔	6星弓 雷米尔	以堕天使为名制作的机械复合弓，带有自动诱导的射击装置，无论什么环境都能确切了结敌人。		1041002	
2046002	4		6	6	2046002	2046002					莱特宁	6星弓 莱特宁	莱特宁在制作过程中加入了部分特殊元素，使它的导电性能大大提升，不仅如此，它还有着良好的耐电性和耐高温性，这让莱特宁能够适应地表大多数恶劣的坏境。		1041003	
2046003	4		6	6	2046003	2046003					阿斯特莉亚	6星弓 阿斯特莉亚	这把长弓融会了材料学的顶尖设计，能够承载高强度的反复张弓，甚至在快速射击时，能在弓弦的幻影中听到些许星空的回响。在苦难和不公的泥淖中挣扎的人常常呼唤着希望与正义，假如乌托邦真的存在的话，阿斯特莉亚就是应答。		1261003	
2053001	5		3	3	2053001	2053001					作业用链锯	3星电锯 作业用链锯	通用型链锯，在工业领域十分常见。			
2054001	5		4	4	2054001	2054001					噪音	4星电锯 噪音	旧型使用燃油作为动力的巨大链锯，缺点是启动时需要努力发动引擎。			
2055001	5		5	5	2055001	2055001					电光石火	5星电锯 电光石火	专门作为武器研制出来的第一代大型链锯，测试时切列机械发出的火花令人印象深刻，从而变成了产品的代号。			
2056001	5		6	6	2056001	2056001					奇美拉-逆断	6星电锯 奇美拉-逆断	逆断并不是武器，而是某个实验计划的代号，而这把武器因为使用了一部分该计划的实验成果所以被称为奇美拉。		1051001	
2056002	5		6	6	2056002	2056002					机韵	6星电锯 机韵	机韵属于液压电锯，它有着强劲的动力，能够随着启动时间的增加逐渐加快链条的切割速度，同时它装载的特殊试剂能够提升链条的温度，使机韵在切割时能够削弱目标的火焰抗性。		1051003	
2063001	6		3	3	2063001	2063001					大剑	3星武器 大剑	通用型大剑，如同它的名字一般朴实无华。			
2064001	6		4	4	2064001	2064001					压乱者	4星大剑 压乱者	集防御和攻击范围大等优点于一身的大剑，一般是用于镇暴的。			
2065001	6		5	5	2065001	2065001					动轮大剑	5星大剑 动轮大剑	可变形的奇怪大剑，内装有压缩能源罐，在蓄满以后能够利用剑身作为发射器射出冲击波。			
2065050	6		5	5	2065050	2065050	True				伯利恒之星	5星大剑 伯利恒之星	以圣诞树为原型制作的大剑，剑尖的伯利恒之星紧紧吸附在剑身之上，能够随意甩动而不会被甩飞出去。剑刃并不锋利，但是却有着合适的重量，作为武器来说也有着不错的杀伤力。			
2066001	6		6	6	2066001	2066001					大神威	6星大剑 大神威	本身的武器名并不是这个，神威在拿到手以后用十分合手为由替换成了大神威这个滑稽的名字，能够同调所有者并增强其实力。		1061002	
2066002	6		6	6	2066002	2066002					漆黑	6星大剑 漆黑	从某个感染构造体手中回收改装的武器，光是握在手中就能感受到曾经持有者的执念。		1061003	
2073001	7		3	3	2073001	2073001					火箭筒	3星火炮 火箭筒	造价低廉，结构简单但是实用的火箭筒，十分适合单兵携带。			
2074001	7		4	4	2074001	2074001					螺旋炮	4星火炮 螺旋炮	炮身在射击时会适应弹药进行有规律的自转，能够大幅提升弹药的使用效能。			
2075001	7		5	5	2075001	2075001					熔岩之柱	5星火炮 熔岩之柱	内藏有一个小型热能炉的试作大炮，在使用的时候还需要注意不要让其过热。			
2075002	7		5	5	2075002	2075002					开门红	5星火炮 开门红	以爆竹为原型设计的火箭筒，末端的爆竹可以在攻击时装填进炮身一起发射出去，但是每次发射后都需要等待几秒钟让炮身散热。			
2076001	7		6	6	2076001	2076001					狂乱融合炮	6星火炮 狂乱融合炮	据说是以前反对地球统一政府的反社会分子所使用的武器，不在意可用性，不断往上加载模块后，锻造出这种带狂暴气质的火炮。		1071002	
2076002	7		6	6	2076002	2076002					核基红龙	6星火炮 核基红龙	使用了高能动力装置的手炮。极限状态下其喷射的热焰如同传说中龙族的吐息。		1071003	
2083001	8		3	3	2083001	2083001					双手刀	3星短刀 双手刀	十分常见的匕首，各方面素质都比较普通。			
2084001	8		4	4	2084001	2084001					切割猎手	4星短刀 切割猎手	刀身在灵活性上花了不少功夫，就算是不会使用短刀的构造体也能十分容易使用。			
2085001	8		5	5	2085001	2085001					石之心	5星短刀 石之心	材质上使用特别合金的“超重”短刀，虽然小巧但实际破坏力非凡。			
2085002	8		5	5	2085002	2085002					元夜	5星短刀 元夜	元宵特制匕首，刀身印有特殊的文字，饱含了浓浓的祝福。			
2086001	8		6	6	2086001	2086001					斩魂者	6星短刀 斩魂者	附有离子振动模式的短刀，能够在刺穿敌人的瞬间破坏缺口部分的构造，不是相当熟练的构造体基本不能驾驭这把武器。		1081002	
2086002	8		6	6	2086002	2086002					镇命者	6星短刀 镇命者	镇命者能够通过刀柄上的按钮让刀刃快速震动，大大增强切割能力，同时刀身中融入了微量放射性元素，使它在攻击的同时，对敌人组成元件造成的穿透性损伤有所提高。		1081003	
2093001	9		3	3	2093001	2093001					制式镰刀	3星镰刀 制式镰刀	常见的镰刀，切割性能优秀。			
2094001	9		4	4	2094001	2094001					黯淡	4星镰刀 黯淡	在制式镰刀的基础上加上了把手和让刀身能够折叠起来的装置，便于携带。			
2095001	9		5	5	2095001	2095001					褪色	5星镰刀 褪色	虽然制作时期已经比较久远，以至于刀刃上的涂层都有所褪色，但是并不影响它作为武器的锋利程度。			
2096001	9		6	6	2096001	2096001					魏紫	6星镰刀 魏紫	魏紫明亮的利刃在攻击的同时会在敌人身上留下浓厚的腐蚀涂层，快速削减感染体的外部装甲，当腐蚀涂层渗透进机体内部时，甚至能造成短暂的短路。		1091002	
2096002	9		6	6	2096002	2096002					圣艾尔摩	6星镰刀 圣艾尔摩	圣艾尔摩采用了导电性极高的合金制作而成，可折叠式的设计使圣艾尔摩更加便于携带，挥舞时能够看到它划过的一道道蓝白色闪光，那是刀刃剧烈放电的特征。		1121002	
2096003	9		6	6	2096003	2096003					伽拉忒亚	6星镰刀 伽拉忒亚	出于对现存兵装的不满，全新的理念构筑出了伽拉忒亚。完美的容器映照着制造者的心灵，将一切纳入己身，传达后者的情感，为所有敌人送去终曲。		1561003	
2104001	10		4	4	2104001	2104001				2	噬光	4星独域大剑 噬光	经历过无数战斗的大剑，剑刃已经出现了磨损，为了不耽误战斗，随意地用绷带对剑身进行了加固。			
2105001	10		5	5	2105001	2105001				2	掠影	5星独域大剑 掠影	这是一把质地坚硬的钝刀，刻意未开刃的设计就是为了狠狠地折磨它的敌人，但也因为未开刃的缘故，这把大剑对使用者的能力有着较高的要求。			
2106001	10		6	6	2106001	2106001				2	塔纳托斯	6星独域大剑 塔纳托斯	剑柄处搭载的机械装置能大幅提升它的切割能力。刀刃处能够产生剧烈的高温，让它能够轻松熔断各种机械结构。为了适用于长时间单兵作战，它还搭载了简易的自动维护装置，拉动扳手即可对剑身进行清洁和修复。		1511003	
2114001	11		4	4	2114001	2114001					异端开拓者	4星枪盾 异端开拓者	象征开拓的轨道骑枪，第一种正式投入军用装备的轨道骑枪型装备，搭载了不亚于野战炮等级的炮击威力和强大的格斗性能，			
2115001	11		5	5	2115001	2115001					RL-03C 黑刺	5星枪盾 RL-03C 黑刺	供特种部队构造体使用，特殊制式的轨道骑枪；弹头内置震荡力场，能在侵入装甲之后分解装甲的结构。			
2116001	11		6	6	2116001	2116001					冈格尼尔	6星枪盾 冈格尼尔	使用尚在试验阶段的高能释放元件为核心制作的轨道骑枪，被工程师们冠以神枪之名的它必有其当得起这一名号的理由。		1141003	
2125001	12		5	5	2125001	2125001					纯白契约	5星太刀&大剑 纯白契约	东洋武士过去使用的白刀。			
2126001	12		6	6	2126001	2126001					纯白契约·改	6星太刀&大剑 纯白契约 改	东洋武士过去使用的白刀。			
2134001	13		4	4	2134001	2134001				2	黑铁寒星 陆式	4星独域龙枪 黑铁寒星 陆式	古朴的长枪，巧思凝在暗处，刃锋凛凛生寒。 ——即使只是摆在架上，也教人不由得退开半步。			
2135001	13		5	5	2135001	2135001				2	归云	5星独域龙枪 归云	鎏金镔铁铸寒章，通天寒刃扫彷徨。 待得天下无干戈，浊酒封油入尘匣。			
2136001	13		6	6	2136001	2136001				2	青赫	6星独域龙枪 青赫	直刃开天，弯刀辟地。 蜡杆遍体漆黑，不容天地之间一丝杂色。 得吾在手之人——唯君临天下一道。		1521003	
2144001	14		4	4	2144001	2144001					崩甲 玖式	4星拳套 崩甲 玖式	根据近战使用者的身体特性进行了特种优化的制式装备。在拳套和目标产生物理接触之后，便会开启增强模式增加打击力。			
2145001	14		5	5	2145001	2145001					白麟出涧	5星拳套 白麟出涧	搭载了不应该出现在拳套上的动力设计，以不顾后果的设计方针做出来的强力武器。			
2146001	14		6	6	2146001	2146001					八极	6星拳套 八极	这套武器的技术资料已经遗失，唯一制造它的方式就是借助标准工业蓝图，以精确到微米和纳秒的方式执行操作指令。——当然其威力也让这一切物有所值。		1161002	
2155001	15		5	5	2155001	2155001					四零式战术长枪	5星战术枪 四零式战术长枪	寄叶部队的最新武器。			
2156001	15		6	6	2156001	2156001					四零式战术长枪·改	6星战术枪 四零式战术长枪·改	寄叶部队的最新武器。			
2165001	16		5	5	2165001	2165001					漆黑誓约	5星太刀 漆黑誓约	东洋武士过去使用的黑刀。			
2166001	16		6	6	2166001	2166001					漆黑誓约·改	6星太刀 漆黑誓约·改	东洋武士过去使用的黑刀。			
2174001	17		4	4	2174001	2174001					始	4星增幅器 始	过时而简陋的构造让始显得脆弱不堪，但历经无数岁月的它依旧能起到对机体的增幅作用。			
2175001	17		5	5	2175001	2175001					冕饵	5星增幅器 冕饵	初代增幅器“始”的改良版本，在原本的基础上对结构进行了加固，并且改良了能量传输回路，使其输出功效大幅提高。			
2176001	17		6	6	2176001	2176001					奥兹玛	6星增幅器 奥兹玛	增幅器奥兹玛，使用它进行机体增幅时必须提供足够的算力支持，否则很难发挥它的真正功效，甚至会被它的算力消耗拖累而导致机体性能受限。它的增幅涵盖了机体的方方面面，甚至是机体对于帕弥什的抵抗或运用，双刃剑就是它的最佳形容词。		1171003	
2184001	18		4	4	2184001	2184001					子弹蚁	4星枪械组 子弹蚁	根据空中花园军事武器采购合同号SMS-FY-AF-0223标准采购。寰宇重工，质量值得信赖。			
2185001	18		5	5	2185001	2185001					FA2D-AP	5星枪械组 FA2D-AP	谜样的实验型反器材枪械组合，使用特殊合金铸造枪管以发射特殊的穿甲弹。			
2186001	18		6	6	2186001	2186001					天平	6星枪械组 天平	枪管的一端是羽毛一般轻的特制箭形弹，另一端是一个不可抗力的结局。		1211002	
2194001	19		4	4	2194001	2194001				2	序曲	4星独域提琴剑 序曲	我即为始，万物之始。一切音符和咏叹，都在我的身后。			
2195001	19		5	5	2195001	2195001				2	奥黛特	5星独域提琴剑 奥黛特	闪光的钢刃带动揉紧的琴弦——优雅、轻若无物，力破万钧。			
2196001	19		6	6	2196001	2196001				2	林中主人	6星独域提琴剑 林中主人	婉转、悠扬而厚重。如林中之风、山雀群起的振翅，和可喜的胜利。		1531003	
2204001	20		4	4	2204001	2204001					制式铳刃	4星铳刃 制式铳刃	根据卡拉一型铳刃批量化制造的武器，在威力和成本间找到了微妙的平衡点。			
2205001	20		5	5	2205001	2205001					卡拉一型铳刃	5星铳刃 卡拉一型铳刃	阿卡狄亚行动时期遗留下来的铳刃，制作工艺早已遗失，如今空中花园仅能进行简单的维护以保证其正常运转。卡拉一型铳刃比起使用，更具有优秀的研究价值，其为空中花园后续其他铳刃的开发提供了优秀的数据模板。			
2206001	20		6	6	2206001	2206001					阿波罗	6星铳刃 阿波罗	并不是所有构造体都能承受它不断散发的寒意，枪械与刀刃的契合度在低温的淬炼下达到了奇妙的巅峰。枪口宣泄出的能量在涡轮中得到极致的转化利用，驱动着刀刃发出强烈的共鸣。		1121003	
2214001	21		4	4	2214001	2214001					协作者	4星协作子机 协作者	早期由黑野实验室研发制造的初代协作子机，在其外接医疗机的原型上进行了精妙的改造，保留一定程度上平衡使用者意识海作用的同时，将其战力最大化，成为未来协作子机的改进不可或缺的样机。			
2215001	21		5	5	2215001	2215001					阿尼姆斯	5星协作子机 阿尼姆斯	阿西莫夫基于大量实验得到的数据模板研制而得的协作子机。在初版子机的基础上，阿尼姆斯能做到的不仅是平衡意识海，更能与使用者共享意识海。无论是具备多种战斗模式的协作子机，还是作为战力补充、性能优秀的光束炮，通过阿尼姆斯特殊的外链方式，二者都能在战斗中与使用者达成高度默契，成为使用者身躯的一部分。如此浑然天成......如同最美丽而巧妙的武器。			
2216001	21		6	6	2216001	2216001					呼噜	6星协作子机 呼噜	拥有着最为超前的构造体意识海外链技术，与可作用于独立战术分析的强大算力的协作子机。唯有当“他”为那名白发构造体所用时，才能完全发挥出“他”极致的性能。如同战场上封喉的那一颗子弹，斗兽场最具爆发力的狂兽；当你在沙场中看见“他”，会怀疑自己是否注视着一个为战斗而生的灵魂。		1221002	
2224001	22		4	4	2224001	2224001				2	拓荒	4星独域链刀 拓荒	过去部分地区开拓荒地时使用的武器，结构简单，功能多样，但想要熟练掌握它的锁链功能并不容易。			
2225001	22		5	5	2225001	2225001				2	纷繁玫瑰	5星独域链刀 纷繁玫瑰	没人知道它枪口下一秒喷出的是带来死亡的子弹还是愚弄他人的鲜花，亦没人知道它链刀上醒目的红光是威胁的警告还是对危机即将到来友善的提醒。这把畸形的武器就和它诡变多端的使用者一样被迷雾笼罩，让人分辨不清它真正的行动。			
2226001	22		6	6	2226001	2226001				2	杜兰德尔	6星独域链刀 杜兰德尔	杜兰德尔早已遗失在黄金时代漫长的历史之中，传闻它的锋刃可以贯穿世间万物，它的准星可以让敌人无所遁形。永不磨灭的杜兰德尔将伴其使用者战斗至生命的最后一刻，为守护之人献上最为绝对的忠诚。		1541003	
2234001	23		4	4	2234001	2234001					长旒旗枪	4星旗枪 长旒旗枪	科学理事会开发的原型武器之一，为什么科学理事会会产生要在战场上选用旗枪这般张扬的武器的原因尚不明朗。不过仔细一想，这也可能是这类型武器最终并没有被议会认可投入量产的原因之一吧。			
2235001	23		5	5	2235001	2235001					绯煌骑士	5星旗枪 绯煌骑士	带着砂金一般飘尾的改造型旗枪，为了表达其性能优于原型。武器设计师别出心裁地部分改变了其旗帜的部分设计，让其在众多原型旗枪之中显得鹤立鸡群。			
2236001	23		6	6	2236001	2236001					不死鸟	6星旗枪 不死鸟	这面旗枪经过多次试炼和残酷战场的毁损，但记忆金属和自修复结构让它始终光洁如新，恍若崭新出库，其永远挺立的样子让人隐隐联想到某位不死的传奇构造体。又抑或，所谓的‘记忆金属和自修复结构’只是一个善意的谎言，真相是每天都有科学理事会的助手潜入整备室，用新的旗枪换下了旧的？		1131003	
2244001	24		4	4	2244001	2244001					天启	4星权杖 天启	不断旋转的光轮大大增强了天启作为武器的输出效率，这一设计也因此被之后各种型号的权杖沿用。			
2245001	24		5	5	2245001	2245001					双极星间	5星权杖 双极星间	外挂组件时刻围绕着中心旋转，其间放射出的光芒亦如极星般闪耀。			
2246001	24		6	6	2246001	2246001					赫斯提亚	6星权杖 赫斯提亚	朴素的着色，简单的结构，却承载着远超常规的能量。关于它的记录稀少而朦胧，只因大道至简，无需赘余的修饰与注解。当你见到它时，一切便已明了。		1031004	
2254001	25		4	4	2254001	2254001					基准调式	4星笛剑 基准调式	音符的律动以我为基，万物的变化尽在耳畔。			
2255001	25		5	5	2255001	2255001					那不勒斯的独奏	5星笛剑 那不勒斯的独奏	黑色的笛身内敛深沉，心底藏起了所有的天真，当魔法尽数消失殆尽，她用剑守护起最后的责任。			
2256001	25		6	6	2256001	2256001					萨拉斯特罗	6星笛剑 萨拉斯特罗	笛身纯白如雪，点缀着旭日的金辉，这是在隆冬尽头初升的太阳，象征着春意的重生。		1531004	
2264001	26		4	4	2264001	2264001				2	灰钢	4星回旋龙厄 灰钢	材料采用了最新的合金工艺，虽然性能卓越，却也有着远超制式武器的重量。			
2265001	26		5	5	2265001	2265001				2	霜尺	5星回旋龙厄 霜尺	刃口一反传统采用了直刃设计，为了增加武器整体的稳定性，设计师添加了额外的金属扣锁。			
2266001	26		6	6	2266001	2266001				2	无隅	6星回旋龙厄 无隅	该设计出自某位舞姬之手，或许正是因为这样，这把武器在外观上更像是表演用的道具。		1551003	
2274001	27		4	4	2274001	2274001					怒飙	4星超电锯 怒飙	采用制式合金材料打造的量产锯片组件，便宜、大只、实用，多快好省。			
2275001	27		5	5	2275001	2275001					红移	5星超电锯 红移	改进设计的锯片组件增加了上翘刀头和加强锯片，使得整机更加厚重。在使用者的强烈要求下改进了个性化涂装，一切以“酷”为终极目标。			
2276001	27		6	6	2276001	2276001					聚爆	6星超电锯 聚爆	七实亲自设计的最新超电锯方案，采用了更为复杂的接合结构和相当亮眼的涂装。由能量核心的急剧升温驱动锯片，爆发力达到顶点。		1051004	
2284001	28		4	4	2284001	2284001					试作型重破锤	4星重破锤 试作型重破锤	从一种工程设备改装而来的奇特武器，主要是用于探索新的武器方向。为了补足攻击范围的过近的缺点特意增加了远程火力。			
2285001	28		5	5	2285001	2285001					绝境破碎者	5星重破锤 绝境破碎者	将试作型装备收集的数据与使用者的意见反馈结合。新武器比起原型更加偏向战斗使用。微调了握持点、增加功率，修正弹道……改进的地方成百上千，而诞生的作品足以破碎对于它的质疑，以及面临的绝望。			
2286001	28		6	6	2286001	2286001					暗寂闪光	6星重破锤 暗寂闪光	暗寂闪光的研发足以改变空中花园的武器研发流程。无论是颠覆性的功能型外观，还是一切为了最大的杀伤效能的理念。甚至是使用者卡列尼娜亲自前往武器设计局强烈要求解除安全措施等事件。而研发最终的成果，一定能够如同使用者卡列尼娜所说。“将一切挡路的敌人砸飞到宇宙尽头。”		1071004	
2294001	29		4	4	2294001	2294001				2	全村的希望	4星释能剑 全村的希望	“冒险者即将踏上旅程时被托付的武器，一般来说都是全村的希望吧？不觉得这个名字很合适吗？一想到接下来是赌上全村的希望在战斗，就觉得心中充满了勇气。”			
2295001	29		5	5	2295001	2295001				2	高频粒子刀	5星释能剑 高频粒子刀	空中花园改良了旧设计图存在的性能问题，选用强韧的材料重新制作了这把释能剑。“高频粒子刀”这个名字是诺安自己起的，似乎是源自于某部他看过的漫画。 “这名字起得很好，下次别起了。”——武器设计H			
2296001	29		6	6	2296001	2296001				2	普罗米修斯	6星释能剑 普罗米修斯	空中花园武装研发部门再次改良设计图后制造的释能剑，升级了制作材料，能与副手那把陈旧的长剑形成完美搭配。但它在性能全面升级后，反而会受到旧设计限制，时常需要保养和维护——而诺安的做法是锤它两下。		1571003	
2304001	30		4	4	2304001	2304001					薄暮幻象	4星剑杖 薄暮幻象	可展开的变形剑格功能赋予了这把武器灵活的战斗风格，灰暗的配色其貌不扬，却隐藏着惊人的能量。			
2305001	30		5	5	2305001	2305001					极夜	5星剑杖 极夜	配合最新的特化机体而改造了剑刃与剑身的结构。涂装也被漆成更为通透的黑色。存储在剑中的能量借由剑刃释放之时，世界仿佛陷入永恒的极夜之中。			
2306001	30		6	6	2306001	2306001					赫卡忒	6星剑杖 赫卡忒	黑野科技的最高结晶之一。优雅与狂野的完美结合。当那名执行者以祈祷般的姿态挥舞此剑之时，就像神话中多面的岔路女神降临——为盟友送来胜利，为敌人献上终曲。		1041004	
2314001	31		4	4	2314001	2314001					无心利刃	4星螳螂刃 无心利刃	只是一把刀刃，刀刃当然没有心，刀刃只需要能够被使用就足够了……不是吗？			
2315001	31		5	5	2315001	2315001					彗星之锋	5星螳螂刃 彗星之锋	一把内置可变型刀刃的复合型型武器，使用最新的分子动力学技术，银色刀锋弧度更加流畅，散发出微微的蓝色光芒。			
2316001	31		6	6	2316001	2316001					静谧人形之声	6星螳螂刃 静谧人形之声	空中花园研发出的新一代特级武器，在减轻结构重量的同时，利用氩蒸汽真空冷凝技术反复强化刀锋韧性和锐度，达到一般金属都无法达到的刀刃强度，因反复锻打和淬火，它的刀锋几乎化为蓝色暗芒，挥舞时似有无形光线牵扯使用者，以人形之力带来静谧无声的死亡。		1231002	
2324001	32		4	4	2324001	2324001					试作型复合兵装	4星复合兵装 试作型复合兵装	复合兵装的试作版，可以根据战斗情况适时覆盖近程、中程、远程射击需要。为了防止相对脆弱的换形构件成为弱点，所用材料都经过了超电磁强化，确保兵装在切换形态时绝对顺畅。			
2325001	32		5	5	2325001	2325001					核子熔断·δ	5星复合兵装 核子熔断·δ	通过空中花园军事武器开发特别批准，搭载了实验性δ射线基核作为能量核心的复合兵装。这是如此体量的δ射线首次直接应用于武器之上，因此需要使用者有能力把握δ基核输出能量与瞬时冷却的节奏。			
2326001	32		6	6	2326001	2326001					时隧之钥-斯托克斯	6星复合兵装 “时隧之钥”-斯托克斯	人类需要能够对抗时代的希望。为了让那台特化机体及其专用配备符合定位，寰宇重工、武器设计局和使用者里进行了多次联合讨论。在额外搭载了辅助使用的战术AI后，这把武器可以说是在各个维度上都延展到了临界值。“不需要为使用条件妥协。我不会让任何差错出现。”		1011004	
2334001	33		4	4	2334001	2334001					试作型“画笔”	4星光束铳枪 试作型“画笔”	以多功能画具为最初开发目的而研制出的意外产物。在添加了各种各样的方便功能后，成功在科学理事会的武器测试上拿下绝佳成绩。			
2335001	33		5	5	2335001	2335001					二重虹光	5星光束铳枪 二重虹光	改进后的光束铳枪为了适配艺术协会研究的最新机体，在各项参数上都进行了精心的调整。应本人的强烈要求，绘画机能得以保留，如今已成为艾拉最趁手的画笔之一。			
2336001	33		6	6	2336001	2336001					星海漫游者	6星光束铳枪 星海漫游者	经历了严格最终调试的艾拉专用光束铳枪。听取了众多构造体的建议与灵感，聚集了大家的心意与才思而得以完成的梦幻武装。		1091003	
2344001	34		4	4	2344001	2344001					迅羽	4星封刃太刀 迅羽	由两柄长短太刀组成的特制武装，兼具灵活轻巧的风格与凶兽般的锋利。			
2345001	34		5	5	2345001	2345001					绯霆	5星封刃太刀 绯霆	糅合了升格网络的力量，具备斩断雷霆之势的名刀。刀风宛如赤色的疾电，以汹涌的气势将一切敌人吞噬殆尽。			
2346001	34		6	6	2346001	2346001					夜煌	6星封刃太刀 夜煌	由未知的物质锻造而成，只供一人使用的太刀组。当刀鞘中储存的能量随着拔刀释放之时，仿佛从黑夜中撕开一道属于破晓的曙光。		1021005	
2354001	35		4	4	2354001	2354001					雨断	4星折扇 雨断	利用机械教会技术强化改造之后的扇子。金丝玉线，旃檀为骨，颇具九龙风韵。			
2355001	35		5	5	2355001	2355001					风回	5星折扇 风回	根据使用者的需求，额外增加了特殊装饰设计，比起武器，它更像是某种舞蹈道具，挥舞间会溢出盈盈光彩。但最好不要因此小觑它的威力，当它在战场上被展开时，才是真正的一舞动四方。			
2356001	35		6	6	2356001	2356001					今古	6星折扇 今古	以特殊金属打造扇面上的锋刃，在原有设计图基础上加强了扇子的武器作用，却也因此让这把武器光芒愈盛，起手转折间皆璀璨生辉，愈发夺目。在设计稿完成之后，蒲牢偷偷跑来，在大骨上耐心地加上一朵花。		1241002	
