Id	IconPath	ClearIconPath	WaferBagPath	Name	Description	SkillEffect	SkillDescription	SuitType	EquipIds	EquipType	RecommendCharacterId
1416	Assets/Product/Texture/Image/IconToolsSp/ENimiziI01001Sp.png	Assets/Product/Texture/Image/IconTools/ENimiziI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ENimizi01002.png	尼米兹	攻击强化	{2: 141602, 4: 141604, 6: 141606}	{2: '普通攻击额外伤害加成提高5%。', 4: '3消额外伤害加成提升5%。', 6: '释放出场技后额外伤害加成提升10%，持续8秒'}	12	{1: 3014006, 2: 3024006, 3: 3034006, 4: 3044006, 5: 3054006, 6: 3064006}	9	
1501	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELongmeierI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELongmeierI01002.png	嘉莉埃妮	普通攻击强化	{2: 150102, 4: 150104}	{2: '普通攻击额外伤害加成提高10%', 4: '未受到攻击时，普通攻击额外伤害加成提高15%，受到攻击后进入冷却，冷却时间12秒。'}	6	{1: 3015001, 2: 3025001, 3: 3035001, 4: 3045001, 5: 3055001, 6: 3065001}	9	
1502	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAifuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAifuI01002.png	爱芙	技能强化	{2: 150202, 4: 150204}	{2: '每消除1个球额外伤害加成提升2%，持续3秒，最多可叠加5层，重复触发刷新持续时间。', 4: '每60秒，下次3消会进入超算空间。'}	6	{1: 3015002, 2: 3025002, 3: 3035002, 4: 3045002, 5: 3055002, 6: 3065002}	9	
1503	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAikeI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAikeI01002.png	艾克	能量攻击强化	{2: 150302, 4: 150304}	{2: '额外伤害加成提升2%，全元素属性伤害增加4%。', 4: '造成元素属性伤害时，有15%几率造成根据元素属性对应的灼烧、感电、霜冻、侵蚀。持续5秒，对同一单位有8秒的冷却时间。'}	6	{1: 3015003, 2: 3025003, 3: 3035003, 4: 3045003, 5: 3055003, 6: 3065003}	9	
1504	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	Assets/Product/Texture/Image/IconTools/EFuertaiI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EFuertaiI01002.png	伏尔泰	削弱敌人强化Ⅰ	{2: 150402, 4: 150404}	{2: '攻击会使目标防御减少10%，持续5秒，有12秒的冷却时间。', 4: '每次受到伤害，减少伤害来源方的物理防御15%，持续7秒，最多叠加2次，重复触发刷新持续时间。'}	10	{1: 3015004, 2: 3025004, 3: 3035004, 4: 3045004, 5: 3055004, 6: 3065004}	8	
1505	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EGeluodaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EGeluodaI01002.png	歌罗达	削弱敌人强化Ⅱ	{2: 150502, 4: 150504}	{2: '攻击目标使目标全元素属性抗性减少6%，持续5秒。有12秒的冷却时间。', 4: '每次受到伤害时，降低受击者半径5米范围内怪物6%全元素属性抗性，持续7秒，重复触发刷新持续时间。'}	11	{1: 3015005, 2: 3025005, 3: 3035005, 4: 3045005, 5: 3055005, 6: 3065005}	8	
1506	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELisailiuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELisailiuI01002.png	黎塞留	攻击辅助强化	{2: 150602, 4: 150604}	{2: '治疗效果增加5%，下次治疗使目标物理伤害增加8%，持续4秒。有5秒的冷却时间。', 4: '每消除8个球，额外获得一个随机信号球。有5秒的冷却时间。'}	7	{1: 3015006, 2: 3025006, 3: 3035006, 4: 3045006, 5: 3055006, 6: 3065006}	8	
1507	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	Assets/Product/Texture/Image/IconTools/ESamandaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ESamandaI01002.png	萨曼达	能量辅助强化	{2: 150702, 4: 150704}	{2: '治疗效果增加5%，下次治疗使目标全元素属性伤害增加8%，持续4秒。有5秒的冷却时间。', 4: '下次释放治疗技能，留下元素属性光环，处于区域内的友方单位增加8%的全元素属性伤害和5%的全元素属性抗性，有10秒的冷却时间。'}	8	{1: 3015007, 2: 3025007, 3: 3035007, 4: 3045007, 5: 3055007, 6: 3065007}	8	
1508	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	Assets/Product/Texture/Image/IconTools/EMozateI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EMozateI01002.png	莫扎特	极限闪避强化	{2: 150802, 4: 150804}	{2: '处于超算空间时，额外伤害加成提升15%。', 4: '触发超算空间时，造成一次200%全屏伤害。'}	6	{1: 3015008, 2: 3025008, 3: 3035008, 4: 3045008, 5: 3055008, 6: 3065008}	9	
1509	Assets/Product/Texture/Image/IconToolsSp/EBudikaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EBudikaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EBudika01002.png	布狄卡	攻击强化	{2: 150902, 4: 150904, 6: 150906}	{2: '普通攻击额外伤害加成提高7%。', 4: '处于超算空间时，全攻击增加5%，移动速度增加10%', 6: '造成伤害时，额外伤害加成提升3%，2秒内只触发1次，最多叠加5层，持续到下一次受到伤害'}	6	{1: 3015009, 2: 3025009, 3: 3035009, 4: 3045009, 5: 3055009, 6: 3065009}	9	
1550	Assets/Product/Texture/Image/IconToolsSp/EShengdanlifuI01001Sp.png	Assets/Product/Texture/Image/IconTools/EShengdanlifuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EShengdanlifuI01001.png	丽芙·驯鹿	能量强化	{2: 155002, 4: 155004}	{2: '信号球技能额外伤害加成提升5%，治疗效果增加5%', 4: '攻击敌人时，有20%几率在敌人身边随机掉落圣诞礼物盒，拾取礼物盒回复5点能量，并使自身额外伤害加成提升5%，持续5秒，有10秒的冷却时间。'}	12	{1: 3015050, 2: 3025050, 3: 3035050, 4: 3045050, 5: 3055050, 6: 3065050}	8	
1551	Assets/Product/Texture/Image/IconToolsSp/EXinniankalieI01001Sp.png	Assets/Product/Texture/Image/IconTools/EXinniankalieI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EXinniankalieI01001.png	年禧焰火	伤害强化	{2: 155012}	{2: '攻击增加5%，累积消除3个红色信号球后，召唤4个环绕的红包，红包触碰敌人时，造成10%的火属性伤害，持续10秒，有30秒的冷却时间。'}	12	{1: 3015051, 2: 3025051, 3: 3035051, 4: 3045051, 5: 3055051, 6: 3065051}		
1552	Assets/Product/Texture/Image/IconToolsSp/EYuanxiaoluxiyaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EYuanxiaoluxiyaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EYuanxiaoluxiyaI01001.png	元宵·重聚	攻击强化	{2: 155022}	{2: '释放3消或QTE技能后，传送一个元宵灯跟随在场角色移动，并且为附近的友方目标增加7%的攻击、移动速度，持续15秒，有30秒的冷却时间。'}	9	{1: 3015052, 2: 3025052, 3: 3035052, 4: 3045052, 5: 3055052, 6: 3065052}		
1553	Assets/Product/Texture/Image/IconToolsSp/ELizhounianI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELizhounianI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELizhounianI01002.png	里·月下庆典	周年意识	{2: 155052, 4: 155054}	{2: '闪避时额外伤害减免提升10%，持续3秒', 4: '进入超算空间时回复自身10%的最大生命值，每30秒触发一次。'}	12	{1: 3015053, 2: 3025053, 3: 3035053, 4: 3045053, 5: 3055053, 6: 3065053}		
1555	Assets/Product/Texture/Image/IconToolsSp/EKFC02Sp.png	Assets/Product/Texture/Image/IconTools/EKFC02.png	Assets/Product/Texture/Image/RoleWaferBag/EKFC02002.png	KFC·Alpha	移速强化	{2: 155032}	{2: 'QTE、3消后，有50%的几率掉落全家桶，有30秒的冷却时间。全家桶掉落后将存在10秒，在此期间角色接触全家桶后会拾取该物品，增加拾取角色12%的移动速度，持续15s，重复触发刷新持续时间。'}	12	{1: 3015055, 2: 3025055, 3: 3035055, 4: 3045055, 5: 3055055, 6: 3065055}		
1556	Assets/Product/Texture/Image/IconToolsSp/EKFC01Sp.png	Assets/Product/Texture/Image/IconTools/EKFC01.png	Assets/Product/Texture/Image/RoleWaferBag/EKFC01002.png	KFC·Lucia	能量强化	{2: 155042}	{2: 'QTE、3消后，有50%的几率掉落鸡腿堡，有30秒的冷却时间。鸡腿堡掉落后将存在10秒，在此期间角色接触鸡腿堡后会拾取该物品，增加拾取角色8点大招能量。'}	12	{1: 3015056, 2: 3025056, 3: 3035056, 4: 3045056, 5: 3055056, 6: 3065056}		
1557	Assets/Product/Texture/Image/IconToolsSp/ELifuZhongqiuI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELifuZhongqiuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELifuZhongqiuI01002.png	丽芙·团聚一宵	生存强化	{2: 155062, 4: 155064}	{2: '移动速度增加10%', 4: '三消信号球后，治疗量增加10%，并获得最大生命值10%护盾，持续5秒'}	12	{1: 3015057, 2: 3025057, 3: 3035057, 4: 3045057, 5: 3055057, 6: 3065057}		
1558	Assets/Product/Texture/Image/IconToolsSp/EKuluomuI01001Sp.png	Assets/Product/Texture/Image/IconTools/EKuluomuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EKuluomuI01002.png	库洛姆·夜宴	二周年意识	{2: 155072, 4: 155074}	{2: '防御力增加10%', 4: '三消信号球后获得最大生命值15%护盾，持续8秒。每8秒可触发一次。'}	12	{1: 3015058, 2: 3025058, 3: 3035058, 4: 3045058, 5: 3055058, 6: 3065058}		
1559	Assets/Product/Texture/Image/IconToolsSp/EBiankaZhounianI01001Sp.png	Assets/Product/Texture/Image/IconTools/EBiankaZhounianI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EBiankaZhounianI01002.png	比安卡·微醺之夜	三周年意识	{2: 155902, 4: 155904}	{2: '移动速度增加10%', 4: '三消信号球后，防御力增加10%，持续5秒。'}	12	{1: 3015059, 2: 3025059, 3: 3035059, 4: 3045059, 5: 3055059, 6: 3065059}		
1560	Assets/Product/Texture/Image/IconToolsSp/ELunaMengzhanI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELunaMengzhanI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELunaMengzhanI01002.png	露娜·满月桂冠	伊甸文化纪	{2: 156002, 4: 156004}	{2: '每20秒，获得自身最大生命值10%的治疗效果。', 4: '每30秒，受到伤害时，获得一个自身最大生命值25%的护盾，持续5秒。'}	12	{1: 3015060, 2: 3025060, 3: 3035060, 4: 3045060, 5: 3055060, 6: 3065060}		
1561	Assets/Product/Texture/Image/IconToolsSp/ECerberusI01001Sp.png	Assets/Product/Texture/Image/IconTools/ECerberusI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ECerberusI01002.png	三头犬.热音派对	四周年意识	{2: 156102, 4: 156104}	{2: '防御力增加10%', 4: '三消信号球后，回复自身攻击力50%的生命值。每5秒可触发一次。'}	12	{1: 3015061, 2: 3025061, 3: 3035061, 4: 3045061, 5: 3055061, 6: 3065061}		
1562	Assets/Product/Texture/Image/IconToolsSp/EQiaqiaQul01001Sp.png	Assets/Product/Texture/Image/IconTools/EQiaqiaQul01001.png	Assets/Product/Texture/Image/RoleWaferBag/EQiaqiaQul01002.png	洽洽·曲	辅助强化	{2: 156202}	{2: '释放消球技能命中目标时，有50%的几率掉落瓜子袋，有30秒的冷却时间。瓜子袋掉落后将存在5秒，每秒向外抛出瓜子，使附近的角色回复4%生命值。'}	12	{1: 3015062, 2: 3025062, 3: 3035062, 4: 3045062, 5: 3055062, 6: 3065062}		
1563	Assets/Product/Texture/Image/IconToolsSp/EQiaqiaHanyingl01001Sp.png	Assets/Product/Texture/Image/IconTools/EQiaqiaHanyingl01001.png	Assets/Product/Texture/Image/RoleWaferBag/EQiaqiaHanyingl01002.png	洽洽·含英	移速强化	{2: 156302}	{2: '释放消球技能命中目标时，有50%的几率掉落瓜子袋，有30秒的冷却时间。瓜子袋掉落后将存在5秒，每秒向外抛出瓜子，增加附近角色12%的移动速度，持续4秒。'}	12	{1: 3015063, 2: 3025063, 3: 3035063, 4: 3045063, 5: 3055063, 6: 3065063}		
1564	Assets/Product/Texture/Image/IconToolsSp/ENabatiLuciaI01001Sp.png	Assets/Product/Texture/Image/IconTools/ENabatiLuciaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ENabatiLuciaI01002.png	纳宝帝·露西亚	防御强化	{2: 156402}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后获得增加8%防御力的效果，持续4秒。'}	12	{1: 3015064, 2: 3025064, 3: 3035064, 4: 3045064, 5: 3055064, 6: 3065064}		
1565	Assets/Product/Texture/Image/IconToolsSp/ENabatiLeeI01001Sp.png	Assets/Product/Texture/Image/IconTools/ENabatiLeeI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ENabatiLeeI01002.png	纳宝帝·里	移速强化	{2: 156502}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后获得增加12%移动速度的效果，持续4秒。'}	12	{1: 3015065, 2: 3025065, 3: 3035065, 4: 3045065, 5: 3055065, 6: 3065065}		
1566	Assets/Product/Texture/Image/IconToolsSp/ENabatiLivI01001Sp.png	Assets/Product/Texture/Image/IconTools/ENabatiLivI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ENabatiLivI01002.png	纳宝帝·丽芙	辅助强化	{2: 156602}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后回复4%生命值。'}	12	{1: 3015066, 2: 3025066, 3: 3035066, 4: 3045066, 5: 3055066, 6: 3065066}		
1567	Assets/Product/Texture/Image/IconToolsSp/EChupaBiancaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EChupaBiancaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EChupaBiancaI01002.png	珍宝珠·比安卡	辅助强化	{2: 156702}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后获得增加8%防御力的效果，持续4秒。'}	12	{1: 3015067, 2: 3025067, 3: 3035067, 4: 3045067, 5: 3055067, 6: 3065067}		
1568	Assets/Product/Texture/Image/IconToolsSp/EChupaNanamiI01001Sp.png	Assets/Product/Texture/Image/IconTools/EChupaNanamiI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EChupaNanamiI01002.png	珍宝珠·七实	辅助强化	{2: 156802}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后回复4%生命值。'}	12	{1: 3015068, 2: 3025068, 3: 3035068, 4: 3045068, 5: 3055068, 6: 3065068}		
1569	Assets/Product/Texture/Image/IconToolsSp/E5AnniverI01001Sp.png	Assets/Product/Texture/Image/IconTools/E5AnniverI01001.png	Assets/Product/Texture/Image/RoleWaferBag/E5AnniverI01002.png	七实·全息宇宙	五周年意识	{2: 156902, 4: 156904}	{2: '防御力增加10%', 4: '三消信号球后，回复自身攻击力50%的生命值。每5秒可触发一次。'}	12	{1: 3015069, 2: 3025069, 3: 3035069, 4: 3045069, 5: 3055069, 6: 3065069}		
1570	Assets/Product/Texture/Image/IconToolsSp/ELawsonI01001Sp.png	Assets/Product/Texture/Image/IconTools/ELawsonI01001.png	Assets/Product/Texture/Image/RoleWaferBag/ELawsonI01002.png	罗森·心灵驿站	辅助强化	{2: 157002}	{2: '释放消球技能命中目标时，有50%几率在自身附近随机掉落包装袋，有30秒的冷却时间。包装袋将存在5秒，拾取后回复4%生命值。'}	12	{1: 3015070, 2: 3025070, 3: 3035070, 4: 3045070, 5: 3055070, 6: 3065070}		
1571	Assets/Product/Texture/Image/IconToolsSp/E5HalfAnniverI01001Sp.png	Assets/Product/Texture/Image/IconTools/E5HalfAnniverI01001.png	Assets/Product/Texture/Image/RoleWaferBag/E5HalfAnniverI01002.png	盛筵拾光	5.5周年意识	{2: 157102, 4: 157104}	{2: '防御力增加10%', 4: '三消信号球后，回复自身攻击力50%的生命值。每5秒可触发一次。'}	12	{1: 3015071, 2: 3025071, 3: 3035071, 4: 3045071, 5: 3055071, 6: 3065071}		
1572	Assets/Product/Texture/Image/IconToolsSp/E6AnniverI01001Sp.png	Assets/Product/Texture/Image/IconTools/E6AnniverI01001.png	Assets/Product/Texture/Image/RoleWaferBag/E6AnniverI01001.png	丽芙·漫游小记	六周年意识	{2: 157202, 4: 157204}	{2: '防御力增加10%', 4: '三消信号球后，回复自身攻击力50%的生命值。每5秒可触发一次。'}	12	{1: 3015072, 2: 3025072, 3: 3035072, 4: 3045072, 5: 3055072, 6: 3065072}		
1601	Assets/Product/Texture/Image/IconToolsSp/EKangdelinaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EKangdelinaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EKangdelinaI01002.png	康德丽娜	普通攻击强化	{2: 160102, 4: 160104}	{2: '普通攻击额外伤害加成提高15%', 4: '普攻有50%几率进入暴怒状态，普通攻击的额外伤害加成提升20%，持续5秒。有8秒的冷却时间。'}	6	{1: 3016001, 2: 3026001, 3: 3036001, 4: 3046001, 5: 3056001, 6: 3066001}	9	
1602	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EShashibiyaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EShashibiyaI01002.png	莎士比亚	火系强化	{2: 160202, 4: 160204}	{2: '全攻击增加3%，火属性伤害增加7%', 4: '额外伤害加成提升10%。攻击时使目标陷入灼烧状态，期间目标的火属性抗性降低15%，灼烧状态持续8秒，对同一目标有10秒的冷却时间。攻击灼烧目标时，会触发爆炸，造成600%火属性伤害，对同一目标有6秒的冷却时间。'}	2	{1: 3016002, 2: 3026002, 3: 3036002, 4: 3046002, 5: 3056002, 6: 3066002}	2	
1603	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI01001Sp.png	Assets/Product/Texture/Image/IconTools/EHaisenbaoI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EHaisenbaoI01002.png	海森	雷系强化	{2: 160302, 4: 160304}	{2: '全攻击增加3%，雷属性伤害增加7%', 4: '额外伤害加成提升10%。攻击时使目标陷入感电状态，期间目标的雷属性抗性降低15%，感电状态持续8秒，对同一目标有10秒的冷却时间。攻击感电目标时，会触发雷暴，造成600%雷属性伤害，对同一目标有6秒的冷却时间。'}	4	{1: 3016003, 2: 3026003, 3: 3036003, 4: 3046003, 5: 3056003, 6: 3066003}	4	
1604	Assets/Product/Texture/Image/IconToolsSp/EDaerwenI01001Sp.png	Assets/Product/Texture/Image/IconTools/EDaerwenI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EDaerwenI01002.png	达尔文	消除强化	{2: 160402, 4: 160404}	{2: '每消除1个球额外伤害加成提升3%，持续4秒，最多可叠加5层，重复触发刷新持续时间。', 4: '消除某一颜色信号球时添加记录标记，3种颜色信号球都被记录后，以角色为中心释放一次直径12米大范围冲击波，造成600%的物理伤害，并刷新记录标记。'}	6	{1: 3016004, 2: 3026004, 3: 3036004, 4: 3046004, 5: 3056004, 6: 3066004}	9	
1605	Assets/Product/Texture/Image/IconToolsSp/EHannaI01001Sp.png	Assets/Product/Texture/Image/IconTools/EHannaI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EHannaI01002.png	汉娜	三消强化	{2: 160502, 4: 160504}	{2: '3消技能额外伤害加成提升25%。', 4: '每30秒，下次3消会进入超算空间，并随机获得1个信号球。'}	6	{1: 3016005, 2: 3026005, 3: 3036005, 4: 3046005, 5: 3056005, 6: 3066005}	9	
1606	Assets/Product/Texture/Image/IconToolsSp/EAdaifuI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAdaifuI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuI01002.png	库莉珂	必杀强化	{2: 160602, 4: 160604}	{2: '消球时，额外获得20%的能量。必杀技所需能量值减少20%。', 4: '释放必杀技时，使自身额外伤害加成提升15%，持续10秒，重复触发刷新持续时间。释放必杀技后，获得霸体状态，并使自身额外伤害减免提升20%，持续5秒，重复触发刷新持续时间。'}	6	{1: 3016006, 2: 3026006, 3: 3036006, 4: 3046006, 5: 3056006, 6: 3066006}	9	
1607	Assets/Product/Texture/Image/IconToolsSp/EDafenqiI01001Sp.png	Assets/Product/Texture/Image/IconTools/EDafenqiI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EDafenqiI01002.png	达芬奇	QTE强化	{2: 160702, 4: 160704, 6: 160706}	{2: 'QTE时登场会给操控的角色增加10%的攻击，20%的防御力，持续8秒，重复触发刷新持续时间。', 4: 'QTE出场时，使另一角色QTE充能次数加一并激活，有8秒的冷却时间。三个角色同时在场时为所有角色增加20%攻击，持续2秒，重复触发刷新持续时间。', 6: '达芬奇四件套效果取消冷却时间限制，无法与同类效果叠加。'}	9	{1: 3016007, 2: 3026007, 3: 3036007, 4: 3046007, 5: 3056007, 6: 3066007}	8	
1608	Assets/Product/Texture/Image/IconToolsSp/EKaiselinI01001Sp.png	Assets/Product/Texture/Image/IconTools/EKaiselinI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EKaiselinI01002.png	凯瑟琳	生存能力强化Ⅰ	{2: 160802, 4: 160804}	{2: 'QTE、3消技能，将降低目标20%的物理防御，持续8秒。有10秒的冷却时间。', 4: '受到伤害时，获得1000点的生命护盾，并使自身物理伤害增加15%，持续5秒。有8秒的冷却时间。'}	10	{1: 3016008, 2: 3026008, 3: 3036008, 4: 3046008, 5: 3056008, 6: 3066008}	8	
1609	Assets/Product/Texture/Image/IconToolsSp/EAiyinsitanI01001Sp.png	Assets/Product/Texture/Image/IconTools/EAiyinsitanI01001.png	Assets/Product/Texture/Image/RoleWaferBag/EAiyinsitanI01002.png	爱因斯坦娜	生存能力强化Ⅱ	{2: 160902, 4: 160904}	{2: 'QTE、3消技能，使目标全元素属性抗性降低15%，持续8秒。有10秒的冷却时间。', 4: '受到伤害时，展开元素属性光环，获得20%的全元素属性抗性，持续5秒，光环存在时造成全元素属性伤害增加15%。有8秒的冷却时间。'}	11	{1: 3016009, 2: 3026009, 3: 3036009, 4: 3046009, 5: 3056009, 6: 3066009}	8	
