Id	GroupItemId	HasLeave	IsEnd	OptionDesc
1629	122			['【继续】', '【继续】', '【继续】']
1630	127			['【继续】', '【继续】', '【继续】']
1631	132			['【继续】', '【继续】', '【继续】']
1632	137			['【继续】', '【继续】', '【继续】']
1633	142			['【继续】', '【继续】', '【继续】']
1634	147			['【继续】', '【继续】']
1635	152			['【继续】', '【继续】']
1636	155			['【继续】', '【继续】']
1637	158			['【继续】', '【继续】']
1638	161			['【继续】', '【继续】', '【继续】', '【继续】']
1639	168			['【继续】', '【继续】', '【继续】', '【继续】']
1701	1			['【继续】', '【继续】', '【继续】']
1702	5			['【继续】', '【继续】', '【继续】']
1703	9			['【继续】', '【继续】', '【继续】']
1704	13			['【继续】', '【继续】', '【继续】']
1705	17			['【继续】', '【继续】', '【继续】']
1706	21			['【继续】', '【继续】', '【继续】']
1707	25			['【继续】', '【继续】', '【继续】']
1708	29			['【继续】', '【继续】', '【继续】']
1709	33			['【继续】', '【继续】', '【继续】']
1710	37			['【继续】', '【继续】', '【继续】']
1711	41			['【继续】', '【继续】', '【继续】']
1712	45			['【继续】', '【继续】', '【继续】']
1713	49			['【继续】', '【继续】', '【继续】']
1714	53			['【继续】', '【继续】', '【继续】']
1715	57			['【继续】', '【继续】', '【继续】']
1716	61			['【继续】', '【继续】', '【继续】']
1717	65			['【继续】', '【继续】', '【继续】']
1718	69			['【继续】', '【继续】', '【继续】']
1719	73			['【继续】', '【继续】', '【继续】']
1720	77			['【继续】', '【继续】', '【继续】']
1721	81			['【继续】', '【继续】', '【继续】', '【继续】']
1722	87			['【继续】', '【继续】', '【继续】']
1723	92			['【继续】', '【继续】', '【继续】']
1724	97			['【继续】', '【继续】', '【继续】']
1725	102			['【继续】', '【继续】', '【继续】']
1726	107			['【继续】', '【继续】', '【继续】']
1727	112			['【继续】', '【继续】', '【继续】']
1728	117			['【继续】', '【继续】', '【继续】']
1729	122			['【继续】', '【继续】', '【继续】']
1730	127			['【继续】', '【继续】', '【继续】']
1731	132			['【继续】', '【继续】', '【继续】']
1732	137			['【继续】', '【继续】', '【继续】']
1733	142			['【继续】', '【继续】', '【继续】']
1734	147			['【继续】', '【继续】']
1735	152			['【继续】', '【继续】']
1736	155			['【继续】', '【继续】']
1737	158			['【继续】', '【继续】']
1738	161			['【继续】', '【继续】', '【继续】', '【继续】']
1739	168			['【继续】', '【继续】', '【继续】', '【继续】']
1801	1			['【继续】', '【继续】', '【继续】']
1802	5			['【继续】', '【继续】', '【继续】']
1803	9			['【继续】', '【继续】', '【继续】']
1804	13			['【继续】', '【继续】', '【继续】']
1805	17			['【继续】', '【继续】', '【继续】']
1806	21			['【继续】', '【继续】', '【继续】']
1807	25			['【继续】', '【继续】', '【继续】']
1808	29			['【继续】', '【继续】', '【继续】']
1809	33			['【继续】', '【继续】', '【继续】']
1810	37			['【继续】', '【继续】', '【继续】']
1811	41			['【继续】', '【继续】', '【继续】']
1812	45			['【继续】', '【继续】', '【继续】']
1813	49			['【继续】', '【继续】', '【继续】']
1814	53			['【继续】', '【继续】', '【继续】']
1815	57			['【继续】', '【继续】', '【继续】']
1816	61			['【继续】', '【继续】', '【继续】']
1817	65			['【继续】', '【继续】', '【继续】']
1818	69			['【继续】', '【继续】', '【继续】']
1819	73			['【继续】', '【继续】', '【继续】']
1820	77			['【继续】', '【继续】', '【继续】']
1821	81			['【继续】', '【继续】', '【继续】', '【继续】']
1822	87			['【继续】', '【继续】', '【继续】']
1823	92			['【继续】', '【继续】', '【继续】']
1824	97			['【继续】', '【继续】', '【继续】']
1825	102			['【继续】', '【继续】', '【继续】']
1826	107			['【继续】', '【继续】', '【继续】']
1827	112			['【继续】', '【继续】', '【继续】']
1828	117			['【继续】', '【继续】', '【继续】']
1829	122			['【继续】', '【继续】', '【继续】']
1830	127			['【继续】', '【继续】', '【继续】']
1831	132			['【继续】', '【继续】', '【继续】']
1832	137			['【继续】', '【继续】', '【继续】']
1833	142			['【继续】', '【继续】', '【继续】']
1834	147			['【继续】', '【继续】']
1835	152			['【继续】', '【继续】']
1836	155			['【继续】', '【继续】']
1837	158			['【继续】', '【继续】']
1838	161			['【继续】', '【继续】', '【继续】', '【继续】']
1839	168			['【继续】', '【继续】', '【继续】', '【继续】']
1901	1			['【继续】', '【继续】', '【继续】']
1902	5			['【继续】', '【继续】', '【继续】']
1903	9			['【继续】', '【继续】', '【继续】']
1904	13			['【继续】', '【继续】', '【继续】']
1905	17			['【继续】', '【继续】', '【继续】']
1906	21			['【继续】', '【继续】', '【继续】']
1907	25			['【继续】', '【继续】', '【继续】']
1908	29			['【继续】', '【继续】', '【继续】']
1909	33			['【继续】', '【继续】', '【继续】']
1910	37			['【继续】', '【继续】', '【继续】']
1911	41			['【继续】', '【继续】', '【继续】']
1912	45			['【继续】', '【继续】', '【继续】']
1913	49			['【继续】', '【继续】', '【继续】']
1914	53			['【继续】', '【继续】', '【继续】']
1915	57			['【继续】', '【继续】', '【继续】']
1916	61			['【继续】', '【继续】', '【继续】']
1917	65			['【继续】', '【继续】', '【继续】']
1918	69			['【继续】', '【继续】', '【继续】']
1919	73			['【继续】', '【继续】', '【继续】']
1920	77			['【继续】', '【继续】', '【继续】']
1921	81			['【继续】', '【继续】', '【继续】', '【继续】']
1922	87			['【继续】', '【继续】', '【继续】']
1923	92			['【继续】', '【继续】', '【继续】']
1924	97			['【继续】', '【继续】', '【继续】']
1925	102			['【继续】', '【继续】', '【继续】']
1926	107			['【继续】', '【继续】', '【继续】']
1927	112			['【继续】', '【继续】', '【继续】']
1928	117			['【继续】', '【继续】', '【继续】']
1929	122			['【继续】', '【继续】', '【继续】']
1930	127			['【继续】', '【继续】', '【继续】']
1931	132			['【继续】', '【继续】', '【继续】']
1932	137			['【继续】', '【继续】', '【继续】']
1933	142			['【继续】', '【继续】', '【继续】']
1934	147			['【继续】', '【继续】']
1935	152			['【继续】', '【继续】']
1936	155			['【继续】', '【继续】']
1937	158			['【继续】', '【继续】']
1938	161			['【继续】', '【继续】', '【继续】', '【继续】']
1939	168			['【继续】', '【继续】', '【继续】', '【继续】']
2001	1			['【继续】', '【继续】', '【继续】']
2002	5			['【继续】', '【继续】', '【继续】']
2003	9			['【继续】', '【继续】', '【继续】']
2004	13			['【继续】', '【继续】', '【继续】']
2005	17			['【继续】', '【继续】', '【继续】']
2006	21			['【继续】', '【继续】', '【继续】']
2007	25			['【继续】', '【继续】', '【继续】']
2008	29			['【继续】', '【继续】', '【继续】']
2009	33			['【继续】', '【继续】', '【继续】']
2010	37			['【继续】', '【继续】', '【继续】']
2011	41			['【继续】', '【继续】', '【继续】']
2012	45			['【继续】', '【继续】', '【继续】']
2013	49			['【继续】', '【继续】', '【继续】']
2014	53			['【继续】', '【继续】', '【继续】']
2015	57			['【继续】', '【继续】', '【继续】']
2016	61			['【继续】', '【继续】', '【继续】']
2017	65			['【继续】', '【继续】', '【继续】']
2018	69			['【继续】', '【继续】', '【继续】']
2019	73			['【继续】', '【继续】', '【继续】']
2020	77			['【继续】', '【继续】', '【继续】']
2021	81			['【继续】', '【继续】', '【继续】', '【继续】']
2022	87			['【继续】', '【继续】', '【继续】']
2023	92			['【继续】', '【继续】', '【继续】']
2024	97			['【继续】', '【继续】', '【继续】']
2025	102			['【继续】', '【继续】', '【继续】']
2026	107			['【继续】', '【继续】', '【继续】']
2027	112			['【继续】', '【继续】', '【继续】']
2028	117			['【继续】', '【继续】', '【继续】']
2029	122			['【继续】', '【继续】', '【继续】']
2030	127			['【继续】', '【继续】', '【继续】']
2031	132			['【继续】', '【继续】', '【继续】']
2032	137			['【继续】', '【继续】', '【继续】']
2033	142			['【继续】', '【继续】', '【继续】']
2034	147			['【继续】', '【继续】']
2035	152			['【继续】', '【继续】']
2036	155			['【继续】', '【继续】']
2037	158			['【继续】', '【继续】']
2038	161			['【继续】', '【继续】', '【继续】', '【继续】']
2039	168			['【继续】', '【继续】', '【继续】', '【继续】']
