Id	Title	Icon	Description	IsEnd	HasLeave	OptionId	OptionDesc
40	不洁的占卜		占卜师告诉了你一些生财之道——很遗憾，黄金时代的技巧对你来说已经没用了。	1		[3]	['继续']
41	孩子们		“不给糖就捣蛋！”穿着万圣服饰的孩子们将你们团团围住。			[42, 43, 44]	['给糖', '不给糖', '“不给糖就捣蛋！”']
42	孩子们		孩子们拿着糖果满意地离开了。	1		[1]	['继续']
43	孩子们		想要摆脱孩子们的纠缠不是一件容易的事情，你们深刻地认识到了这一点。	1		[2]	['继续']
44	孩子们		披上挖了两个洞的床单，你们也加入了要糖的游行队伍中。	1		[3]	['继续']
45	杀戮出笼		面前站着拿着砍刀的杀手，身后丧尸步步紧逼，你绝对没有比现在更狼狈的时刻了。			[46, 47, 48]	['跳入下水道', '殊死一搏', '全力逃跑']
46	杀戮出笼		“好巧，你们也在这里躲啊。”一个浑身脏兮兮的记者朝着你们露出了“和善”的笑容。	1		[1]	['继续']
47	杀戮出笼		虽然付出了不小的代价，但不管怎样，你们还是活了下来。	1		[2]	['继续']
48	杀戮出笼		你们丢弃了一些行李，然后跑得飞快。	1		[3]	['继续']
49	干枯的母亲		形容枯槁的母亲抱着一个小小的襁褓。她请求你们帮助她病重的孩子。			[50, 51, 52]	['查看孩子的身体状况', '留下身上的物资', '径直离开']
50	干枯的母亲		襁褓中包裹着一具小小的枯骨，而母亲只是喃喃地唱着不知名的童谣。	1		[1]	['继续']
51	干枯的母亲		她感激地对着你们笑了。	1		[2]	['继续']
52	干枯的母亲		你们径直离开了	1		[3]	['继续']
53	鱼饵区		你们希望借着天光未亮快速通过危险区，但前方区域出现大量黑影，到底是什么吸引了它们…？			[54, 55, 56]	['强行突破', '寻找安全路线', '不引人注意的穿过去']
54	鱼饵区		天就要亮了，哪怕接受一些损失，你们也认为不能拖到未知的黑影发现你们。	1		[1]	['继续']
55	鱼饵区		前路还长，宁愿在寻找安全路线上多耗一天，你也希望大家全须全尾的通过这篇区域。	1		[2]	['继续']
56	鱼饵区		感谢阿西莫夫，你们的地形感知雷达和激光探路雷达都很好的发挥了作用…你们不仅穿了过来，还捡到了一个其他人丢弃的补给箱。	1		[3]	['继续']
57	别人的足迹		你们顺着烟雾穿过城市废墟，找到了一个废弃的商店，只是这个补给点似乎已经被其他人光顾过…			[58, 59, 60]	['搜索补给箱', '调查其他人的痕迹', '无视这个补给点']
58	别人的足迹		商店里似乎还有些没来得及拿走的东西，看来他们走的很匆忙。	1		[1]	['继续']
59	别人的足迹		有人先你们一步来过这里。	1		[2]	['继续']
60	别人的足迹		你们决定加快脚步前往下一个。	1		[3]	['继续']
61	危险的凝视		刻意留下的窄小通道，无人的角落莫名出现的垃圾堆，在晨雾间闪动的丝丝白光…你总觉得不知道哪里有人在盯着你。			[62, 63, 64]	['径直走过去。', '想办法绕过去。', '拆解尝试']
62	危险的凝视		事实证明你的担心不无来由，但是你们意外的遇到了同踩一个坑的同伴，于是你们虽然受到了一些伤害，但是姑且脱了险。	1		[1]	['继续']
63	危险的凝视		虽然你对绕道这种浪费体力和时间的事情略有微词，但是为了大家的安全，这也是必须做的决定。	1		[2]	['继续']
64	危险的凝视		试着拆解的过程出了些岔子…但是构成陷阱的材料恰好可以被你们所用。	1		[3]	['继续']
65	自动贩卖机		你们看到远处有一个破旧的自动贩卖机，机体条件很差，如果稍微维修一下的话……			[66, 67, 68]	['踹上一脚', '维修一下', '离开']
66	自动贩卖机		这一脚把贩卖机踹成了半坏不坏的状态。你们只能花更多的工具将其彻底拆解，才能取出当中能用的东西。	1		[1]	['继续']
67	自动贩卖机		经过简单的维修，贩卖机很快就掉出了一些看起来可用的东西。	1		[2]	['继续']
68	自动贩卖机		你们径直离开了	1		[3]	['继续']
69	突袭		可恶！到底是什么时候开始被包围的…难道是震动感应器出了问题？			[70, 71, 72]	['集中突破', '收缩防线', '全面出击']
70	突袭		你们向着敌人最薄弱的区域发起了突击。	1		[1]	['继续']
71	突袭		你们决定收缩防线固守，并大声呼救，希望有能听到的人来帮助你们。	1		[2]	['继续']
72	突袭		你们决定用压倒性的武力四面出击，打乱不可知的敌人阵型。	1		[3]	['继续']
73	疯狂信徒		疯狂的信徒围住了你们。			[74, 75, 76]	['满足他们', '击退他们', '恫吓他们']
74	疯狂信徒		你们把身上能给的东西都给了他们。	1		[1]	['继续']
75	疯狂信徒		在你们的高热刀刃和枪弹面前他们最终落荒而逃，他们的辎重乱七八糟的撒了一地。	1		[2]	['继续']
76	疯狂信徒		在你们的高热刀刃和枪弹面前他们最终妥协，甚至送上了供品…呃，他们是不是搞错了什么？	1		[3]	['继续']
77	灰白身影		不远处有一个灰白色的，跪在地上似乎正在哭泣的女人身影……			[78, 79, 80]	['上前询问', '突然袭击', '径直离开']
78	灰白身影		那个灰白色的女人向你们转过脸来——但她没有脸，你们感觉自己似乎置身冰窟，甚至没有意识到她是怎么不见的。	1		[1]	['继续']
79	灰白身影		她咆哮着，披头散发地向你们冲过来——幸好子弹和刀刃对她有效，你们得缓一会，但没人受伤。	1		[2]	['继续']
80	灰白身影		你们径直离开了	1		[3]	['继续']
81	追踪者		不管身后的是什么，它正在对你们穷追不舍，而你们面前没有多少选择。			[82, 83, 84]	['走通风管', '走电梯', '走楼梯']
82	追踪者		你们缓慢地在通风管间爬行，然后遇到了岔路。			[85, 86]	['向左', '向右']
83	追踪者		没人知道为什么电梯里会一下子涌出这么多阿呆蛙玩偶，你们花了很长时间从玩偶堆里爬出来，还顺便找到了一个金色限量版。	1		[1]	['继续']
84	追踪者		楼梯间很安静，你们很快到达了安全的地方，然后发现了形成拖痕的血迹和……一个血淋淋的下巴。	1		[2]	['继续']
85	追踪者		你们在通风口中遇到了一个躲避追杀的记者，眼神交流后，你们决定一起行动。	1		[3]	['继续']
86	追踪者		这条管道通向仓库，你们在里面找到了不少好东西。	1		[4]	['继续']
87	地板之下		你们用来暂时歇脚的废弃小木屋地下传来的奇怪的声音。			[88, 91]	['下去看看', '无视']
88	地板之下		断断续续的声响令人不安，你们决定下去一探究竟。			[89, 90]	['小心翼翼地探索', '声势浩大地冲向地下室']
89	地板之下		地下室空无一人，奇怪的声音似乎来自墙角的老鼠洞。	1		[1]	['继续']
90	地板之下		你们在混乱中触发了机关进入下一层，看到了被绑在椅子上昏迷的少女，旁边放着一台正在录制的摄影机，而摄影机的主人不知所踪。	1		[2]	['继续']
91	地板之下		俗话说得好，不作死就不会死。	1		[3]	['继续']
92	惊慌的学生		看起来在进行公路旅行的大学生正在寻找他们失踪的同伴，他们在向你求助。			[93, 96]	['帮助寻找。', '我们没有时间。']
93	惊慌的学生		感觉没法置之不理，但是你们需要一个计划。			[94, 95]	['地毯式搜索', '分队追踪']
94	惊慌的学生		公路周边很大，寻找花费了你们很长时间，最终你们在森林的角落找到了一名奄奄一息的学生。	1		[1]	['继续']
95	惊慌的学生		队员训练有素分工明确，在你的指挥下很快就通过行迹找到了躲在森林中瑟瑟发抖的两个学生。	1		[2]	['继续']
96	惊慌的学生		离开不久后，“某样东西”挡在了你们的面前，你们明白了学生失踪的真相，但是为时已晚。	1		[3]	['继续']
97	顺风车		离下一个目的地还有很远，正在你们烦恼时一个路过的青年邀请你们乘坐他的卡车			[98, 101]	['乘车', '拒绝']
98	顺风车		在与青年交谈的过程中，丽芙发现了异样——青年似乎有别的目的。			[99, 100]	['按兵不动', '强行跳车']
99	顺风车		青年将你们带往了他的大本营，这里有其他同样被抓的人，经过一场战斗，你们解救了所有人。	1		[1]	['继续']
100	顺风车		里的枪口抵在了青年的头上，青年讪笑着放你们下车，丽芙打掉了青年藏在身后的匕首，神威敲晕了青年放在路边——总之，你们现在有车了。	1		[2]	['继续']
101	顺风车		谨慎一些总没错。	1		[3]	['继续']
102	黑之匣		发现了一个神秘的黑匣子，上面诡异的花纹散发着不祥的气息。			[103, 106]	['打开箱子', '放弃']
103	黑之匣		获得了一些物资，继续翻找吗？			[104, 105]	['继续翻找', '放弃']
104	黑之匣		翻！赌到最后因有尽有！	1		[1]	['继续']
105	黑之匣		这些就足够了。	1		[2]	['继续']
106	黑之匣		保险起见，还是不翻了。	1		[3]	['继续']
107	不安的气味		空气中飘来了浓重的血腥味，你发现是从路边的一栋房子里传出来的。			[108, 111]	['进去调查', '无视']
108	不安的气味		察觉到很可能有事件发生，你们决定一探究竟。			[109, 110]	['从侧窗翻进去。', '从正门进入。']
109	不安的气味		屋内凄惨的景象令你们倒吸一口凉气，凶手没有察觉到你们的动作，从正门离开了。	1		[1]	['继续']
110	不安的气味		你们撞上了正欲出门的凶手，他看到你们面露凶光，战斗在所难免。	1		[2]	['继续']
111	不安的气味		还有更重要的事情要做。	1		[3]	['继续']
112	隐居者		隐居的巫师似乎并不意外你们的贸然闯入，他向你们询问来意。			[113, 116]	['渴求力量', '对不起敲错门了']
113	隐居者		巫师指向桌子上的祭品，你要挑选一个作为召唤的媒介。			[114, 115]	['黑色的山羊颅骨', '破碎的八音盒']
114	隐居者		巫师送给你们三个古董人偶，并且拿取了他应得的报酬。	1		[1]	['继续']
115	隐居者		不幸的是，什么都没有发生，也许这是另一种幸运？	1		[2]	['继续']
116	隐居者		也许是人偶师外貌过于诡异，你们感到一阵寒意，连忙找借口离开。	1		[3]	['继续']
117	告示牌		在你们面前的是一座古井，井架上挂着一个牌子，写着“拉我上来”。			[118, 121]	['拉！', '不拉']
118	告示牌		这座井看起来很久都没有被使用过了。			[119, 120]	['直接拉绳子', '使用轮轴']
119	告示牌		虽然有些费力，但是你成功地拉上来一个箱子。	1		[1]	['继续']
120	告示牌		年久失修的手柄断在了你的手里，你听到了井内重物落地的声音	1		[2]	['继续']
121	告示牌		不知为何这座井令你毛骨悚然，你决定离它远一点。	1		[3]	['继续']
122	悲哀的父母		悲哀的父母正在寻找失散的孩子，路过的你们也许是他们最后的希望。			[123, 126]	['帮助寻找', '离开']
123	悲哀的父母		你们感觉没法置之不理，但是你们需要一个计划。			[124, 125]	['地毯式搜索', '寻找异常的痕迹']
124	悲哀的父母		你们的人力不足，寻找花费了很长的时间，但是最后你们从某个废弃的藏身处深处找到了那个孩子	1		[1]	['继续']
125	悲哀的父母		你们发现了使用构造体的红外传感器和化学传感器来追踪孩子留下的细微印记的方法，于是很快追踪到了孩子。难民家庭对此十分感谢。	1		[2]	['继续']
126	悲哀的父母		你们当晚被不知从何而来的密集黑影袭击了，营地被弄得乱七八糟。	1		[3]	['继续']
127	恶劣天气		在赶路的途中遭遇了恶劣天气，你决定…			[128, 131]	['优先寻找避难所', '冲过恶劣天气区域']
128	恶劣天气		你们勉强找到一个能躲避的地方，但恶劣天气一时半刻没有消散的迹象。			[129, 130]	['等待恶劣天气完全过去', '在恶劣天气稍显平复的时候出发']
129	恶劣天气		恶劣天气持续了很久，所以你们出发之前得到了好好的休息。	1		[1]	['继续']
130	恶劣天气		你们发现你们不是唯一等待恶劣天气缓和的人，于是你们决定结伴出发。	1		[2]	['继续']
131	恶劣天气		你们在区域中发现了一个前人遗落的宝箱	1		[3]	['继续']
132	箱吟		身旁的箱子里传来了可疑的呜咽声…			[133, 136]	['检查箱子', '无视']
133	箱吟		箱子的外壁隐隐的渗出血迹…			[134, 135]	['用武器切开箱子', '打开箱子']
134	箱吟		随着锋刃切开箱子，一个黑色的影子猛地冲出。待一切散去，你们只觉得手腕麻痹。	1		[1]	['继续']
135	箱吟		一个黑色的影子猛地冲出，这预料之外的情况让你们一时无法作出反应。	1		[2]	['继续']
136	箱吟		你快速离开了这个地方	1		[3]	['继续']
137	徘徊的阴影		一个黑影在不远处走动，只是看起来姿态有些奇怪…是被感染了吗？			[138, 141]	['想想办法', '痛下杀手']
138	徘徊的阴影		以他的感染程度，看起来没救了			[139, 140]	['结束他的痛苦', '向上级求援']
139	徘徊的阴影		他倒下了，也许你们做的没错，也许…谁知道呢？	1		[1]	['继续']
140	徘徊的阴影		上级通知你会派遣其他人来接手这件事。	1		[2]	['继续']
141	徘徊的阴影		他看到你们就发动了攻击，这让你们不得不消灭他。也许你们做了正确的事…也许吧。	1		[3]	['继续']
142	奇怪的箱子		发现了奇怪的箱子，箱子看起来已经破裂了。			[143, 146]	['打开箱子', '放弃']
143	奇怪的箱子		快要到底了…继续吗？			[144, 145]	['继续翻找？', '放弃']
144	奇怪的箱子		你找到了不错的东西	1		[1]	['继续']
145	奇怪的箱子		你找到了一些东西	1		[2]	['继续']
146	奇怪的箱子		你找到了很少的东西	1		[3]	['继续']
147	黑雾		黑雾骤然从身边的地面升起。			[148, 149]	['小心前进', '强行冲锋']
148	黑雾		你们防备着可能的袭击，小心走过了这片区域。	1		[1]	['继续']
149	黑雾		在冲出黑雾区域之后，你们发现身上留下了不知名怪物的伤痕。	1		[2]	['继续']
152	扭曲的光景		你们感觉眼前的景象似乎有略微的扭曲。			[153, 154]	['前进', '绕路']
153	扭曲的光景		你们撞上了一层透明的东西，这玩意居然会往关节里渗。	1		[1]	['继续']
154	扭曲的光景		为了保证安全，你们选择了绕路。	1		[2]	['继续']
155	分岔路		俗话说车到山前必有路，但是可没人告诉过你面前出现地图上没有的一条大路分两边的情况该怎么选。			[156, 157]	['左', '右']
156	分岔路		这条路似乎向着目的地的反方向去了…时机已经耽误了，干脆原地扎营，整装休息吧。	1		[1]	['继续']
157	分岔路		跟聚集的黑影们狭路相逢，你们被吓住了，但是它们被吓跑了。	1		[2]	['继续']
158	诡异的通讯		通讯频道里居然传来了不该在此的人的声音……？！			[159, 160]	['质问', '邀请加入']
159	诡异的通讯		对方并没有理会并告诉你们附近的一个坐标，在那里你们找到了有少量物资的箱子。	1		[1]	['继续']
160	诡异的通讯		对方反过来诱导你们当中的一个走向了黑影丛生的地方，在艰难的驱散黑影之后，你们发现这里是个废弃的物资仓库。	1		[2]	['继续']
161	废墟医院		来到了一座看起来已经被废弃很久的医院，里面可能会有一些医疗用品，是否进入？			[162, 163]	['进入', '不进']
162	废墟医院		走进一看，大门被紧紧关住，上面用油漆写着“内有死人，误入。”			[164, 165]	['找小门进入。', '直接破门进去。']
163	废墟医院		看起来很危险，还是不进去了。			[166, 167]	['在周边寻找补给。', '最好离这里远一点。']
164	废墟医院		偌大的医院如今空无一人，虽然费了一番功夫，但你们最终找到了一些医疗用品。	1		[1]	['继续']
165	废墟医院		你们受到了数十位丧尸的夹道欢迎，和他们热情交流后你们带着伤拿到了部分补给。	1		[2]	['继续']
166	废墟医院		不远处传来了诡异的声响，你们连忙逃跑，慌张中丢下了一袋行李。	1		[3]	['继续']
167	废墟医院		你们的选择是明智的，医院周围躺着几具面目全非的尸体，你们在不远处找到了他们的行李。	1		[4]	['继续']
168	卷帘门		突然降下的卷帘门将你和同伴分开，你被关在了一片漆黑的百货商场中，这时你……			[169, 170]	['想办法打开门', '另寻出路']
169	卷帘门		你发现卷帘门无法轻易的打开			[171, 172]	['找小门进入。', '直接破门进去。']
170	卷帘门		你发现室内的灯光太过阴暗，看不清前方的道路			[173, 174]	['在周边寻找补给。', '最好离这里远一点。']
171	卷帘门		爆炸产生的余波不可避免地波及到了你，还引来了藏在暗处的某些“东西”。	1		[1]	['继续']
172	卷帘门		里的速度很快，你只是坐着等了一会。	1		[2]	['继续']
173	卷帘门		你凭借直觉找到了总电闸，总算可以打开卷帘门了。	1		[3]	['继续']
174	卷帘门		窗户上的碎玻璃划破了你的衣服，虽然没有受伤，但是丽芙还是为你做了全套检查。	1		[4]	['继续']
