Id	Name	Desc	ImageUrl	Weight	ConditionIds
11	Babylonia Commercial District	"""Plazas, cinemas, shopping arcades, and crowds of people... they used to be everywhere on Earth during the Golden Age. Now, this place stands as the last echo of that past prosperity.\n...Is it meaningless? No, I don't believe so. People need moments to rest, and to remember. To understand what we once lost, and what we're still fighting with all our strength to take back.""\n— Babylonia Commercial District: 10th Anniversary Feature Interview"	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading13.png	1	
12	Babylonia District Overview	Architecture begins with a question and ends in the search for an answer. Babylonia, this immense man-made structure flying in Earth's orbit, stands as an ever-evolving response from architects to the challenge of survival in the wake of the Punishing crisis.The distinct sectors we see today—divided by function yet diverse in form—transcend both time and culture. Their overlapping styles faithfully mirror the circumstances our predecessors faced, and the solutions they dared to attempt.This book is written to guide those who come after us, so they may walk this long path and discover their own answers. And above all, let us remember this: it is humanity's love and hope for its home that architecture was always meant to carry.— Preface to Introduction to Architecture in the Post-Pandemic Age	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading14.png	1	
13	Babylonia - Commercial District B	One of Babylonia's most important cultural and leisure zones, master-planned by WGAA and formed by three landmark spaces: Olympia Art Gallery, Babylonia Universal Cinema, and Dreamglow Gardens.\nThis corridor, woven from stories, art, and greenery, offers residents a place to rest the mind and enjoy life.\nIt is a classroom of aesthetic awakening, a hub of emotional connection, and a living artery of memory and legacy.\nIn the silence of space, it protects humanity's spiritual home, preserving the warmth and memory of civilization.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading21.png	1	
14	Babylonia Commercial District	"When people ask why art galleries were built inside a shelter, I always think of the things I can never restore, those that remain only as data archives... everything about Earth.\nWhat has already been lost tells us what shaped the ""us"" we are today.\nAnd what we preserve, along with what we newly create, will tell us what kind of ""us"" we may choose to become in the future.\n— Special Interview: Tenth Anniversary of the Babylonia Commercial District"	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading15.png	1	
15	Knowledge Promenade	An open-air square corridor connecting the Olympia Art Gallery and the Babylonia Universal Cinema, renovated under the direction of WGAA to provide visitors with up-to-date exhibition information.\nServing as a passage between two major cultural landmarks, the Knowledge Promenade carries forward the aesthetic language of the main halls, extending art beyond indoor spaces and into the public realm.\nIts overall landscape design moves in dialogue with the drifting blue whale projections, offering visitors a seamless and immersive experience.\nAs a bridge between art and everyday life, it has become a beloved sanctuary for impromptu performances, sketching sessions, and romantic dates.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading18.png	1	
16	Olympia Art Gallery	A public art gallery founded by WGAA, set in the heart of the B-2167 cabin section's Commercial District. It's a full-spectrum institution that brings together popular science education, curated collections, and research.\nThe main building takes the form of a starship docked in the galaxy. Geometric panels link together into a light, flowing, asymmetrical space, casting layered, irregular patterns of light and shadow.\nPaired with the gigantic blue whale projections that drift through the square and inner hall, the structure becomes a spatial installation that feels alive, breathing with both grace and force.\nWith its sense of freedom and romance, it has grown into one of Babylonia's signature sights.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading25.png	1	
17	Olympia Art Gallery - Entrance Hall	One of Babylonia's iconic landmarks, envisioned as humanity's ark anchored in the galaxy, with wandering blue whales evoking memories of a distant homeland.\nClassical sculpture and digital art stand in quiet dialogue here. Technological rationality and human warmth resonate and blend, gently shaping aesthetic awareness through history, art, and reflection.\nIt is both a tranquil vessel for contemplation and an incubator for creativity, forever preserving the story of where we came from.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading26.png	1	
18	Babylonia Universal Cinema	A comprehensive film and visual archive jointly operated by WGAA and the Babylonia Universal, with support from a specialized research center under the Science Council, located at the heart of the Commercial District.\nThe center features VR immersive viewing systems alongside traditional large-screen theaters, spanning the full spectrum from film reels to holographic cinema and offering audiences a wide range of viewing options.\nIts affiliated research institute preserves a vast collection of physical visual media from the Golden Age to the present, supporting ongoing restoration, interpretation, and archival research.\nThis work provides a solid foundation for technological reconstruction across disciplines, as well as for ethnographic and cultural documentation efforts that safeguard humanity's heritage.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading20.png	1	
19	Babylonia Universal Cinema - Theater	The Commercial District's most prosperous cultural landmark. It hosts themed film festivals, pop-up events, and art exhibitions, and serves as a key source of funding for cultural heritage preservation projects.\nThe VR theaters feature neural-interface pods, allowing audiences to step directly into legendary stories. Meanwhile, upgraded full-field sound systems in traditional large-screen theaters breathe new life into classic films.\nThis place is not only where visual wonders are born, but also where emotional connections take shape. The shared rhythm of breath in the darkness, rising and falling with the same story, reminds us—\nThat even as humans live alone in near-Earth orbit, we are still the children who once gathered around a fire, listening to our mother tell distant tales.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading19.png	1	
20	Dreamglow Gardens	An open greenhouse oasis located in the Commercial District, and a key node within Babylonia's ecological network.\nThe Science Council has established many such green spaces to restore agricultural capacity and protect plant species of strategic importance.\nAs one of the few greenhouses open to the public, Dreamglow Gardens combines leisure, education, and research.\nThrough detailed ecological simulation, it recreates the seasonal rhythms of rare plants once native to Earth.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading24.png	1	
21	Dreamglow Gardens - Atrium Greenhouse	Transparent geometric structures and carefully layered greenery come together to form the airy atrium greenhouse of Dreamglow Gardens.\nWithin the central vertical cultivation system, flowering and foliage plants in various forms create quiet corners where visitors can slow down and rest.\nTrellis-style monitoring devices display plant records, while synced growth data helps adjust environmental conditions and supports remote ecological courses from the Youth Center.\nThis is a museum of Earth's living memory. A cosmic oasis of homeland, longing, and hope. A gentle breath within the endless vacuum.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading23.png	1	
22	Military Security Area - Assembly Hall	The Assembly Hall of the Military Security Area, where rapid-access corridors for combat personnel intersect with emergency transport systems, serving as the first transit point between units.\nThis is the final stop before deployment. Every silent figure rushing out carries fleeting opportunities and dangers balanced on a knife's edge.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading29.png	1	
23	Military Security Area - War Conference Room	The most fundamental facility of the Military Security Area, and its smallest decision-making hub.\nBeyond the automated gates lies the space where squads assemble and receive their orders.\nWith holographic sand tables and blast-resistant tactical desks, these standardized rooms have been the starting point for countless one-of-a-kind miracles created by Commandants and Constructs alike.\nMay every story end with us returning here, ready to set out once more.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading17.png	1	
24	Space Voyage	Multiple space crises following the Punishing outbreak left behind vast amounts of spacecraft and facility debris, interfering with Babylonia's navigation safety and space surveillance.\nTo keep the base running safely, the Support Force maintains routine drone deployments, conducting regular space operations to clear and recycle scattered wreckage and obsolete structures.\nEngineering Force specialists are permanently stationed on the third floor of the Military Security Area, providing technical support and iterative upgrades for the drone swarms to ensure continuous improvements in space operation efficiency.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading28.png	1	
25	Military Security Area	A restricted military area built around the central military elevator, radiating outward to cover all of Babylonia.\nAt its core, the elevator uses a dual-track transport system, separating personnel and cargo to ensure rapid response and reliable supply.\nThe War Conference Room serves as the tactical hub, where elite Constructs stand ready. From tiered defensive nodes across Babylonia to real-time deployments on Earth's battlefield, humanity's march to reclaim its home never stops.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading27.png	1	
26	Security Checkpoint Bridge	The final security checkpoint linking the Commercial District and the central military elevator. This militarized rapid-access corridor uses cutting-edge technology to perform scans on all personnel and cargo.\nThrough reinforced bulletproof glass on either side of the corridor, visitors can see the outer structure of Babylonia. Inside the passage, dedicated logistics lines handle bulk cargo bound for the military elevator.\nArmed patrol units and fully automated gun turrets form a dual-layer defense here, an unbreakable steel barrier established by the World Government guard forces.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading16.png	1	
27	Logistics Center	The Babylonia Commercial District's logistics transfer station, responsible for the automated routing of all bulk supplies.\nDrone swarms and intelligent machines form a fully automated logistics pipeline, allowing precise and efficient distribution across the district.\nIt is a solid foundation that keeps daily life in Babylonia running smoothly.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading22.png	1	
28	Frostheart Shadow	Rosetta fell into a coma after confronting enemies that emerged in the Arctic regions. Somewhere within Babylonia, there should be a way to help her recover.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading30.png	1	
29	Frostheart Shadow	"The ""Mina"" who appeared in Babylonia was not the real one. After the attempted attack failed, he took advantage of the chaos to slip away, and Rosetta, who had just regained consciousness, immediately went after him."	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading30.png	1	
30	Frostheart Shadow	After the chase, everyone comes to the rooftop of the Military Security Area.	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading30.png	1	
31	Frostheart Shadow	"The declaration of the ""Frostheart Emperor"" signals the beginning of a new wave of crisis and turmoil. Per Asimov's instructions, go find him first and talk through what to do next."	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldLoading/UiBigWorldLoading30.png	1	
