GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId	FightInfoId	TeamFightSeq	LogisticsInfoId	GroupOrderId	NeedPoint	ClearOpen
1801	第1战		描述一下	1703		12180105	[12180101, 12180102, 12180105]	[12180101, 12180102, 12180105]	1|2|3		1		
1802	第2战		描述一下	1801		12180204	[12180201, 12180202, 12180204]	[12180201, 12180202, 12180204]	1|2|3		2		
1803	第3战		描述一下	1802		12180305	[12180303, 12180304, 12180305]	[12180303, 12180304, 12180305]	1|2|3		3		
1901	第1战		描述一下	1803		12190105	[12190101, 12190102, 12190105]	[12190101, 12190102, 12190105]	1|2|3		1		
1902	第2战		描述一下	1901		12190205	[12190201, 12190203, 12190205]	[12190201, 12190203, 12190205]	1|2|3		2		
1903	第3战		描述一下	1902		12190305	[12190301, 12190303, 12190305]	[12190301, 12190303, 12190305]	1|2|3		3		
2001	第1战		描述一下	1903		12200105	[12200101, 12200103, 12200105]	[12200101, 12200103, 12200105]	1|2|3		1		
2002	第2战		描述一下	2001		12200205	[12200201, 12200202, 12200205]	[12200201, 12200202, 12200205]	1|2|3		2		
2003	第3战		描述一下	2002		12200305	[12200302, 12200303, 12200305]	[12200302, 12200303, 12200305]	1|2|3		3		
2101	第1战		描述一下	2003		12210101	[12210105, 12210102, 12210101]	[12210105, 12210102, 12210101]	1|2|3		1		
2102	第2战		描述一下	2101		12210205	[12210201, 12210204, 12210205]	[12210201, 12210204, 12210205]	1|2|3		2		
2103	第3战		描述一下	2102		12210305	[12210302, 12210303, 12210305]	[12210302, 12210303, 12210305]	1|2|3		3		
2201	第1战		描述一下	2103		12220103	[12220101, 12220102, 12220103]	[12220101, 12220102, 12220103]	1|2|3		1		
2202	第2战		描述一下	2201		12220106	[12220104, 12220105, 12220106]	[12220104, 12220105, 12220106]	1|2|3		2		
2203	第3战		描述一下	2202		12220109	[12220107, 12220108, 12220109]	[12220107, 12220108, 12220109]	1|2|3		3		
2301	第1战		描述一下	2203		12230103	[12230101, 12230102, 12230103]	[12230101, 12230102, 12230103]	1|2|3		1		
2302	第2战		描述一下	2301		12230106	[12230104, 12230105, 12230106]	[12230104, 12230105, 12230106]	1|2|3		2		
2303	第3战		描述一下	2302		12230109	[12230107, 12230108, 12230109]	[12230107, 12230108, 12230109]	1|2|3		3		
2401	第1战		描述一下	2303		12240103	[12240101, 12240102, 12240103]	[12240101, 12240102, 12240103]	1|2|3		1		
2402	第2战		描述一下	2401		12240106	[12240104, 12240105, 12240106]	[12240104, 12240105, 12240106]	1|2|3		2		
2403	第3战		描述一下	2402		12240109	[12240107, 12240108, 12240109]	[12240107, 12240108, 12240109]	1|2|3		3		
2501	第1战		描述一下	2403		12250103	[12250101, 12250102, 12250103]	[12250101, 12250102, 12250103]	1|2|3		1		
2502	第2战		描述一下	2501		12250106	[12250104, 12250105, 12250106]	[12250104, 12250105, 12250106]	1|2|3		2		
2503	第3战		描述一下	2502		12250109	[12250107, 12250108, 12250109]	[12250107, 12250108, 12250109]	1|2|3		3		
2601	第1战		描述一下	2503		12260103	[12260101, 12260102, 12260103]	[12260101, 12260102, 12260103]	1|2|3		1		
2602	第2战		描述一下	2601		12260106	[12260104, 12260105, 12260106]	[12260104, 12260105, 12260106]	1|2|3		2		
2603	第3战		描述一下	2602		12260109	[12260107, 12260108, 12260109]	[12260107, 12260108, 12260109]	1|2|3		3		
