Id	Type	Level	Name	CharacterId	Quality	FightEventId	Icon	Description	Priority
200044	20004	4	技巧·增伤Ⅳ		5	221016	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%，全伤害增加150%。受到敌人伤害后进入10秒冷却	1052
200051	20005	1	技巧·护盾Ⅰ		2	221017	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%时，获得能够抵御1次攻击伤害的盾，每12秒恢复一次	1053
200052	20005	2	技巧·护盾Ⅱ		3	221018	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%时，获得能够抵御2次攻击伤害的盾，每12秒恢复一次	1054
200053	20005	3	技巧·护盾Ⅲ		4	221019	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%时，获得能够抵御3次攻击伤害的盾，每12秒恢复一次	1055
200054	20005	4	技巧·护盾Ⅳ		5	221020	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命高于80%时，获得能够抵御4次攻击伤害的盾，每12秒恢复一次	1056
200061	20006	1	技巧·回复Ⅰ		2	221021	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命低于80%时，每秒回复1%生命值	1057
200062	20006	2	技巧·回复Ⅱ		3	221022	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命低于80%时，每秒回复2%生命值	1058
200063	20006	3	技巧·回复Ⅲ		4	221023	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命低于80%时，每秒回复3%生命值	1059
200064	20006	4	技巧·回复Ⅳ		5	221024	Assets/Product/Texture/Image/UiInfestorExplore/Equip051.png	生命低于80%时，每秒回复4%生命值	1060
200071	20007	1	属性·生命Ⅰ		2	221025	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	生命+300	1001
200072	20007	2	属性·生命Ⅱ		3	221026	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	生命+500	1002
200073	20007	3	属性·生命Ⅲ		4	221027	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	生命+800	1003
200074	20007	4	属性·生命Ⅳ		5	221028	Assets/Product/Texture/Image/UiInfestorExplore/Equip012.png	生命+1100	1004
200081	20008	1	属性·攻击Ⅰ		2	221029	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	攻击+100	1005
200082	20008	2	属性·攻击Ⅱ		3	221030	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	攻击+140	1006
200083	20008	3	属性·攻击Ⅲ		4	221031	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	攻击+180	1007
200084	20008	4	属性·攻击Ⅳ		5	221032	Assets/Product/Texture/Image/UiInfestorExplore/Equip011.png	攻击+220	1008
200091	20009	1	属性·火伤Ⅰ		2	221033	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	火属性伤害增加10%	1009
200092	20009	2	属性·火伤Ⅱ		3	221034	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	火属性伤害增加15%	1010
200093	20009	3	属性·火伤Ⅲ		4	221035	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	火属性伤害增加22%	1011
200094	20009	4	属性·火伤Ⅳ		5	221036	Assets/Product/Texture/Image/UiInfestorExplore/Equip005.png	火属性伤害增加30%	1012
200101	20010	1	属性·冰伤Ⅰ		2	221037	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	冰属性伤害增加10%	1013
200102	20010	2	属性·冰伤Ⅱ		3	221038	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	冰属性伤害增加15%	1014
200103	20010	3	属性·冰伤Ⅲ		4	221039	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	冰属性伤害增加22%	1015
200104	20010	4	属性·冰伤Ⅳ		5	221040	Assets/Product/Texture/Image/UiInfestorExplore/Equip007.png	冰属性伤害增加30%	1016
200111	20011	1	属性·暗伤Ⅰ		2	221041	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	暗属性伤害增加10%	1017
200112	20011	2	属性·暗伤Ⅱ		3	221042	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	暗属性伤害增加15%	1018
200113	20011	3	属性·暗伤Ⅲ		4	221043	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	暗属性伤害增加22%	1019
200114	20011	4	属性·暗伤Ⅳ		5	221044	Assets/Product/Texture/Image/UiInfestorExplore/Equip008.png	暗属性伤害增加30%	1020
200121	20012	1	属性·雷伤Ⅰ		2	221045	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	雷属性伤害增加10%	1021
200122	20012	2	属性·雷伤Ⅱ		3	221046	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	雷属性伤害增加15%	1022
200123	20012	3	属性·雷伤Ⅲ		4	221047	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	雷属性伤害增加22%	1023
200124	20012	4	属性·雷伤Ⅳ		5	221048	Assets/Product/Texture/Image/UiInfestorExplore/Equip006.png	雷属性伤害增加30%	1024
200131	20013	1	属性·物伤Ⅰ		2	221049	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	物理伤害增加10%	1025
200132	20013	2	属性·物伤Ⅱ		3	221050	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	物理伤害增加15%	1026
200133	20013	3	属性·物伤Ⅲ		4	221051	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	物理伤害增加22%	1027
200134	20013	4	属性·物伤Ⅳ		5	221052	Assets/Product/Texture/Image/UiInfestorExplore/Equip009.png	物理伤害增加30%	1028
200141	20014	1	属性·切人Ⅰ		2	221053	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	切人冷却时间减少2s	1029
200142	20014	2	属性·切人Ⅱ		3	221054	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	切人冷却时间减少4s	1030
200143	20014	3	属性·切人Ⅲ		4	221055	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	切人冷却时间减少6s	1031
200144	20014	4	属性·切人Ⅳ		5	221056	Assets/Product/Texture/Image/UiInfestorExplore/Equip043.png	切人冷却时间减少8s	1032
200151	20015	1	属性·闪避Ⅰ		2	221057	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	闪避槽上限增加200	1033
200152	20015	2	属性·闪避Ⅱ		3	221058	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	闪避槽上限增加400	1034
200153	20015	3	属性·闪避Ⅲ		4	221059	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	闪避槽上限增加600	1035
200154	20015	4	属性·闪避Ⅳ		5	221060	Assets/Product/Texture/Image/UiInfestorExplore/Equip018.png	闪避槽上限增加800	1036
201011	20101	1	异火·核心Ⅰ	1011002	2	222101	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	核心被动的红球爆炎伤害提升70%，蓝球附带聚怪，释放蓝球后释放红球也附带爆炎弹	1061
201012	20101	2	异火·核心Ⅱ	1011002	3	222102	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	核心被动的红球爆炎伤害提升150%，蓝球附带聚怪，释放蓝球后释放红球也附带爆炎弹	1062
201013	20101	3	异火·核心Ⅲ	1011002	4	222103	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	核心被动的红球爆炎伤害提升220%，蓝球附带聚怪，释放蓝球后释放红球也附带爆炎弹	1063
201014	20101	4	异火·核心Ⅳ	1011002	5	222104	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	核心被动的红球爆炎伤害提升300%，蓝球附带聚怪，释放蓝球后释放红球也附带爆炎弹	1064
201021	20102	1	异火·超频一Ⅰ	1011002	2	222105	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放黄球时，恢复1个红球，附带聚怪，恢复30点闪避值	1065
201022	20102	2	异火·超频一Ⅱ	1011002	3	222106	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放黄球时，恢复2个红球，附带聚怪，恢复70点闪避值	1066
201023	20102	3	异火·超频一Ⅲ	1011002	4	222107	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放黄球时，恢复2个红球，附带聚怪，恢复130点闪避值	1067
201024	20102	4	异火·超频一Ⅳ	1011002	5	222108	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放黄球时，恢复3个红球，附带聚怪，恢复200点闪避值	1068
201031	20103	1	异火·超频二Ⅰ	1011002	2	222109	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放红球时，恢复1个黄球，闪避后2秒内伤害增加10%	1069
201032	20103	2	异火·超频二Ⅱ	1011002	3	222110	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放红球时，恢复2个黄球，闪避后2秒内伤害增加40%	1070
201033	20103	3	异火·超频二Ⅲ	1011002	4	222111	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放红球时，恢复2个黄球，闪避后2秒内伤害增加70%	1071
201034	20103	4	异火·超频二Ⅳ	1011002	5	222112	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	释放红球时，恢复3个黄球，闪避后2秒内伤害增加100%	1072
202011	20201	1	红莲·核心Ⅰ	1021001	2	222201	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式的攻击恢复2点能量，伤害增加50%	1073
202012	20201	2	红莲·核心Ⅱ	1021001	3	222202	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式的攻击恢复3点能量，伤害增加100%	1074
202013	20201	3	红莲·核心Ⅲ	1021001	4	222203	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式的攻击恢复4点能量，伤害增加150%	1075
202014	20201	4	红莲·核心Ⅳ	1021001	5	222204	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式的攻击恢复5点能量，伤害增加200%	1076
202021	20202	1	红莲·超频一Ⅰ	1021001	2	222205	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式时间延长1秒	1077
202022	20202	2	红莲·超频一Ⅱ	1021001	3	222206	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式时间延长2秒	1078
202023	20202	3	红莲·超频一Ⅲ	1021001	4	222207	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式时间延长3秒	1079
202024	20202	4	红莲·超频一Ⅳ	1021001	5	222208	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式时间延长4秒	1080
202031	20203	1	红莲·超频二Ⅰ	1021001	2	222209	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式结束后进入超算	1081
202032	20203	2	红莲·超频二Ⅱ	1021001	3	222210	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式结束后进入超算，并获得1个红球	1082
202033	20203	3	红莲·超频二Ⅲ	1021001	4	222211	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式结束后进入超算，并获得2个红球	1083
202034	20203	4	红莲·超频二Ⅳ	1021001	5	222212	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	双刀模式结束后进入超算，并获得3个红球	1084
203011	20301	1	蚀暗·核心Ⅰ	1031001	2	222301	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	激光束群（3消+红球）的伤害提升70%。[辅助型]：治疗后5秒全队伤害提升10%	1085
203012	20301	2	蚀暗·核心Ⅱ	1031001	3	222302	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	激光束群（3消+红球）的伤害提升150%。[辅助型]：治疗后5秒全队伤害提升20%	1086
203013	20301	3	蚀暗·核心Ⅲ	1031001	4	222303	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	激光束群（3消+红球）的伤害提升220%。[辅助型]：治疗后5秒全队伤害提升35%	1087
203014	20301	4	蚀暗·核心Ⅳ	1031001	5	222304	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	激光束群（3消+红球）的伤害提升300%。[辅助型]：治疗后5秒全队伤害提升50%	1088
203021	20302	1	蚀暗·超频一Ⅰ	1031001	2	222305	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	必杀结束后进入超算	1089
203022	20302	2	蚀暗·超频一Ⅱ	1031001	3	222306	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	必杀结束后进入超算，并恢复2个红球	1090
203023	20302	3	蚀暗·超频一Ⅲ	1031001	4	222307	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	必杀结束后进入超算，并恢复3个红球	1091
203024	20302	4	蚀暗·超频一Ⅳ	1031001	5	222308	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	必杀结束后进入超算，并恢复4个红球	1092
203031	20303	1	蚀暗·超频二Ⅰ	1031001	2	222309	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	三消命中敌人时，额外回复5点能量	1093
203032	20303	2	蚀暗·超频二Ⅱ	1031001	3	222310	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	三消命中敌人时，额外回复10点能量	1094
203033	20303	3	蚀暗·超频二Ⅲ	1031001	4	222311	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	三消命中敌人时，额外回复15点能量	1095
203034	20303	4	蚀暗·超频二Ⅳ	1031001	5	222312	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	三消命中敌人时，额外回复20点能量	1096
204011	20401	1	零度·核心Ⅰ	1041002	2	222401	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	能量箭伤害提升70%，释放必杀时，每消耗1个能量箭，额外派生1个能量箭	1097
204012	20401	2	零度·核心Ⅱ	1041002	3	222402	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	能量箭伤害提升150%，释放必杀时，每消耗1个能量箭，额外派生1个能量箭	1098
204013	20401	3	零度·核心Ⅲ	1041002	4	222403	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	能量箭伤害提升220%，释放必杀时，每消耗1个能量箭，额外派生2个能量箭	1099
204014	20401	4	零度·核心Ⅳ	1041002	5	222404	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	能量箭伤害提升300%，释放必杀时，每消耗1个能量箭，额外派生3个能量箭	1100
204021	20402	1	零度·超频一Ⅰ	1041002	2	222405	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	必杀结束后进入超算，且伤害提升20%，持续6秒	1101
204022	20402	2	零度·超频一Ⅱ	1041002	3	222406	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	必杀结束后进入超算，且伤害提升40%，持续6秒	1102
204023	20402	3	零度·超频一Ⅲ	1041002	4	222407	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	必杀结束后进入超算，且伤害提升60%，持续6秒	1103
204024	20402	4	零度·超频一Ⅳ	1041002	5	222408	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	必杀结束后进入超算，且伤害提升80%，持续6秒	1104
204031	20403	1	零度·超频二Ⅰ	1041002	2	222409	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	释放三消时，额外回复4点能量	1105
204032	20403	2	零度·超频二Ⅱ	1041002	3	222410	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	释放三消时，额外回复7点能量	1106
204033	20403	3	零度·超频二Ⅲ	1041002	4	222411	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	释放三消时，额外回复10点能量	1107
204034	20403	4	零度·超频二Ⅳ	1041002	5	222412	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	释放三消时，额外回复15点能量	1108
205011	20501	1	风暴·核心Ⅰ	1051001	2	222501	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	切割风暴（3消+黄球）的伤害提升70%。[装甲型]：命中时使目标总抗性减少5%，持续5秒	1109
205012	20501	2	风暴·核心Ⅱ	1051001	3	222502	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	切割风暴（3消+黄球）的伤害提升150%。[装甲型]：命中时使目标总抗性减少10%，持续5秒	1110
205013	20501	3	风暴·核心Ⅲ	1051001	4	222503	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	切割风暴（3消+黄球）的伤害提升220%。[装甲型]：命中时使目标总抗性减少15%，持续5秒	1111
205014	20501	4	风暴·核心Ⅳ	1051001	5	222504	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	切割风暴（3消+黄球）的伤害提升300%。[装甲型]：命中时使目标总抗性减少20%，持续5秒	1112
205021	20502	1	风暴·超频一Ⅰ	1051001	2	222505	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	开启必杀时进入超算	1113
205022	20502	2	风暴·超频一Ⅱ	1051001	3	222506	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	开启必杀时进入超算，并恢复1个黄球	1114
205023	20502	3	风暴·超频一Ⅲ	1051001	4	222507	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	开启必杀时进入超算，并恢复2个黄球	1115
205024	20502	4	风暴·超频一Ⅳ	1051001	5	222508	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	开启必杀时进入超算，并恢复3个黄球	1116
205031	20503	1	风暴·超频二Ⅰ	1051001	2	222509	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	释放三消时，额外恢复5点能量	1117
205032	20503	2	风暴·超频二Ⅱ	1051001	3	222510	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	释放三消时，额外恢复10点能量	1118
205033	20503	3	风暴·超频二Ⅲ	1051001	4	222511	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	释放三消时，额外恢复15点能量	1119
205034	20503	4	风暴·超频二Ⅳ	1051001	5	222512	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	释放三消时，额外恢复20点能量	1120
206011	20601	1	重能·核心Ⅰ	1061002	2	222601	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	黄球格挡敌人可以返还敌人消球数*200%的伤害。[装甲型]：命中时使目标总抗性减少5%，持续5秒	1121
206012	20601	2	重能·核心Ⅱ	1061002	3	222602	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	黄球格挡敌人可以返还敌人消球数*450%的伤害。[装甲型]：命中时使目标总抗性减少10%，持续5秒	1122
206013	20601	3	重能·核心Ⅲ	1061002	4	222603	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	黄球格挡敌人可以返还敌人消球数*700%的伤害。[装甲型]：命中时使目标总抗性减少15%，持续5秒	1123
206014	20601	4	重能·核心Ⅳ	1061002	5	222604	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	黄球格挡敌人可以返还敌人消球数*1000%的伤害。[装甲型]：命中时使目标总抗性减少20%，持续5秒	1124
206021	20602	1	重能·超频一Ⅰ	1061002	2	222605	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	必杀后进入超算	1125
206022	20602	2	重能·超频一Ⅱ	1061002	3	222606	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	必杀后进入超算，并恢复1个黄球	1126
206023	20602	3	重能·超频一Ⅲ	1061002	4	222607	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	必杀后进入超算，并恢复2个黄球	1127
206024	20602	4	重能·超频一Ⅳ	1061002	5	222608	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	必杀后进入超算，并恢复3个黄球	1128
206031	20603	1	重能·超频二Ⅰ	1061002	2	222609	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	格挡成功时，额外恢复5点能量	1129
206032	20603	2	重能·超频二Ⅱ	1061002	3	222610	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	格挡成功时，额外恢复10点能量	1130
206033	20603	3	重能·超频二Ⅲ	1061002	4	222611	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	格挡成功时，额外恢复15点能量	1131
206034	20603	4	重能·超频二Ⅳ	1061002	5	222612	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	格挡成功时，额外恢复20点能量	1132
207011	20701	1	爆裂·核心Ⅰ	1071002	2	222701	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击的攻击伤害增加50%	1133
207012	20701	2	爆裂·核心Ⅱ	1071002	3	222702	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击的攻击伤害增加100%	1134
207013	20701	3	爆裂·核心Ⅲ	1071002	4	222703	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击的攻击伤害增加150%	1135
207014	20701	4	爆裂·核心Ⅳ	1071002	5	222704	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击的攻击伤害增加200%	1136
207021	20702	1	爆裂·超频一Ⅰ	1071002	2	222705	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	释放蓝球时，恢复5点能量	1137
207022	20702	2	爆裂·超频一Ⅱ	1071002	3	222706	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	释放蓝球时，恢复10点能量	1138
207023	20702	3	爆裂·超频一Ⅲ	1071002	4	222707	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	释放蓝球时，恢复15点能量	1139
207024	20702	4	爆裂·超频一Ⅳ	1071002	5	222708	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	释放蓝球时，恢复20点能量	1140
207031	20703	1	爆裂·超频二Ⅰ	1071002	2	222709	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击结束进入超算	1141
207032	20703	2	爆裂·超频二Ⅱ	1071002	3	222710	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击结束进入超算，并获得1个蓝球	1142
207033	20703	3	爆裂·超频二Ⅲ	1071002	4	222711	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击结束进入超算，并获得2个蓝球	1143
207034	20703	4	爆裂·超频二Ⅳ	1071002	5	222712	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	远程炮击结束进入超算，并获得3个蓝球	1144
208011	20801	1	夜刃·核心Ⅰ	1081002	2	222801	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	分身攻击伤害提升70%。释放必杀后可追加1次分身攻击	1145
208012	20801	2	夜刃·核心Ⅱ	1081002	3	222802	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	分身攻击伤害提升150%。释放必杀后可追加1次分身攻击	1146
208013	20801	3	夜刃·核心Ⅲ	1081002	4	222803	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	分身攻击伤害提升220%。释放必杀后可追加1次分身攻击	1147
208014	20801	4	夜刃·核心Ⅳ	1081002	5	222804	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	分身攻击伤害提升300%。释放必杀后可追加1次分身攻击	1148
208021	20802	1	夜刃·超频一Ⅰ	1081002	2	222805	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	必杀后进入超算	1149
208022	20802	2	夜刃·超频一Ⅱ	1081002	3	222806	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	必杀后进入超算，并恢复1个黄球	1150
208023	20802	3	夜刃·超频一Ⅲ	1081002	4	222807	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	必杀后进入超算，并恢复2个黄球	1151
208024	20802	4	夜刃·超频一Ⅳ	1081002	5	222808	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	必杀后进入超算，并恢复3个黄球	1152
208031	20803	1	夜刃·超频二Ⅰ	1081002	2	222809	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	三消后，额外获得5能量	1153
208032	20803	2	夜刃·超频二Ⅱ	1081002	3	222810	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	三消后，额外获得10能量	1154
208033	20803	3	夜刃·超频二Ⅲ	1081002	4	222811	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	三消后，额外获得15能量	1155
208034	20803	4	夜刃·超频二Ⅳ	1081002	5	222812	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	三消后，额外获得20能量	1156
209011	20901	1	黎明·核心Ⅰ	1021002	2	222901	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4S.png	必杀开启时在身边生成可以聚怪的巨大雷电区域，在该雷电区域内，黎明伤害提升50%	1157
