Id	GachaName	GachaName2	UiType	UiName	StageLineUiName	SceneModelId	RuleHint	PreviewShowCount	ItemNotEnoughSkipId	BaseRuleTitles	BaseRules
23	妄婪研发·限时03		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
24	妄婪研发·限时04		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
25	妄婪研发·限时05		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
26	妄婪研发·限时06		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
27	妄婪研发·限时07		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
28	妄婪研发·限时08		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
29	妄婪研发·限时09		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该限时研发的所有【特殊奖励】，可立即解锁下一个限时研发', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
30	妄婪研发·限时10		2	UiGachaCanLiverMain			<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['研发说明', '奖励类型', '类型概率', '20连保底1个特殊奖励', '过期返还']	['优先使用【妄婪常规研发券】，10回研发可同时使用两种研发券\\n获取该研发的所有【特殊奖励】，则该限时研发完毕', '奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：0.8%  普通奖励：99.2%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '活动结束后，未使用的【妄婪限时研发券】将会按照1:200转化为【基准角色研发券】']
31	拂晓长誓		2	UiGachaLuciaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·绯羽灼华\\n    70次：头像·拂晓长誓\\n    90次：头像框·拂晓长誓', '活动结束后，未使用的【永恒心誓】将会按照1:175转化为基准角色研发券']
32	赤樗椿		2	UiGachaAlphaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·灼魍\\n    70次：头像·赤樗椿\\n    90次：头像框·赤樗椿', '活动结束后，未使用的【散椿赤华】将会按照1:175转化为基准角色研发券']
33	茕心溯愿		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的【海鳞】将会按照1:175转化为基准角色研发券']
34	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的【覆雪繁花】将会按照1:175转化为基准角色研发券']
35	缘纺祈糸		2	UiGachaSelenaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·风花齐颂\\n    70次：头像·缘纺祈糸\\n    90次：头像框·缘纺祈糸', '活动结束后，未使用的【结铃守】将会按照1:175转化为基准角色研发券']
36	拂晓长誓		2	UiGachaLuciaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·绯羽灼华\\n    70次：头像·拂晓长誓\\n    90次：头像框·拂晓长誓', '活动结束后，未使用的【永恒心誓】将会按照1:175转化为基准角色研发券']
37	赤樗椿		2	UiGachaAlphaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·灼魍\\n    70次：头像·赤樗椿\\n    90次：头像框·赤樗椿', '活动结束后，未使用的【散椿赤华】将会按照1:175转化为基准角色研发券']
38	茕心溯愿		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的【海鳞】将会按照1:175转化为基准角色研发券']
39	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的【覆雪繁花】将会按照1:175转化为基准角色研发券']
40	旖夜咏奏		2	UiGachaBianka402Main	UiGachaBianka402StageLine	5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·星眠于绀昼\\n    70次：头像·旖夜咏奏\\n    90次：头像框·旖夜咏奏', '活动结束后，未使用的【夜愿浮生】将会按照1:175转化为基准角色研发券']
41	缘纺祈糸		2	UiGachaSelenaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·风花齐颂\\n    70次：头像·缘纺祈糸\\n    90次：头像框·缘纺祈糸', '活动结束后，未使用的【结铃守】将会按照1:175转化为基准角色研发券']
42	拂晓长誓		2	UiGachaLuciaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·绯羽灼华\\n    70次：头像·拂晓长誓\\n    90次：头像框·拂晓长誓', '活动结束后，未使用的【永恒心誓】将会按照1:175转化为基准角色研发券']
43	赤樗椿		2	UiGachaAlphaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·灼魍\\n    70次：头像·赤樗椿\\n    90次：头像框·赤樗椿', '活动结束后，未使用的【散椿赤华】将会按照1:175转化为基准角色研发券']
44	茕心溯愿		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的【海鳞】将会按照1:175转化为基准角色研发券']
45	拂晓长誓		2	UiGachaLuciaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·绯羽灼华\\n    70次：头像·拂晓长誓\\n    90次：头像框·拂晓长誓', '活动结束后，未使用的【永恒心誓】将会按照1:175转化为基准角色研发券']
46	赤樗椿		2	UiGachaAlphaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·灼魍\\n    70次：头像·赤樗椿\\n    90次：头像框·赤樗椿', '活动结束后，未使用的【散椿赤华】将会按照1:175转化为基准角色研发券']
47	茕心溯愿		2	UiGachaLamiyaMain		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·寥光缀忆\\n    70次：头像·茕心溯愿\\n    90次：头像框·茕心溯愿', '活动结束后，未使用的【海鳞】将会按照1:175转化为基准角色研发券']
48	拾梦白菀		2	UiEpicFashionGacha		5	<color=#FFFFFF><size=27>每20回研发必定获得1个</size></color>特殊奖励<color=#FFFFFF><size=27>（特殊奖励限量5个）</size></color>	6	20011	['奖励类型', '类型概率', '20连保底1个特殊奖励', '历程奖励', '过期返还']	['奖励类型分为【特殊奖励】和【普通奖励】，每次抽取将会通过概率决定抽到的奖励类型', '特殊奖励：1%  普通奖励：99%', '特殊奖励皆为限量物品，抽取完毕后将不可再次获得', '累计满足下列研发次数后，将可获得对应奖励——\\n    50次：武器涂装·誓时雪\\n    70次：头像·拾梦白菀\\n    90次：头像框·拾梦白菀', '活动结束后，未使用的【覆雪繁花】将会按照1:175转化为基准角色研发券']
