Id	Type	GroupId	TypeText	QualityText	UiAnim	UiResultAnim	DrawEffectGroupId	GachaEffectGroupId	DrawPictureGroupId
18	10	2	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
19	13	2	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
20	15	2	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[13, 13, 13, 13, 14, 15]	[7, 7, 7, 7, 8, 9]
21	1	3	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
22	2	3	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
23	3	3	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
24	4	3	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
25	7	3	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
26	8	3	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
27	9	3	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
28	10	3	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
29	13	3	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
30	15	3	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[25, 25, 25, 25, 26, 27]	[7, 7, 7, 7, 8, 9]
31	1	4	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
32	2	4	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
33	3	4	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
34	4	4	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
35	7	4	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
36	8	4	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
37	9	4	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
38	10	4	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
39	13	4	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
40	15	4	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[28, 28, 28, 28, 29, 30]	[7, 7, 7, 7, 8, 9]
41	1	5	道具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
42	2	5	成员	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>']	RoleShowBegan	RoleShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
43	3	5	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
44	4	5	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
45	7	5	成员涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	RoleShowBegan	RoleShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
46	8	5	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
47	9	5	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
48	10	5	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
49	13	5	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
50	15	5	辅助机	['<color=#d580ff>B级</color>', '<color=#ffd953>A级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>', '<color=#fa5826>S级</color>']	PartnerShowBegan	PartnerShowLoop		[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]
51	1	6	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
52	2	6	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
53	3	6	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
54	4	6	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
55	7	6	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
56	8	6	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
57	9	6	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
58	10	6	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
59	13	6	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
60	15	6	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[34, 34, 34, 34, 35, 36]	[7, 7, 7, 7, 8, 9]
61	1	7	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
62	2	7	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
63	3	7	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
64	4	7	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
65	7	7	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
66	8	7	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
67	9	7	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
68	10	7	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
69	13	7	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
70	15	7	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[37, 37, 37, 37, 38, 39]	[7, 7, 7, 7, 8, 9]
71	1	8	道具	['白色', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第二层特殊奖励</color>', '<color=#fa5826>第二层特殊奖励</color>']	PropShowBegan	PropShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
72	2	8	成员	['<color=#d580ff>B级</color>', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
73	3	8	武器	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
74	4	8	意识	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	AwakeShowBegan	AwakeShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
75	7	8	成员涂装	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>第一层特殊奖励</color>', '<color=#fa5826>第一层特殊奖励</color>']	RoleShowBegan	RoleShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
76	8	8	基地装备	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
77	9	8	家具	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
78	10	8	头像	['白色', '<color=#a2e39b>绿色</color>', '<color=#4dbdff>蓝色</color>', '<color=#d580ff>紫色</color>', '<color=#ffd953>橙色</color>', '<color=#fa5826>红色</color>']	PropShowBegan	PropShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
79	13	8	武器涂装	['★', '<color=#a2e39b>★★</color>', '<color=#4dbdff>★★★</color>', '<color=#d580ff>★★★★</color>', '<color=#ffd953>★★★★★</color>', '<color=#fa5826>★★★★★★</color>']	EquipShowBegan	EquipShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
80	15	8	场景	['★', '<color=#a2e39b>普通奖励</color>', '<color=#4dbdff>普通奖励</color>', '<color=#d580ff>普通奖励</color>', '<color=#ffd953>核心特殊奖励</color>', '<color=#fa5826>核心特殊奖励</color>']	PropShowBegan	PropShowLoop		[40, 40, 40, 40, 41, 42]	[7, 7, 7, 7, 8, 9]
