Id	CharacterId	SkillIds	AttrTypes	SaveTags	SupportDesc	ShowSkills	Score	BuildTags	AttrPacks	AttrPackNums	DlcAttrGroup
110	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 375, 2: 7800, 3: 80, 4: 310, 5: 310}			[82264014, 82261034]			[1]	[1]	1025
111	10	[82261014, 82261024, 82261034, 82261044, 82264014]	{1: 781, 2: 19500, 3: 80, 4: 430, 5: 430}			[82264014, 82261034]			[1]	[1]	1025
200	12	[82251011, 82251021, 82251031, 82251041, 82254011]	{1: 50, 2: 1620, 3: 80, 4: 200, 5: 200}			[82254011, 82251031]			[1, 2]	[1, 1]	1025
201	12	[82251012, 82251022, 82251032, 82251042, 82254012]	{1: 50, 2: 1620, 3: 80, 4: 200, 5: 200}			[82254012, 82251032]			[1]	[1]	1025
202	12	[82251013, 82251023, 82251033, 82251043, 82254013]	{1: 50, 2: 1620, 3: 80, 4: 200, 5: 200}			[82254013, 82251033]			[1, 2]	[1, 1]	1025
203	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 50, 2: 1620, 3: 80, 4: 200, 5: 200}			[82254014, 82251034]			[1, 2]	[1, 2]	1025
204	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 50, 2: 1620, 3: 80, 4: 200, 5: 200}			[82254014, 82251034]			[1, 2]	[1, 2]	1025
300	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 175, 2: 1800, 3: 80, 4: 210, 5: 210}						[1]	[1]	1025
301	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 250, 2: 5000, 3: 80, 4: 280, 5: 280}						[1, 2]	[1, 1]	1025
302	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 450, 2: 10000, 3: 80, 4: 400, 5: 400}						[1, 2]	[1, 2]	1025
303	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 225, 2: 3000, 3: 80, 4: 260, 5: 260}						[1]	[1]	1025
304	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 300, 2: 6000, 3: 80, 4: 310, 5: 310}						[1]	[1]	1025
305	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 625, 2: 15000, 3: 80, 4: 430, 5: 430}						[1]	[1]	1025
306	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 218, 2: 2340, 3: 80, 4: 210, 5: 210}						[1]	[1]	1025
307	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 312, 2: 6500, 3: 80, 4: 280, 5: 280}						[1, 2]	[1, 1]	1025
308	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 562, 2: 13000, 3: 80, 4: 400, 5: 400}						[1, 2]	[1, 2]	1025
309	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 281, 2: 3900, 3: 80, 4: 260, 5: 260}						[1]	[1]	1025
310	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 375, 2: 7800, 3: 80, 4: 310, 5: 310}						[1]	[1]	1025
311	12	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 781, 2: 19500, 3: 80, 4: 430, 5: 430}						[1]	[1]	1025
1000	100	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 281, 2: 3900, 3: 80, 4: 260, 5: 260}						[1]		1025
1001	13	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 281, 2: 3900, 3: 80, 4: 260, 5: 260}						[1]		1025
1002	13	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 375, 2: 7800, 3: 80, 4: 310, 5: 310}						[1]		1025
1003	13	[82251014, 82251024, 82251034, 82251044, 82254014]	{1: 375, 2: 7800, 3: 80, 4: 310, 5: 310}						[1]		1025
