Id	Name	Desc	Quality	GoodsNums	AppointGoodsTypes	ConditionId	ConditionValue	RewardTypes	RewardIds	CharacterId	IsOutPool
1602	无面的来客		3			3	80	[5]	[3]		1
1603	污浊之墨		3	[35, 35]	[0, 0]			[5]	[101]		1
1604	倒悬的日痕		3	[60]	[0]			[4, 3]	[201, 10]		1
1605	碎裂乐谱		4	[40, 65]	[0, 0]			[3]	[100]		1
1606	微笑的瓷偶		4	[90]	[0]			[4, 3]	[201, 30]		1
1607	腐坏苔痕		4			4	100	[5]	[4]		1
1608	无眸的凝视		4			4	100	[5]	[101]		1
1700	蒙尘的镜面		4	[75]	[0]			[4, 3]	[201, 10]		1
1701	诡异纹章		5	[50, 80]	[0, 0]			[3]	[100]		1
1702	空阁私语		5				135	[4, 3]	[201, 30]		1
1703	地下异响		5				135	[5]	[5]		1
1704	荒墟孤灯		5	[55, 55]	[0, 0]			[5]	[101]		1
1705	旧宅遗迹		5	[90]	[0]			[4, 3]	[201, 10]		1
1706	迷径歧路		1	[1]	[0]			[5]	[1]		1
1707	垂暮的预言者		1	[1]	[0]			[4, 3]	[1, 10]		1
1708	墓园的深处		1	[1]	[0]			[3]	[20]		1
1709	废弃的神龛		4	[75]	[0]			[4, 3]	[201, 10]		1
1710	林间幽径		5	[50, 80]	[0, 0]			[3]	[100]		1
1711	破碎的石棺		5				135	[4, 3]	[201, 30]		1
1800	雾港残灯		5				135	[5]	[5]		1
1801	理智的边缘		5	[55, 55]	[0, 0]			[5]	[101]		1
1802	锈蚀宝冠		5	[90]	[0]			[4, 3]	[201, 10]		1
1803	禁忌的挽歌		1	[1]	[0]			[5]	[1]		1
1804	梦魇于夜织网		1	[1]	[0]			[4, 3]	[1, 10]		1
1805	消散的灰烬		1	[1]	[0]			[3]	[20]		1
1806	游走之影		4	[75]	[0]			[4, 3]	[201, 10]		1
1807	虚径的溯源		5	[50, 80]	[0, 0]			[3]	[100]		1
1808	晦迹追踪		5				135	[4, 3]	[201, 30]		1
1809	壁炉上的暗号		5				135	[5]	[5]		1
1810	朽页中的往事		5	[55, 55]	[0, 0]			[5]	[101]		1
1811	崩解时序		5	[90]	[0]			[4, 3]	[201, 10]		1
2001	placeholder_鲜血结盟		1	[60, 60]	[0, 0]			[3, 5]	[20, 1]		1
2002	placeholder_阻断献祭		1	[60, 60]	[0, 0]			[3, 5]	[20, 1]		1
2003	placeholder_雾中寻踪		2	[60, 60]	[0, 0]			[3, 5]	[30, 2]		1
2004	placeholder_捣毁祭坛		2	[60, 60]	[0, 0]			[3, 5]	[30, 2]		1
2005	placeholder_追捕异端		3	[60, 60]	[0, 0]			[3, 5]	[40, 3]		1
2006	placeholder_直视深渊		3	[60, 60]	[0, 0]			[3, 5]	[40, 3]		1
