Id	EasyMonsterId	EasyDescs	EasyRewardTypes	EasyRewardIds	HardMonsterId	HardDescs	HardRewardTypes	HardRewardIds	DefeatGetTypes	DefeatGetValues	LevelId
1010	104	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	110	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1011	104	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	110	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1012	304	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	310	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1013	304	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	310	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1020	105	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	111	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1021	105	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	111	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1022	305	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	311	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1023	305	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	311	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1100	103	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	109	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1110	104	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	110	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1120	105	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	111	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1200	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1210	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1220	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
1300	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 30}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 40}	[6, 5]	[-1, 4]	
1310	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 40}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 50}	[6, 5]	[-1, 4]	
1320	203	['placeholder_这是简单Boss']	[5, 3]	{1: 4, 2: 50}	204	['placeholder_这是困难Boss']	[5, 3]	{1: 4, 2: 60}	[6, 5]	[-1, 4]	
2000	300	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 10}	106						
2002	300	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 10}	106						
2010	301	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	107						
2012	301	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	107						
2020	302	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 35}	108						
2022	302	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 35}	108						
2100	100	['placeholder_这是简单Boss']	[5, 3]	{1: 1, 2: 10}	100						
2110	101	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 25}	101						
2120	102	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 35}	102						
2200	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
2210	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
2220	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
2300	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
2310	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
2320	203	['placeholder_这是简单Boss']	[5, 3]	{1: 2, 2: 20}	204						
10000	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10010	200	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	200	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10100	1	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	200	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10200	101	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	200	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10210	201	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	201	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10300	102	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	102	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10310	202	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	202	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10400	1000	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10410	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10500	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10510	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10600	100	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
10610	1001	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	1002	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}	[4, 3]	[2000, 10]	
10700	1003	['placeholder_这是简单小怪']	[5, 3]	{1: 1, 2: 10}					[4, 3]	[2000, 10]	
