Id	Name	Desc	DescParams	Icon	BuffTriggerType	BuffTriggerParams	BuffEffectType	BuffEffectParams	MaxNum	Quailty	Priority	DurationType	DurationValues	DeathType	IsCount	IsNotShow	DebuffType	Limit	CanStack
31	placeholder_Buff31	placeholder_本次二择内，每次右滑获得1个【材料2】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	1	[2, 1]				3	[1]	2			1	1	
32	placeholder_Buff32	placeholder_本次二择内，每次右滑获得1个【材料3】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	1	[3, 1]				3	[1]	2			1	1	
33	placeholder_Buff33	placeholder_本次二择内，每次右滑获得1个【材料4】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	1	[4, 1]				3	[1]	2			1	1	
34	placeholder_Buff34	placeholder_本次二择内，每次右滑获得1个【材料5】		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	1	[4, 1]				3	[1]	2			1	1	
35	placeholder_Buff35	placeholder_【材料1】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 1, 1]	9	[100]				1		1			1	1	
36	placeholder_Buff36	placeholder_【材料2】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 2, 1]	9	[100]				1		1			1	1	
37	placeholder_Buff37	placeholder_【材料3】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 3, 1]	9	[100]				1		1			1	1	
38	placeholder_Buff38	placeholder_【材料4】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 4, 1]	9	[100]				1		1			1	1	
39	placeholder_Buff39	placeholder_【材料5】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 5, 1]	9	[100]				1		1			1	1	
40	placeholder_Buff40	placeholder_【任意材料】的获取量提升10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[1, 0, 1]	9	[100]				1		2			1	1	
41	placeholder_Buff41	placeholder_本层中，每次获得5个【材料1】，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 1]	7	[2, 1]				6	[1]	2	1		1	1	
42	placeholder_Buff42	placeholder_本层中，每次获得5个【材料2】，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 2]	7	[2, 1]				6	[1]	2	1		1	1	
43	placeholder_Buff43	placeholder_本层中，每次获得5个【材料3】，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 3]	7	[2, 1]				6	[1]	2	1		1	1	
44	placeholder_Buff44	placeholder_本层中，每次获得5个【材料4】，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 4]	7	[2, 1]				6	[1]	2	1		1	1	
45	placeholder_Buff45	placeholder_本层中，每次获得5个【材料5】，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 5]	7	[2, 1]				6	[1]	2	1		1	1	
46	placeholder_Buff46	placeholder_每次获得5个【材料1】，提升1点生命值，最大不超过100点		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 1]	7	[2, 1]				7	[100]	2	1		1	1	
47	placeholder_Buff47	placeholder_每次获得5个【材料2】，提升1点生命值，最大不超过100点		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 2]	7	[2, 1]				7	[100]	2	1		1	1	
48	placeholder_Buff48	placeholder_每次获得5个【材料3】，提升1点生命值，最大不超过100点		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 3]	7	[2, 1]				7	[100]	2	1		1	1	
49	placeholder_Buff49	placeholder_每次获得5个【材料4】，提升1点生命值，最大不超过100点		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 4]	7	[2, 1]				7	[100]	2	1		1	1	
50	placeholder_Buff50	placeholder_每次获得5个【材料5】，提升1点生命值，最大不超过100点		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	2	[1, 5]	7	[2, 1]				7	[100]	2	1		1	1	
51	placeholder_Buff51	placeholder_本层内，每次完成任务，额外获得10金币		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	11		3	[10]				6	[1]	2	1		1	1	
52	placeholder_Buff52	placeholder_获得20点San值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		2	[1, 20]				5		2			1	1	
53	placeholder_Buff53	placeholder_获得1次技能升级机会		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		12	[1, 1]				5		2			1	1	
54	placeholder_Buff54	placeholder_每次进入新的房间，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	8	[0]	7	[1, 1]				1		2	1		1	1	
55	placeholder_Buff55	placeholder_获得1点心心		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		6	[1]				5		2			1	1	
56	placeholder_Buff56	placeholder_进入新的楼层时，获得1次技能升级机会		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	9		12	[1, 1]				1		2			1	1	
57	placeholder_Buff57	placeholder_生命值获取效率+10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		18	[2, 100]				1		1			1	1	
58	placeholder_Buff58	placeholder_攻击力获取效率+10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		18	[1, 100]				1		1			1	1	
59	placeholder_Buff59	placeholder_超算获取效率+10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		18	[5, 100]				1		1			1	1	
60	placeholder_Buff60	placeholder_体力获取效率+10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		18	[3, 100]				1		1			1	1	
61	placeholder_Buff61	placeholder_拼刀获取效率+10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		18	[4, 100]				1		1			1	1	
62	placeholder_Buff62	placeholder_当前生命值-10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				1		1			2	1	
63	placeholder_Buff63	placeholder_当前攻击力-10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				1		1			2	1	
64	placeholder_Buff64	placeholder_当前超算-10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				1		1			2	1	
65	placeholder_Buff65	placeholder_当前体力-10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				1		1			2	1	
66	placeholder_Buff66	placeholder_当前拼刀-10%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		1	[1, 1]				1		1			2	1	
67	placeholder_Buff67	placeholder_本次二择内，每次滑动减少10的San值，【所有材料】的获取量提升20%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[3, 1]	4	[1001, 1002]				3	[1]	2			1	1	
68	placeholder_Buff68	placeholder_本层二择中，滑动方向与上次相同时，提升1点生命值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	7	[2, 1]				6	[1]	2	1		1	1	
69	placeholder_Buff69	placeholder_本层二择中，滑动方向与上次相同时，提升1点攻击力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	7	[1, 1]				6	[1]	2	1		1	1	
70	placeholder_Buff70	placeholder_本层二择中，滑动方向与上次相同时，提升1点超算		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	7	[5, 1]				6	[1]	2	1		1	1	
71	placeholder_Buff71	placeholder_本层二择中，滑动方向与上次相同时，提升1点体力		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	7	[3, 1]				6	[1]	2	1		1	1	
72	placeholder_Buff72	placeholder_本层二择中，滑动方向与上次相同时，提升1点拼刀		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[2, 1]	7	[4, 1]				6	[1]	2	1		1	1	
73	placeholder_Buff73	placeholder_战斗胜利时，获得10金币		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		3	[10]				1		2	1		1	1	
74	placeholder_Buff74	placeholder_获得遗物时，额外获得5金币		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	10		3	[5]				1		2	1		1	1	
75	placeholder_Buff75	placeholder_技能升级时，额外获得5金币		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	5		3	[5]				1		2	1		1	1	
76	placeholder_Buff76	placeholder_任务中，【材料1】出现概率增加		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		19	[1, 100]				1		1			1	1	
77	placeholder_Buff77	placeholder_任务中，【材料2】出现概率增加		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		19	[2, 100]				1		1			1	1	
78	placeholder_Buff78	placeholder_任务中，【材料3】出现概率增加		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		19	[3, 100]				1		1			1	1	
79	placeholder_Buff79	placeholder_任务中，【材料4】出现概率增加		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		19	[4, 100]				1		1			1	1	
80	placeholder_Buff80	placeholder_任务中，【材料5】出现概率增加		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		19	[1, 100]				1		1			1	1	
101	placeholder_Buff67_1	placeholder_本次二择内，每次滑动减少10的San值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[3, 1]	2	[1, -10]				3	[1]	2		1	1	1	
102	placeholder_Buff67_2	placeholder_本次二择内，【所有材料】的获取量提升20%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	3	[2, 0, 1]	9	[2000]				3	[1]	2		1	1	1	
1001	呓语I	进入战斗时，生命值-15%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		8	[1025195]				8		1			2	1	
1002	呓语II	进入战斗时，生命值-30%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		8	[1025196]				8		1			2	1	
1003	呓语III	进入战斗时，生命值-45%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		8	[1025197]				8		1			2	1	
1004	呓语IV	进入战斗时，生命值-60%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		8	[1025198]				8		1			2	1	
1005	呓语V	进入战斗时，生命值-50%		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		8	[1025199]				8		1			2	1	
1006	呓语VI	placeholder_降低1点健康，并恢复70San值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		6	[-1]				8		1		1	2	1	
1007	呓语缠身	placeholder_降低1点健康，并恢复70San值		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		2	[1, 70]				8		1		1	2	1	
1008	理智正常	一切看上去都很正常，不是吗？		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	7		2	[1, 0]				8		1		1	2	1	
1010	placeholder_正常				7		11	[1]				8		1		1	2	1	
1011	placeholder_小异常				7		11	[2]				8		1		1	2	1	
1012	placeholder_大异常				7		11	[3]				8		1		1	2	1	
2000	placeholder_关卡成长	placeholder_每次滑动增加2点攻击与24点生命		Assets/Product/Texture/Image/UiCollection/Iconcollection024.png	1	[3, 1]	7	[1, 2, 2, 24]				1		2		1	1	1	
3001	placeholder_Buff1	placeholder_材料获取量提升20%，每次左滑扣除5点San值		Assets/Product/Texture/Image/IconToolsSp/BabelReward4Sp.png	3	[2, 0, 1]	9	[200]				1		1			1	99	
3002	placeholder_Buff1	placeholder_材料获取量提升20%，每次左滑扣除5点San值			1	[1, 1]	2	[1, -5]				1		1		1	1	99	
10001	placeholder_剧情用	placeholder_										3	[1]	1		1		1	
10002	placeholder_剧情用	placeholder_										3	[1]	1		1		1	
10003	placeholder_剧情用	placeholder_										3	[1]	1		1		1	
10004	placeholder_剧情用	placeholder_										3	[1]	1		1		1	
1025201					7		8	[1025201]				1		1		1		99	
1025203					7		8	[1025203]				1		1		1		99	
1025205					7		8	[1025205]				1		1		1		99	
1025207					7		8	[1025207]				1		1		1		99	
1025209					7		8	[1025209]				1		1		1		99	
1025211					7		8	[1025211]				1		1		1		99	
1025213					7		8	[1025213]				1		1		1		99	
1025215					7		8	[1025215]				1		1		1		99	
1025217					7		8	[1025217]				1		1		1		99	
1025219					7		8	[1025219]				1		1		1		99	
1025221					7		8	[1025221]				1		1		1		99	
1025223					7		8	[1025223]				1		1		1		99	
1025225					7		8	[1025225]				1		1		1		99	
1025227					7		8	[1025227]				1		1		1		99	
1025301					7		8	[1025301]				1		1		1		99	
1025303					7		8	[1025303]				1		1		1		99	
1025305					7		8	[1025305]				1		1		1		99	
1025307					7		8	[1025307]				1		1		1		99	
1025309					7		8	[1025309]				1		1		1		99	
1025311					7		8	[1025311]				1		1		1		99	
1025313					7		8	[1025313]				1		1		1		99	
1025315					7		8	[1025315]				1		1		1		99	
1025401					7		8	[1025401]				1		1		1		99	
1025403					7		8	[1025403]				1		1		1		99	
1025405					7		8	[1025405]				1		1		1		99	
1025407					7		8	[1025407]				1		1		1		99	
1025409					7		8	[1025409]				1		1		1		99	
1025411					7		8	[1025411]				1		1		1		99	
1025413					7		8	[1025413]				1		1		1		99	
1025415					7		8	[1025415]				1		1		1		99	
