Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes	LeftRewardTypeIds	LeftRewardMinNums	LeftRewardMaxNums	RightDesc	RightRewardTypes	RightRewardTypeIds	RightRewardMinNums	RightRewardMaxNums	ChooseLine	LineNum	NeedBuffs	Bg	IsOutNormalPool
42	placeholder_疯癫的富商撕碎了遗嘱，把几枚沾血的金币和一把带触手的钥匙塞进你手里。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_仔细端详	[2, 3, 1]	{1: 1, 3: 4}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}	placeholder_拼凑遗嘱	[2]	{1: 1}	[0]						True
43	教堂中的神像出现了巨大的裂痕，在裂隙中，隐约可见一卷羊皮卷，和一些生锈的钱币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	阅读羊皮卷	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	捡走钱币	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
44	placeholder_码头走私犯愿意用一笔钱买你手里的旧档案，他的眼睛在雾中闪烁着绿光。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_收下买路钱	[2, 3, 1]	{1: 1, 3: 3}	[-10, 5, 5]	{1: -5, 3: 10}	placeholder_直接逮捕	[2, 1]	{1: 1, 2: 4}	[0, 5]	{2: 10}					True
45	废弃歌剧院的售票处，一个没有被拿走的钱箱依旧紧锁，但其中却散发出刺鼻的气味。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	强行撬开钱箱	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	仔细分辨气味	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
46	placeholder_盲眼老妇在浓雾中叫卖所谓护身符，那是几枚刻着诡异眼球图案的古金币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_仔细观察眼球	[2, 3, 1]	{1: 1, 3: 1}	[-15, 5, 5]	{1: -10, 2: 5, 3: 10}	placeholder_购买护身符	[2, 1]	{1: 1, 2: 2}	[0, 5]	{2: 10}					True
47	黑市上，盗墓贼正在兜售还沾有新鲜泥土的古老金币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	出言询问	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	买下金币	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
48	空无一人的精神病院里，散落的众多病历上血迹斑斑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	捡起沾血的病历	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	转身离开	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
49	一位神秘学者的遗产被拍卖，你以极低的价格拍到了他收藏的古旧钱币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	清点钱币数量	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	研究钱币纹理	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
50	废弃庄园的枯井里发出古怪的微光，在打捞上来的杂物里，你看到了金属的点点微光。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	触碰金属	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	保持谨慎	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}					
51	placeholder_雾中，那名变异的水手眼泛红光，拔出了骨质的匕首。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拔枪迎战	[7]	{1: 1000}	[1]		placeholder_躲进垃圾桶	[2, 1]	{1: 1, 2: 4}	[-10, 5]	{1: -5, 2: 10}					True
52	废弃钟楼的阴影中，一群人围在一起，低头闭目，进行着无言的祈祷。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	伪装身份加入祈祷	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	打断这场怪异的祈祷	[7]	{1: 1000}	[1]						
53	停尸房的铁门忽然缓缓洞开，一个裹着白布的躯体向你缓缓靠近。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	举起手枪	[7]	{1: 1000}	[1]		请牧师前来祈祷	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
54	在寂静的街角，高大的道旁树的枝条被风吹动，在地面上投下斑驳的阴影，如同鬼魅起舞。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	静静凝视枝影	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	试图折断枝条	[7]	{1: 1000}	[1]						
55	placeholder_黑市商贩面容扭曲，皮肤崩裂露出青色鳞片与獠牙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_抄起铁棍砸头	[7]	{1: 1000}	[1]		placeholder_趁乱拿走商品	[2, 3]	{1: 1}	[-15, 5]	{1: -10, 2: 10}					True
56	歌剧院的舞台帷幕后，忽然传来令人牙酸的声音，一个巨大的道具人偶正缓缓爬出。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	顺着通道撤退	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	向人偶发起攻击	[7]	{1: 1000}	[1]						
57	房间墙上的藤蔓浮雕出现了细微的裂痕，似乎它们曾经“生长”过。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	靠近观察	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	敲碎浮雕	[7]	{1: 1000}	[1]						
58	精神病院里，穿着束缚衣的患者用背部着地，四肢以不可思议的角度在走廊里爬行。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	准备攻击	[7]	{1: 1000}	[1]		侧身闪避	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
59	废弃的花园里，饥饿的猎犬发出哭泣般的声音。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	喝杯热茶压惊	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	拔枪戒备	[7]	{1: 1000}	[1]						
60	placeholder_玻璃展柜骤然碎裂，一具缠满绷带的干尸张开长满獠牙的大嘴，直直朝你的咽喉扑咬过来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_将火把塞入干尸嘴里	[7]	{1: 1000}	[1]		placeholder_记录干尸状况	[2]	{1: 1}	[-15]	{1: -10}					True
61	迷雾中的街道上，出现了一串带血的脚印，而脚印消失的地方，只有一件染血的外套。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细检查口袋	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	转身离开	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
62	一位失踪已久的海员的房间里，留下的日记本里夹着一张被剪去人物面部的照片。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	阅读日记	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	查看照片	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
63	placeholder_走私船长的鹦鹉不断重复着一个坐标，鸟笼底部垫着奇怪的羊皮纸。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_记录坐标	[2, 4]	{1: 1, 2: 105}	[0, 1]		placeholder_扯出羊皮纸	[2]	{1: 1}	[-10]	{1: -5}					True
64	剧院蒙尘的化妆镜上，残留着用口红写下的古怪字迹。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	擦去字迹	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	抄录字迹	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
65	站在码头上，远远看着不远处的灯塔闪动着，似乎在传递某种奇特的密码。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	破译灯光密码	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	静静看着灯光	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
66	已经荒废无人的精神病院里留下了一张残破的剪报，上面记载着多年前病人集体脱逃的新闻。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	翻找更多的剪报	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	仔细阅读剪报	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
