Id	Name	Description	Icon	Level
70046	物理强化	物理伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	2
70047	反应装甲	构造体的额外伤害减免提升30%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	2
70048	战术切换	每次切换出场都会获得额外4个信号球。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2
70049	生命恢复	辅助型泛用机体的治疗效果增加50%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	2
70050	机动升级	闪避槽上限增加700	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	2
70051	反伤	每次受到＞300点伤害都会对伤害来源造成攻击力的600%的伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	2
70052	辅助强化	辅助型泛用机体攻击力增加80%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	2
70053	元素强化	元素伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	2
70054	进攻强化	进攻型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	2
70055	机械学习	每次成功闪避会降低目标20%的防御，最多可叠加3层	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	2
70056	强袭型辅助	辅助型泛用机体造成的伤害增加100%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon010.png	2
70057	反伤	每次受到＞300点伤害都会对伤害来源造成攻击力的600%的伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	2
70058	进攻强化	进攻型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	2
70059	元素强化	元素伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	2
70060	物理强化	物理伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	2
70061	机动升级	闪避槽上限增加700	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	2
70062	算力优势	进入超算空间时，以角色为中心直径6米释放一次冲击波，造成1200%物理伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon022.png	2
70063	战术破敌	怪物的霸体值降低50%。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	2
70064	破盾	每次打破霸体，都会眩晕目标4秒。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	2
70065	怒袭	暴击几率增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	2
70066	进攻强化	进攻型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	2
70067	装甲强化	装甲型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2
70068	辅助强化	辅助型泛用机体攻击力增加80%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	2
70069	元素强化	元素伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	2
70070	整备	初始能量100点	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon024.png	2
70071	机动升级	闪避槽上限增加700	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	2
70072	怒击	暴击伤害增加50%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	2
70073	汲取	进攻型泛用机体每次造成伤害都会为后台未上场的角色恢复自身20%攻击力的生命值	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	2
70074	进攻强化	进攻型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	2
70075	能源回收	单消/双消/三消时额外获得2/3/4点能量。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	2
70076	电磁振荡	额外伤害加成增加48%，并且释放必杀技能后会获得10秒的霸体效果。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	2
70077	元素强化	元素伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	2
70078	物理强化	物理伤害增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	2
70079	固守阵地	释放必杀后构造体会免疫受击，并且免伤效果增加45%，持续10秒。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	2
70080	信号增强	每消除1个球可使自身额外伤害加成提升6%，持续5秒，可叠加5层。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	2
