Id	Type	Quality	Name	Desc	Value	Icon	CanDelete	CanDie	Priority	SkillId	Tag	ValueUponDeletion	BondId	CanUseForBond	DefaultLevel	CanUpgrade	CanBeEliminated	TriggerState	StateConditionId	StateSkillId
35	2	2	枪	['言语无法解决的争端，它可终结。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess005.png	1		10		['4']		4	4	1	1		[1]		
36	2	2	重拳出击	['钢铁拳头，钢铁意志，钢铁统彻。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
37	2	2	机械臂	['适配性100%to勇士。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
38	2	3	战靴	['仿佛被错误归类的“熊掌”？']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
39	2	3	弦剑	['战力不详，艺术协会造物。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
40	2	3	龙游	['沉眠之物，何时才会展露锋芒？']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
41	2	3	核子熔断	['空中花园顶级危险浪漫之作。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
42	2	4	神之钥	['小心，不要被它反控。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
43	2	4	代号:终焉	['终末之月，寂寥，疯狂，永滞……']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
44	2	4	终极解释	['镰刃，也是死神收割生命的器物。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess006.png	1		10		['4']		4	4	1	1		[1]		
45	2	5	绯刃	['落樱时，绯雾涟漪吹波漾。']	8	Assets/Product/Texture/Image/UiLuckyTenant/Chess007.png	1		10		['4']		4	4	1	1		[1]		
46	2	5	空悬之莲	['浮光流转，皆若空游。']	8	Assets/Product/Texture/Image/UiLuckyTenant/Chess007.png	1		10		['4']		4	4	1	1		[1]		
47	4	2	盲盒a型	['普通盲盒，微型赌局。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['1']	1	5	5			1	[1]		[506, 508]
48	4	2	盲盒b型	['借力一个梦想。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['1']	1	5	5			1	[1]		[506, 508]
49	4	2	盲盒c型	['上限有限的盒子。']	1	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['1']	1	5	5			1	[1]		[506, 508]
50	4	3	盲盒d型	['正经盲盒。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['2']	2	5	5			1	[1]		[506, 508]
51	4	3	盲盒e型	['不正经盲盒。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['2']	2	5	5			1	[1]		[506, 508]
52	4	3	盲盒f型	['盲盒有危险，投资蓄谨慎。']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['2']	2	5	5			1	[1]		[506, 508]
53	4	3	盲盒g型	['硬盘改装盲盒？']	2	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['2']	2	5	5			1	[1]		[506, 508]
54	4	4	中型盲盒·白虎	['一旦盲盒有了名字，必然很贵。']	5	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['3']	3	5	5			1	[1]		[506, 508]
55	4	4	中型盲盒·猎豹	['记住，它只是一个盲盒。']	3	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['5']	5	5	5			1	[1]		[506, 508]
56	4	4	中型盲盒·斑虎	['非必要收藏品。']	4	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['4']	4	5	5			1	[1]		[506, 508]
57	4	5	大盲盒·黄霓	['此时不入，等待何时？']	7	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['9']	9	5	5			1	[1]		[506, 508]
58	4	5	大盲盒·紫露	['遗世独立之盒。']	9	Assets/Product/Texture/Image/UiLuckyTenant/Chess049.png	1	1	10		['7']	7	5	5			1	[1]		[506, 508]
59	5	5	红雾	['高危！勿要轻易探究。']	12	Assets/Product/Texture/Image/UiLuckyTenant/Chess016.png	1		10				6	1						
