SkillLevelId	Name	Title	SpecificDesLite	UiType
10452113	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452114	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452115	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452116	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452117	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452118	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452119	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452120	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452121	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452122	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452123	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452124	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
10452125	形态切换	{1: '暮形态', 2: '晖形态'}	{1: '处于暮形态时，只能使用红色或蓝色信号球。\\n-点击核心被动条可切换形态', 2: '处于晖形态时，只能使用黄色或蓝色信号球。\\n-点击核心被动条可切换形态'}	1
13932101	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932102	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932103	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932104	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932105	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932106	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932107	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932108	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932109	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932110	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932111	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932112	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932113	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932114	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932115	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932116	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932117	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932118	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932119	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932120	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932121	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932122	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932123	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932124	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
13932125	摩利甘战斗语音开关	{1: '开启', 2: '关闭'}	{1: '战斗内会播放摩利甘战斗语音', 2: '战斗内不播放摩利甘战斗语音'}	2
10642101	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642102	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642103	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642104	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642105	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642106	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642107	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642108	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642109	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642110	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642111	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642112	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642113	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642114	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642115	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642116	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642117	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642118	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642119	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642120	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642121	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642122	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642123	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642124	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
10642125	信号球排列切换	{1: '排列方式一', 2: '排列方式二'}	{1: '红蓝信号球正常排列', 2: '红蓝信号球显示在固定位置，并显示信号球数量'}	2
