Id	ConsumeTicket	GridName	ConditionDesc	FeatureTitle	FeatureDesc
30161016	1	16	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>暴走</color>。']
30161051	1	01	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>畏红、畏黄、畏蓝</color>。']
30161052	1	02	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>不动</color>。']
30161053	1	03	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>祝福、统领</color>。']
30161054	1	04	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>刚体、电盾</color>。', '己方<color=#0e70bd>连击数每达到30下</color>，获得3颗同色信号球。']
30161055	1	05	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>2波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射、闪现；暴走</color>。', '己方<color=#0e70bd>受到的治疗量降低50%</color>。']
30161056	1	06	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>炸弹、迅捷</color>。']
30161057	1	07	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>2波</color>敌人。', '敌人携带词缀<color=#0e70bd>闭环、波动；闭环</color>。']
30161058	1	08	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>暴走、不动、闭环</color>。']
30161059	1	09	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>复苏、不动</color>。', '己方<color=#0e70bd>受到的治疗量降低50%</color>。']
30161060	1	10	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>护盾、独狼</color>。']
30161061	1	11	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>2波</color>敌人。', '敌人携带词缀<color=#0e70bd>弱攻、刚体；强攻、虚弱</color>。', '己方<color=#0e70bd>连击达到40/60/80时</color>获得伤害加成<color=#0e70bd>5%/10%/15%</color>。']
30161062	1	12	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>黑洞、电盾、刚体</color>。', '己方<color=#0e70bd>受到的治疗量降低50%</color>。']
30161063	1	13	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>辐射、闭环</color>。']
30161064	1	14	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>1波</color>敌人。', '敌人携带词缀<color=#0e70bd>独狼、埋雷</color>。', '己方<color=#0e70bd>受到的治疗量降低50%</color>。']
30161065	1	15	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀']	['一共有<color=#0e70bd>2波</color>敌人。', '敌人携带词缀<color=#0e70bd>祝福、炸弹；电盾、炸弹</color>。']
30161066	1	16	通过关卡，并且尽可能的达成星级条件。	['敌人波数', '敌人词缀', '关卡机制']	['一共有<color=#0e70bd>2波</color>敌人。', '敌人携带词缀<color=#0e70bd>不动；暴走、复苏</color>。', '己方<color=#0e70bd>连击达到40/60/80时</color>获得伤害加成<color=#0e70bd>5%/10%/15%</color>。']
