Id	ActivityId	Name	CostItemId	CostItemCount	IsFree	RewardId	Icon	BuyDesc	BuyDescCloudGame
14	5	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
15	5	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※权杖涂装<color=#0E70BD>除旧唤春</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
16	6	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
17	6	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
18	6	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※独域·链刃涂装<color=#0E70BD>絮蓝悠梦</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
19	7	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
20	7	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>逆元碎片-仰光</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
21	7	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※旗枪涂装<color=#0E70BD>闪耀旗帜</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>逆元碎片-仰光</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
22	8	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
23	8	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>逆元碎片-仰光</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
24	8	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※独域·大剑涂装<color=#0E70BD>龙争竞</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>逆元碎片-仰光</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
25	9	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
26	9	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>逆元碎片-仰光</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
27	9	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※枪械组涂装<color=#0E70BD>激浪MK.81改装版</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>逆元碎片-仰光</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
28	10	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
29	10	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
30	10	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※增幅器涂装<color=#0E70BD>云阙清辉</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
31	11	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
32	11	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
33	11	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※弓涂装<color=#0E70BD>旭日与希望之愿</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
34	12	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
35	12	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
36	12	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※复合兵装涂装<color=#0E70BD>悲怆奇迹</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
37	13	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
38	13	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
39	13	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※短刀涂装<color=#0E70BD>天坼玄溪</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
40	14	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
41	14	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
42	14	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※镰刀涂装<color=#0E70BD>荧尘敛愿</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
43	15	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n    ※<color=#0E70BD>贸易凭据</color>\n  ※装备及辅助机强化素材	
44	15	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n    ※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n  ※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
45	15	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※拳套涂装<color=#0E70BD>天地一掷</color>\n    ※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n  ※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
46	16	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
47	16	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
48	16	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※双枪涂装<color=#0E70BD>碧海狂鲨</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
49	17	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
50	17	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
51	17	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※火炮涂装<color=#0E70BD>永夏激浪</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
52	18	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
53	18	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
54	18	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	<color=#FFFFFF>※释能剑涂装</color><color=#F7D284>折纸鸥歌</color>\n<color=#FFFFFF>※累计获得</color><color=#F7D284>活动角色研发券×2500</color>\n<color=#FFFFFF>※</color><color=#F7D284>S级角色碎片自选</color><color=#FFFFFF>及大量</color><color=#F7D284>贸易凭据</color>\n<color=#FFFFFF>※购买后即送</color><color=#F7D284>10</color><color=#FFFFFF>级评定等级</color>	
55	19	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
56	19	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
57	19	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※螳螂刃涂装<color=#0E70BD>白羽幻梦</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
58	20	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
59	20	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
60	20	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※枪盾涂装<color=#0E70BD>耀言誓约</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
61	21	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
62	21	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
63	21	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※机械臂涂装<color=#0E70BD>星龙拳</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
64	22	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
65	22	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
66	22	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※战术耳机涂装<color=#0E70BD>不羁制造者</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
67	23	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
68	23	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
69	23	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※折扇涂装<color=#0E70BD>青弦</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
70	24	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
71	24	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
72	24	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※螳螂刃涂装<color=#0E70BD>湛澈翩跹</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
73	25	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
74	25	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
75	25	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※战术旋棍涂装<color=#0E70BD>安全义务</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
76	26	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
77	26	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
78	26	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※左轮手枪涂装<color=#0E70BD>玄鸱</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
79	27	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※6星意识碎片\n※<color=#0E70BD>贸易凭据</color>\n※装备及辅助机强化素材	
80	27	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※累计获得<color=#0E70BD>辅助机研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及辅助机突破材料\n※大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
81	27	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※战术耳机涂装<color=#0E70BD>澎浪合成器</color>\n※累计获得<color=#0E70BD>活动角色研发券×2500</color>\n※<color=#0E70BD>S级角色碎片自选</color>及大量<color=#0E70BD>贸易凭据</color>\n※购买后即送<color=#0E70BD>10</color>级评定等级	
82	28	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	<color=#000000>※6星意识碎片\n※</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※装备及辅助机强化素材</color>	
83	28	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	<color=#000000>※累计获得</color><color=#0E70BD>辅助机研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及辅助机突破材料\n※大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
84	28	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※动力臂组涂装<color=#51C5FF>诡蜮赤魇</color>\n※累计获得<color=#51C5FF>活动角色研发券×2500</color>\n※<color=#51C5FF>S级角色碎片自选</color>及大量<color=#51C5FF>贸易凭据</color>\n※购买后即送<color=#51C5FF>10</color>级评定等级	
85	29	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	<color=#000000>※6星意识碎片\n※</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※装备及辅助机强化素材</color>	
86	29	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	<color=#000000>※累计获得</color><color=#0E70BD>辅助机研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及辅助机突破材料\n※大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
87	29	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	※战术旋棍涂装<color=#51C5FF>变速节阀</color>\n※累计获得<color=#51C5FF>活动角色研发券×2500</color>\n※<color=#51C5FF>S级角色碎片自选</color>及大量<color=#51C5FF>贸易凭据</color>\n※购买后即送<color=#51C5FF>10</color>级评定等级	
88	30	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	<color=#000000>※6星意识碎片\n※</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※装备及辅助机强化素材</color>	
89	30	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	<color=#000000>※累计获得</color><color=#0E70BD>辅助机研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及辅助机突破材料\n※大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
90	30	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	<color=#000000>※螳螂刃涂装</color><color=#0E70BD>玲珑曼舞</color>\n<color=#000000>※累计获得</color><color=#0E70BD>活动角色研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
91	31	基础情报			True		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	<color=#000000>※6星意识碎片\n※</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※装备及辅助机强化素材</color>	
92	31	加密情报	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	<color=#000000>※累计获得</color><color=#0E70BD>辅助机研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及辅助机突破材料\n※大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
93	31	绝密情报	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	<color=#000000>※月伞涂装</color><color=#0E70BD>浮嚣</color>\n<color=#000000>※累计获得</color><color=#0E70BD>活动角色研发券×2500</color>\n<color=#000000>※</color><color=#0E70BD>S级角色碎片自选</color><color=#000000>及大量</color><color=#0E70BD>贸易凭据</color>\n<color=#000000>※购买后即送</color><color=#0E70BD>10</color><color=#000000>级评定等级</color>	
