Id	Name	Description	WorldDescription	Icon	Quality	Priority	MaxCount	Type	Params
28000017	兔子玩偶	《阿呆蛙之日》限量款周边，用以纪念二人那段独特而浪漫的回忆。	《阿呆蛙之日》限量款周边，用以纪念二人那段独特而浪漫的回忆。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon03.png	5	10	1	1	
28000018	炫彩烟花	只要路的此方还是我，只要路的彼方仍是你，我就不会失去这个“标记”。 最终，到达你所在的地方去。	只要路的此方还是我，只要路的彼方仍是你，我就不会失去这个“标记”。 最终，到达你所在的地方去。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon16.png	5	10	1	1	
28000019	炫彩烟花	那就让它也成为“誓言”的一部分吧，就像是你我美好回忆的永恒见证。	那就让它也成为“誓言”的一部分吧，就像是你我美好回忆的永恒见证。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon16.png	5	10	1	1	
28000020	筑梦誓言	永恒的誓言。	永恒的誓言。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon24.png	5	10	1	3	[105]
28000021	梦中的烟火	烟花留影。	烟花留影。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon26.png	5	10	1	2	[106]
28000022	鲜花	阿呆蛙委托指挥官与露西亚寻找的鲜花	阿呆蛙委托指挥官与露西亚寻找的鲜花	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon11.png	5	10	1	1	
28000023	绿草	阿呆蛙委托指挥官与露西亚寻找的绿草	阿呆蛙委托指挥官与露西亚寻找的绿草	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon29.png	5	10	1	1	
28000024	树枝	阿呆蛙委托指挥官与露西亚寻找的树枝	阿呆蛙委托指挥官与露西亚寻找的树枝	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon28.png	5	10	1	1	
28000025	【测试】图片道具1	【测试】图片道具1_Description	【测试】图片道具1_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	4	10	1	3	[101]
28000026	【测试】图片道具2	【测试】图片道具2_Description	【测试】图片道具2_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	4	10	2	3	[101]
28000027	【测试】spine道具1	【测试】spine道具1_Description	【测试】spine道具1_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	5	10	1	2	[102]
28000028	【测试】spine道具2	【测试】spine道具2_Description	【测试】spine道具2_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	5	10	2	2	[102]
28000029	【测试】文字道具1	【测试】文字道具1_Description	【测试】文字道具1_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	3	10	1	4	[103]
28000030	【测试】文字道具2	【测试】文字道具2_Description	【测试】文字道具2_WorldDescription	Assets/Product/Texture/Image/IconTools/IconDormKaliePotted001.png	3	10	2	4	[103]
28000031	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000032	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000033	折纸四叶草	露西亚为指挥官折的四叶草，闪闪发光。	露西亚为指挥官折的四叶草，闪闪发光。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon04.png	5	10	1	1	
28000034	盛开四叶草	盛开四叶草	集齐小镇心愿盛开的四叶草。阿呆蛙电影真正的结局。	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon27.png	5	10	1	1	
28000035	“马尔库特”的识别码	由北极航线联合独立研发，罗塞塔新机体——“马尔库特”的识别码。		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon30.png	5	10	1	1	
28000036	普通照片	一张普通的照片，照片上的画面没有什么异常。		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon31.png	5	10	1	1	
28000037	附有鸢尾花的信件	封口钤有空中花园艺术协会蜂蜡印的信件，看上去出自一位熟悉的女性之手，打开看看里面的内容吧。		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon32.png	5	10	1	3	[125]
28000038	系统日志	一份法奥斯之矛系统的数据文件，里面记录了异常检测后的最新日志数据。		Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldDramaIconBig/UiBigWorldDramaIcon33.png	5	10	1	1	
