Key	Value
DIYDoNotSupportWearingTips	当前不支持穿戴该部件，请切换服饰分类或衣装后再尝试
DIYConfirmTakeOffToDefaultConflicts	穿戴后会自动卸下互斥的部件，是否继续？
DIYNoSaveThenGoSkipConfirmTips	是否放弃当前调整，离开空中花园进行购买？
BigWorldPrecedenceTitle	提示
BigworldPrecedenceSubtitle	占用任务
BigWorldPrecedenceDetail	请先完成下方任务，方可继续推进当前任务
DIYDiscardChanges	存在未保存调整，是否放弃修改？
EnvironmentalStoryTip	完成角色的<color=#1272bb>任意</color>邂逅，即可获取角色相关奖励。
EnvironmentalStoryChangeTip	完成角色切换
EnvironmentalStoryOnDuty	已设定为执勤队伍
EnvironmentalStoryTryOnDuty	是否将当前组设为执勤
NewsChangeTip	内容已更新
