Id	EffectType	Type	Params	Name	Desc	Icon
20306	1	1	[91002]	弱点追踪	实体作战时，对敌伤害提升15%	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon08.png
20307	1	2	[2, 1]	知觉理论	链接者感知能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon02.png
20308	1	4	[2, 3, 100]	精准推演-感知	链接者感知能力获得增幅，\n增加投点出现最大值的概率。	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon05.png
20309	1	2	[1, 1]	机动增强	链接者作战能力永久增强1点	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon01.png
20310	1	1	[90905]	连携增强	实体作战时，QTE冷却时间减少3s	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon12.png
20401	1	5	[20]	应急预案	增强推演失败时，不遭遇恶意事件的概率	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon06.png
20402	1	3	[400500]	额外补给	完成【检定事件】后将额外获得战地配额	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon15.png
20403	1	10	[1]	辎重整备	可携带的功能道具上限增加1格	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon18.png
20404	1	2	[1, 2]	机动增强	链接者作战能力永久增强2点	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon04.png
20405	1	6	[6, 20]	幸运儿	随机事件出现奖励事件的概率增加	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon13.png
20406	1	8	[0, 90]	谈判专家	商店购买道具享受9折优惠	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon16.png
20407	1	2	[2, 2]	知觉理论	链接者感知能力永久增强2点	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon06.png
20408	1	9	[0, 1]	支援协力	商店每日贩卖的道具增加1格	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon17.png
20409	1	2	[3, 2]	算力调度	链接者运算能力永久增强2点	Assets/Product/Texture/Image/UiTRPG/Trpgbufficon05.png
20410	1	1	[81070]	带宽增强	实体作战时，每击败1个敌人额外获得1个随机信号球	Assets/Product/Texture/Image/UiTRPG/Trpgtaleticon11.png
