Id	Disposeable	SingleDisposeable	RecordGroupId	Type	Param	Order	Name	Icon	IconR	MiniIcon	ConvertCardId	FightDes	QuickFightDes	ShowTag	MovieId
1021101				10		Out	离开	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze09.png					
1022011				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png						
1022012				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1001.png						
1022021				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png						
1022022				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2001.png						
1022041	1		4	4	['FZ01603BB']	Story	攀援	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3037Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3037.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02_2.png	1022021			1	
1022042	1		4	4	['FZ01602BB']	Story	“大天线”	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3037Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3037.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02_2.png	1022021			1	
1022051	1		2	5	['1022051', '1', '0']	Test	异常敌对	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1022021				
1022052	1		2	5	['1022052', '1', '0']	Test	干扰区块	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1022021				
1022053	1		2	5	['1022053', '1', '0']	Over	封锁道具6	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1022021				
1022054	1		2	5	['1022054', '1', '0']	Over	固化软件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1022021				
1022055	1		2	5	['1022055', '1', '0']	Over	数据读取	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1022021				
1022061	1		1	6	['400604']	Unexpected discovery	贵重物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022062	1		1	6	['400601']	Unexpected discovery	贵重物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022063	1		1	6	['400520']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022064	1		1	6	['400502']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022065	1		1	6	['400516']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022066	1		1	6	['400520']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1022021				
1022071		1		7	['1022021', '200', '1022063', '50', '1022091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1022021				
1022072		1		7	['1022021', '200', '1022064', '50', '1022091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1022021				
1022073		1		7	['1022021', '200', '1022065', '50', '1022091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1022021				
1022074		1		7	['1022021', '200', '1022066', '50', '1022091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1022021				
1022081				8	['1023', '26', '3']	Down	第3区域	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze08.png					
1022082				8	['1021', '10', '1']	Up	第1区域	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze07.png					
1022091		1		9	['2', '30200001', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022092		1		9	['2', '30200002', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022093		1		9	['2', '30200001', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022094		1		9	['2', '30200002', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022095		1		9	['2', '30200001', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022096		1		9	['2', '30200002', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1022097		1		9	['2', '30200001', '400530', '1022031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1022021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023011				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1000.png						
1023012				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1001.png						
1023021				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2000.png						
1023022				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2001.png						
1023041	1		4	4	['FZ01602BD']	Story	继续旅途	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3037Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3037.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02_2.png	1023021			1	
1023051	1		2	5	['1023051', '1', '0']	Test	异常敌对	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1023021				
1023052	1		2	5	['1023052', '1', '0']	Test	干扰区块	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1023021				
1023061	1		1	6	['400502']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023062	1		1	6	['400516']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023063	1		1	6	['400520']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023064	1		1	6	['400502']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023065	1		1	6	['400516']	Unexpected discovery	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023066	1		1	6	['400652']	Unexpected discovery	贵重物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1023021				
1023071		1		7	['1023021', '200', '1023061', '50', '1023091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1023021				
1023072		1		7	['1023021', '200', '1023062', '50', '1023091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1023021				
1023073		1		7	['1023021', '200', '1023063', '50', '1023091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1023021				
1023074		1		7	['1023021', '200', '1023064', '50', '1023091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1023021				
1023075		1		7	['1023021', '200', '1023065', '50', '1023091', '50']	???	随机事件	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg00Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg00.png		1023021				
1023081				8	['1022', '26', '5']	Up	第2区域	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg7000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg7000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze07.png					
1023091		1		9	['2', '30200001', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023092		1		9	['2', '30200002', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023093		1		9	['2', '30200001', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023094		1		9	['2', '30200002', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023095		1		9	['2', '30200001', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023096		1		9	['2', '30200002', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1023097		1		9	['2', '30200002', '400530', '1023031']	Fight	防御程序	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg9001Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg9001.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze01.png	1023021	格式塔内置的标准防御程序感应到你们的行为未经格式塔授权，向你们发起进攻。虽然它们的敌意是正当的，但是你们的任务是解决更大的危机，所以，进攻行为必须被击退。	目前的实力可以迅速解决这场战斗。		
1031011				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1003Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1003.png						
1031012				1		Data corruption	破碎数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg1004Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg1004.png						
1031021				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2002Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2002.png						
1031022				2		Virtual process	虚拟进程	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg2003Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg2003.png						
1031031	1		3	3	['10130103']	Story	意外的矢弹	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3002Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3002.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	1031021	意外丛生，有善意的，也有恶意的；有奉命行事，也有自我发挥。		1	ZX01603EA
1031042	1		3	4	['ZX01604BA']	Story	虚伪的友人	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg3003Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg3003.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze02.png	1031021			1	
1031050	1		2	5	['1031050', '1', '0']	Test	扫描计划	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5002Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5002.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1031021				
1031051	1		2	5	['1031051', '1', '0']	Test	垃圾数据	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg5003Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg5003.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze06.png	1031021				
1031061	1		1	6	['400502']	Reward	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1031021				
1031062	1		1	6	['400513']	Reward	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1031021				
1031063	1		1	6	['400508']	Reward	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1031021				
1031064	1		1	6	['400516']	Reward	残存物资	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGStageBg6000Sp.png	Assets/Product/Texture/Image/UiTRPG/UiTRPGStageBg6000.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGIconMaze04.png	1031021				
