Id	Type	StageType	Desc	Params	Name	AreaIcon	CardIcon
26012	1		前往【B区35号商业园区遗址-<color=#f5b60b>第1街区</color>】	['2031051']	主线：<color=#59f5ff>商业园区遗址 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon01.png
21013	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【长路漫漫】事件	['2031051']	主线：<color=#59f5ff>长路漫漫 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21813	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【一封遗书】事件	['2031052']	主线：<color=#59f5ff>一封遗书 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21814	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【狂信徒之音】事件	['2031053']	主线：<color=#59f5ff>狂信徒之音 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21815	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到事件【搜查路线C】	['2031043']	主线：<color=#59f5ff>搜查路线C </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
23014	3		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到关键线索	['10130112']	主线：<color=#59f5ff>异合生物 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21015	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【少年踪迹】事件	['2032051']	主线：<color=#59f5ff>少年踪迹 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21016	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【掠夺与牺牲】事件	['2032041']	主线：<color=#59f5ff>掠夺与牺牲 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21816	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到【残余数据】事件	['2032053']	主线：<color=#59f5ff>残余数据 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21817	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到【拾光落影】事件	['2032052']	主线：<color=#59f5ff>拾光落影 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21818	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到【墙角掠影】事件	['2032054']	主线：<color=#59f5ff>墙角掠影 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21017	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>找到【过去与未来】事件	['2032042']	主线：<color=#59f5ff>过去与未来 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21018	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【拾荒者】事件	['2033051']	主线：<color=#59f5ff>拾荒者 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21019	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【一线希望】事件	['2033053']	主线：<color=#59f5ff>一线希望 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21020	1		前往【B区商业园区遗址】<color=#f5b60b>第1街区</color>完成【血缘连结】事件	['2033041']	主线：<color=#59f5ff>血缘连结 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
26021	1		前往【C-07废弃化工厂-<color=#f5b60b>入口</color>】	['2041041']	主线：<color=#59f5ff>废弃化工厂-<color=#59f5ff>入口<color=#59f5ff> </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
24022	4		前往【C-07废弃化工厂-<color=#f5b60b>入口</color>】获得封锁1的道具	['61501']	主线：<color=#59f5ff>废弃化工厂-<color=#59f5ff>入口<color=#59f5ff> </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21023	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【封锁地区】事件	['2041051']	主线：<color=#59f5ff>封锁地区 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21024	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【防护措施】事件	['2041053']	主线：<color=#59f5ff>防护措施 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21025	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【往昔记录】事件	['2041054']	主线：<color=#59f5ff>往昔记录 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21026	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【一路前行】事件	['2041041']	主线：<color=#59f5ff>一路前行 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21027	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【布满荆棘】事件	['2042041']	主线：<color=#59f5ff>布满荆棘 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21028	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【拦路箱】事件	['2042051']	主线：<color=#59f5ff>拦路箱 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21029	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【红色裂痕】事件	['2042052']	主线：<color=#59f5ff>红色裂痕 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21030	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【防护措施】事件	['2042053']	主线：<color=#59f5ff>防护措施 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21031	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【记忆碎片】事件	['2042054']	主线：<color=#59f5ff>记忆碎片 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21032	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【既视感】事件	['2042055']	主线：<color=#59f5ff>既视感 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
23033	3		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【曾在此处】事件	['10130115']	主线：<color=#59f5ff>曾在此处 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21034	1		前往【C区废弃化工厂 】<color=#f5b60b>入口</color>完成【零落碎片】事件	['2042042']	主线：<color=#59f5ff>零落碎片 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
30000	7		前往【城市地下空洞(新区域)】进行探索	['130000']	主线：<color=#59f5ff>地下空洞 </color>	Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31001	7		前往【外侧废墟都市】，在【补给车厢】整备并深入城市	['130011']	主线：<color=#59f5ff>红潮的指引 </color>	Assets/Product/Texture/Image/RoleCharacter/BulijiteNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33003	3		前往【B01工业扇区】<color=#f5b60b>1级区域</color>，探索城市地下空洞	['10130119']	主线：<color=#59f5ff>欢迎仪式 </color>	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31005	1		在【B01工业扇区】<color=#f5b60b>2级区域</color>，与空中花园同步信息。	['3023041']	主线：<color=#59f5ff>意外的援助</color>	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
33006	3		前往【B01工业扇区】<color=#f5b60b>2级区域</color>寻找进入核心区的方法	['10130121']	主线：<color=#59f5ff>升格秘闻 </color>	Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33007	3		前往【B01连接长廊】<color=#f5b60b>1级区域</color>，通过连接桥	['10130123']	主线：<color=#59f5ff>问句 </color>	Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31008	1		在【B01连接长廊】<color=#f5b60b>2级区域</color>寻找进入核心区的方法	['3032041']	主线：<color=#59f5ff>报幕人 </color>	Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31009	7		前往【外侧废墟都市】在【补给车厢】寻求帮助	['130021']	主线：<color=#59f5ff>跨越连接桥</color>	Assets/Product/Texture/Image/RoleCharacter/BulijiteNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31010	1		在【B01连接长廊】<color=#f5b60b>3级区域</color>找到核心区的入口	['3033041']	主线：<color=#59f5ff>华胥虚影 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31011	1		前往【核心区】<color=#f5b60b>升降梯</color>进行探索	['3041041']	主线：<color=#59f5ff>造访者 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31012	1		前往【核心区】<color=#f5b60b>升降梯</color>找寻宿命的对抗	['3041042']	主线：<color=#59f5ff>真红决意 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31013	1		到【意识海深层】<color=#f5b60b>1级区域</color>深处解开过去的阴影	['3051043']	主线：<color=#59f5ff>悔恨的残片 </color>	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33015	3		到【意识海深层】<color=#f5b60b>2级区域</color>深处	['10130126']	主线：<color=#59f5ff>露西亚</color>	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31016	1		找回了全部记忆的露西亚，带着觉悟前往【核心区】<color=#f5b60b>动力室</color>	['3042041']	主线：<color=#59f5ff>迈向未来 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
40000	7		进入【聚噬体深渊(新区域)】进行探索	['140000']	主线：<color=#59f5ff>聚噬体深渊 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41001	7		前往【地下连接区】整备空洞，与莫瑞取得通讯	['140011']	主线：<color=#59f5ff>完美伪装？ </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41002	7		前往【地下连接区】，与“莫瑞'通讯	['140011']	主线：<color=#59f5ff>“莫瑞” </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41003	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，分析通讯音频中的漏洞。	['4021041']	主线：<color=#59f5ff>音频分析 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41803	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，完成【人鱼的礼物】事件	['4021052']	主线：<color=#59f5ff>人鱼的礼物 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41004	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，在岔路中找到拉弥亚的真正藏身之处。	['4021053']	主线：<color=#59f5ff>被捕的人鱼 </color>	Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41005	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，查看在这里发生过的战斗痕迹。	['4022051']	主线：<color=#59f5ff>恐怖的痕迹 </color>	Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43006	3		前往【断片裂谷】<color=#f5b60b>开阔地</color>，查看异合生物中记录下的影像。	['10130127']	主线：<color=#59f5ff>升格互噬 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41007	1		跟着拉弥亚前往【断片裂谷】的深处。	['4023052']	主线：<color=#59f5ff>决意 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41008	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，追赶逃跑的拉弥亚。	['4023054']	主线：<color=#59f5ff>追赶拉弥亚 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41009	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，抓住拉弥亚！	['4023051']	主线：<color=#59f5ff>人鱼的目的  </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41010	1		前往【断片裂谷】<color=#f5b60b>开阔地</color>，直面聚噬体的咆哮。	['4024051']	主线：<color=#59f5ff>聚噬体的咆哮 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43011	3		前往【断片裂谷】<color=#f5b60b>开阔地</color>，与聚噬体决战	['10130128']	主线：<color=#59f5ff>巨大的威胁 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41812	1		前往【聚噬体左手】<color=#f5b60b>1级区域</color>，向上攀登。	['4031041']	主线：<color=#59f5ff>自白 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41813	1		前往【聚噬体左手】<color=#f5b60b>1级区域</color>，继续向上攀登	['4031051']	主线：<color=#59f5ff>突破围攻</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41814	1		前往【聚噬体左手】<color=#f5b60b>1级区域</color>，突破异合生物的包围圈。	['4031053']	主线：<color=#59f5ff>包围圈</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41815	1		前往【聚噬体左手】<color=#f5b60b>1级区域</color>，破坏聚噬体左手的防护系统。	['4031054']	主线：<color=#59f5ff>防护破坏</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43012	3		前往【聚噬体左手】<color=#f5b60b>1级区域</color>，向着核心地带前进，必须分秒必争。	['10130129']	主线：<color=#59f5ff>分秒必争 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41816	1		前往【聚噬体核心】<color=#f5b60b>1级区域</color>，抵抗住剧烈的震动。	['4041051']	主线：<color=#59f5ff>剧烈震动</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41817	1		前往【聚噬体核心】<color=#f5b60b>1级区域</color>，躲避聚噬体的攻击。	['4041052']	主线：<color=#59f5ff>天降阴影</color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43013	3	1	前往【聚噬体核心】<color=#f5b60b>1级区域</color>，从聚噬体核心中救出露娜。	['10130130']	主线：<color=#59f5ff>苏醒与毁灭 </color>	Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
