Id	Name	GroupId	SortId	TimeId	ActivityType	ActivityBgType	ActivityBg	ActivityTitle	ActivityDes	ActivityPrefabPath	Params	ConditionId	ShowBeginTime	ShowEndTime	ShowAllTime
966	Event Guide	152	7	906	13	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png			Assets/Product/Ui/ComponentPrefab/UiWheelChairManual/UiWheelChairManualGuide.prefab	[7]	862850		Permanent	
900	Insatiable Research	153	1	908	14	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseYureguanV214.png			Assets/Product/Ui/ComponentPrefab/UiGachaCanLiver/UiGachaCanLiverDraw.prefab		1050098		Permanent	
400	Withering Crown	233	1	44555	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseMainLinev402.png	Withering Crown	Event Info: Play through the new story [Withering Crown] and complete missions.		[0, 627]	770400	After the update on Feb 3, 2026		
401	Simulated Battlefield	233	2	2160605	12	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRepeatChallengeV213.png	Simulated Battlefield	Requirements:\nComplete Normal Story 2-2 to unlock.\nMission Info:\n1. Earn Simulation Scores upon clearing a stage.\n2. Spend Simulation Scores to purchase items at the Simulation Shop.\n3. The limited-time shop exchange ends on March 16, 2026, at 23:00 (UTC).\n4. During the event period, clear Simulated Battlefield stages and consume a certain amount of serum to claim rewards.	Assets/Product/Ui/ComponentPrefab/ActivityBase/PanelRepeatActivity.prefab	[20017, 620]	770403	After the update on Feb 3, 2026		
402	Signal Calibration	233	3	43920	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseskygardenv400.png	Signal Calibration	Requirements: Commandant Lv.40.\n\nEvent Info:\n1. Calibrate the signal to receive mysterious messages.\n2. Claim the corresponding rewards after receiving the messages.		[90058]	30406	After the update on Feb 3, 2026		
403	Hyperlink Array	233	4	44910	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRelinkv402.png	Hyperlink Array	Requirements:\nCommandant Lv.40\nEvent Info:\n1. During the event, participate in online matchmaking or team up with friends to take on exclusive event bosses.\n2. A team consists of 1-3 commandants. Strategically selecting characters and balancing class compositions will make challenges easier to complete.\n3. This event features two bosses: [Radiant Dragon] and [Nocturne Stalker]. Each boss has multiple difficulty levels. Complete lower difficulties first to unlock higher ones.\n4. Defeat bosses or sign in daily to obtain equipment. Enhance equipment to boost its power and make your characters stronger.\n5. If the total equipment level of your deployed characters is below the stage requirement, you cannot join matchmaking or create rooms, but you may still invite friends to form a team and attempt the challenge.\n6. Clear a difficulty for the first time or complete event missions to earn [Simulation Quantum], which can be used to redeem rewards in the [Quantum Exchange] shop.		[90047]	30406	After the update on Feb 3, 2026		
404	Crouching Cat, Hidden Rat	233	5	44101	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseDuomaomaov402.png	Crouching Cat, Hidden Rat	Requirements: Commandant Lv.40.\n\nEvent Info:\n1. Invite friends to form a team of 1-3 commandants (solo matchmaking is allowed).\n2. Upon successful matchmaking, you'll be directly placed into a match with up to 9 commandants, randomly assigned to either the Cats or Rats faction.\n3. Cats can use charged attacks to capture all Rats to win.\n4. Rats can disguise themselves within the environment to avoid capture and win by surviving until the match ends.\n5. Cheese will spawn at designated locations in the environment. Both Cats and Rats can collect cheese to activate powerful skills and gain match advantages.\n6. Participate in topic competition and daily matches to earn Prestige EXP. Increase Prestige Level and earn rewards in the event!		[89057]	774800			
405	Desperado Clash	233	6	44559	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRogev402.png	Desperado Clash	Requirements:\nCommandant Lv.40\nEvent Info:\n1. A new limited-time season of [Desperado Clash] mode is now available.\n2. This season introduces a new Commission system. Complete commissions, rank up, and earn Mammon's Blessings to boost your battle power and resource earnings.\n3. A limited-time shop is open during the event. Play any mode in [The Godfall Revelation] to earn Cardinal Crystals, which can be exchanged for rewards. The event ends on April 20, 2026, at 05:00 (UTC).\n4. Use [R&D Tickets] obtained from the event shop to increase your rank in Desperado Clash and earn exclusive [Nameplates]!		[90060]	770401		2026-04-20 05:00	
406	A Flash of Love	233	7	44601	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseQingrenjiev402.png	A Flash of Love	Requirements:\nCommandant Lv.40\nEvent Info:\n1. The event consists of 8 stages, each offering special cards for you to use.\n2. Read your opponent's expressions or use your teammates' support to earn more points and win the game.\n3. Complete stages to obtain character-exclusive story unlock items and use them to unlock new character stories.		[90018]	774800			
407	Frostheart Amalgamated	233	8	44701	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseDifficultv402.png	Frostheart Amalgamated	Requirements:\nCommandant Lv.40\nEvent Info:\n1. There are a total of 6 difficulty levels, all of which are highly challenging with [Zack the Frostheart Emperor] being the formidable enemy.\n2. All members will be reset once knocked out during the challenge, making the challenge easier to complete.\n3. Each stage has its own 3-star clearance conditions. Collectibles will be rewarded once a total of 3 stars is earned. The more stars, the higher the quality of the collectibles will be.		[11724]	1050141			
408	Omniframe Target	233	9	44556	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseCharacterv402.png	Omniframe Target	New Character:\n※S-Rank Dark Breaker [Rosetta: Arete]\nNew Weapon:\n※6★ [Mirage Halberd: Amalga] (Radiant Halberd)\n\nInfo:\n1. Construct Research:\n※[Rosetta: Arete] will be available in the [Themed Construct] Research Pool. You have a 100% chance to get [Rosetta: Arete] when getting an S-Rank Construct.\n2. Weapon Research:\n※[Mirage Halberd: Amalga] will be available in the [Weapon Research] Research Pool with the same rules and rates as other weapons.		[7209]	770400	After the update on Feb 3, 2026		
409	CUB Target	233	10	44556	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBasePartnerv402.png	CUB Target	New CUB:\n※S-Rank CUB: [Buzzling]\n※Recommended for the character [Rosetta: Arete]\n※[Buzzling] will be added to the [CUB Research] Pool.\nWhen conducting CUB Research, it is allowed to choose any S-Rank CUB for target research.\nDuring the event, if [Buzzling] is selected for target research, it will have a 100% drop rate among S-Rank CUBs.		[7212]	8006	After the update on Feb 3, 2026		
410	New Coating - Gilded Creed	233	11	44558	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLuosaitaEffectCoatingv402.png	New Coating - Gilded Creed	"New Coating:\nOmniframe [Rosetta: Arete] Coating: [Gilded Creed]\nInfo:\n[Gilded Creed] will be on sale at ""30% off"" in ""Top-up - Coating Supply"" during the event."		[20020]	770400	After the update on Feb 3, 2026		
411	New Coating - Chromatic ☆ Night	233	12	44558	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseQishiEffectCoatingv402.png	New Coating - Chromatic ☆ Night	"New Coating:\nOmniframe [Nanami: Startrail] Coating: [Chromatic ☆ Night]\nInfo:\n[Chromatic ☆ Night] will be on sale at ""30% off"" in ""Top-up - Coating Supply"" during the event."		[20020]	770400	After the update on Feb 3, 2026		
412	New Coating - Night Sonata	233	13	44501	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBiankaEffectCoatingv402.png	New Coating - Night Sonata	New Coating:\nOmniframe [Bianca: Crepuscule] Coating: [Night Sonata]\nInfo:\nDuring the event, it can be obtained through draws in [Night Sonata].		[20320]	770410	After the update on Feb 3, 2026		
413	Tactical Assessment Manual	233	14	44557	3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBPv402.png	Tactical Assessment Manual	Requirements: \nCommandant Lv.40\nEvent Info:\n1. Accumulate Intel Value by completing the Rating Missions of the Daily, the Round, and the current Intel Manual.\n2. Raise the Rating Level by reaching the required Intel Value.\n3. You will obtain the corresponding reward upon reaching the required Rating Level.\n4. You can also purchase additional Intel to get better rewards.		[20171]	770401	After the update on Feb 3, 2026		
414	Farewell from the Departed	234	1	44704	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseCharacterTryv402.png	Farewell from the Departed	Requirements: Clear Normal Story 1-8		[20235, 628]	774501	After the update on Feb 3, 2026		
415	Adaptation Fitting - Buzzling	235	1	44702	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBasePartnerTryv402.png	Adaptation Fitting - Buzzling	Requirements: Commandant Lv.61.		[7107, 629]	8006	After the update on Feb 3, 2026		
416	Gilded Creed	236	1	44703	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLuosaitaEffectCoatingv402.png	Gilded Creed	New Coating:\nOmniframe [Rosetta: Arete] Coating: [Gilded Creed]		[10035, 630]	770400	After the update on Feb 3, 2026		
417	Chromatic ☆ Night	237	1	44705	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseQishiEffectCoatingv402.png	Chromatic ☆ Night	New Coating:\nOmniframe [Nanami: Startrail] Coating: [Chromatic ☆ Night]		[10035, 631]	770400	After the update on Feb 3, 2026		
418	Night Sonata	238	1	44501	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBiankaEffectCoatingv402.png	Night Sonata	"Info:\nDuring the event, [Night Sonata] can be obtained through ""main interface - Night Sonata"" Coating Research Event for a limited time."		[20320, 632]	770410	After the update on Feb 3, 2026		
419	Nightmare Roulette	232	1	44410	1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseYureguanv402.png	Nightmare Roulette	Event Info: Complete event missions to obtain [Crimson Chips].		[20107, 622]				
