Id	MainUiBg	StagePrefab	StageGuidePrefab	Name	Title	Number	ChallengeUiBg	SupportUiBg	ProtectTipText
30150274		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-2	游乐园	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	
30150275		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	游乐园	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	
30150276		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-4	游乐园	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	
30150277		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	凯旋潮	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	
30150278		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	凯旋潮	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	
30150279		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	凯旋潮	4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg5.png	
30150284		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-1	极光天穹	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150285		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-2	极光天穹	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150286		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	极光天穹	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150281		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	印象星空	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150280		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	印象星空	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150283		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	印象星空	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150282		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	幽界林海	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150288		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	幽界林海	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150294		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	幽界林海	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150291		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-1	白泽枢	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150292		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-2	白泽枢	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150293		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	白泽枢	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150295		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None1	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150296		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None2	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150297		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None3	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30162738		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	无隙星泊	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150289		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	无隙星泊	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30162740		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	无隙星泊	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	由于上阵了试用角色，高难词条：过载 已失效
30150298		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-1	洋流涡	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30150299		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-2	洋流涡	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30150300		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-3	洋流涡	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30150301		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BP-1	烬域墟影	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150302		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BP-2	烬域墟影	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150303		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BP-3	烬域墟影	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150305		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	湮维残厄	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150306		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	湮维残厄	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150307		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	湮维残厄	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30150308		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-1	烬域墟影	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30150309		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-2	烬域墟影	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30150310		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	BPR-3	烬域墟影	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg3.png	由于上阵了试用角色，高难词条：过载 已失效
30063038		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-1	黯潮蚀光	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30063039		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-2	黯潮蚀光	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
30063040		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	黯潮蚀光	3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg2.png	由于上阵了试用角色，高难词条：过载 已失效
