Id	Name	GuideBg	Description
52	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
53	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
54	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
55	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
56	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
57	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
58	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
59	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
60	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
61	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
62	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
63	BP-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
64	BP-5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
65	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
66	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
67	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
68	BPR-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
69	BPR-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
70	BPR-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
71	BPR-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
72	BPR-5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
